,Reference,Assembler,NGx,Basepairs
0,Bacillus_subtilis,SKESA,0.0,367769
1,Bacillus_subtilis,SKESA,0.1111111111111111,314934
2,Bacillus_subtilis,SKESA,0.2222222222222222,251998
3,Bacillus_subtilis,SKESA,0.3333333333333333,234017
4,Bacillus_subtilis,SKESA,0.4444444444444444,155761
5,Bacillus_subtilis,SKESA,0.5555555555555556,137078
6,Bacillus_subtilis,SKESA,0.6666666666666666,130736
7,Bacillus_subtilis,SKESA,0.7777777777777777,90147
8,Bacillus_subtilis,SKESA,0.8888888888888888,59598
9,Bacillus_subtilis,SKESA,1.0,0
10,Enterococcus_faecalis,SKESA,0.0,442877
11,Enterococcus_faecalis,SKESA,0.1111111111111111,442877
12,Enterococcus_faecalis,SKESA,0.2222222222222222,165986
13,Enterococcus_faecalis,SKESA,0.3333333333333333,127476
14,Enterococcus_faecalis,SKESA,0.4444444444444444,68495
15,Enterococcus_faecalis,SKESA,0.5555555555555556,59856
16,Enterococcus_faecalis,SKESA,0.6666666666666666,46517
17,Enterococcus_faecalis,SKESA,0.7777777777777777,38592
18,Enterococcus_faecalis,SKESA,0.8888888888888888,23534
19,Enterococcus_faecalis,SKESA,1.0,0
20,Escherichia_coli_plasmid,SKESA,0.0,110007
21,Escherichia_coli_plasmid,SKESA,0.1111111111111111,110007
22,Escherichia_coli_plasmid,SKESA,0.2222222222222222,110007
23,Escherichia_coli_plasmid,SKESA,0.3333333333333333,110007
24,Escherichia_coli_plasmid,SKESA,0.4444444444444444,110007
25,Escherichia_coli_plasmid,SKESA,0.5555555555555556,110007
26,Escherichia_coli_plasmid,SKESA,0.6666666666666666,110007
27,Escherichia_coli_plasmid,SKESA,0.7777777777777777,110007
28,Escherichia_coli_plasmid,SKESA,0.8888888888888888,110007
29,Escherichia_coli_plasmid,SKESA,1.0,110007
30,Escherichia_coli,SKESA,0.0,89472
31,Escherichia_coli,SKESA,0.1111111111111111,54762
32,Escherichia_coli,SKESA,0.2222222222222222,39328
33,Escherichia_coli,SKESA,0.3333333333333333,29443
34,Escherichia_coli,SKESA,0.4444444444444444,21496
35,Escherichia_coli,SKESA,0.5555555555555556,16755
36,Escherichia_coli,SKESA,0.6666666666666666,12541
37,Escherichia_coli,SKESA,0.7777777777777777,7912
38,Escherichia_coli,SKESA,0.8888888888888888,3549
39,Escherichia_coli,SKESA,1.0,0
40,Lactobacillus_fermentum,SKESA,0.0,121675
41,Lactobacillus_fermentum,SKESA,0.1111111111111111,103160
42,Lactobacillus_fermentum,SKESA,0.2222222222222222,63584
43,Lactobacillus_fermentum,SKESA,0.3333333333333333,45259
44,Lactobacillus_fermentum,SKESA,0.4444444444444444,33738
45,Lactobacillus_fermentum,SKESA,0.5555555555555556,24127
46,Lactobacillus_fermentum,SKESA,0.6666666666666666,16001
47,Lactobacillus_fermentum,SKESA,0.7777777777777777,10396
48,Lactobacillus_fermentum,SKESA,0.8888888888888888,4374
49,Lactobacillus_fermentum,SKESA,1.0,0
50,Listeria_monocytogenes,SKESA,0.0,474592
51,Listeria_monocytogenes,SKESA,0.1111111111111111,474592
52,Listeria_monocytogenes,SKESA,0.2222222222222222,297972
53,Listeria_monocytogenes,SKESA,0.3333333333333333,257141
54,Listeria_monocytogenes,SKESA,0.4444444444444444,210332
55,Listeria_monocytogenes,SKESA,0.5555555555555556,131264
56,Listeria_monocytogenes,SKESA,0.6666666666666666,118282
57,Listeria_monocytogenes,SKESA,0.7777777777777777,96197
58,Listeria_monocytogenes,SKESA,0.8888888888888888,51137
59,Listeria_monocytogenes,SKESA,1.0,0
60,Pseudomonas_aeruginosa,SKESA,0.0,156028
61,Pseudomonas_aeruginosa,SKESA,0.1111111111111111,84227
62,Pseudomonas_aeruginosa,SKESA,0.2222222222222222,62937
63,Pseudomonas_aeruginosa,SKESA,0.3333333333333333,53906
64,Pseudomonas_aeruginosa,SKESA,0.4444444444444444,44060
65,Pseudomonas_aeruginosa,SKESA,0.5555555555555556,37671
66,Pseudomonas_aeruginosa,SKESA,0.6666666666666666,28071
67,Pseudomonas_aeruginosa,SKESA,0.7777777777777777,21062
68,Pseudomonas_aeruginosa,SKESA,0.8888888888888888,14488
69,Pseudomonas_aeruginosa,SKESA,1.0,4420
70,Salmonella_enterica,SKESA,0.0,107041
71,Salmonella_enterica,SKESA,0.1111111111111111,65618
72,Salmonella_enterica,SKESA,0.2222222222222222,42001
73,Salmonella_enterica,SKESA,0.3333333333333333,32831
74,Salmonella_enterica,SKESA,0.4444444444444444,22745
75,Salmonella_enterica,SKESA,0.5555555555555556,18299
76,Salmonella_enterica,SKESA,0.6666666666666666,14381
77,Salmonella_enterica,SKESA,0.7777777777777777,9538
78,Salmonella_enterica,SKESA,0.8888888888888888,4726
79,Salmonella_enterica,SKESA,1.0,0
80,Staphylococcus_aureus,SKESA,0.0,130674
81,Staphylococcus_aureus,SKESA,0.1111111111111111,107847
82,Staphylococcus_aureus,SKESA,0.2222222222222222,75343
83,Staphylococcus_aureus,SKESA,0.3333333333333333,59193
84,Staphylococcus_aureus,SKESA,0.4444444444444444,47466
85,Staphylococcus_aureus,SKESA,0.5555555555555556,37932
86,Staphylococcus_aureus,SKESA,0.6666666666666666,34008
87,Staphylococcus_aureus,SKESA,0.7777777777777777,28576
88,Staphylococcus_aureus,SKESA,0.8888888888888888,15044
89,Staphylococcus_aureus,SKESA,1.0,0
90,Staphylococcus_aureus_plasmid1,SKESA,0.0,6337
91,Staphylococcus_aureus_plasmid1,SKESA,0.1111111111111111,6337
92,Staphylococcus_aureus_plasmid1,SKESA,0.2222222222222222,6337
93,Staphylococcus_aureus_plasmid1,SKESA,0.3333333333333333,6337
94,Staphylococcus_aureus_plasmid1,SKESA,0.4444444444444444,6337
95,Staphylococcus_aureus_plasmid1,SKESA,0.5555555555555556,6337
96,Staphylococcus_aureus_plasmid1,SKESA,0.6666666666666666,6337
97,Staphylococcus_aureus_plasmid1,SKESA,0.7777777777777777,6337
98,Staphylococcus_aureus_plasmid1,SKESA,0.8888888888888888,6337
99,Staphylococcus_aureus_plasmid1,SKESA,1.0,6337
100,Staphylococcus_aureus_plasmid2,SKESA,0.0,0
101,Staphylococcus_aureus_plasmid2,SKESA,0.1111111111111111,0
102,Staphylococcus_aureus_plasmid2,SKESA,0.2222222222222222,0
103,Staphylococcus_aureus_plasmid2,SKESA,0.3333333333333333,0
104,Staphylococcus_aureus_plasmid2,SKESA,0.4444444444444444,0
105,Staphylococcus_aureus_plasmid2,SKESA,0.5555555555555556,0
106,Staphylococcus_aureus_plasmid2,SKESA,0.6666666666666666,0
107,Staphylococcus_aureus_plasmid2,SKESA,0.7777777777777777,0
108,Staphylococcus_aureus_plasmid2,SKESA,0.8888888888888888,0
109,Staphylococcus_aureus_plasmid2,SKESA,1.0,0
110,Staphylococcus_aureus_plasmid3,SKESA,0.0,1296
111,Staphylococcus_aureus_plasmid3,SKESA,0.1111111111111111,1296
112,Staphylococcus_aureus_plasmid3,SKESA,0.2222222222222222,1296
113,Staphylococcus_aureus_plasmid3,SKESA,0.3333333333333333,1296
114,Staphylococcus_aureus_plasmid3,SKESA,0.4444444444444444,0
115,Staphylococcus_aureus_plasmid3,SKESA,0.5555555555555556,0
116,Staphylococcus_aureus_plasmid3,SKESA,0.6666666666666666,0
117,Staphylococcus_aureus_plasmid3,SKESA,0.7777777777777777,0
118,Staphylococcus_aureus_plasmid3,SKESA,0.8888888888888888,0
119,Staphylococcus_aureus_plasmid3,SKESA,1.0,0
