Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9834633362969906,33
Enterococcus_faecalis,0.9765107935918848,53
Escherichia_coli_plasmid,0.9810375703364331,4
Escherichia_coli,0.9487945903772877,415
Lactobacillus_fermentum,0.93839764492611,86
Listeria_monocytogenes,0.98660714584095,23
Pseudomonas_aeruginosa,0.9862564098034106,159
Salmonella_enterica,0.9600180345757946,399
Staphylococcus_aureus,0.9774207548974172,75
Staphylococcus_aureus_plasmid1,0.0,0
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
