,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,BCALM2,Bacillus_subtilis,113872,1783,60
1,BCALM2,Bacillus_subtilis,113878,1354,60
2,BCALM2,Bacillus_subtilis,113940,1415,60
3,BCALM2,Bacillus_subtilis,114301,1782,60
4,BCALM2,Bacillus_subtilis,114330,3520,60
5,BCALM2,Bacillus_subtilis,114387,2104,60
6,BCALM2,Bacillus_subtilis,114459,1210,60
7,BCALM2,Bacillus_subtilis,114466,1086,60
8,BCALM2,Bacillus_subtilis,114640,1076,60
9,BCALM2,Bacillus_subtilis,114869,2691,60
10,BCALM2,Bacillus_subtilis,114939,1186,60
11,BCALM2,Bacillus_subtilis,115173,1433,60
12,BCALM2,Bacillus_subtilis,115538,2938,60
13,BCALM2,Bacillus_subtilis,115813,2344,60
14,BCALM2,Bacillus_subtilis,115871,1030,60
15,BCALM2,Bacillus_subtilis,115973,1271,60
16,BCALM2,Bacillus_subtilis,116116,3388,60
17,BCALM2,Bacillus_subtilis,116124,1223,60
18,BCALM2,Bacillus_subtilis,116439,2192,60
19,BCALM2,Bacillus_subtilis,116685,2447,60
20,BCALM2,Bacillus_subtilis,116933,1649,60
21,BCALM2,Bacillus_subtilis,117050,2098,60
22,BCALM2,Bacillus_subtilis,117099,4060,60
23,BCALM2,Bacillus_subtilis,117190,1086,60
24,BCALM2,Bacillus_subtilis,117307,2717,60
25,BCALM2,Bacillus_subtilis,117502,1233,60
26,BCALM2,Bacillus_subtilis,117506,1464,60
27,BCALM2,Bacillus_subtilis,117517,1719,60
28,BCALM2,Bacillus_subtilis,117605,1049,60
29,BCALM2,Bacillus_subtilis,117666,1675,60
30,BCALM2,Bacillus_subtilis,117805,2763,60
31,BCALM2,Bacillus_subtilis,117946,3520,60
32,BCALM2,Bacillus_subtilis,117965,4737,60
33,BCALM2,Bacillus_subtilis,118084,1041,60
34,BCALM2,Bacillus_subtilis,118154,2446,60
35,BCALM2,Bacillus_subtilis,118223,1598,60
36,BCALM2,Bacillus_subtilis,118505,1129,60
37,BCALM2,Bacillus_subtilis,118710,1330,60
38,BCALM2,Bacillus_subtilis,118812,2719,60
39,BCALM2,Bacillus_subtilis,118844,1405,60
40,BCALM2,Bacillus_subtilis,118894,1303,60
41,BCALM2,Bacillus_subtilis,119088,2551,60
42,BCALM2,Bacillus_subtilis,119469,2804,60
43,BCALM2,Bacillus_subtilis,119550,1410,60
44,BCALM2,Bacillus_subtilis,119609,4883,60
45,BCALM2,Bacillus_subtilis,119673,1700,60
46,BCALM2,Bacillus_subtilis,119890,1960,60
47,BCALM2,Bacillus_subtilis,120106,1001,60
48,BCALM2,Bacillus_subtilis,120178,1331,60
49,BCALM2,Bacillus_subtilis,120867,1587,60
50,BCALM2,Bacillus_subtilis,121442,2409,60
51,BCALM2,Bacillus_subtilis,121770,1526,60
52,BCALM2,Bacillus_subtilis,122092,1376,60
53,BCALM2,Bacillus_subtilis,122234,1307,60
54,BCALM2,Bacillus_subtilis,122449,3028,60
55,BCALM2,Bacillus_subtilis,122574,1785,60
56,BCALM2,Bacillus_subtilis,122730,2510,60
57,BCALM2,Bacillus_subtilis,122797,1709,60
58,BCALM2,Bacillus_subtilis,122835,2063,60
59,BCALM2,Bacillus_subtilis,123158,1692,60
60,BCALM2,Bacillus_subtilis,123180,1165,60
61,BCALM2,Bacillus_subtilis,123330,1343,60
62,BCALM2,Bacillus_subtilis,123361,3456,60
63,BCALM2,Bacillus_subtilis,123847,1001,60
64,BCALM2,Bacillus_subtilis,124813,1167,60
65,BCALM2,Bacillus_subtilis,125137,3112,60
66,BCALM2,Bacillus_subtilis,125198,4638,60
67,BCALM2,Bacillus_subtilis,125201,1581,60
68,BCALM2,Bacillus_subtilis,125305,1768,60
69,BCALM2,Bacillus_subtilis,126008,3171,60
70,BCALM2,Bacillus_subtilis,126194,3065,60
71,BCALM2,Bacillus_subtilis,126238,1134,60
72,BCALM2,Bacillus_subtilis,126260,2543,60
73,BCALM2,Bacillus_subtilis,126328,3499,60
74,BCALM2,Bacillus_subtilis,126381,1944,60
75,BCALM2,Bacillus_subtilis,126671,1236,60
76,BCALM2,Bacillus_subtilis,126787,1416,60
77,BCALM2,Bacillus_subtilis,126876,1979,60
78,BCALM2,Bacillus_subtilis,126997,1046,60
79,BCALM2,Bacillus_subtilis,127391,2943,60
80,BCALM2,Bacillus_subtilis,127462,2193,60
81,BCALM2,Bacillus_subtilis,127731,1018,60
82,BCALM2,Bacillus_subtilis,128070,1877,60
83,BCALM2,Bacillus_subtilis,128103,2841,60
84,BCALM2,Bacillus_subtilis,128214,1721,60
85,BCALM2,Bacillus_subtilis,128298,3352,60
86,BCALM2,Bacillus_subtilis,128572,1069,60
87,BCALM2,Bacillus_subtilis,128940,1952,60
88,BCALM2,Bacillus_subtilis,129202,3380,60
89,BCALM2,Bacillus_subtilis,129402,2105,60
90,BCALM2,Bacillus_subtilis,129461,1576,60
91,BCALM2,Bacillus_subtilis,129600,1244,60
92,BCALM2,Bacillus_subtilis,129734,2314,60
93,BCALM2,Bacillus_subtilis,129757,1285,60
94,BCALM2,Bacillus_subtilis,129831,3158,60
95,BCALM2,Bacillus_subtilis,129977,1251,60
96,BCALM2,Bacillus_subtilis,129980,1948,60
97,BCALM2,Bacillus_subtilis,130081,1164,60
98,BCALM2,Bacillus_subtilis,130082,3174,60
99,BCALM2,Bacillus_subtilis,130266,1498,60
100,BCALM2,Bacillus_subtilis,130306,1146,60
101,BCALM2,Bacillus_subtilis,130378,2105,60
102,BCALM2,Bacillus_subtilis,130492,1014,60
103,BCALM2,Bacillus_subtilis,130589,1471,60
104,BCALM2,Bacillus_subtilis,130634,3674,60
105,BCALM2,Bacillus_subtilis,130907,1053,60
106,BCALM2,Bacillus_subtilis,131064,1505,60
107,BCALM2,Bacillus_subtilis,131324,4020,60
108,BCALM2,Bacillus_subtilis,131552,4991,60
109,BCALM2,Bacillus_subtilis,131681,1246,60
110,BCALM2,Bacillus_subtilis,131778,1032,60
111,BCALM2,Bacillus_subtilis,131876,1143,60
112,BCALM2,Bacillus_subtilis,131891,2885,60
113,BCALM2,Bacillus_subtilis,131958,1802,60
114,BCALM2,Bacillus_subtilis,132082,2297,60
115,BCALM2,Bacillus_subtilis,132128,6430,60
116,BCALM2,Bacillus_subtilis,132168,2534,60
117,BCALM2,Bacillus_subtilis,132170,2182,60
118,BCALM2,Bacillus_subtilis,132349,1201,60
119,BCALM2,Bacillus_subtilis,132425,1266,60
120,BCALM2,Bacillus_subtilis,132700,1438,60
121,BCALM2,Bacillus_subtilis,132810,3767,60
122,BCALM2,Bacillus_subtilis,132857,1015,60
123,BCALM2,Bacillus_subtilis,132873,1873,60
124,BCALM2,Bacillus_subtilis,132937,1702,60
125,BCALM2,Bacillus_subtilis,133004,2036,60
126,BCALM2,Bacillus_subtilis,133012,2534,60
127,BCALM2,Bacillus_subtilis,133144,1070,60
128,BCALM2,Bacillus_subtilis,133215,1322,60
129,BCALM2,Bacillus_subtilis,133437,2115,60
130,BCALM2,Bacillus_subtilis,133484,1019,60
131,BCALM2,Bacillus_subtilis,133552,2888,60
132,BCALM2,Bacillus_subtilis,133593,1197,60
133,BCALM2,Bacillus_subtilis,133708,1288,60
134,BCALM2,Bacillus_subtilis,133725,1484,60
135,BCALM2,Bacillus_subtilis,133843,1899,60
136,BCALM2,Bacillus_subtilis,133872,1116,60
137,BCALM2,Bacillus_subtilis,133979,1107,60
138,BCALM2,Bacillus_subtilis,134178,1572,60
139,BCALM2,Bacillus_subtilis,134279,1201,60
140,BCALM2,Bacillus_subtilis,134484,1379,60
141,BCALM2,Bacillus_subtilis,134639,2182,60
142,BCALM2,Bacillus_subtilis,134657,1970,60
143,BCALM2,Bacillus_subtilis,134856,1294,60
144,BCALM2,Bacillus_subtilis,135065,4184,60
145,BCALM2,Bacillus_subtilis,135093,2261,60
146,BCALM2,Bacillus_subtilis,135688,2027,60
147,BCALM2,Bacillus_subtilis,135696,1098,60
148,BCALM2,Bacillus_subtilis,135876,2311,60
149,BCALM2,Bacillus_subtilis,136004,1177,60
150,BCALM2,Bacillus_subtilis,136025,3145,60
151,BCALM2,Bacillus_subtilis,136201,1890,60
152,BCALM2,Bacillus_subtilis,136251,1302,60
153,BCALM2,Bacillus_subtilis,136266,1456,60
154,BCALM2,Bacillus_subtilis,136364,1175,60
155,BCALM2,Bacillus_subtilis,136550,1310,60
156,BCALM2,Bacillus_subtilis,136739,1050,60
157,BCALM2,Bacillus_subtilis,137016,2628,60
158,BCALM2,Bacillus_subtilis,137028,1496,60
159,BCALM2,Bacillus_subtilis,137093,1539,60
160,BCALM2,Bacillus_subtilis,137432,2273,60
161,BCALM2,Bacillus_subtilis,137696,2191,60
162,BCALM2,Bacillus_subtilis,138041,1887,60
163,BCALM2,Bacillus_subtilis,138125,1304,60
