,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,IDBA-UD,Bacillus_subtilis,contig-100_4,342814,60
1,IDBA-UD,Bacillus_subtilis,contig-100_7,315134,60
2,IDBA-UD,Bacillus_subtilis,contig-100_9,294217,60
3,IDBA-UD,Bacillus_subtilis,contig-100_10,269472,60
4,IDBA-UD,Bacillus_subtilis,contig-100_11,263364,60
5,IDBA-UD,Bacillus_subtilis,contig-100_12,257266,60
6,IDBA-UD,Bacillus_subtilis,contig-100_14,252653,60
7,IDBA-UD,Bacillus_subtilis,contig-100_15,249172,60
8,IDBA-UD,Bacillus_subtilis,contig-100_16,224894,60
9,IDBA-UD,Bacillus_subtilis,contig-100_18,212969,60
10,IDBA-UD,Bacillus_subtilis,contig-100_20,204182,60
11,IDBA-UD,Bacillus_subtilis,contig-100_29,170745,60
12,IDBA-UD,Bacillus_subtilis,contig-100_31,156216,60
13,IDBA-UD,Bacillus_subtilis,contig-100_39,137361,60
14,IDBA-UD,Bacillus_subtilis,contig-100_49,122499,60
15,IDBA-UD,Bacillus_subtilis,contig-100_77,90282,60
16,IDBA-UD,Bacillus_subtilis,contig-100_81,83552,60
17,IDBA-UD,Bacillus_subtilis,contig-100_127,55365,60
18,IDBA-UD,Bacillus_subtilis,contig-100_196,38351,60
19,IDBA-UD,Bacillus_subtilis,contig-100_197,38345,60
20,IDBA-UD,Bacillus_subtilis,contig-100_200,37917,60
21,IDBA-UD,Bacillus_subtilis,contig-100_259,29856,60
22,IDBA-UD,Bacillus_subtilis,contig-100_260,29780,60
23,IDBA-UD,Bacillus_subtilis,contig-100_313,23330,60
24,IDBA-UD,Bacillus_subtilis,contig-100_383,18068,60
25,IDBA-UD,Bacillus_subtilis,contig-100_399,17013,60
26,IDBA-UD,Bacillus_subtilis,contig-100_421,15643,60
27,IDBA-UD,Bacillus_subtilis,contig-100_517,11900,60
28,IDBA-UD,Bacillus_subtilis,contig-100_588,9438,60
29,IDBA-UD,Bacillus_subtilis,contig-100_951,2811,60
30,IDBA-UD,Bacillus_subtilis,contig-100_1100,1559,60
31,IDBA-UD,Bacillus_subtilis,contig-100_1125,1424,60
32,IDBA-UD,Bacillus_subtilis,contig-100_1223,1029,23.134453704264093
33,IDBA-UD,Enterococcus_faecalis,contig-100_1,386281,60
34,IDBA-UD,Enterococcus_faecalis,contig-100_22,193239,60
35,IDBA-UD,Enterococcus_faecalis,contig-100_24,184434,60
36,IDBA-UD,Enterococcus_faecalis,contig-100_26,176318,60
37,IDBA-UD,Enterococcus_faecalis,contig-100_45,127639,60
38,IDBA-UD,Enterococcus_faecalis,contig-100_51,118897,60
39,IDBA-UD,Enterococcus_faecalis,contig-100_53,115641,41.60021851563478
40,IDBA-UD,Enterococcus_faecalis,contig-100_54,114809,60
41,IDBA-UD,Enterococcus_faecalis,contig-100_55,112536,60
