,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MEGAHIT,Bacillus_subtilis,k141_56,30089,44.784077543171264
1,MEGAHIT,Bacillus_subtilis,k141_613,39202,18.72322480183215
2,MEGAHIT,Bacillus_subtilis,k141_617,23441,60.0
3,MEGAHIT,Bacillus_subtilis,k141_329,59913,60.0
4,MEGAHIT,Bacillus_subtilis,k141_98,156427,60.0
5,MEGAHIT,Bacillus_subtilis,k141_146,123094,31.817518656497388
6,MEGAHIT,Bacillus_subtilis,k141_632,230003,60.0
7,MEGAHIT,Bacillus_subtilis,k141_924,208827,60.0
8,MEGAHIT,Bacillus_subtilis,k141_651,768389,60.0
9,MEGAHIT,Bacillus_subtilis,k141_980,343925,60.0
10,MEGAHIT,Bacillus_subtilis,k141_387,269818,60.0
11,MEGAHIT,Bacillus_subtilis,k141_710,1643,60.0
12,MEGAHIT,Bacillus_subtilis,k141_723,15760,60.0
13,MEGAHIT,Bacillus_subtilis,k141_724,138540,37.43635174628728
14,MEGAHIT,Bacillus_subtilis,k141_733,1682,60.0
15,MEGAHIT,Bacillus_subtilis,k141_1032,2959,60.0
16,MEGAHIT,Bacillus_subtilis,k141_740,10900,60.0
17,MEGAHIT,Bacillus_subtilis,k141_744,84528,60.0
18,MEGAHIT,Bacillus_subtilis,k141_401,257160,49.33082162369378
19,MEGAHIT,Bacillus_subtilis,k141_402,55411,60.0
20,MEGAHIT,Bacillus_subtilis,k141_1058,1036,11.122697684172708
21,MEGAHIT,Bacillus_subtilis,k141_462,264102,44.21771690058604
22,MEGAHIT,Bacillus_subtilis,k141_849,315167,60.0
23,MEGAHIT,Bacillus_subtilis,k141_504,38542,60.0
24,MEGAHIT,Bacillus_subtilis,k141_886,253477,60.0
25,MEGAHIT,Bacillus_subtilis,k141_1166,294549,60.0
26,MEGAHIT,Enterococcus_faecalis,k141_67,70941,33.59535612255756
27,MEGAHIT,Enterococcus_faecalis,k141_913,29389,60.0
28,MEGAHIT,Enterococcus_faecalis,k141_189,35769,60.0
29,MEGAHIT,Enterococcus_faecalis,k141_931,105463,60.0
30,MEGAHIT,Enterococcus_faecalis,k141_194,235316,60.0
31,MEGAHIT,Enterococcus_faecalis,k141_951,179626,46.523092075922904
32,MEGAHIT,Enterococcus_faecalis,k141_364,33302,60.0
33,MEGAHIT,Enterococcus_faecalis,k141_954,238546,60.0
34,MEGAHIT,Enterococcus_faecalis,k141_366,19744,60.0
35,MEGAHIT,Enterococcus_faecalis,k141_664,94677,38.001532290680714
36,MEGAHIT,Enterococcus_faecalis,k141_368,46942,60.0
37,MEGAHIT,Enterococcus_faecalis,k141_375,2671,60.0
38,MEGAHIT,Enterococcus_faecalis,k141_979,12553,21.69328603110525
