,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2935805,GATBMiniaPipeline,68,1313,Unmapped,0
1,1,ERR2935805,GATBMiniaPipeline,128,2466,Unmapped,0
2,2,ERR2935805,GATBMiniaPipeline,138,8916,Pseudomonas_aeruginosa,0
3,3,ERR2935805,GATBMiniaPipeline,141,1073,Unmapped,0
4,4,ERR2935805,GATBMiniaPipeline,159,1035,Unmapped,0
5,5,ERR2935805,GATBMiniaPipeline,165,1111,Unmapped,0
6,6,ERR2935805,GATBMiniaPipeline,219,2442,Unmapped,0
7,7,ERR2935805,GATBMiniaPipeline,228,5889,Bacillus_subtilis,0
8,8,ERR2935805,GATBMiniaPipeline,242,38139,Pseudomonas_aeruginosa,0
9,9,ERR2935805,GATBMiniaPipeline,258,2693,Listeria_monocytogenes,0
10,10,ERR2935805,GATBMiniaPipeline,263,1005,Unmapped,0
11,11,ERR2935805,GATBMiniaPipeline,267,26505,Bacillus_subtilis,0
12,12,ERR2935805,GATBMiniaPipeline,300,4360,Bacillus_subtilis,0
13,13,ERR2935805,GATBMiniaPipeline,331,2800,Bacillus_subtilis,0
14,14,ERR2935805,GATBMiniaPipeline,332,1126,Unmapped,0
15,15,ERR2935805,GATBMiniaPipeline,345,1018,Pseudomonas_aeruginosa,0
16,16,ERR2935805,GATBMiniaPipeline,382,1073,Pseudomonas_aeruginosa,0
17,17,ERR2935805,GATBMiniaPipeline,386,14066,Pseudomonas_aeruginosa,0
18,18,ERR2935805,GATBMiniaPipeline,392,2382,Pseudomonas_aeruginosa,0
19,19,ERR2935805,GATBMiniaPipeline,434,2441,Bacillus_subtilis,0
20,20,ERR2935805,GATBMiniaPipeline,458,26858,Pseudomonas_aeruginosa,0
21,21,ERR2935805,GATBMiniaPipeline,497,1002,Unmapped,0
22,22,ERR2935805,GATBMiniaPipeline,500,1158,Unmapped,0
23,23,ERR2935805,GATBMiniaPipeline,502,1102,Unmapped,0
24,24,ERR2935805,GATBMiniaPipeline,585,1431,Listeria_monocytogenes,0
25,25,ERR2935805,GATBMiniaPipeline,605,1079,Unmapped,0
26,26,ERR2935805,GATBMiniaPipeline,608,1129,Unmapped,0
27,27,ERR2935805,GATBMiniaPipeline,624,1088,Unmapped,0
28,28,ERR2935805,GATBMiniaPipeline,634,9000,Bacillus_subtilis,0
29,29,ERR2935805,GATBMiniaPipeline,643,1119,Unmapped,0
30,30,ERR2935805,GATBMiniaPipeline,650,3018,Bacillus_subtilis,0
31,31,ERR2935805,GATBMiniaPipeline,654,17159,Bacillus_subtilis,0
32,32,ERR2935805,GATBMiniaPipeline,673,2894,Bacillus_subtilis,0
33,33,ERR2935805,GATBMiniaPipeline,686,1295,Unmapped,0
34,34,ERR2935805,GATBMiniaPipeline,698,1401,Unmapped,0
35,35,ERR2935805,GATBMiniaPipeline,702,103952,Bacillus_subtilis,0
36,36,ERR2935805,GATBMiniaPipeline,704,14927,Bacillus_subtilis,0
37,37,ERR2935805,GATBMiniaPipeline,716,1063,Unmapped,0
38,38,ERR2935805,GATBMiniaPipeline,725,1370,Unmapped,0
39,39,ERR2935805,GATBMiniaPipeline,734,2062,Bacillus_subtilis,0
40,40,ERR2935805,GATBMiniaPipeline,767,1023,Unmapped,0
41,41,ERR2935805,GATBMiniaPipeline,772,11335,Bacillus_subtilis,0
42,42,ERR2935805,GATBMiniaPipeline,779,1189,Unmapped,0
43,43,ERR2935805,GATBMiniaPipeline,781,1582,Unmapped,0
44,44,ERR2935805,GATBMiniaPipeline,789,2081,Pseudomonas_aeruginosa,0
45,45,ERR2935805,GATBMiniaPipeline,800,5130,Bacillus_subtilis,0
46,46,ERR2935805,GATBMiniaPipeline,818,25004,Bacillus_subtilis,0
47,47,ERR2935805,GATBMiniaPipeline,819,6584,Bacillus_subtilis,0
48,48,ERR2935805,GATBMiniaPipeline,823,1213,Unmapped,0
49,49,ERR2935805,GATBMiniaPipeline,827,1048,Unmapped,0
50,50,ERR2935805,GATBMiniaPipeline,833,1035,Unmapped,0
51,51,ERR2935805,GATBMiniaPipeline,834,4632,Bacillus_subtilis,0
52,52,ERR2935805,GATBMiniaPipeline,837,31451,Bacillus_subtilis,0
53,53,ERR2935805,GATBMiniaPipeline,859,8653,Bacillus_subtilis,0
54,54,ERR2935805,GATBMiniaPipeline,871,3820,Bacillus_subtilis,0
55,55,ERR2935805,GATBMiniaPipeline,872,1017,Unmapped,0
56,56,ERR2935805,GATBMiniaPipeline,879,1231,Unmapped,0
57,57,ERR2935805,GATBMiniaPipeline,881,17903,Bacillus_subtilis,0
58,58,ERR2935805,GATBMiniaPipeline,889,1785,Pseudomonas_aeruginosa,0
59,59,ERR2935805,GATBMiniaPipeline,918,1028,Unmapped,0
60,60,ERR2935805,GATBMiniaPipeline,919,2708,Unmapped,0
61,61,ERR2935805,GATBMiniaPipeline,926,1434,Unmapped,0
62,62,ERR2935805,GATBMiniaPipeline,962,106206,Pseudomonas_aeruginosa,0
63,63,ERR2935805,GATBMiniaPipeline,963,1510,Pseudomonas_aeruginosa,0
64,64,ERR2935805,GATBMiniaPipeline,965,1003,Unmapped,0
65,65,ERR2935805,GATBMiniaPipeline,978,1945,Unmapped,0
66,66,ERR2935805,GATBMiniaPipeline,991,15982,Bacillus_subtilis,0
67,67,ERR2935805,GATBMiniaPipeline,1005,2503,Unmapped,0
68,68,ERR2935805,GATBMiniaPipeline,1009,17660,Bacillus_subtilis,0
69,69,ERR2935805,GATBMiniaPipeline,1010,20059,Bacillus_subtilis,0
70,70,ERR2935805,GATBMiniaPipeline,1018,6023,Pseudomonas_aeruginosa,0
71,71,ERR2935805,GATBMiniaPipeline,1022,1132,Unmapped,0
72,72,ERR2935805,GATBMiniaPipeline,1025,34792,Bacillus_subtilis,0
73,73,ERR2935805,GATBMiniaPipeline,1033,2527,Unmapped,0
74,74,ERR2935805,GATBMiniaPipeline,1034,3146,Pseudomonas_aeruginosa,0
75,75,ERR2935805,GATBMiniaPipeline,1053,1256,Unmapped,0
76,76,ERR2935805,GATBMiniaPipeline,1054,12544,Bacillus_subtilis,0
77,77,ERR2935805,GATBMiniaPipeline,1067,22135,Bacillus_subtilis,0
78,78,ERR2935805,GATBMiniaPipeline,1107,1113,Unmapped,0
79,79,ERR2935805,GATBMiniaPipeline,1108,18602,Bacillus_subtilis,0
80,80,ERR2935805,GATBMiniaPipeline,1117,11396,Pseudomonas_aeruginosa,0
81,81,ERR2935805,GATBMiniaPipeline,1118,34321,Pseudomonas_aeruginosa,0
82,82,ERR2935805,GATBMiniaPipeline,1149,1048,Unmapped,0
83,83,ERR2935805,GATBMiniaPipeline,1159,52043,Pseudomonas_aeruginosa,0
84,84,ERR2935805,GATBMiniaPipeline,1162,21510,Pseudomonas_aeruginosa,0
85,85,ERR2935805,GATBMiniaPipeline,1172,2615,Bacillus_subtilis,0
86,86,ERR2935805,GATBMiniaPipeline,1174,6556,Pseudomonas_aeruginosa,0
87,87,ERR2935805,GATBMiniaPipeline,1186,1373,Unmapped,0
88,88,ERR2935805,GATBMiniaPipeline,1198,23181,Bacillus_subtilis,0
89,89,ERR2935805,GATBMiniaPipeline,1209,1003,Unmapped,0
90,90,ERR2935805,GATBMiniaPipeline,1214,34365,Bacillus_subtilis,0
91,91,ERR2935805,GATBMiniaPipeline,1217,1131,Unmapped,0
92,92,ERR2935805,GATBMiniaPipeline,1228,26848,Bacillus_subtilis,0
93,93,ERR2935805,GATBMiniaPipeline,1275,1012,Unmapped,0
94,94,ERR2935805,GATBMiniaPipeline,1284,1705,Unmapped,0
95,95,ERR2935805,GATBMiniaPipeline,1308,3622,Bacillus_subtilis,0
96,96,ERR2935805,GATBMiniaPipeline,1318,2200,Bacillus_subtilis,0
97,97,ERR2935805,GATBMiniaPipeline,1324,1245,Unmapped,0
98,98,ERR2935805,GATBMiniaPipeline,1330,96372,Listeria_monocytogenes,0
99,99,ERR2935805,GATBMiniaPipeline,1331,31513,Bacillus_subtilis,0
100,100,ERR2935805,GATBMiniaPipeline,1336,2440,Pseudomonas_aeruginosa,0
101,101,ERR2935805,GATBMiniaPipeline,1338,25268,Pseudomonas_aeruginosa,0
102,102,ERR2935805,GATBMiniaPipeline,1339,15855,Bacillus_subtilis,0
103,103,ERR2935805,GATBMiniaPipeline,1340,91737,Pseudomonas_aeruginosa,0
104,104,ERR2935805,GATBMiniaPipeline,1355,30333,Pseudomonas_aeruginosa,0
105,105,ERR2935805,GATBMiniaPipeline,1356,171818,Pseudomonas_aeruginosa,0
106,106,ERR2935805,GATBMiniaPipeline,1358,30562,Listeria_monocytogenes,0
