,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,MINIA,0.0,73792
1,Bacillus_subtilis,MINIA,0.1111111111111111,52987
2,Bacillus_subtilis,MINIA,0.2222222222222222,40051
3,Bacillus_subtilis,MINIA,0.3333333333333333,33908
4,Bacillus_subtilis,MINIA,0.4444444444444444,27462
5,Bacillus_subtilis,MINIA,0.5555555555555556,22423
6,Bacillus_subtilis,MINIA,0.6666666666666666,17296
7,Bacillus_subtilis,MINIA,0.7777777777777777,12719
8,Bacillus_subtilis,MINIA,0.8888888888888888,7262
9,Bacillus_subtilis,MINIA,1.0,1026
10,Enterococcus_faecalis,MINIA,0.0,5924
11,Enterococcus_faecalis,MINIA,0.1111111111111111,5924
12,Enterococcus_faecalis,MINIA,0.2222222222222222,5924
13,Enterococcus_faecalis,MINIA,0.3333333333333333,5924
14,Enterococcus_faecalis,MINIA,0.4444444444444444,5924
15,Enterococcus_faecalis,MINIA,0.5555555555555556,5924
16,Enterococcus_faecalis,MINIA,0.6666666666666666,4571
17,Enterococcus_faecalis,MINIA,0.7777777777777777,4571
18,Enterococcus_faecalis,MINIA,0.8888888888888888,4571
19,Enterococcus_faecalis,MINIA,1.0,4571
20,Escherichia_coli_plasmid,MINIA,0.0,0
21,Escherichia_coli_plasmid,MINIA,0.1111111111111111,0
22,Escherichia_coli_plasmid,MINIA,0.2222222222222222,0
23,Escherichia_coli_plasmid,MINIA,0.3333333333333333,0
24,Escherichia_coli_plasmid,MINIA,0.4444444444444444,0
25,Escherichia_coli_plasmid,MINIA,0.5555555555555556,0
26,Escherichia_coli_plasmid,MINIA,0.6666666666666666,0
27,Escherichia_coli_plasmid,MINIA,0.7777777777777777,0
28,Escherichia_coli_plasmid,MINIA,0.8888888888888888,0
29,Escherichia_coli_plasmid,MINIA,1.0,0
30,Escherichia_coli,MINIA,0.0,0
31,Escherichia_coli,MINIA,0.1111111111111111,0
32,Escherichia_coli,MINIA,0.2222222222222222,0
33,Escherichia_coli,MINIA,0.3333333333333333,0
34,Escherichia_coli,MINIA,0.4444444444444444,0
35,Escherichia_coli,MINIA,0.5555555555555556,0
36,Escherichia_coli,MINIA,0.6666666666666666,0
37,Escherichia_coli,MINIA,0.7777777777777777,0
38,Escherichia_coli,MINIA,0.8888888888888888,0
39,Escherichia_coli,MINIA,1.0,0
40,Lactobacillus_fermentum,MINIA,0.0,0
41,Lactobacillus_fermentum,MINIA,0.1111111111111111,0
