,Reference,Assembler,NGx,Basepairs
0,Bacillus_subtilis,SKESA,0.0,372371
1,Bacillus_subtilis,SKESA,0.1111111111111111,269279
2,Bacillus_subtilis,SKESA,0.2222222222222222,263161
3,Bacillus_subtilis,SKESA,0.3333333333333333,257076
4,Bacillus_subtilis,SKESA,0.4444444444444444,212776
5,Bacillus_subtilis,SKESA,0.5555555555555556,181489
6,Bacillus_subtilis,SKESA,0.6666666666666666,145142
7,Bacillus_subtilis,SKESA,0.7777777777777777,122299
8,Bacillus_subtilis,SKESA,0.8888888888888888,70821
9,Bacillus_subtilis,SKESA,1.0,0
10,Enterococcus_faecalis,SKESA,0.0,261110
11,Enterococcus_faecalis,SKESA,0.1111111111111111,172868
12,Enterococcus_faecalis,SKESA,0.2222222222222222,129200
13,Enterococcus_faecalis,SKESA,0.3333333333333333,105141
14,Enterococcus_faecalis,SKESA,0.4444444444444444,81825
15,Enterococcus_faecalis,SKESA,0.5555555555555556,62978
16,Enterococcus_faecalis,SKESA,0.6666666666666666,41731
17,Enterococcus_faecalis,SKESA,0.7777777777777777,30357
18,Enterococcus_faecalis,SKESA,0.8888888888888888,22612
19,Enterococcus_faecalis,SKESA,1.0,0
20,Escherichia_coli_plasmid,SKESA,0.0,52927
21,Escherichia_coli_plasmid,SKESA,0.1111111111111111,52927
22,Escherichia_coli_plasmid,SKESA,0.2222222222222222,52927
23,Escherichia_coli_plasmid,SKESA,0.3333333333333333,52927
24,Escherichia_coli_plasmid,SKESA,0.4444444444444444,52927
25,Escherichia_coli_plasmid,SKESA,0.5555555555555556,28384
26,Escherichia_coli_plasmid,SKESA,0.6666666666666666,28384
27,Escherichia_coli_plasmid,SKESA,0.7777777777777777,26497
28,Escherichia_coli_plasmid,SKESA,0.8888888888888888,26497
29,Escherichia_coli_plasmid,SKESA,1.0,0
30,Escherichia_coli,SKESA,0.0,131639
31,Escherichia_coli,SKESA,0.1111111111111111,78634
32,Escherichia_coli,SKESA,0.2222222222222222,70425
33,Escherichia_coli,SKESA,0.3333333333333333,60945
34,Escherichia_coli,SKESA,0.4444444444444444,51945
35,Escherichia_coli,SKESA,0.5555555555555556,36227
36,Escherichia_coli,SKESA,0.6666666666666666,27665
37,Escherichia_coli,SKESA,0.7777777777777777,17492
38,Escherichia_coli,SKESA,0.8888888888888888,9118
39,Escherichia_coli,SKESA,1.0,0
40,Lactobacillus_fermentum,SKESA,0.0,114633
41,Lactobacillus_fermentum,SKESA,0.1111111111111111,99044
42,Lactobacillus_fermentum,SKESA,0.2222222222222222,63681
43,Lactobacillus_fermentum,SKESA,0.3333333333333333,45957
44,Lactobacillus_fermentum,SKESA,0.4444444444444444,34729
45,Lactobacillus_fermentum,SKESA,0.5555555555555556,28336
46,Lactobacillus_fermentum,SKESA,0.6666666666666666,20277
47,Lactobacillus_fermentum,SKESA,0.7777777777777777,13562
48,Lactobacillus_fermentum,SKESA,0.8888888888888888,5133
49,Lactobacillus_fermentum,SKESA,1.0,0
50,Listeria_monocytogenes,SKESA,0.0,446163
51,Listeria_monocytogenes,SKESA,0.1111111111111111,446163
52,Listeria_monocytogenes,SKESA,0.2222222222222222,385254
53,Listeria_monocytogenes,SKESA,0.3333333333333333,246737
54,Listeria_monocytogenes,SKESA,0.4444444444444444,195967
55,Listeria_monocytogenes,SKESA,0.5555555555555556,140359
56,Listeria_monocytogenes,SKESA,0.6666666666666666,116218
57,Listeria_monocytogenes,SKESA,0.7777777777777777,84641
58,Listeria_monocytogenes,SKESA,0.8888888888888888,61020
59,Listeria_monocytogenes,SKESA,1.0,0
60,Pseudomonas_aeruginosa,SKESA,0.0,335595
61,Pseudomonas_aeruginosa,SKESA,0.1111111111111111,289459
62,Pseudomonas_aeruginosa,SKESA,0.2222222222222222,210709
63,Pseudomonas_aeruginosa,SKESA,0.3333333333333333,187153
64,Pseudomonas_aeruginosa,SKESA,0.4444444444444444,122588
65,Pseudomonas_aeruginosa,SKESA,0.5555555555555556,95731
66,Pseudomonas_aeruginosa,SKESA,0.6666666666666666,84738
67,Pseudomonas_aeruginosa,SKESA,0.7777777777777777,61577
68,Pseudomonas_aeruginosa,SKESA,0.8888888888888888,34817
69,Pseudomonas_aeruginosa,SKESA,1.0,0
70,Salmonella_enterica,SKESA,0.0,173061
71,Salmonella_enterica,SKESA,0.1111111111111111,106439
72,Salmonella_enterica,SKESA,0.2222222222222222,76853
73,Salmonella_enterica,SKESA,0.3333333333333333,64331
74,Salmonella_enterica,SKESA,0.4444444444444444,51625
75,Salmonella_enterica,SKESA,0.5555555555555556,42967
76,Salmonella_enterica,SKESA,0.6666666666666666,30615
77,Salmonella_enterica,SKESA,0.7777777777777777,22512
78,Salmonella_enterica,SKESA,0.8888888888888888,10895
79,Salmonella_enterica,SKESA,1.0,0
80,Staphylococcus_aureus,SKESA,0.0,181693
