,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,Unicycler,0,0
1,Bacillus_subtilis,Unicycler,1,
2,Bacillus_subtilis,Unicycler,2,
3,Bacillus_subtilis,Unicycler,3,
4,Bacillus_subtilis,Unicycler,4,
5,Bacillus_subtilis,Unicycler,5,
6,Bacillus_subtilis,Unicycler,6,
7,Bacillus_subtilis,Unicycler,7,
8,Bacillus_subtilis,Unicycler,8,
9,Bacillus_subtilis,Unicycler,9,
10,Bacillus_subtilis,Unicycler,10,
11,Enterococcus_faecalis,Unicycler,0,0
12,Enterococcus_faecalis,Unicycler,1,
13,Enterococcus_faecalis,Unicycler,2,
14,Enterococcus_faecalis,Unicycler,3,
15,Enterococcus_faecalis,Unicycler,4,
16,Enterococcus_faecalis,Unicycler,5,
17,Enterococcus_faecalis,Unicycler,6,
18,Enterococcus_faecalis,Unicycler,7,
19,Enterococcus_faecalis,Unicycler,8,
20,Enterococcus_faecalis,Unicycler,9,
21,Enterococcus_faecalis,Unicycler,10,
22,Escherichia_coli_plasmid,Unicycler,0,0
23,Escherichia_coli_plasmid,Unicycler,1,
24,Escherichia_coli_plasmid,Unicycler,2,
25,Escherichia_coli_plasmid,Unicycler,3,
26,Escherichia_coli_plasmid,Unicycler,4,
27,Escherichia_coli_plasmid,Unicycler,5,
28,Escherichia_coli_plasmid,Unicycler,6,
29,Escherichia_coli_plasmid,Unicycler,7,
30,Escherichia_coli_plasmid,Unicycler,8,
31,Escherichia_coli_plasmid,Unicycler,9,
32,Escherichia_coli_plasmid,Unicycler,10,
33,Escherichia_coli,Unicycler,0,0
34,Escherichia_coli,Unicycler,1,
35,Escherichia_coli,Unicycler,2,
36,Escherichia_coli,Unicycler,3,
37,Escherichia_coli,Unicycler,4,
38,Escherichia_coli,Unicycler,5,
39,Escherichia_coli,Unicycler,6,
40,Escherichia_coli,Unicycler,7,
41,Escherichia_coli,Unicycler,8,
42,Escherichia_coli,Unicycler,9,
43,Escherichia_coli,Unicycler,10,
44,Lactobacillus_fermentum,Unicycler,0,0
45,Lactobacillus_fermentum,Unicycler,1,
46,Lactobacillus_fermentum,Unicycler,2,
47,Lactobacillus_fermentum,Unicycler,3,
48,Lactobacillus_fermentum,Unicycler,4,
49,Lactobacillus_fermentum,Unicycler,5,
50,Lactobacillus_fermentum,Unicycler,6,
51,Lactobacillus_fermentum,Unicycler,7,
52,Lactobacillus_fermentum,Unicycler,8,
53,Lactobacillus_fermentum,Unicycler,9,
54,Lactobacillus_fermentum,Unicycler,10,
55,Listeria_monocytogenes,Unicycler,0,0
56,Listeria_monocytogenes,Unicycler,1,
57,Listeria_monocytogenes,Unicycler,2,
58,Listeria_monocytogenes,Unicycler,3,
59,Listeria_monocytogenes,Unicycler,4,
60,Listeria_monocytogenes,Unicycler,5,
61,Listeria_monocytogenes,Unicycler,6,
62,Listeria_monocytogenes,Unicycler,7,
63,Listeria_monocytogenes,Unicycler,8,
64,Listeria_monocytogenes,Unicycler,9,
65,Listeria_monocytogenes,Unicycler,10,
66,Pseudomonas_aeruginosa,Unicycler,0,0
67,Pseudomonas_aeruginosa,Unicycler,1,40
68,Pseudomonas_aeruginosa,Unicycler,2,
69,Pseudomonas_aeruginosa,Unicycler,3,
70,Pseudomonas_aeruginosa,Unicycler,4,
71,Pseudomonas_aeruginosa,Unicycler,5,
72,Pseudomonas_aeruginosa,Unicycler,6,
73,Pseudomonas_aeruginosa,Unicycler,7,
74,Pseudomonas_aeruginosa,Unicycler,8,
75,Pseudomonas_aeruginosa,Unicycler,9,
76,Pseudomonas_aeruginosa,Unicycler,10,
77,Salmonella_enterica,Unicycler,0,0
78,Salmonella_enterica,Unicycler,1,
79,Salmonella_enterica,Unicycler,2,
80,Salmonella_enterica,Unicycler,3,
81,Salmonella_enterica,Unicycler,4,
82,Salmonella_enterica,Unicycler,5,
83,Salmonella_enterica,Unicycler,6,
84,Salmonella_enterica,Unicycler,7,
85,Salmonella_enterica,Unicycler,8,
86,Salmonella_enterica,Unicycler,9,
87,Salmonella_enterica,Unicycler,10,
88,Staphylococcus_aureus,Unicycler,0,0
89,Staphylococcus_aureus,Unicycler,1,
90,Staphylococcus_aureus,Unicycler,2,
91,Staphylococcus_aureus,Unicycler,3,
92,Staphylococcus_aureus,Unicycler,4,
93,Staphylococcus_aureus,Unicycler,5,
94,Staphylococcus_aureus,Unicycler,6,
95,Staphylococcus_aureus,Unicycler,7,
96,Staphylococcus_aureus,Unicycler,8,
97,Staphylococcus_aureus,Unicycler,9,
98,Staphylococcus_aureus,Unicycler,10,
99,Staphylococcus_aureus_plasmid1,Unicycler,0,0
100,Staphylococcus_aureus_plasmid1,Unicycler,1,
101,Staphylococcus_aureus_plasmid1,Unicycler,2,
102,Staphylococcus_aureus_plasmid1,Unicycler,3,
103,Staphylococcus_aureus_plasmid1,Unicycler,4,
104,Staphylococcus_aureus_plasmid1,Unicycler,5,
105,Staphylococcus_aureus_plasmid1,Unicycler,6,
106,Staphylococcus_aureus_plasmid1,Unicycler,7,
107,Staphylococcus_aureus_plasmid1,Unicycler,8,
108,Staphylococcus_aureus_plasmid1,Unicycler,9,
109,Staphylococcus_aureus_plasmid1,Unicycler,10,
110,Staphylococcus_aureus_plasmid2,Unicycler,0,0
111,Staphylococcus_aureus_plasmid2,Unicycler,1,
112,Staphylococcus_aureus_plasmid2,Unicycler,2,
113,Staphylococcus_aureus_plasmid2,Unicycler,3,
114,Staphylococcus_aureus_plasmid2,Unicycler,4,
115,Staphylococcus_aureus_plasmid2,Unicycler,5,
116,Staphylococcus_aureus_plasmid2,Unicycler,6,
117,Staphylococcus_aureus_plasmid2,Unicycler,7,
118,Staphylococcus_aureus_plasmid2,Unicycler,8,
119,Staphylococcus_aureus_plasmid2,Unicycler,9,
120,Staphylococcus_aureus_plasmid2,Unicycler,10,
121,Staphylococcus_aureus_plasmid3,Unicycler,0,0
122,Staphylococcus_aureus_plasmid3,Unicycler,1,
123,Staphylococcus_aureus_plasmid3,Unicycler,2,
124,Staphylococcus_aureus_plasmid3,Unicycler,3,
125,Staphylococcus_aureus_plasmid3,Unicycler,4,
126,Staphylococcus_aureus_plasmid3,Unicycler,5,
127,Staphylococcus_aureus_plasmid3,Unicycler,6,
128,Staphylococcus_aureus_plasmid3,Unicycler,7,
129,Staphylococcus_aureus_plasmid3,Unicycler,8,
130,Staphylococcus_aureus_plasmid3,Unicycler,9,
131,Staphylococcus_aureus_plasmid3,Unicycler,10,
