,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,Unicycler,Bacillus_subtilis,3,768346,60
1,Unicycler,Bacillus_subtilis,11,428897,56.323530085049605
2,Unicycler,Bacillus_subtilis,22,343053,60
3,Unicycler,Bacillus_subtilis,24,324878,60
4,Unicycler,Bacillus_subtilis,25,314937,60
5,Unicycler,Bacillus_subtilis,28,294290,60
6,Unicycler,Bacillus_subtilis,30,263166,60
7,Unicycler,Bacillus_subtilis,31,257087,60
8,Unicycler,Bacillus_subtilis,34,252455,60
9,Unicycler,Bacillus_subtilis,50,209025,34.11713213226387
10,Unicycler,Bacillus_subtilis,73,137209,60
11,Unicycler,Bacillus_subtilis,80,122304,60
12,Unicycler,Bacillus_subtilis,126,59631,60
13,Unicycler,Bacillus_subtilis,128,55137,60
14,Unicycler,Bacillus_subtilis,145,38260,60
15,Unicycler,Bacillus_subtilis,148,37699,60
16,Unicycler,Bacillus_subtilis,165,29593,60
17,Unicycler,Bacillus_subtilis,179,23137,60
18,Unicycler,Bacillus_subtilis,198,15446,60
19,Unicycler,Bacillus_subtilis,305,1361,60
20,Unicycler,Enterococcus_faecalis,4,668011,49.79685573959816
21,Unicycler,Enterococcus_faecalis,14,383557,55.83829913124723
22,Unicycler,Enterococcus_faecalis,16,377104,60
23,Unicycler,Enterococcus_faecalis,38,238501,60
24,Unicycler,Enterococcus_faecalis,39,234974,60
25,Unicycler,Enterococcus_faecalis,47,214501,60
26,Unicycler,Enterococcus_faecalis,52,199433,60
27,Unicycler,Enterococcus_faecalis,62,170792,60
28,Unicycler,Enterococcus_faecalis,93,105394,60
29,Unicycler,Enterococcus_faecalis,108,86023,60
30,Unicycler,Enterococcus_faecalis,155,35550,60
31,Unicycler,Enterococcus_faecalis,163,30475,60
32,Unicycler,Enterococcus_faecalis,166,29107,60
33,Unicycler,Enterococcus_faecalis,273,2056,60
34,Unicycler,Enterococcus_faecalis,295,1514,60
35,Unicycler,Enterococcus_faecalis,311,1315,60
36,Unicycler,Enterococcus_faecalis,313,1295,60
37,Unicycler,Enterococcus_faecalis,322,1124,60
38,Unicycler,Enterococcus_faecalis,323,1110,60
39,Unicycler,Enterococcus_faecalis,330,1048,60
40,Unicycler,Escherichia_coli,6,557883,36.359534173439464
41,Unicycler,Escherichia_coli,18,358333,28.905858801472636
