,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EHS,VelvetOptimizer,NODE_12_length_21524_cov_33.945412,21554,Bacillus_subtilis,0
1,1,EHS,VelvetOptimizer,NODE_15_length_243400_cov_33.860027,243430,Bacillus_subtilis,0
2,2,EHS,VelvetOptimizer,NODE_32_length_171941_cov_33.948750,171971,Bacillus_subtilis,0
3,3,EHS,VelvetOptimizer,NODE_47_length_71630_cov_33.878948,71660,Bacillus_subtilis,0
4,4,EHS,VelvetOptimizer,NODE_65_length_98636_cov_33.890800,98666,Bacillus_subtilis,0
5,5,EHS,VelvetOptimizer,NODE_66_length_55153_cov_33.307163,55183,Bacillus_subtilis,0
6,6,EHS,VelvetOptimizer,NODE_67_length_56992_cov_34.268337,57022,Bacillus_subtilis,0
7,7,EHS,VelvetOptimizer,NODE_68_length_92777_cov_33.721699,92807,Bacillus_subtilis,0
8,8,EHS,VelvetOptimizer,NODE_69_length_99670_cov_33.944416,99700,Bacillus_subtilis,0
9,9,EHS,VelvetOptimizer,NODE_73_length_78664_cov_33.855549,78694,Bacillus_subtilis,0
10,10,EHS,VelvetOptimizer,NODE_74_length_100639_cov_33.987640,100669,Bacillus_subtilis,0
11,11,EHS,VelvetOptimizer,NODE_75_length_7510_cov_33.495605,7540,Bacillus_subtilis,0
12,12,EHS,VelvetOptimizer,NODE_76_length_25608_cov_33.198063,25638,Bacillus_subtilis,0
13,13,EHS,VelvetOptimizer,NODE_77_length_77327_cov_33.609386,77357,Bacillus_subtilis,0
14,14,EHS,VelvetOptimizer,NODE_78_length_17030_cov_33.546623,17060,Bacillus_subtilis,0
15,15,EHS,VelvetOptimizer,NODE_79_length_47868_cov_34.583229,47898,Bacillus_subtilis,0
16,16,EHS,VelvetOptimizer,NODE_86_length_76514_cov_34.255508,76544,Bacillus_subtilis,0
17,17,EHS,VelvetOptimizer,NODE_87_length_72404_cov_34.284348,72434,Bacillus_subtilis,0
18,18,EHS,VelvetOptimizer,NODE_100_length_16601_cov_34.755196,16631,Bacillus_subtilis,0
19,19,EHS,VelvetOptimizer,NODE_101_length_54092_cov_33.841011,54122,Bacillus_subtilis,0
20,20,EHS,VelvetOptimizer,NODE_102_length_22650_cov_33.480133,22680,Bacillus_subtilis,0
21,21,EHS,VelvetOptimizer,NODE_103_length_23048_cov_33.840855,23078,Bacillus_subtilis,0
22,22,EHS,VelvetOptimizer,NODE_104_length_73730_cov_33.861469,73760,Bacillus_subtilis,0
23,23,EHS,VelvetOptimizer,NODE_105_length_38362_cov_33.409859,38392,Bacillus_subtilis,0
24,24,EHS,VelvetOptimizer,NODE_111_length_15733_cov_34.412128,15763,Bacillus_subtilis,0
25,25,EHS,VelvetOptimizer,NODE_112_length_29119_cov_33.985989,29149,Bacillus_subtilis,0
26,26,EHS,VelvetOptimizer,NODE_119_length_69884_cov_33.982613,69914,Bacillus_subtilis,0
27,27,EHS,VelvetOptimizer,NODE_120_length_68979_cov_33.663914,69009,Bacillus_subtilis,0
