,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2984773,MEGAHIT,k141_0,1472,Unmapped,0
1,1,ERR2984773,MEGAHIT,k141_10368,1134,Unmapped,0
2,2,ERR2984773,MEGAHIT,k141_12961,1030,Unmapped,0
3,3,ERR2984773,MEGAHIT,k141_7791,1407,Unmapped,0
4,4,ERR2984773,MEGAHIT,k141_12973,1269,Unmapped,0
5,5,ERR2984773,MEGAHIT,k141_18158,3019,Salmonella_enterica,0
6,6,ERR2984773,MEGAHIT,k141_12974,1250,Unmapped,0
7,7,ERR2984773,MEGAHIT,k141_18161,1289,Salmonella_enterica,0
8,8,ERR2984773,MEGAHIT,k141_18166,1147,Unmapped,0
9,9,ERR2984773,MEGAHIT,k141_23,6079,Unmapped,0
10,10,ERR2984773,MEGAHIT,k141_2625,1465,Unmapped,0
11,11,ERR2984773,MEGAHIT,k141_15573,8449,Staphylococcus_aureus,0
12,12,ERR2984773,MEGAHIT,k141_7813,1193,Unmapped,0
13,13,ERR2984773,MEGAHIT,k141_2626,2325,Unmapped,0
14,14,ERR2984773,MEGAHIT,k141_15577,1920,Staphylococcus_aureus,0
15,15,ERR2984773,MEGAHIT,k141_35,1222,Unmapped,0
16,16,ERR2984773,MEGAHIT,k141_10406,2755,Lactobacillus_fermentum,0
17,17,ERR2984773,MEGAHIT,k141_2635,1153,Unmapped,0
18,18,ERR2984773,MEGAHIT,k141_47,1091,Unmapped,0
19,19,ERR2984773,MEGAHIT,k141_2643,1376,Unmapped,0
20,20,ERR2984773,MEGAHIT,k141_15602,1021,Unmapped,0
21,21,ERR2984773,MEGAHIT,k141_2646,1162,Staphylococcus_aureus,0
22,22,ERR2984773,MEGAHIT,k141_52,5933,Unmapped,0
23,23,ERR2984773,MEGAHIT,k141_54,1267,Unmapped,0
24,24,ERR2984773,MEGAHIT,k141_58,1108,Unmapped,0
25,25,ERR2984773,MEGAHIT,k141_18222,1326,Unmapped,0
26,26,ERR2984773,MEGAHIT,k141_15627,1323,Unmapped,0
27,27,ERR2984773,MEGAHIT,k141_18226,1475,Unmapped,0
28,28,ERR2984773,MEGAHIT,k141_10450,1070,Unmapped,0
29,29,ERR2984773,MEGAHIT,k141_68,4788,Salmonella_enterica,0
30,30,ERR2984773,MEGAHIT,k141_10460,1602,Unmapped,0
31,31,ERR2984773,MEGAHIT,k141_18254,1160,Unmapped,0
32,32,ERR2984773,MEGAHIT,k141_13011,37192,Escherichia_coli,0
33,33,ERR2984773,MEGAHIT,k141_110,4645,Escherichia_coli,0
34,34,ERR2984773,MEGAHIT,k141_121,1088,Unmapped,0
35,35,ERR2984773,MEGAHIT,k141_13023,1945,Unmapped,0
36,36,ERR2984773,MEGAHIT,k141_2664,32821,Unmapped,0
37,37,ERR2984773,MEGAHIT,k141_152,1059,Unmapped,0
38,38,ERR2984773,MEGAHIT,k141_2679,1738,Unmapped,0
39,39,ERR2984773,MEGAHIT,k141_13075,1540,Unmapped,0
40,40,ERR2984773,MEGAHIT,k141_13077,1100,Unmapped,0
41,41,ERR2984773,MEGAHIT,k141_178,2990,Salmonella_enterica,0
42,42,ERR2984773,MEGAHIT,k141_13089,1997,Unmapped,0
43,43,ERR2984773,MEGAHIT,k141_13091,5600,Staphylococcus_aureus,0
44,44,ERR2984773,MEGAHIT,k141_13099,1222,Unmapped,0
45,45,ERR2984773,MEGAHIT,k141_226,3051,Unmapped,0
46,46,ERR2984773,MEGAHIT,k141_10471,49651,Salmonella_enterica,0
47,47,ERR2984773,MEGAHIT,k141_230,1196,Pseudomonas_aeruginosa,0
48,48,ERR2984773,MEGAHIT,k141_234,1147,Unmapped,0
49,49,ERR2984773,MEGAHIT,k141_13130,1297,Unmapped,0
50,50,ERR2984773,MEGAHIT,k141_236,1522,Unmapped,0
51,51,ERR2984773,MEGAHIT,k141_5188,114979,Escherichia_coli,0
52,52,ERR2984773,MEGAHIT,k141_13137,2455,Salmonella_enterica,0
53,53,ERR2984773,MEGAHIT,k141_5189,1547,Unmapped,0
54,54,ERR2984773,MEGAHIT,k141_10497,2449,Unmapped,0
55,55,ERR2984773,MEGAHIT,k141_5222,1446,Bacillus_subtilis,0
56,56,ERR2984773,MEGAHIT,k141_5222,1446,Bacillus_subtilis,0
57,57,ERR2984773,MEGAHIT,k141_10505,3277,Escherichia_coli,0
58,58,ERR2984773,MEGAHIT,k141_18259,82826,Salmonella_enterica,0
59,59,ERR2984773,MEGAHIT,k141_13186,1192,Unmapped,0
60,60,ERR2984773,MEGAHIT,k141_5259,1413,Unmapped,0
61,61,ERR2984773,MEGAHIT,k141_5269,1613,Unmapped,0
62,62,ERR2984773,MEGAHIT,k141_13205,11747,Salmonella_enterica,0
63,63,ERR2984773,MEGAHIT,k141_286,23182,Salmonella_enterica,0
64,64,ERR2984773,MEGAHIT,k141_13207,1292,Unmapped,0
65,65,ERR2984773,MEGAHIT,k141_13208,1186,Unmapped,0
66,66,ERR2984773,MEGAHIT,k141_291,2644,Enterococcus_faecalis,0
67,67,ERR2984773,MEGAHIT,k141_13213,1185,Unmapped,0
68,68,ERR2984773,MEGAHIT,k141_18282,38341,Escherichia_coli,0
69,69,ERR2984773,MEGAHIT,k141_18283,1086,Unmapped,0
70,70,ERR2984773,MEGAHIT,k141_18290,1278,Unmapped,0
71,71,ERR2984773,MEGAHIT,k141_18300,1205,Unmapped,0
72,72,ERR2984773,MEGAHIT,k141_5273,41780,Lactobacillus_fermentum,0
73,73,ERR2984773,MEGAHIT,k141_314,29199,Lactobacillus_fermentum,0
74,74,ERR2984773,MEGAHIT,k141_319,1152,Unmapped,0
75,75,ERR2984773,MEGAHIT,k141_322,1114,Unmapped,0
76,76,ERR2984773,MEGAHIT,k141_5286,1409,Unmapped,0
77,77,ERR2984773,MEGAHIT,k141_5308,1138,Unmapped,0
78,78,ERR2984773,MEGAHIT,k141_329,17097,Escherichia_coli,0
79,79,ERR2984773,MEGAHIT,k141_351,1451,Unmapped,0
80,80,ERR2984773,MEGAHIT,k141_364,1050,Unmapped,0
81,81,ERR2984773,MEGAHIT,k141_374,2044,Unmapped,0
82,82,ERR2984773,MEGAHIT,k141_15634,207647,Listeria_monocytogenes,0
83,83,ERR2984773,MEGAHIT,k141_13226,74032,Salmonella_enterica,0
84,84,ERR2984773,MEGAHIT,k141_13226,74032,Salmonella_enterica,0
85,85,ERR2984773,MEGAHIT,k141_15639,1286,Lactobacillus_fermentum,0
86,86,ERR2984773,MEGAHIT,k141_395,1660,Unmapped,0
87,87,ERR2984773,MEGAHIT,k141_5325,34456,Staphylococcus_aureus,0
88,88,ERR2984773,MEGAHIT,k141_2682,138516,Escherichia_coli,0
89,89,ERR2984773,MEGAHIT,k141_5326,1230,Unmapped,0
90,90,ERR2984773,MEGAHIT,k141_5334,1592,Unmapped,0
