,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,BCALM2,Bacillus_subtilis,1929,1871,60
1,BCALM2,Bacillus_subtilis,2251,3196,60
2,BCALM2,Bacillus_subtilis,2971,14188,60
3,BCALM2,Bacillus_subtilis,2993,9471,60
4,BCALM2,Bacillus_subtilis,3087,1421,60
5,BCALM2,Bacillus_subtilis,3347,1365,60
6,BCALM2,Bacillus_subtilis,3705,7627,60
7,BCALM2,Bacillus_subtilis,3764,42233,60
8,BCALM2,Bacillus_subtilis,3811,50557,60
9,BCALM2,Bacillus_subtilis,4008,3030,60
10,BCALM2,Bacillus_subtilis,4361,5217,60
11,BCALM2,Bacillus_subtilis,4372,17278,60
12,BCALM2,Bacillus_subtilis,4683,30961,60
13,BCALM2,Bacillus_subtilis,5187,5449,60
14,BCALM2,Bacillus_subtilis,5237,3399,60
15,BCALM2,Bacillus_subtilis,5279,1188,60
16,BCALM2,Bacillus_subtilis,5604,12823,60
17,BCALM2,Bacillus_subtilis,5814,3629,60
18,BCALM2,Bacillus_subtilis,6045,21268,60
19,BCALM2,Bacillus_subtilis,6682,88534,60
20,BCALM2,Bacillus_subtilis,6759,7798,60
21,BCALM2,Bacillus_subtilis,6824,30760,60
22,BCALM2,Bacillus_subtilis,6842,3580,60
23,BCALM2,Bacillus_subtilis,7026,17594,60
24,BCALM2,Bacillus_subtilis,7379,32498,60
25,BCALM2,Bacillus_subtilis,7394,105731,60
26,BCALM2,Bacillus_subtilis,7669,12029,60
27,BCALM2,Bacillus_subtilis,7846,29149,60
28,BCALM2,Bacillus_subtilis,7877,52841,60
29,BCALM2,Bacillus_subtilis,8862,12284,60
30,BCALM2,Bacillus_subtilis,8986,6012,60
31,BCALM2,Bacillus_subtilis,9130,3532,60
32,BCALM2,Bacillus_subtilis,9554,6941,60
33,BCALM2,Bacillus_subtilis,10588,2963,60
34,BCALM2,Bacillus_subtilis,10742,5861,60
35,BCALM2,Bacillus_subtilis,10785,11421,60
36,BCALM2,Bacillus_subtilis,11249,3374,60
37,BCALM2,Bacillus_subtilis,11512,34762,60
38,BCALM2,Bacillus_subtilis,11886,5948,60
39,BCALM2,Bacillus_subtilis,12500,22993,60
40,BCALM2,Bacillus_subtilis,12585,18925,60
41,BCALM2,Bacillus_subtilis,12664,10318,60
42,BCALM2,Bacillus_subtilis,12794,12406,60
43,BCALM2,Bacillus_subtilis,12848,28526,60
44,BCALM2,Bacillus_subtilis,12930,20236,60
45,BCALM2,Bacillus_subtilis,13011,13004,60
46,BCALM2,Bacillus_subtilis,13107,1655,60
47,BCALM2,Bacillus_subtilis,13140,2362,60
48,BCALM2,Bacillus_subtilis,13447,18863,60
49,BCALM2,Bacillus_subtilis,13475,93465,60
50,BCALM2,Bacillus_subtilis,13713,21060,60
51,BCALM2,Bacillus_subtilis,13817,34464,60
52,BCALM2,Bacillus_subtilis,14244,4233,60
53,BCALM2,Bacillus_subtilis,14323,9931,60
54,BCALM2,Bacillus_subtilis,14658,18819,60
55,BCALM2,Bacillus_subtilis,14754,49311,60
56,BCALM2,Bacillus_subtilis,15283,6201,60
57,BCALM2,Bacillus_subtilis,15317,2068,60
58,BCALM2,Bacillus_subtilis,16147,11197,60
59,BCALM2,Bacillus_subtilis,16433,35599,60
60,BCALM2,Bacillus_subtilis,16459,32673,60
61,BCALM2,Bacillus_subtilis,16576,24145,60
62,BCALM2,Bacillus_subtilis,16630,56828,60
63,BCALM2,Bacillus_subtilis,16739,24144,60
64,BCALM2,Bacillus_subtilis,16991,13018,60
65,BCALM2,Bacillus_subtilis,17478,6998,60
66,BCALM2,Bacillus_subtilis,17582,43453,60
67,BCALM2,Bacillus_subtilis,17602,14541,60
68,BCALM2,Bacillus_subtilis,17650,17509,60
69,BCALM2,Bacillus_subtilis,17795,11489,60
70,BCALM2,Bacillus_subtilis,17843,2089,60
71,BCALM2,Bacillus_subtilis,18040,34596,60
72,BCALM2,Bacillus_subtilis,18355,24395,60
73,BCALM2,Bacillus_subtilis,18542,22601,60
74,BCALM2,Bacillus_subtilis,18568,3420,60
75,BCALM2,Bacillus_subtilis,18707,11059,60
76,BCALM2,Bacillus_subtilis,18723,34627,60
77,BCALM2,Bacillus_subtilis,19216,1479,60
78,BCALM2,Bacillus_subtilis,19312,48248,60
79,BCALM2,Bacillus_subtilis,19372,10208,60
80,BCALM2,Bacillus_subtilis,19478,31076,60
81,BCALM2,Bacillus_subtilis,19522,6570,60
82,BCALM2,Bacillus_subtilis,19690,11552,60
83,BCALM2,Bacillus_subtilis,20112,32478,60
84,BCALM2,Bacillus_subtilis,20218,4326,60
85,BCALM2,Bacillus_subtilis,21111,14173,60
86,BCALM2,Bacillus_subtilis,21266,12248,60
87,BCALM2,Bacillus_subtilis,21319,2021,60
88,BCALM2,Bacillus_subtilis,21530,22470,60
89,BCALM2,Bacillus_subtilis,21793,5924,60
90,BCALM2,Bacillus_subtilis,21865,41223,60
91,BCALM2,Bacillus_subtilis,21866,70199,60
92,BCALM2,Bacillus_subtilis,21926,1140,60
93,BCALM2,Bacillus_subtilis,21980,4130,60
94,BCALM2,Bacillus_subtilis,22267,7661,60
95,BCALM2,Bacillus_subtilis,22281,40124,60
96,BCALM2,Bacillus_subtilis,22869,23468,60
97,BCALM2,Bacillus_subtilis,22933,9118,60
98,BCALM2,Bacillus_subtilis,23402,14962,60
99,BCALM2,Bacillus_subtilis,23422,40051,60
100,BCALM2,Bacillus_subtilis,23610,18959,60
101,BCALM2,Bacillus_subtilis,23690,22960,60
102,BCALM2,Bacillus_subtilis,23916,4602,60
103,BCALM2,Bacillus_subtilis,24110,26474,60
104,BCALM2,Bacillus_subtilis,24277,7506,60
105,BCALM2,Bacillus_subtilis,24399,9592,60
106,BCALM2,Bacillus_subtilis,24520,9106,60
107,BCALM2,Bacillus_subtilis,25107,11899,60
108,BCALM2,Bacillus_subtilis,25133,90347,60
109,BCALM2,Bacillus_subtilis,25401,10224,60
110,BCALM2,Bacillus_subtilis,25491,6263,60
111,BCALM2,Bacillus_subtilis,25524,9423,60
112,BCALM2,Bacillus_subtilis,25663,2600,60
113,BCALM2,Bacillus_subtilis,25881,1034,60
114,BCALM2,Bacillus_subtilis,25926,3790,60
115,BCALM2,Bacillus_subtilis,25958,2172,60
116,BCALM2,Bacillus_subtilis,26630,30939,60
117,BCALM2,Bacillus_subtilis,26764,11583,60
118,BCALM2,Bacillus_subtilis,26874,3438,60
119,BCALM2,Bacillus_subtilis,26905,13381,60
120,BCALM2,Bacillus_subtilis,27416,18110,60
121,BCALM2,Bacillus_subtilis,27546,25644,60
122,BCALM2,Bacillus_subtilis,27733,42788,60
123,BCALM2,Bacillus_subtilis,28241,36725,60
124,BCALM2,Bacillus_subtilis,28252,1509,60
125,BCALM2,Bacillus_subtilis,28382,20588,60
126,BCALM2,Bacillus_subtilis,28716,22810,60
127,BCALM2,Bacillus_subtilis,28749,27961,60
128,BCALM2,Bacillus_subtilis,28814,8130,60
129,BCALM2,Bacillus_subtilis,28872,26375,60
130,BCALM2,Bacillus_subtilis,29022,51569,60
131,BCALM2,Bacillus_subtilis,29122,17249,60
132,BCALM2,Bacillus_subtilis,29568,17522,60
133,BCALM2,Bacillus_subtilis,29942,8841,60
134,BCALM2,Bacillus_subtilis,30180,4106,60
135,BCALM2,Bacillus_subtilis,30698,2505,60
136,BCALM2,Bacillus_subtilis,30710,11395,60
137,BCALM2,Bacillus_subtilis,30801,40701,60
138,BCALM2,Bacillus_subtilis,30809,72721,60
