,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,VelvetOptimiser,Bacillus_subtilis,NODE_3_length_2784_cov_13.439655,2806,60
1,VelvetOptimiser,Bacillus_subtilis,NODE_6_length_1427_cov_15.274001,1449,60
2,VelvetOptimiser,Bacillus_subtilis,NODE_7_length_3155_cov_11.840887,3177,32.00987219163176
3,VelvetOptimiser,Bacillus_subtilis,NODE_8_length_2041_cov_16.046057,2063,60
4,VelvetOptimiser,Bacillus_subtilis,NODE_10_length_2706_cov_14.483370,2728,60
5,VelvetOptimiser,Bacillus_subtilis,NODE_13_length_3860_cov_11.747150,3882,32.88025535388372
6,VelvetOptimiser,Bacillus_subtilis,NODE_15_length_1209_cov_13.553349,1231,60
7,VelvetOptimiser,Bacillus_subtilis,NODE_19_length_1025_cov_10.712195,1047,60
8,VelvetOptimiser,Bacillus_subtilis,NODE_23_length_1799_cov_13.121735,1821,60
9,VelvetOptimiser,Bacillus_subtilis,NODE_38_length_2932_cov_15.422919,2954,60
10,VelvetOptimiser,Bacillus_subtilis,NODE_39_length_8901_cov_12.639254,8923,60
11,VelvetOptimiser,Bacillus_subtilis,NODE_41_length_4340_cov_13.589862,4362,36.39685661242764
12,VelvetOptimiser,Bacillus_subtilis,NODE_47_length_2840_cov_14.700705,2862,60
13,VelvetOptimiser,Bacillus_subtilis,NODE_51_length_17886_cov_12.760483,17908,39.520170900473346
14,VelvetOptimiser,Bacillus_subtilis,NODE_52_length_3297_cov_13.208371,3319,60
15,VelvetOptimiser,Bacillus_subtilis,NODE_53_length_3853_cov_13.840124,3875,32.872417111783506
16,VelvetOptimiser,Bacillus_subtilis,NODE_56_length_2891_cov_13.222414,2913,60
17,VelvetOptimiser,Bacillus_subtilis,NODE_57_length_1502_cov_14.107856,1524,27.0586371228392
18,VelvetOptimiser,Bacillus_subtilis,NODE_59_length_5978_cov_12.949481,6000,60
19,VelvetOptimiser,Bacillus_subtilis,NODE_60_length_2751_cov_11.070156,2773,60
20,VelvetOptimiser,Bacillus_subtilis,NODE_61_length_6433_cov_13.703715,6455,60
21,VelvetOptimiser,Bacillus_subtilis,NODE_62_length_2805_cov_14.639572,2827,60
22,VelvetOptimiser,Bacillus_subtilis,NODE_63_length_3749_cov_12.978928,3771,60
23,VelvetOptimiser,Bacillus_subtilis,NODE_67_length_2772_cov_12.034632,2794,60
24,VelvetOptimiser,Bacillus_subtilis,NODE_68_length_3269_cov_13.698991,3291,60
25,VelvetOptimiser,Bacillus_subtilis,NODE_69_length_5705_cov_12.148291,5727,60
