,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,78513,78523
1,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,194313,194318
2,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,209138,210146
3,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,233586,234505
4,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,549205,549378
5,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,692873,693182
6,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,801905,806567
7,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,1059827,1060745
8,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,1211811,1211827
9,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,1588751,1588762
10,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,1671505,1672516
11,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,1710835,1716373
12,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,1754969,1755972
13,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,2019339,2020357
14,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,2289129,2289133
15,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,2659924,2659934
16,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,2736960,2736963
17,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,2788999,2793800
18,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,2809526,2814412
19,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,2869263,2874492
20,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,2875845,2880414
21,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,2940323,2942402
22,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,2944042,2955670
23,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,3078240,3079254
24,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,3163070,3163646
25,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,3173834,3174410
26,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,3404493,3408969
27,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,3438983,3439989
28,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,3698755,3702115
29,LNN,MEGAHIT,Bacillus_subtilis,4045677.0,3892618,3892630
30,LNN,MEGAHIT,Escherichia_coli,4765434.0,412339,1241080
31,LNN,MEGAHIT,Escherichia_coli,4765434.0,1242240,1807673
32,LNN,MEGAHIT,Escherichia_coli,4765434.0,1808691,2055804
33,LNN,MEGAHIT,Escherichia_coli,4765434.0,2056796,2097538
34,LNN,MEGAHIT,Escherichia_coli,4765434.0,2098580,2116439
35,LNN,MEGAHIT,Escherichia_coli,4765434.0,2117473,2638262
36,LNN,MEGAHIT,Escherichia_coli,4765434.0,2639337,4044574
37,LNN,MEGAHIT,Escherichia_coli,4765434.0,4045797,4592023
38,LNN,MEGAHIT,Lactobacillus_fermentum,1905333.0,621896,1698517
39,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,1082937,1082974
40,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,1086850,1087967
41,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,1228586,1229345
42,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,1366540,1377370
43,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,1414510,1414770
44,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,1610339,1613851
45,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,2158641,2164395
46,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,2498451,2498891
47,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,2501387,2502440
48,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,2757152,2762023
49,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,2861832,2863583
50,LNN,MEGAHIT,Listeria_monocytogenes,2992342.0,2992340,2992342
51,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,36789,37435
52,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,332197,332974
53,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,421279,426740
54,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,446564,447443
55,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,500663,501287
56,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,577860,578182
57,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,754508,755695
58,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,945951,946533
59,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,1167391,1168685
60,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,1711105,1712005
61,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,1893791,1894848
62,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2233963,2234918
63,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2430553,2430795
64,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2687548,2687870
65,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2714835,2717236
66,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2718610,2720188
67,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2724379,2727820
68,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2735130,2735269
69,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2758759,2759298
70,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2835546,2836811
71,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2846840,2847942
72,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2849540,2849925
73,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,2852724,2854729
74,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,3136815,3138335
75,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,3343079,3343726
76,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,3423951,3424194
77,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,3425930,3429027
78,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,3547987,3553896
79,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,3978932,3979329
80,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,4829777,4830553
81,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,4892413,4897890
82,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,4936190,4936469
83,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,4942199,4942478
84,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,5201512,5202094
85,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,5396368,5398037
86,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,5454303,5458796
87,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,5484590,5490067
88,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,5609291,5610084
89,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,6080380,6080419
90,LNN,MEGAHIT,Pseudomonas_aeruginosa,6792330.0,6331976,6332515
91,LNN,MEGAHIT,Salmonella_enterica,4759746.0,2501051,2591226
92,LNN,MEGAHIT,Salmonella_enterica,4759746.0,2592259,2726619
93,LNN,MEGAHIT,Salmonella_enterica,4759746.0,2728045,3154873
94,LNN,MEGAHIT,Salmonella_enterica,4759746.0,3155899,3363854
95,LNN,MEGAHIT,Salmonella_enterica,4759746.0,3364928,3425051
96,LNN,MEGAHIT,Salmonella_enterica,4759746.0,3426349,4680298
