,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LHS,SPAdes,NODE_1_length_847495_cov_84.514209,847495,Pseudomonas_aeruginosa,0
1,1,LHS,SPAdes,NODE_2_length_824388_cov_214.986351,824388,Staphylococcus_aureus,0
2,2,LHS,SPAdes,NODE_3_length_768102_cov_86.674469,768102,Bacillus_subtilis,0
3,3,LHS,SPAdes,NODE_4_length_638177_cov_183.426879,638177,Enterococcus_faecalis,0
4,4,LHS,SPAdes,NODE_5_length_632189_cov_39.818561,632189,Listeria_monocytogenes,0
5,5,LHS,SPAdes,NODE_6_length_575719_cov_88.322643,575719,Bacillus_subtilis,0
6,6,LHS,SPAdes,NODE_7_length_537805_cov_39.852854,537805,Listeria_monocytogenes,0
7,7,LHS,SPAdes,NODE_8_length_517110_cov_84.573680,517110,Pseudomonas_aeruginosa,0
8,8,LHS,SPAdes,NODE_9_length_474704_cov_39.900227,474704,Listeria_monocytogenes,0
9,9,LHS,SPAdes,NODE_10_length_465075_cov_84.296407,465075,Pseudomonas_aeruginosa,0
10,10,LHS,SPAdes,NODE_11_length_424776_cov_84.987024,424776,Pseudomonas_aeruginosa,0
11,11,LHS,SPAdes,NODE_12_length_411251_cov_85.275163,411251,Pseudomonas_aeruginosa,0
12,12,LHS,SPAdes,NODE_13_length_366246_cov_50.614048,366246,Salmonella_enterica,0
13,13,LHS,SPAdes,NODE_14_length_335548_cov_84.803298,335548,Pseudomonas_aeruginosa,0
14,14,LHS,SPAdes,NODE_15_length_331185_cov_84.773210,331185,Pseudomonas_aeruginosa,0
15,15,LHS,SPAdes,NODE_16_length_324776_cov_87.664032,324776,Bacillus_subtilis,0
16,16,LHS,SPAdes,NODE_17_length_315456_cov_219.191635,315456,Staphylococcus_aureus,0
17,17,LHS,SPAdes,NODE_18_length_315046_cov_86.848066,315046,Bacillus_subtilis,0
18,18,LHS,SPAdes,NODE_19_length_310929_cov_87.016473,310929,Pseudomonas_aeruginosa,0
19,19,LHS,SPAdes,NODE_20_length_309570_cov_183.807250,309570,Enterococcus_faecalis,0
20,20,LHS,SPAdes,NODE_21_length_304416_cov_50.531077,304416,Salmonella_enterica,0
21,21,LHS,SPAdes,NODE_22_length_294377_cov_86.435717,294377,Bacillus_subtilis,0
22,22,LHS,SPAdes,NODE_23_length_283869_cov_84.763197,283869,Pseudomonas_aeruginosa,0
23,23,LHS,SPAdes,NODE_24_length_282982_cov_184.578852,282982,Enterococcus_faecalis,0
24,24,LHS,SPAdes,NODE_25_length_271914_cov_87.117267,271914,Bacillus_subtilis,0
25,25,LHS,SPAdes,NODE_26_length_263195_cov_87.121540,263195,Bacillus_subtilis,0
26,26,LHS,SPAdes,NODE_27_length_262034_cov_85.353990,262034,Pseudomonas_aeruginosa,0
27,27,LHS,SPAdes,NODE_28_length_260499_cov_84.874687,260499,Pseudomonas_aeruginosa,0
28,28,LHS,SPAdes,NODE_29_length_256975_cov_86.999194,256975,Bacillus_subtilis,0
29,29,LHS,SPAdes,NODE_30_length_254541_cov_39.825755,254541,Listeria_monocytogenes,0
30,30,LHS,SPAdes,NODE_31_length_253702_cov_85.355210,253702,Pseudomonas_aeruginosa,0
31,31,LHS,SPAdes,NODE_32_length_252297_cov_86.562226,252297,Bacillus_subtilis,0
32,32,LHS,SPAdes,NODE_33_length_239161_cov_84.933239,239161,Pseudomonas_aeruginosa,0
33,33,LHS,SPAdes,NODE_34_length_225227_cov_50.673010,225227,Salmonella_enterica,0
34,34,LHS,SPAdes,NODE_35_length_224577_cov_214.056017,224577,Staphylococcus_aureus,0
35,35,LHS,SPAdes,NODE_36_length_212906_cov_215.021062,212906,Staphylococcus_aureus,0
36,36,LHS,SPAdes,NODE_37_length_210948_cov_50.640747,210948,Salmonella_enterica,0
37,37,LHS,SPAdes,NODE_38_length_200910_cov_91.255443,200910,Pseudomonas_aeruginosa,0
38,38,LHS,SPAdes,NODE_39_length_198351_cov_183.315912,198351,Enterococcus_faecalis,0
39,39,LHS,SPAdes,NODE_40_length_196918_cov_51.994062,196918,Salmonella_enterica,0
40,40,LHS,SPAdes,NODE_41_length_194278_cov_31.588262,194278,Escherichia_coli,0
41,41,LHS,SPAdes,NODE_42_length_191308_cov_84.829143,191308,Pseudomonas_aeruginosa,0
42,42,LHS,SPAdes,NODE_43_length_189494_cov_50.549602,189494,Salmonella_enterica,0
43,43,LHS,SPAdes,NODE_44_length_187723_cov_84.955810,187723,Pseudomonas_aeruginosa,0
44,44,LHS,SPAdes,NODE_45_length_177625_cov_51.278724,177625,Salmonella_enterica,0
45,45,LHS,SPAdes,NODE_46_length_176853_cov_84.634221,176853,Pseudomonas_aeruginosa,0
46,46,LHS,SPAdes,NODE_47_length_174716_cov_214.839346,174716,Staphylococcus_aureus,0
47,47,LHS,SPAdes,NODE_47_length_174716_cov_214.839346,174716,Staphylococcus_aureus,0
48,48,LHS,SPAdes,NODE_48_length_173778_cov_214.023083,173778,Staphylococcus_aureus,0
49,49,LHS,SPAdes,NODE_49_length_173368_cov_84.575017,173368,Pseudomonas_aeruginosa,0
50,50,LHS,SPAdes,NODE_50_length_169116_cov_31.245000,169116,Escherichia_coli,0
51,51,LHS,SPAdes,NODE_51_length_165821_cov_215.681985,165821,Staphylococcus_aureus,0
52,52,LHS,SPAdes,NODE_52_length_164360_cov_50.781766,164360,Salmonella_enterica,0
53,53,LHS,SPAdes,NODE_53_length_163269_cov_39.788934,163269,Listeria_monocytogenes,0
54,54,LHS,SPAdes,NODE_54_length_159549_cov_50.818965,159549,Salmonella_enterica,0
55,55,LHS,SPAdes,NODE_55_length_155873_cov_86.697878,155873,Bacillus_subtilis,0
56,56,LHS,SPAdes,NODE_56_length_153684_cov_51.321131,153684,Salmonella_enterica,0
57,57,LHS,SPAdes,NODE_57_length_150745_cov_31.868166,150745,Escherichia_coli,0
58,58,LHS,SPAdes,NODE_58_length_147583_cov_32.775480,147583,Escherichia_coli,0
59,59,LHS,SPAdes,NODE_59_length_145419_cov_40.631284,145419,Listeria_monocytogenes,0
60,60,LHS,SPAdes,NODE_60_length_144094_cov_30.875485,144094,Escherichia_coli,0
61,61,LHS,SPAdes,NODE_61_length_143832_cov_50.732565,143832,Salmonella_enterica,0
62,62,LHS,SPAdes,NODE_62_length_137936_cov_51.326093,137936,Salmonella_enterica,0
63,63,LHS,SPAdes,NODE_63_length_137927_cov_51.039479,137927,Salmonella_enterica,0
64,64,LHS,SPAdes,NODE_64_length_137664_cov_41.057823,137664,Listeria_monocytogenes,0
65,65,LHS,SPAdes,NODE_65_length_137369_cov_51.478444,137369,Salmonella_enterica,0
