,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,38308,38784
1,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,78513,78523
2,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,193988,194318
3,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,209116,210187
4,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,233518,234529
5,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,371767,372865
6,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,505027,505295
7,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,549205,549378
8,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,642708,643591
9,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,645131,645733
10,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,692873,693182
11,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,801622,807253
12,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1059726,1060826
13,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1211811,1211827
14,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1264753,1264887
15,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1355234,1356357
16,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1588751,1588762
17,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1709867,1710378
18,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1710742,1716524
19,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1754928,1756053
20,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2019269,2020398
21,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2289129,2289133
22,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2416197,2416377
23,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2659924,2659934
24,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2728834,2729107
25,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2736960,2736963
26,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2788893,2791208
27,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2792768,2793840
28,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2809384,2814460
29,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2849468,2849932
30,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2869263,2870611
31,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2872032,2880455
32,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2940665,2955699
33,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2973949,2974198
34,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3078199,3079273
35,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3162948,3163691
36,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3173712,3174460
37,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3387315,3387478
38,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3404352,3409303
39,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3438942,3440061
40,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3697208,3703372
41,LNN,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3892618,3892630
42,LNN,GATBMiniaPipeline,Escherichia_coli,4765434.0,1808691,2116439
43,LNN,GATBMiniaPipeline,Escherichia_coli,4765434.0,2117473,3379681
44,LNN,GATBMiniaPipeline,Escherichia_coli,4765434.0,3380875,3948091
45,LNN,GATBMiniaPipeline,Lactobacillus_fermentum,1905333.0,803340,1698517
46,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,351148,352315
47,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,1080898,1083015
48,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,1086809,1088008
49,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,1228568,1229759
50,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,1366499,1377411
51,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,1414492,1414789
52,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,1467087,1467129
53,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,1610298,1611401
54,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,1612966,1615555
55,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,2158551,2164436
56,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,2340267,2340465
57,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,2495516,2495908
58,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,2498359,2498932
59,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,2500362,2502481
60,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,2757111,2762064
61,LNN,GATBMiniaPipeline,Listeria_monocytogenes,2992342.0,2861791,2868112
62,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,36748,37476
63,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,332156,333155
64,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,421227,421311
65,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,430018,430979
66,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,495343,501328
67,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,577819,578223
68,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,631554,631675
69,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,754467,755736
70,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,945910,946574
71,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,1161993,1162001
72,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,1163224,1164523
73,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,1167350,1168726
74,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,1867354,1868031
75,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,1893750,1895048
76,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2429649,2430836
77,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2687507,2687911
78,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2714794,2717277
79,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2718569,2720229
80,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2732602,2732749
81,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2734907,2735449
82,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2742826,2742887
83,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2744383,2744444
84,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2758718,2759339
85,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2827924,2829268
86,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2836511,2836849
87,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2840256,2841440
88,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2849239,2853109
89,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,2945836,2945971
90,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,3028830,3029812
91,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,3136774,3138376
92,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,3343038,3343767
93,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,3423910,3424235
94,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,3425889,3429068
95,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,3553266,3553937
96,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,3587258,3587441
97,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,3609260,3609392
98,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,3928113,3928234
99,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,3978891,3979369
100,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,4829557,4830594
101,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,4892372,4897931
102,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,4936149,4936510
103,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,4940248,4940792
104,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,4942158,4942918
105,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,5201471,5202135
106,LNN,GATBMiniaPipeline,Pseudomonas_aeruginosa,6792330.0,5207648,5208465
