,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MEGAHIT,Bacillus_subtilis,k141_2,1207,18.26434764994044
1,MEGAHIT,Bacillus_subtilis,k141_3,137893,60.0
2,MEGAHIT,Bacillus_subtilis,k141_830,314963,60.0
3,MEGAHIT,Bacillus_subtilis,k141_307,122824,31.807982180336808
4,MEGAHIT,Bacillus_subtilis,k141_320,1020,18.946568194550824
5,MEGAHIT,Bacillus_subtilis,k141_571,372642,60.0
6,MEGAHIT,Bacillus_subtilis,k141_88,59914,60.0
7,MEGAHIT,Bacillus_subtilis,k141_107,294552,60.0
8,MEGAHIT,Bacillus_subtilis,k141_872,395861,60.0
9,MEGAHIT,Bacillus_subtilis,k141_109,29897,60.0
10,MEGAHIT,Bacillus_subtilis,k141_590,261596,25.222085529736454
11,MEGAHIT,Bacillus_subtilis,k141_600,23441,60.0
12,MEGAHIT,Bacillus_subtilis,k141_876,552777,60.0
13,MEGAHIT,Bacillus_subtilis,k141_884,38542,60.0
14,MEGAHIT,Bacillus_subtilis,k141_650,10905,27.588720689618956
15,MEGAHIT,Bacillus_subtilis,k141_127,268085,60.0
16,MEGAHIT,Bacillus_subtilis,k141_170,83981,60.0
17,MEGAHIT,Bacillus_subtilis,k141_938,253910,33.918425807738956
18,MEGAHIT,Bacillus_subtilis,k141_745,1802,8.88398865617025
19,MEGAHIT,Bacillus_subtilis,k141_959,264058,60.0
20,MEGAHIT,Bacillus_subtilis,k141_261,156809,31.461529625798022
21,MEGAHIT,Bacillus_subtilis,k141_438,55449,60.0
22,MEGAHIT,Bacillus_subtilis,k141_451,15727,60.0
23,MEGAHIT,Bacillus_subtilis,k141_1044,269819,60.0
24,MEGAHIT,Bacillus_subtilis,k141_515,1643,60.0
25,MEGAHIT,Bacillus_subtilis,k141_1070,2931,60.0
26,MEGAHIT,Enterococcus_faecalis,k141_20,31109,33.78942698613449
27,MEGAHIT,Enterococcus_faecalis,k141_311,1841,60.0
28,MEGAHIT,Enterococcus_faecalis,k141_312,1650,60.0
29,MEGAHIT,Enterococcus_faecalis,k141_85,128525,60.0
30,MEGAHIT,Enterococcus_faecalis,k141_339,1830,11.353462913656218
31,MEGAHIT,Enterococcus_faecalis,k141_117,235316,60.0
32,MEGAHIT,Enterococcus_faecalis,k141_364,2671,60.0
33,MEGAHIT,Enterococcus_faecalis,k141_128,92108,60.0
