,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,GATBMiniaPipeline,Bacillus_subtilis,42,23332,60
1,GATBMiniaPipeline,Bacillus_subtilis,70,2640,60
2,GATBMiniaPipeline,Bacillus_subtilis,122,38460,60
3,GATBMiniaPipeline,Bacillus_subtilis,167,38342,60
4,GATBMiniaPipeline,Bacillus_subtilis,179,1012,30.051805125037827
5,GATBMiniaPipeline,Bacillus_subtilis,274,15645,60
6,GATBMiniaPipeline,Bacillus_subtilis,361,252655,60
7,GATBMiniaPipeline,Bacillus_subtilis,368,10107,60
8,GATBMiniaPipeline,Bacillus_subtilis,419,17015,60
9,GATBMiniaPipeline,Bacillus_subtilis,466,137485,60
10,GATBMiniaPipeline,Bacillus_subtilis,475,37896,60
11,GATBMiniaPipeline,Bacillus_subtilis,480,263366,60
12,GATBMiniaPipeline,Bacillus_subtilis,497,294467,60
13,GATBMiniaPipeline,Bacillus_subtilis,508,29782,60
14,GATBMiniaPipeline,Bacillus_subtilis,530,83712,60
15,GATBMiniaPipeline,Bacillus_subtilis,531,156318,60
16,GATBMiniaPipeline,Bacillus_subtilis,550,55298,60
17,GATBMiniaPipeline,Bacillus_subtilis,574,1422,60
18,GATBMiniaPipeline,Bacillus_subtilis,635,372562,60
19,GATBMiniaPipeline,Bacillus_subtilis,686,1561,60
20,GATBMiniaPipeline,Bacillus_subtilis,688,170747,60
21,GATBMiniaPipeline,Bacillus_subtilis,705,59828,60
22,GATBMiniaPipeline,Bacillus_subtilis,768,315136,60
23,GATBMiniaPipeline,Bacillus_subtilis,783,212971,60
24,GATBMiniaPipeline,Bacillus_subtilis,873,269695,60
25,GATBMiniaPipeline,Bacillus_subtilis,993,122501,60
26,GATBMiniaPipeline,Bacillus_subtilis,1001,395800,60
27,GATBMiniaPipeline,Bacillus_subtilis,1002,343191,60
28,GATBMiniaPipeline,Bacillus_subtilis,1005,257268,60
29,GATBMiniaPipeline,Enterococcus_faecalis,63,41933,60
30,GATBMiniaPipeline,Enterococcus_faecalis,91,19778,60
31,GATBMiniaPipeline,Enterococcus_faecalis,109,16210,60
32,GATBMiniaPipeline,Enterococcus_faecalis,131,30258,60
33,GATBMiniaPipeline,Enterococcus_faecalis,136,19521,60
34,GATBMiniaPipeline,Enterococcus_faecalis,211,68760,60
35,GATBMiniaPipeline,Enterococcus_faecalis,223,1002,60
36,GATBMiniaPipeline,Enterococcus_faecalis,280,63315,60
37,GATBMiniaPipeline,Enterococcus_faecalis,303,128464,60
38,GATBMiniaPipeline,Enterococcus_faecalis,306,29307,60
39,GATBMiniaPipeline,Enterococcus_faecalis,313,3174,60
40,GATBMiniaPipeline,Enterococcus_faecalis,314,1948,60
41,GATBMiniaPipeline,Enterococcus_faecalis,323,61574,60
42,GATBMiniaPipeline,Enterococcus_faecalis,324,224968,60
43,GATBMiniaPipeline,Enterococcus_faecalis,367,23342,60
44,GATBMiniaPipeline,Enterococcus_faecalis,369,118899,60
45,GATBMiniaPipeline,Enterococcus_faecalis,424,1514,60
46,GATBMiniaPipeline,Enterococcus_faecalis,449,35769,60
47,GATBMiniaPipeline,Enterococcus_faecalis,451,38794,60
48,GATBMiniaPipeline,Enterococcus_faecalis,452,184436,60
49,GATBMiniaPipeline,Enterococcus_faecalis,481,1048,60
50,GATBMiniaPipeline,Enterococcus_faecalis,496,22972,60
51,GATBMiniaPipeline,Enterococcus_faecalis,518,127741,60
52,GATBMiniaPipeline,Enterococcus_faecalis,527,12505,60
53,GATBMiniaPipeline,Enterococcus_faecalis,538,84244,60
