,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,ENN,SPAdes,Bacillus_subtilis,4045677.0,209052,210232
1,ENN,SPAdes,Bacillus_subtilis,4045677.0,233473,234549
2,ENN,SPAdes,Bacillus_subtilis,4045677.0,371738,372871
3,ENN,SPAdes,Bacillus_subtilis,4045677.0,642278,642833
4,ENN,SPAdes,Bacillus_subtilis,4045677.0,645094,645473
5,ENN,SPAdes,Bacillus_subtilis,4045677.0,805138,807016
6,ENN,SPAdes,Bacillus_subtilis,4045677.0,1059655,1060831
7,ENN,SPAdes,Bacillus_subtilis,4045677.0,1355207,1356374
8,ENN,SPAdes,Bacillus_subtilis,4045677.0,1671419,1672602
9,ENN,SPAdes,Bacillus_subtilis,4045677.0,1710220,1716615
10,ENN,SPAdes,Bacillus_subtilis,4045677.0,1754883,1756059
11,ENN,SPAdes,Bacillus_subtilis,4045677.0,2019255,2020052
12,ENN,SPAdes,Bacillus_subtilis,4045677.0,2788923,2790677
13,ENN,SPAdes,Bacillus_subtilis,4045677.0,2792069,2793886
14,ENN,SPAdes,Bacillus_subtilis,4045677.0,2809368,2814497
15,ENN,SPAdes,Bacillus_subtilis,4045677.0,2869711,2880484
16,ENN,SPAdes,Bacillus_subtilis,4045677.0,2940237,2955603
17,ENN,SPAdes,Bacillus_subtilis,4045677.0,3078156,3078897
18,ENN,SPAdes,Bacillus_subtilis,4045677.0,3404327,3409445
19,ENN,SPAdes,Bacillus_subtilis,4045677.0,3438897,3440075
20,ENN,SPAdes,Bacillus_subtilis,4045677.0,3697097,3703151
21,ENN,SPAdes,Enterococcus_faecalis,2845392.0,539071,539747
22,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1040403,1040874
23,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1088012,1092814
24,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1362534,1367333
25,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1403416,1403548
26,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1404595,1404882
27,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1577216,1578626
28,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1716932,1719180
29,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1805193,1812831
30,ENN,SPAdes,Enterococcus_faecalis,2845392.0,2188063,2189690
31,ENN,SPAdes,Enterococcus_faecalis,2845392.0,2424668,2430720
32,ENN,SPAdes,Enterococcus_faecalis,2845392.0,2449208,2449923
33,ENN,SPAdes,Enterococcus_faecalis,2845392.0,2629376,2630781
34,ENN,SPAdes,Escherichia_coli_plasmid,110007.0,40499,41162
35,ENN,SPAdes,Escherichia_coli_plasmid,110007.0,69343,69830
36,ENN,SPAdes,Escherichia_coli_plasmid,110007.0,96267,97468
37,ENN,SPAdes,Escherichia_coli,4765434.0,14501,14863
38,ENN,SPAdes,Escherichia_coli,4765434.0,16057,16760
39,ENN,SPAdes,Escherichia_coli,4765434.0,342145,343139
40,ENN,SPAdes,Escherichia_coli,4765434.0,357991,358652
41,ENN,SPAdes,Escherichia_coli,4765434.0,455691,455881
42,ENN,SPAdes,Escherichia_coli,4765434.0,458462,461056
43,ENN,SPAdes,Escherichia_coli,4765434.0,466947,467403
44,ENN,SPAdes,Escherichia_coli,4765434.0,494747,495266
45,ENN,SPAdes,Escherichia_coli,4765434.0,497634,498609
46,ENN,SPAdes,Escherichia_coli,4765434.0,512985,514397
47,ENN,SPAdes,Escherichia_coli,4765434.0,532622,533284
48,ENN,SPAdes,Escherichia_coli,4765434.0,577818,578477
49,ENN,SPAdes,Escherichia_coli,4765434.0,641397,641473
50,ENN,SPAdes,Escherichia_coli,4765434.0,757856,758551
51,ENN,SPAdes,Escherichia_coli,4765434.0,907398,913736
52,ENN,SPAdes,Escherichia_coli,4765434.0,927519,929175
53,ENN,SPAdes,Escherichia_coli,4765434.0,930301,931314
54,ENN,SPAdes,Escherichia_coli,4765434.0,1021463,1021687
55,ENN,SPAdes,Escherichia_coli,4765434.0,1040899,1041945
56,ENN,SPAdes,Escherichia_coli,4765434.0,1044656,1045538
57,ENN,SPAdes,Escherichia_coli,4765434.0,1102329,1102375
58,ENN,SPAdes,Escherichia_coli,4765434.0,1116673,1117313
59,ENN,SPAdes,Escherichia_coli,4765434.0,1241451,1242049
60,ENN,SPAdes,Escherichia_coli,4765434.0,1261571,1262924
61,ENN,SPAdes,Escherichia_coli,4765434.0,1264007,1266869
62,ENN,SPAdes,Escherichia_coli,4765434.0,1442322,1442899
63,ENN,SPAdes,Escherichia_coli,4765434.0,1489108,1489918
64,ENN,SPAdes,Escherichia_coli,4765434.0,1521495,1522010
65,ENN,SPAdes,Escherichia_coli,4765434.0,1529328,1530761
66,ENN,SPAdes,Escherichia_coli,4765434.0,1564713,1567694
67,ENN,SPAdes,Escherichia_coli,4765434.0,1570037,1571100
68,ENN,SPAdes,Escherichia_coli,4765434.0,1580842,1581504
69,ENN,SPAdes,Escherichia_coli,4765434.0,1584710,1584857
70,ENN,SPAdes,Escherichia_coli,4765434.0,1718145,1718907
71,ENN,SPAdes,Escherichia_coli,4765434.0,1736378,1737615
72,ENN,SPAdes,Escherichia_coli,4765434.0,1807727,1808387
73,ENN,SPAdes,Escherichia_coli,4765434.0,1814366,1819165
74,ENN,SPAdes,Escherichia_coli,4765434.0,1964718,1966599
75,ENN,SPAdes,Escherichia_coli,4765434.0,1968075,1968977
76,ENN,SPAdes,Escherichia_coli,4765434.0,1969980,1973613
77,ENN,SPAdes,Escherichia_coli,4765434.0,2006088,2006693
78,ENN,SPAdes,Escherichia_coli,4765434.0,2092680,2093915
79,ENN,SPAdes,Escherichia_coli,4765434.0,2153902,2154784
80,ENN,SPAdes,Escherichia_coli,4765434.0,2221505,2223067
81,ENN,SPAdes,Escherichia_coli,4765434.0,2407215,2408220
82,ENN,SPAdes,Escherichia_coli,4765434.0,2424935,2430215
83,ENN,SPAdes,Escherichia_coli,4765434.0,2463045,2464083
84,ENN,SPAdes,Escherichia_coli,4765434.0,2611745,2612401
85,ENN,SPAdes,Escherichia_coli,4765434.0,2633563,2634841
86,ENN,SPAdes,Escherichia_coli,4765434.0,2638010,2639249
