,Reference,Breadth of Coverage,Contigs
0,2615840527,0.9974071543950792,17
1,2615840533A,0.995157923920832,22
2,2615840533B,0.9935304760787576,38
3,2615840601,0.9702972389511866,124
4,2615840646,0.9992997522884842,14
5,2615840697,0.985648921972994,95
6,2616644829,0.946883838358854,120
7,2617270709,0.9847523744226844,83
8,2623620557,0.9907380580089248,149
9,2623620567,0.9906589435499499,132
10,2623620609,0.0018529643811026587,3
11,2623620617,0.9660464277911811,366
12,2623620618,0.9726112707090605,370
