Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,43.0,0.0652095985321201,42368.0,42368.0,0.0,1855069.0,0.973619309590502,72.0,0.9999364367903942,0.9975174904084857,0.0,0.0,1.0149891998626466,1.0149891998626466,1.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,53.0,0.0640082337313215,40446.0,40151.0,0.0,1798516.0,0.9439378838239825,89.0,1.0,1.0,0.0,0.0,1.0014189476212612,1.0014189476212612,1.0
IDBA-UD,56.0,0.06396519663491894,40069.0,37467.0,0.0,1790018.0,0.9394777710772868,88.0,0.9999663133309379,0.9970355731225297,0.0,0.0,1.000446364226505,1.000446364226505,1.0
MEGAHIT,35.0,0.06400928341659962,46932.0,52972.0,0.0,1807320.0,0.9485585984182292,81.0,0.9992919861089405,0.9753129959442779,3.0,6.0,0.9991930556293502,0.9994454332925987,0.9997474822988414
MetaHipMer2,54.0,0.06396414694964082,40362.0,40067.0,0.0,1787622.0,0.9382202481141092,86.0,1.0,1.0,0.0,0.0,1.0005331104674255,1.0005331104674255,1.0
metaSPAdes,48.0,0.06391901048268203,46069.0,45077.0,0.0,1796429.0,0.9428425372362731,78.0,0.9998491205811961,0.9909245604083948,0.0,0.0,1.0004514511845444,1.0004514511845444,1.0
MINIA,207.0,0.03464433776143068,11293.0,10836.0,0.0,1753923.0,0.9205335760205696,238.0,1.0,1.0,0.0,0.0,1.0003740186997947,1.0003740186997947,1.0
SKESA,56.0,0.06386022810710779,40164.0,39869.0,0.0,1776186.0,0.9322181476938677,86.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
SPAdes,76.0,0.06398094191409061,32241.0,29397.0,0.0,1792828.0,0.9409525788930334,109.0,0.999990454652405,0.9990482233502538,0.0,0.0,1.0014881516799157,1.0014881516799157,1.0
Unicycler,49.0,0.06386285232030306,45959.0,40306.0,0.0,1775427.0,0.9318197921308243,77.0,0.9999459177440699,0.995835666293393,0.0,0.0,0.9998563725796668,0.9998563725796668,1.0
VelvetOptimiser,207.0,0.026160781343733615,11578.0,10959.0,0.0,1749111.0,0.9180080332414334,235.0,0.9999807620493267,0.9985196150999259,0.0,0.0,1.000687206243629,1.0006877779626335,0.9999994286739408
