,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,metaSPAdes,Bacillus_subtilis,NODE_2_length_428678_cov_36.754854,428678,48.539799454574386
1,metaSPAdes,Bacillus_subtilis,NODE_3_length_382269_cov_42.367663,382269,38.66365736819948
2,metaSPAdes,Bacillus_subtilis,NODE_4_length_381468_cov_49.230267,381468,35.6862088768716
3,metaSPAdes,Bacillus_subtilis,NODE_14_length_237433_cov_45.105675,237433,45.97389829532841
4,metaSPAdes,Bacillus_subtilis,NODE_26_length_206177_cov_45.789023,206177,60.0
5,metaSPAdes,Bacillus_subtilis,NODE_34_length_174343_cov_41.855922,174343,60.0
6,metaSPAdes,Bacillus_subtilis,NODE_35_length_172667_cov_38.780502,172667,60.0
7,metaSPAdes,Bacillus_subtilis,NODE_40_length_164894_cov_44.237268,164894,49.16174857591186
8,metaSPAdes,Bacillus_subtilis,NODE_48_length_144144_cov_44.579815,144144,41.587965695743804
9,metaSPAdes,Bacillus_subtilis,NODE_56_length_133751_cov_38.728563,133751,60.0
10,metaSPAdes,Bacillus_subtilis,NODE_59_length_128028_cov_40.591492,128028,60.0
11,metaSPAdes,Bacillus_subtilis,NODE_60_length_125569_cov_39.224891,125569,32.35559575533409
12,metaSPAdes,Bacillus_subtilis,NODE_63_length_121277_cov_47.459933,121277,50.83778445384119
13,metaSPAdes,Bacillus_subtilis,NODE_66_length_118537_cov_37.245565,118537,60.0
14,metaSPAdes,Bacillus_subtilis,NODE_94_length_94492_cov_44.451709,94492,60.0
15,metaSPAdes,Bacillus_subtilis,NODE_100_length_90883_cov_38.579700,90883,49.5848265443407
16,metaSPAdes,Bacillus_subtilis,NODE_102_length_90699_cov_45.061493,90699,60.0
17,metaSPAdes,Bacillus_subtilis,NODE_115_length_83491_cov_47.282216,83491,60.0
18,metaSPAdes,Bacillus_subtilis,NODE_131_length_74510_cov_47.897240,74510,31.479386937968073
19,metaSPAdes,Bacillus_subtilis,NODE_132_length_74458_cov_46.698198,74458,60.0
20,metaSPAdes,Bacillus_subtilis,NODE_185_length_51374_cov_41.375592,51374,60.0
21,metaSPAdes,Bacillus_subtilis,NODE_188_length_50873_cov_42.009150,50873,30.437295172143454
22,metaSPAdes,Bacillus_subtilis,NODE_223_length_42332_cov_39.504790,42332,32.287287787824546
23,metaSPAdes,Bacillus_subtilis,NODE_227_length_40768_cov_47.931693,40768,60.0
24,metaSPAdes,Bacillus_subtilis,NODE_240_length_38370_cov_44.425108,38370,60.0
