,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,metaSPAdes,Bacillus_subtilis,NODE_18_length_193256_cov_7.078902,193256,40.82013003641974
1,metaSPAdes,Bacillus_subtilis,NODE_24_length_144087_cov_7.093097,144087,44.596547947778696
2,metaSPAdes,Bacillus_subtilis,NODE_26_length_137061_cov_7.213815,137061,44.37943891778862
3,metaSPAdes,Bacillus_subtilis,NODE_27_length_135234_cov_7.273608,135234,39.549946348873284
4,metaSPAdes,Bacillus_subtilis,NODE_30_length_121335_cov_7.339553,121335,44.819261031437605
5,metaSPAdes,Bacillus_subtilis,NODE_33_length_110735_cov_7.055331,110735,39.65103663940555
6,metaSPAdes,Bacillus_subtilis,NODE_34_length_107137_cov_7.210904,107137,40.29939481296876
7,metaSPAdes,Bacillus_subtilis,NODE_36_length_101234_cov_7.265243,101234,43.0635639287629
8,metaSPAdes,Bacillus_subtilis,NODE_37_length_100334_cov_7.262557,100334,42.23296876158754
9,metaSPAdes,Bacillus_subtilis,NODE_39_length_94521_cov_6.960483,94521,41.97377057288682
10,metaSPAdes,Bacillus_subtilis,NODE_42_length_84460_cov_7.173331,84460,40.81553037074513
11,metaSPAdes,Bacillus_subtilis,NODE_43_length_83494_cov_7.193423,83494,40.7655722755875
12,metaSPAdes,Bacillus_subtilis,NODE_45_length_80212_cov_7.132902,80212,39.499968357018176
13,metaSPAdes,Bacillus_subtilis,NODE_46_length_78315_cov_7.327613,78315,45.92814956602807
14,metaSPAdes,Bacillus_subtilis,NODE_47_length_78044_cov_7.153342,78044,48.92339520247336
15,metaSPAdes,Bacillus_subtilis,NODE_48_length_74953_cov_7.380678,74953,39.20546510765396
16,metaSPAdes,Bacillus_subtilis,NODE_49_length_73194_cov_7.369064,73194,45.63445486027319
17,metaSPAdes,Bacillus_subtilis,NODE_50_length_72577_cov_7.201718,72577,42.58739021167771
18,metaSPAdes,Bacillus_subtilis,NODE_51_length_69361_cov_7.095504,69361,40.629640954940776
19,metaSPAdes,Bacillus_subtilis,NODE_53_length_66647_cov_7.090086,66647,39.786825651571355
20,metaSPAdes,Bacillus_subtilis,NODE_54_length_63281_cov_7.151820,63281,48.012733334970335
21,metaSPAdes,Bacillus_subtilis,NODE_56_length_60597_cov_6.999224,60597,43.05329869188051
22,metaSPAdes,Bacillus_subtilis,NODE_57_length_59519_cov_7.464197,59519,33.432918617032094
23,metaSPAdes,Bacillus_subtilis,NODE_58_length_58733_cov_7.399724,58733,60.0
24,metaSPAdes,Bacillus_subtilis,NODE_59_length_57587_cov_7.058228,57587,37.18931769350419
25,metaSPAdes,Bacillus_subtilis,NODE_61_length_56470_cov_7.111194,56470,42.74696533016989
26,metaSPAdes,Bacillus_subtilis,NODE_63_length_52971_cov_7.264211,52971,41.219781804063125
27,metaSPAdes,Bacillus_subtilis,NODE_64_length_52797_cov_7.226518,52797,41.205492546816984
28,metaSPAdes,Bacillus_subtilis,NODE_69_length_46441_cov_7.003622,46441,43.658715670346346
29,metaSPAdes,Bacillus_subtilis,NODE_70_length_44425_cov_7.444512,44425,40.45567445149558
30,metaSPAdes,Bacillus_subtilis,NODE_71_length_42339_cov_7.539495,42339,41.49619341533172
31,metaSPAdes,Bacillus_subtilis,NODE_72_length_41084_cov_7.348412,41084,40.11612729219642
32,metaSPAdes,Bacillus_subtilis,NODE_73_length_40906_cov_7.250961,40906,46.117870140169444
33,metaSPAdes,Bacillus_subtilis,NODE_74_length_40030_cov_7.433546,40030,46.023855901057054
34,metaSPAdes,Bacillus_subtilis,NODE_75_length_39697_cov_7.256042,39697,41.21636432580335
35,metaSPAdes,Bacillus_subtilis,NODE_76_length_39560_cov_7.445868,39560,36.94166295933262
36,metaSPAdes,Bacillus_subtilis,NODE_78_length_36785_cov_7.774462,36785,39.63610769050531
37,metaSPAdes,Bacillus_subtilis,NODE_80_length_35902_cov_7.286579,35902,37.76967392199364
38,metaSPAdes,Bacillus_subtilis,NODE_81_length_35236_cov_7.252352,35236,60.0
39,metaSPAdes,Bacillus_subtilis,NODE_82_length_34576_cov_7.447959,34576,42.377447538754886
40,metaSPAdes,Bacillus_subtilis,NODE_84_length_33830_cov_7.097646,33830,39.27242006459815
41,metaSPAdes,Bacillus_subtilis,NODE_85_length_32687_cov_7.385327,32687,42.13345067368999
42,metaSPAdes,Bacillus_subtilis,NODE_86_length_32526_cov_6.979120,32526,40.35109402944619
43,metaSPAdes,Bacillus_subtilis,NODE_87_length_32313_cov_7.509548,32313,36.64279240595797
44,metaSPAdes,Bacillus_subtilis,NODE_88_length_32271_cov_7.262851,32271,60.0
45,metaSPAdes,Bacillus_subtilis,NODE_89_length_30978_cov_7.046309,30978,41.9002337976713
46,metaSPAdes,Bacillus_subtilis,NODE_91_length_30150_cov_6.932713,30150,60.0
47,metaSPAdes,Bacillus_subtilis,NODE_92_length_29641_cov_7.514737,29641,60.0
48,metaSPAdes,Bacillus_subtilis,NODE_93_length_29541_cov_7.613376,29541,32.94333933583479
49,metaSPAdes,Bacillus_subtilis,NODE_94_length_29282_cov_6.949670,29282,39.894794815773835
50,metaSPAdes,Bacillus_subtilis,NODE_95_length_28323_cov_7.629900,28323,44.521392523530665
51,metaSPAdes,Bacillus_subtilis,NODE_96_length_27508_cov_7.182312,27508,60.0
52,metaSPAdes,Bacillus_subtilis,NODE_97_length_26606_cov_7.007231,26606,44.249795867459056
53,metaSPAdes,Bacillus_subtilis,NODE_98_length_25674_cov_6.869511,25674,41.084635412036846
54,metaSPAdes,Bacillus_subtilis,NODE_100_length_23177_cov_7.388807,23177,36.66087216430283
55,metaSPAdes,Bacillus_subtilis,NODE_101_length_23023_cov_7.112591,23023,60.0
56,metaSPAdes,Bacillus_subtilis,NODE_102_length_22846_cov_7.114387,22846,43.58810172458787
57,metaSPAdes,Bacillus_subtilis,NODE_104_length_22115_cov_7.090934,22115,35.66535693321998
58,metaSPAdes,Bacillus_subtilis,NODE_105_length_21065_cov_7.154498,21065,34.20471476470914
59,metaSPAdes,Bacillus_subtilis,NODE_106_length_21064_cov_7.399971,21064,43.235408460977034
60,metaSPAdes,Bacillus_subtilis,NODE_107_length_20264_cov_7.305755,20264,43.06725176782428
61,metaSPAdes,Bacillus_subtilis,NODE_108_length_20118_cov_7.544036,20118,30.73135882434196
62,metaSPAdes,Bacillus_subtilis,NODE_109_length_19542_cov_7.139118,19542,60.0
63,metaSPAdes,Bacillus_subtilis,NODE_110_length_18160_cov_7.205523,18160,42.5911584418491
64,metaSPAdes,Bacillus_subtilis,NODE_111_length_16692_cov_7.049468,16692,35.235383717036555
65,metaSPAdes,Bacillus_subtilis,NODE_112_length_16616_cov_6.903569,16616,60.0
66,metaSPAdes,Bacillus_subtilis,NODE_113_length_16258_cov_7.382213,16258,60.0
67,metaSPAdes,Bacillus_subtilis,NODE_114_length_15950_cov_7.358163,15950,60.0
68,metaSPAdes,Bacillus_subtilis,NODE_115_length_15790_cov_7.485224,15790,38.97352134344431
69,metaSPAdes,Bacillus_subtilis,NODE_116_length_15724_cov_7.447189,15724,41.96563035147689
70,metaSPAdes,Bacillus_subtilis,NODE_117_length_15050_cov_7.647549,15050,41.77536499929873
71,metaSPAdes,Bacillus_subtilis,NODE_118_length_14901_cov_7.094908,14901,41.73215414715128
72,metaSPAdes,Bacillus_subtilis,NODE_119_length_13789_cov_6.955876,13789,38.385027759338726
73,metaSPAdes,Bacillus_subtilis,NODE_120_length_13253_cov_7.072132,13253,41.22314197968659
74,metaSPAdes,Bacillus_subtilis,NODE_121_length_12923_cov_7.369288,12923,33.332120939415105
75,metaSPAdes,Bacillus_subtilis,NODE_122_length_12274_cov_7.313037,12274,40.889861189481266
76,metaSPAdes,Bacillus_subtilis,NODE_123_length_11557_cov_6.877326,11557,37.618151176131036
77,metaSPAdes,Bacillus_subtilis,NODE_124_length_11154_cov_7.298495,11154,37.46400644491534
78,metaSPAdes,Bacillus_subtilis,NODE_125_length_10910_cov_7.349608,10910,40.37824750588108
79,metaSPAdes,Bacillus_subtilis,NODE_126_length_10867_cov_7.262116,10867,60.0
80,metaSPAdes,Bacillus_subtilis,NODE_127_length_10743_cov_7.340382,10743,40.3112557573171
81,metaSPAdes,Bacillus_subtilis,NODE_128_length_10688_cov_6.931158,10688,40.288964451312175
82,metaSPAdes,Bacillus_subtilis,NODE_129_length_10148_cov_6.975329,10148,37.053504628856444
83,metaSPAdes,Bacillus_subtilis,NODE_130_length_10081_cov_6.963894,10081,60.0
84,metaSPAdes,Bacillus_subtilis,NODE_131_length_9934_cov_7.088167,9934,39.97124155659207
85,metaSPAdes,Bacillus_subtilis,NODE_132_length_9640_cov_7.456234,9640,60.0
86,metaSPAdes,Bacillus_subtilis,NODE_133_length_9410_cov_7.504009,9410,39.735896234273696
87,metaSPAdes,Bacillus_subtilis,NODE_134_length_9072_cov_7.004547,9072,39.57703041548736
88,metaSPAdes,Bacillus_subtilis,NODE_135_length_8555_cov_7.452000,8555,60.0
89,metaSPAdes,Bacillus_subtilis,NODE_136_length_6725_cov_7.443478,6725,60.0
90,metaSPAdes,Bacillus_subtilis,NODE_138_length_6156_cov_7.078840,6156,60.0
91,metaSPAdes,Bacillus_subtilis,NODE_139_length_6092_cov_6.620507,6092,60.0
92,metaSPAdes,Bacillus_subtilis,NODE_140_length_5875_cov_6.845017,5875,60.0
93,metaSPAdes,Bacillus_subtilis,NODE_141_length_5784_cov_7.024961,5784,60.0
94,metaSPAdes,Bacillus_subtilis,NODE_143_length_5695_cov_6.616312,5695,60.0
95,metaSPAdes,Bacillus_subtilis,NODE_145_length_5206_cov_6.341293,5206,60.0
96,metaSPAdes,Bacillus_subtilis,NODE_147_length_5043_cov_7.796311,5043,60.0
97,metaSPAdes,Bacillus_subtilis,NODE_149_length_4692_cov_7.838042,4692,60.0
98,metaSPAdes,Bacillus_subtilis,NODE_150_length_4504_cov_7.442122,4504,60.0
99,metaSPAdes,Bacillus_subtilis,NODE_151_length_4267_cov_7.786800,4267,60.0
100,metaSPAdes,Bacillus_subtilis,NODE_153_length_4231_cov_7.373084,4231,60.0
101,metaSPAdes,Bacillus_subtilis,NODE_154_length_4143_cov_5.932975,4143,33.16284937634318
102,metaSPAdes,Bacillus_subtilis,NODE_161_length_2953_cov_6.866805,2953,60.0
103,metaSPAdes,Bacillus_subtilis,NODE_162_length_2717_cov_6.192712,2717,29.56968383698236
