,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MEGAHIT,Bacillus_subtilis,k141_11,137395,51.37970928418682
1,MEGAHIT,Bacillus_subtilis,k141_35,29942,44.762808060257726
2,MEGAHIT,Bacillus_subtilis,k141_471,10281,60.0
3,MEGAHIT,Bacillus_subtilis,k141_53,23414,60.0
4,MEGAHIT,Bacillus_subtilis,k141_74,59960,60.0
5,MEGAHIT,Bacillus_subtilis,k141_76,122824,31.807982180336808
6,MEGAHIT,Bacillus_subtilis,k141_709,294549,60.0
7,MEGAHIT,Bacillus_subtilis,k141_92,1325,60.0
8,MEGAHIT,Bacillus_subtilis,k141_487,315167,60.0
9,MEGAHIT,Bacillus_subtilis,k141_722,2266,60.0
10,MEGAHIT,Bacillus_subtilis,k141_727,83909,49.23808545341138
11,MEGAHIT,Bacillus_subtilis,k141_516,268157,60.0
12,MEGAHIT,Bacillus_subtilis,k141_750,410072,53.118301207101474
13,MEGAHIT,Bacillus_subtilis,k141_758,395860,60.0
14,MEGAHIT,Bacillus_subtilis,k141_177,257269,60.0
15,MEGAHIT,Bacillus_subtilis,k141_574,263587,60.0
16,MEGAHIT,Bacillus_subtilis,k141_341,15727,60.0
17,MEGAHIT,Bacillus_subtilis,k141_347,55449,60.0
18,MEGAHIT,Bacillus_subtilis,k141_613,38542,60.0
19,MEGAHIT,Bacillus_subtilis,k141_836,269819,60.0
20,MEGAHIT,Bacillus_subtilis,k141_854,1111,27.446840632768982
21,MEGAHIT,Bacillus_subtilis,k141_421,372896,60.0
22,MEGAHIT,Bacillus_subtilis,k141_447,1643,60.0
23,MEGAHIT,Bacillus_subtilis,k141_870,2931,60.0
24,MEGAHIT,Bacillus_subtilis,k141_669,551889,60.0
25,MEGAHIT,Enterococcus_faecalis,k141_10,157942,51.98497633126251
26,MEGAHIT,Enterococcus_faecalis,k141_684,1841,60.0
27,MEGAHIT,Enterococcus_faecalis,k141_461,39834,60.0
28,MEGAHIT,Enterococcus_faecalis,k141_479,1295,31.12269768417284
29,MEGAHIT,Enterococcus_faecalis,k141_60,19743,60.0
30,MEGAHIT,Enterococcus_faecalis,k141_84,13885,34.435758797502615
31,MEGAHIT,Enterococcus_faecalis,k141_278,1514,60.0
32,MEGAHIT,Enterococcus_faecalis,k141_98,179870,60.0
33,MEGAHIT,Enterococcus_faecalis,k141_109,92108,60.0
34,MEGAHIT,Enterococcus_faecalis,k141_126,235316,60.0
35,MEGAHIT,Enterococcus_faecalis,k141_290,33303,60.0
36,MEGAHIT,Enterococcus_faecalis,k141_293,47184,60.0
37,MEGAHIT,Enterococcus_faecalis,k141_756,224764,60.0
38,MEGAHIT,Enterococcus_faecalis,k141_147,30757,60.0
39,MEGAHIT,Enterococcus_faecalis,k141_771,105676,60.0
40,MEGAHIT,Enterococcus_faecalis,k141_774,1198,27.77426822389313
41,MEGAHIT,Enterococcus_faecalis,k141_163,1650,60.0
42,MEGAHIT,Enterococcus_faecalis,k141_556,264757,26.953061943616824
43,MEGAHIT,Enterococcus_faecalis,k141_799,1208,60.0
44,MEGAHIT,Enterococcus_faecalis,k141_573,63291,60.0
45,MEGAHIT,Enterococcus_faecalis,k141_812,25095,60.0
46,MEGAHIT,Enterococcus_faecalis,k141_577,13528,60.0
47,MEGAHIT,Enterococcus_faecalis,k141_345,47058,46.72633465393932
48,MEGAHIT,Enterococcus_faecalis,k141_821,596116,60.0
49,MEGAHIT,Enterococcus_faecalis,k141_823,3515,60.0
50,MEGAHIT,Enterococcus_faecalis,k141_824,12553,21.69328603110525
51,MEGAHIT,Enterococcus_faecalis,k141_358,128131,46.30532960896518
52,MEGAHIT,Enterococcus_faecalis,k141_827,267958,60.0
53,MEGAHIT,Enterococcus_faecalis,k141_223,23155,60.0
54,MEGAHIT,Enterococcus_faecalis,k141_673,29389,60.0
55,MEGAHIT,Enterococcus_faecalis,k141_898,123702,60.0
56,MEGAHIT,Escherichia_coli_plasmid,k141_31,110035,60.0
57,MEGAHIT,Escherichia_coli,k141_453,15531,60.0
58,MEGAHIT,Escherichia_coli,k141_458,2917,60.0
59,MEGAHIT,Escherichia_coli,k141_462,59654,60.0
60,MEGAHIT,Escherichia_coli,k141_12,4080,60.0
61,MEGAHIT,Escherichia_coli,k141_17,13075,60.0
62,MEGAHIT,Escherichia_coli,k141_20,2431,60.0
63,MEGAHIT,Escherichia_coli,k141_465,128398,60.0
64,MEGAHIT,Escherichia_coli,k141_23,9671,32.865013789535354
65,MEGAHIT,Escherichia_coli,k141_230,13956,60.0
66,MEGAHIT,Escherichia_coli,k141_231,5190,60.0
67,MEGAHIT,Escherichia_coli,k141_240,3238,20.953034964465367
68,MEGAHIT,Escherichia_coli,k141_472,17897,60.0
69,MEGAHIT,Escherichia_coli,k141_473,1090,60.0
70,MEGAHIT,Escherichia_coli,k141_37,4472,60.0
71,MEGAHIT,Escherichia_coli,k141_478,1774,60.0
72,MEGAHIT,Escherichia_coli,k141_480,1095,60.0
73,MEGAHIT,Escherichia_coli,k141_481,8147,60.0
74,MEGAHIT,Escherichia_coli,k141_47,4374,29.41908774365599
75,MEGAHIT,Escherichia_coli,k141_62,1208,26.049456795654432
76,MEGAHIT,Escherichia_coli,k141_698,22833,60.0
77,MEGAHIT,Escherichia_coli,k141_699,138445,30.998845904768512
78,MEGAHIT,Escherichia_coli,k141_707,138620,60.0
79,MEGAHIT,Escherichia_coli,k141_708,18911,60.0
80,MEGAHIT,Escherichia_coli,k141_251,102134,60.0
81,MEGAHIT,Escherichia_coli,k141_252,9895,60.0
82,MEGAHIT,Escherichia_coli,k141_254,80820,60.0
83,MEGAHIT,Escherichia_coli,k141_255,2982,60.0
84,MEGAHIT,Escherichia_coli,k141_485,56880,60.0
85,MEGAHIT,Escherichia_coli,k141_256,62907,47.986989744147614
86,MEGAHIT,Escherichia_coli,k141_263,6152,60.0
87,MEGAHIT,Escherichia_coli,k141_264,8075,60.0
88,MEGAHIT,Escherichia_coli,k141_267,11239,37.49697675551055
89,MEGAHIT,Escherichia_coli,k141_268,21948,60.0
90,MEGAHIT,Escherichia_coli,k141_715,50447,60.0
91,MEGAHIT,Escherichia_coli,k141_279,14274,60.0
92,MEGAHIT,Escherichia_coli,k141_717,181367,60.0
93,MEGAHIT,Escherichia_coli,k141_492,27336,60.0
94,MEGAHIT,Escherichia_coli,k141_101,8753,60.0
95,MEGAHIT,Escherichia_coli,k141_106,32026,60.0
96,MEGAHIT,Escherichia_coli,k141_108,6064,60.0
97,MEGAHIT,Escherichia_coli,k141_114,1702,25.319895514125427
98,MEGAHIT,Escherichia_coli,k141_507,2035,60.0
99,MEGAHIT,Escherichia_coli,k141_122,4482,60.0
100,MEGAHIT,Escherichia_coli,k141_748,63414,60.0
101,MEGAHIT,Escherichia_coli,k141_127,60158,60.0
102,MEGAHIT,Escherichia_coli,k141_128,3342,60.0
103,MEGAHIT,Escherichia_coli,k141_132,4567,60.0
104,MEGAHIT,Escherichia_coli,k141_136,108701,60.0
105,MEGAHIT,Escherichia_coli,k141_755,12134,60.0
106,MEGAHIT,Escherichia_coli,k141_524,5041,60.0
107,MEGAHIT,Escherichia_coli,k141_526,2754,60.0
108,MEGAHIT,Escherichia_coli,k141_144,33255,60.0
109,MEGAHIT,Escherichia_coli,k141_530,44706,60.0
110,MEGAHIT,Escherichia_coli,k141_531,4554,60.0
111,MEGAHIT,Escherichia_coli,k141_295,52049,60.0
112,MEGAHIT,Escherichia_coli,k141_301,1614,60.0
113,MEGAHIT,Escherichia_coli,k141_305,1102,60.0
114,MEGAHIT,Escherichia_coli,k141_306,12969,60.0
115,MEGAHIT,Escherichia_coli,k141_312,62611,60.0
116,MEGAHIT,Escherichia_coli,k141_145,344118,60.0
117,MEGAHIT,Escherichia_coli,k141_146,8812,60.0
118,MEGAHIT,Escherichia_coli,k141_547,184109,60.0
119,MEGAHIT,Escherichia_coli,k141_151,16943,60.0
120,MEGAHIT,Escherichia_coli,k141_153,24535,60.0
121,MEGAHIT,Escherichia_coli,k141_769,5069,60.0
122,MEGAHIT,Escherichia_coli,k141_315,14253,60.0
123,MEGAHIT,Escherichia_coli,k141_157,119462,60.0
124,MEGAHIT,Escherichia_coli,k141_318,1221,60.0
125,MEGAHIT,Escherichia_coli,k141_549,7925,60.0
126,MEGAHIT,Escherichia_coli,k141_161,44564,60.0
127,MEGAHIT,Escherichia_coli,k141_164,1422,20.389562440869092
128,MEGAHIT,Escherichia_coli,k141_165,1587,60.0
129,MEGAHIT,Escherichia_coli,k141_319,37189,60.0
130,MEGAHIT,Escherichia_coli,k141_777,55046,60.0
131,MEGAHIT,Escherichia_coli,k141_324,17229,60.0
132,MEGAHIT,Escherichia_coli,k141_786,5792,60.0
133,MEGAHIT,Escherichia_coli,k141_791,1135,60.0
134,MEGAHIT,Escherichia_coli,k141_170,1002,60.0
135,MEGAHIT,Escherichia_coli,k141_171,1002,60.0
136,MEGAHIT,Escherichia_coli,k141_805,3207,35.06098959928485
137,MEGAHIT,Escherichia_coli,k141_335,170161,60.0
138,MEGAHIT,Escherichia_coli,k141_339,3862,60.0
139,MEGAHIT,Escherichia_coli,k141_181,31814,60.0
140,MEGAHIT,Escherichia_coli,k141_586,56438,60.0
141,MEGAHIT,Escherichia_coli,k141_588,9868,60.0
142,MEGAHIT,Escherichia_coli,k141_589,6710,60.0
143,MEGAHIT,Escherichia_coli,k141_346,59365,26.663205024910404
144,MEGAHIT,Escherichia_coli,k141_185,73102,60.0
145,MEGAHIT,Escherichia_coli,k141_604,144697,60.0
146,MEGAHIT,Escherichia_coli,k141_825,19385,60.0
147,MEGAHIT,Escherichia_coli,k141_606,74408,60.0
148,MEGAHIT,Escherichia_coli,k141_190,44477,60.0
149,MEGAHIT,Escherichia_coli,k141_607,45610,28.666683827426947
150,MEGAHIT,Escherichia_coli,k141_609,2682,60.0
151,MEGAHIT,Escherichia_coli,k141_357,20500,60.0
152,MEGAHIT,Escherichia_coli,k141_614,1176,60.0
153,MEGAHIT,Escherichia_coli,k141_359,70610,60.0
154,MEGAHIT,Escherichia_coli,k141_360,18584,60.0
155,MEGAHIT,Escherichia_coli,k141_832,56157,60.0
156,MEGAHIT,Escherichia_coli,k141_833,67272,60.0
157,MEGAHIT,Escherichia_coli,k141_363,88313,60.0
158,MEGAHIT,Escherichia_coli,k141_365,3938,60.0
159,MEGAHIT,Escherichia_coli,k141_210,2561,60.0
160,MEGAHIT,Escherichia_coli,k141_211,6996,60.0
161,MEGAHIT,Escherichia_coli,k141_212,2094,60.0
162,MEGAHIT,Escherichia_coli,k141_214,21342,60.0
163,MEGAHIT,Escherichia_coli,k141_218,2610,60.0
164,MEGAHIT,Escherichia_coli,k141_622,2900,60.0
165,MEGAHIT,Escherichia_coli,k141_625,1518,60.0
166,MEGAHIT,Escherichia_coli,k141_375,42809,60.0
167,MEGAHIT,Escherichia_coli,k141_377,4247,60.0
168,MEGAHIT,Escherichia_coli,k141_626,117354,60.0
169,MEGAHIT,Escherichia_coli,k141_628,90017,60.0
170,MEGAHIT,Escherichia_coli,k141_384,15376,60.0
171,MEGAHIT,Escherichia_coli,k141_226,2388,60.0
172,MEGAHIT,Escherichia_coli,k141_385,16228,60.0
173,MEGAHIT,Escherichia_coli,k141_387,26874,60.0
174,MEGAHIT,Escherichia_coli,k141_388,93595,60.0
175,MEGAHIT,Escherichia_coli,k141_399,1295,19.081497857613474
176,MEGAHIT,Escherichia_coli,k141_400,31750,60.0
177,MEGAHIT,Escherichia_coli,k141_402,1149,60.0
178,MEGAHIT,Escherichia_coli,k141_411,1732,60.0
179,MEGAHIT,Escherichia_coli,k141_635,97125,60.0
180,MEGAHIT,Escherichia_coli,k141_418,50355,60.0
181,MEGAHIT,Escherichia_coli,k141_422,17669,60.0
182,MEGAHIT,Escherichia_coli,k141_429,44557,60.0
183,MEGAHIT,Escherichia_coli,k141_857,66485,60.0
184,MEGAHIT,Escherichia_coli,k141_433,42177,60.0
185,MEGAHIT,Escherichia_coli,k141_449,1232,60.0
186,MEGAHIT,Escherichia_coli,k141_450,46381,60.0
187,MEGAHIT,Escherichia_coli,k141_451,33977,60.0
188,MEGAHIT,Escherichia_coli,k141_875,8678,60.0
189,MEGAHIT,Escherichia_coli,k141_676,14811,60.0
190,MEGAHIT,Lactobacillus_fermentum,k141_2,11404,60.0
191,MEGAHIT,Lactobacillus_fermentum,k141_459,20985,60.0
192,MEGAHIT,Lactobacillus_fermentum,k141_460,5671,16.075316116077605
193,MEGAHIT,Lactobacillus_fermentum,k141_29,1238,60.0
194,MEGAHIT,Lactobacillus_fermentum,k141_470,18869,42.7574888447942
195,MEGAHIT,Lactobacillus_fermentum,k141_237,8184,60.0
196,MEGAHIT,Lactobacillus_fermentum,k141_476,81504,60.0
197,MEGAHIT,Lactobacillus_fermentum,k141_477,3025,60.0
198,MEGAHIT,Lactobacillus_fermentum,k141_41,7907,60.0
199,MEGAHIT,Lactobacillus_fermentum,k141_45,6515,60.0
200,MEGAHIT,Lactobacillus_fermentum,k141_46,4228,60.0
201,MEGAHIT,Lactobacillus_fermentum,k141_56,52972,60.0
202,MEGAHIT,Lactobacillus_fermentum,k141_697,121959,60.0
203,MEGAHIT,Lactobacillus_fermentum,k141_65,32514,60.0
204,MEGAHIT,Lactobacillus_fermentum,k141_704,3109,5.64224869786478
205,MEGAHIT,Lactobacillus_fermentum,k141_68,19148,60.0
206,MEGAHIT,Lactobacillus_fermentum,k141_77,1530,60.0
207,MEGAHIT,Lactobacillus_fermentum,k141_716,2464,60.0
208,MEGAHIT,Lactobacillus_fermentum,k141_270,33931,60.0
209,MEGAHIT,Lactobacillus_fermentum,k141_271,3464,60.0
210,MEGAHIT,Lactobacillus_fermentum,k141_272,2755,31.39091607523794
211,MEGAHIT,Lactobacillus_fermentum,k141_273,10832,60.0
212,MEGAHIT,Lactobacillus_fermentum,k141_280,114884,60.0
213,MEGAHIT,Lactobacillus_fermentum,k141_496,4554,60.0
214,MEGAHIT,Lactobacillus_fermentum,k141_499,3260,60.0
215,MEGAHIT,Lactobacillus_fermentum,k141_500,13063,60.0
216,MEGAHIT,Lactobacillus_fermentum,k141_735,87472,60.0
217,MEGAHIT,Lactobacillus_fermentum,k141_736,15608,60.0
218,MEGAHIT,Lactobacillus_fermentum,k141_738,67648,60.0
