,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,SPAdes,Bacillus_subtilis,NODE_3_length_768102_cov_86.674469,768102,55.843889002728886
1,SPAdes,Bacillus_subtilis,NODE_6_length_575719_cov_88.322643,575719,49.15112522357199
2,SPAdes,Bacillus_subtilis,NODE_16_length_324776_cov_87.664032,324776,40.34462673938308
3,SPAdes,Bacillus_subtilis,NODE_18_length_315046_cov_86.848066,315046,60.0
4,SPAdes,Bacillus_subtilis,NODE_22_length_294377_cov_86.435717,294377,54.68903875078283
5,SPAdes,Bacillus_subtilis,NODE_25_length_271914_cov_87.117267,271914,51.33401572959344
6,SPAdes,Bacillus_subtilis,NODE_26_length_263195_cov_87.121540,263195,60.0
7,SPAdes,Bacillus_subtilis,NODE_29_length_256975_cov_86.999194,256975,60.0
8,SPAdes,Bacillus_subtilis,NODE_32_length_252297_cov_86.562226,252297,37.68443630882566
9,SPAdes,Bacillus_subtilis,NODE_55_length_155873_cov_86.697878,155873,60.0
10,SPAdes,Bacillus_subtilis,NODE_66_length_137190_cov_86.643789,137190,60.0
11,SPAdes,Bacillus_subtilis,NODE_77_length_122533_cov_88.650762,122533,46.11131811840001
12,SPAdes,Bacillus_subtilis,NODE_139_length_59754_cov_86.436205,59754,60.0
13,SPAdes,Bacillus_subtilis,NODE_142_length_55208_cov_87.428880,55208,44.40972018733902
14,SPAdes,Bacillus_subtilis,NODE_170_length_38267_cov_87.254109,38267,60.0
15,SPAdes,Bacillus_subtilis,NODE_175_length_37061_cov_86.528860,37061,60.0
16,SPAdes,Bacillus_subtilis,NODE_199_length_29453_cov_86.708688,29453,60.0
17,SPAdes,Bacillus_subtilis,NODE_254_length_15483_cov_87.311965,15483,60.0
18,SPAdes,Enterococcus_faecalis,NODE_4_length_638177_cov_183.426879,638177,60.0
19,SPAdes,Enterococcus_faecalis,NODE_20_length_309570_cov_183.807250,309570,47.917888628373
20,SPAdes,Enterococcus_faecalis,NODE_24_length_282982_cov_184.578852,282982,47.52788807338114
21,SPAdes,Enterococcus_faecalis,NODE_39_length_198351_cov_183.315912,198351,52.97434394345066
22,SPAdes,Enterococcus_faecalis,NODE_70_length_130036_cov_183.909848,130036,60.0
23,SPAdes,Enterococcus_faecalis,NODE_75_length_125922_cov_185.527088,125922,51.00101612904532
24,SPAdes,Enterococcus_faecalis,NODE_76_length_124471_cov_185.674005,124471,50.950681786874426
25,SPAdes,Enterococcus_faecalis,NODE_83_length_115495_cov_182.902928,115495,60.0
26,SPAdes,Enterococcus_faecalis,NODE_84_length_113115_cov_182.826004,113115,60.0
27,SPAdes,Enterococcus_faecalis,NODE_91_length_104955_cov_183.572469,104955,44.189431416400225
28,SPAdes,Enterococcus_faecalis,NODE_113_length_86713_cov_186.650511,86713,27.050881013289505
29,SPAdes,Enterococcus_faecalis,NODE_124_length_77610_cov_182.733131,77610,60.0
30,SPAdes,Enterococcus_faecalis,NODE_126_length_74082_cov_184.017494,74082,48.69712698527535
31,SPAdes,Enterococcus_faecalis,NODE_131_length_64398_cov_184.347342,64398,60.0
32,SPAdes,Enterococcus_faecalis,NODE_135_length_61208_cov_183.677219,61208,60.0
33,SPAdes,Enterococcus_faecalis,NODE_150_length_49621_cov_182.615361,49621,60.0
34,SPAdes,Enterococcus_faecalis,NODE_162_length_43345_cov_182.906630,43345,60.0
35,SPAdes,Enterococcus_faecalis,NODE_179_length_36042_cov_190.606636,36042,42.557788866672595
36,SPAdes,Enterococcus_faecalis,NODE_180_length_35769_cov_224.334631,35769,60.0
37,SPAdes,Enterococcus_faecalis,NODE_186_length_33887_cov_188.031863,33887,38.310631183189884
38,SPAdes,Enterococcus_faecalis,NODE_196_length_30406_cov_182.919245,30406,60.0
39,SPAdes,Enterococcus_faecalis,NODE_200_length_29217_cov_183.783863,29217,60.0
40,SPAdes,Enterococcus_faecalis,NODE_209_length_27255_cov_182.000735,27255,60.0
41,SPAdes,Enterococcus_faecalis,NODE_266_length_13356_cov_186.626870,13356,41.25676410382164
42,SPAdes,Enterococcus_faecalis,NODE_351_length_1736_cov_371.024390,1736,26.37489729512502
43,SPAdes,Enterococcus_faecalis,NODE_358_length_1514_cov_360.567512,1514,60.0
44,SPAdes,Enterococcus_faecalis,NODE_401_length_1048_cov_357.471299,1048,30.20361282647688
45,SPAdes,Escherichia_coli_plasmid,NODE_145_length_53039_cov_20476.359769,53039,60.0
46,SPAdes,Escherichia_coli_plasmid,NODE_206_length_27642_cov_20579.540037,27642,60.0
47,SPAdes,Escherichia_coli_plasmid,NODE_214_length_26438_cov_20555.624000,26438,60.0
48,SPAdes,Escherichia_coli_plasmid,NODE_388_length_1136_cov_20544.339500,1136,60.0
49,SPAdes,Escherichia_coli,NODE_41_length_194278_cov_31.588262,194278,38.41265592625898
50,SPAdes,Escherichia_coli,NODE_50_length_169116_cov_31.245000,169116,37.81026666634007
51,SPAdes,Escherichia_coli,NODE_57_length_150745_cov_31.868166,150745,42.24000406673752
52,SPAdes,Escherichia_coli,NODE_58_length_147583_cov_32.775480,147583,37.88825092527314
53,SPAdes,Escherichia_coli,NODE_60_length_144094_cov_30.875485,144094,39.0337339228831
54,SPAdes,Escherichia_coli,NODE_71_length_129691_cov_31.335231,129691,48.11879843287072
55,SPAdes,Escherichia_coli,NODE_73_length_128895_cov_30.965966,128895,37.30024829136448
56,SPAdes,Escherichia_coli,NODE_74_length_126862_cov_31.084498,126862,60.0
57,SPAdes,Escherichia_coli,NODE_82_length_115733_cov_30.638151,115733,42.853059605507354
58,SPAdes,Escherichia_coli,NODE_88_length_108026_cov_31.238925,108026,41.88430255264968
59,SPAdes,Escherichia_coli,NODE_92_length_104729_cov_31.092831,104729,60.0
60,SPAdes,Escherichia_coli,NODE_94_length_101964_cov_31.164303,101964,60.0
61,SPAdes,Escherichia_coli,NODE_98_length_98776_cov_30.958459,98776,40.91561448145082
62,SPAdes,Escherichia_coli,NODE_99_length_97284_cov_30.766438,97284,49.88041419063304
63,SPAdes,Escherichia_coli,NODE_103_length_93543_cov_31.405357,93543,60.0
64,SPAdes,Escherichia_coli,NODE_104_length_93475_cov_31.792528,93475,35.235374424840636
65,SPAdes,Escherichia_coli,NODE_105_length_93327_cov_30.677781,93327,60.0
66,SPAdes,Escherichia_coli,NODE_106_length_93269_cov_30.992866,93269,43.67677329094729
67,SPAdes,Escherichia_coli,NODE_109_length_88778_cov_32.113398,88778,37.178564355901706
68,SPAdes,Escherichia_coli,NODE_112_length_86785_cov_31.107667,86785,38.24501315494324
69,SPAdes,Escherichia_coli,NODE_114_length_85988_cov_31.141773,85988,60.0
70,SPAdes,Escherichia_coli,NODE_115_length_83262_cov_189.289182,83262,34.7328880733116
71,SPAdes,Escherichia_coli,NODE_116_length_82872_cov_31.121074,82872,60.0
72,SPAdes,Escherichia_coli,NODE_121_length_79371_cov_31.287218,79371,42.97601860714509
73,SPAdes,Escherichia_coli,NODE_122_length_78319_cov_31.478355,78319,33.37564632863651
74,SPAdes,Escherichia_coli,NODE_128_length_72045_cov_31.646645,72045,60.0
75,SPAdes,Escherichia_coli,NODE_136_length_61081_cov_30.832743,61081,60.0
76,SPAdes,Escherichia_coli,NODE_137_length_60686_cov_32.498524,60686,60.0
77,SPAdes,Escherichia_coli,NODE_138_length_60256_cov_31.593778,60256,32.23697797569284
78,SPAdes,Escherichia_coli,NODE_140_length_58935_cov_31.266084,58935,38.16130778428195
79,SPAdes,Escherichia_coli,NODE_141_length_56978_cov_31.030357,56978,31.324579104864895
80,SPAdes,Escherichia_coli,NODE_144_length_53639_cov_31.835753,53639,44.28450676972615
81,SPAdes,Escherichia_coli,NODE_149_length_51258_cov_30.692713,51258,60.0
82,SPAdes,Escherichia_coli,NODE_159_length_44532_cov_31.709895,44532,37.45582213404393
83,SPAdes,Escherichia_coli,NODE_161_length_43979_cov_30.797696,43979,38.6509409971127
84,SPAdes,Escherichia_coli,NODE_163_length_42716_cov_31.356696,42716,33.51836976886431
85,SPAdes,Escherichia_coli,NODE_164_length_42566_cov_31.820211,42566,35.49881594649855
86,SPAdes,Escherichia_coli,NODE_165_length_42411_cov_34.317381,42411,60.0
87,SPAdes,Escherichia_coli,NODE_166_length_41614_cov_31.552853,41614,60.0
88,SPAdes,Escherichia_coli,NODE_167_length_40218_cov_31.212808,40218,37.01330482785374
89,SPAdes,Escherichia_coli,NODE_169_length_38971_cov_31.334335,38971,33.86621567322307
90,SPAdes,Escherichia_coli,NODE_177_length_36483_cov_31.905375,36483,60.0
91,SPAdes,Escherichia_coli,NODE_182_length_34731_cov_32.663571,34731,60.0
92,SPAdes,Escherichia_coli,NODE_183_length_34390_cov_30.571749,34390,45.36432175822617
93,SPAdes,Escherichia_coli,NODE_185_length_34324_cov_33.131606,34324,39.33537901971547
94,SPAdes,Escherichia_coli,NODE_190_length_32508_cov_31.066743,32508,60.0
95,SPAdes,Escherichia_coli,NODE_191_length_32492_cov_31.174122,32492,60.0
96,SPAdes,Escherichia_coli,NODE_194_length_30659_cov_31.598941,30659,31.855279897674485
97,SPAdes,Escherichia_coli,NODE_197_length_29821_cov_30.763623,29821,60.0
98,SPAdes,Escherichia_coli,NODE_198_length_29561_cov_30.869010,29561,60.0
99,SPAdes,Escherichia_coli,NODE_207_length_27605_cov_372.310163,27605,60.0
100,SPAdes,Escherichia_coli,NODE_208_length_27415_cov_31.722697,27415,39.60866995499814
101,SPAdes,Escherichia_coli,NODE_212_length_26668_cov_33.324766,26668,60.0
102,SPAdes,Escherichia_coli,NODE_215_length_26409_cov_30.582834,26409,60.0
103,SPAdes,Escherichia_coli,NODE_216_length_25981_cov_31.264136,25981,33.354746168604564
104,SPAdes,Escherichia_coli,NODE_218_length_25792_cov_31.619925,25792,34.11485020124942
105,SPAdes,Escherichia_coli,NODE_219_length_25638_cov_30.743072,25638,60.0
106,SPAdes,Escherichia_coli,NODE_220_length_25443_cov_31.340752,25443,60.0
107,SPAdes,Escherichia_coli,NODE_227_length_22662_cov_30.530676,22662,60.0
108,SPAdes,Escherichia_coli,NODE_228_length_22442_cov_31.609952,22442,60.0
109,SPAdes,Escherichia_coli,NODE_231_length_21163_cov_30.908234,21163,40.24547236276244
110,SPAdes,Escherichia_coli,NODE_234_length_20793_cov_37.195776,20793,60.0
111,SPAdes,Escherichia_coli,NODE_235_length_20420_cov_32.905328,20420,60.0
112,SPAdes,Escherichia_coli,NODE_238_length_19213_cov_30.853638,19213,60.0
113,SPAdes,Escherichia_coli,NODE_241_length_18949_cov_30.929396,18949,60.0
114,SPAdes,Escherichia_coli,NODE_242_length_18590_cov_31.184893,18590,60.0
115,SPAdes,Escherichia_coli,NODE_243_length_18226_cov_31.920147,18226,60.0
116,SPAdes,Escherichia_coli,NODE_245_length_17692_cov_31.687078,17692,60.0
117,SPAdes,Escherichia_coli,NODE_246_length_17472_cov_31.311477,17472,33.972445810103274
118,SPAdes,Escherichia_coli,NODE_248_length_17322_cov_31.205189,17322,37.61476779544813
119,SPAdes,Escherichia_coli,NODE_249_length_16867_cov_31.124375,16867,60.0
120,SPAdes,Escherichia_coli,NODE_260_length_14228_cov_30.879701,14228,60.0
121,SPAdes,Escherichia_coli,NODE_263_length_14084_cov_30.710671,14084,60.0
122,SPAdes,Escherichia_coli,NODE_265_length_13784_cov_30.956807,13784,60.0
123,SPAdes,Escherichia_coli,NODE_269_length_13048_cov_30.583468,13048,60.0
124,SPAdes,Escherichia_coli,NODE_270_length_12893_cov_31.244664,12893,34.11383978328003
125,SPAdes,Escherichia_coli,NODE_271_length_12776_cov_31.794199,12776,60.0
126,SPAdes,Escherichia_coli,NODE_276_length_11137_cov_30.196625,11137,60.0
127,SPAdes,Escherichia_coli,NODE_277_length_10870_cov_31.898382,10870,34.34169552758317
128,SPAdes,Escherichia_coli,NODE_278_length_10832_cov_33.600074,10832,24.906406069907874
129,SPAdes,Escherichia_coli,NODE_280_length_10171_cov_31.729142,10171,60.0
130,SPAdes,Escherichia_coli,NODE_282_length_9799_cov_31.719007,9799,60.0
131,SPAdes,Escherichia_coli,NODE_283_length_9188_cov_32.656739,9188,27.871297274673022
132,SPAdes,Escherichia_coli,NODE_285_length_8901_cov_37.245422,8901,60.0
133,SPAdes,Escherichia_coli,NODE_291_length_7955_cov_31.338608,7955,60.0
134,SPAdes,Escherichia_coli,NODE_293_length_7903_cov_30.824796,7903,60.0
135,SPAdes,Escherichia_coli,NODE_294_length_7854_cov_29.696628,7854,60.0
136,SPAdes,Escherichia_coli,NODE_295_length_7344_cov_32.483605,7344,60.0
137,SPAdes,Escherichia_coli,NODE_299_length_6298_cov_30.889636,6298,60.0
138,SPAdes,Escherichia_coli,NODE_300_length_5980_cov_31.686076,5980,60.0
139,SPAdes,Escherichia_coli,NODE_310_length_4081_cov_32.474416,4081,60.0
140,SPAdes,Escherichia_coli,NODE_313_length_3998_cov_30.459802,3998,60.0
141,SPAdes,Escherichia_coli,NODE_315_length_3950_cov_30.494480,3950,60.0
142,SPAdes,Escherichia_coli,NODE_321_length_3505_cov_31.457391,3505,60.0
143,SPAdes,Escherichia_coli,NODE_325_length_3298_cov_31.009867,3298,60.0
144,SPAdes,Escherichia_coli,NODE_326_length_3170_cov_31.690530,3170,60.0
145,SPAdes,Escherichia_coli,NODE_334_length_2646_cov_30.405635,2646,60.0
146,SPAdes,Escherichia_coli,NODE_335_length_2582_cov_61.044321,2582,60.0
147,SPAdes,Escherichia_coli,NODE_341_length_2188_cov_32.401782,2188,60.0
148,SPAdes,Escherichia_coli,NODE_345_length_1979_cov_89.725572,1979,60.0
149,SPAdes,Escherichia_coli,NODE_362_length_1465_cov_31.801418,1465,60.0
150,SPAdes,Escherichia_coli,NODE_366_length_1396_cov_31.982849,1396,60.0
151,SPAdes,Escherichia_coli,NODE_369_length_1347_cov_30.324303,1347,60.0
152,SPAdes,Escherichia_coli,NODE_371_length_1343_cov_186.312112,1343,60.0
153,SPAdes,Escherichia_coli,NODE_379_length_1232_cov_60.163127,1232,60.0
154,SPAdes,Escherichia_coli,NODE_380_length_1221_cov_58.608919,1221,60.0
155,SPAdes,Escherichia_coli,NODE_381_length_1217_cov_30.535284,1217,60.0
156,SPAdes,Escherichia_coli,NODE_382_length_1201_cov_30.206806,1201,60.0
157,SPAdes,Escherichia_coli,NODE_386_length_1151_cov_28.020073,1151,60.0
158,SPAdes,Escherichia_coli,NODE_387_length_1143_cov_30.536765,1143,60.0
159,SPAdes,Escherichia_coli,NODE_390_length_1120_cov_30.824413,1120,60.0
160,SPAdes,Escherichia_coli,NODE_392_length_1096_cov_32.697406,1096,60.0
161,SPAdes,Escherichia_coli,NODE_394_length_1084_cov_95.455782,1084,60.0
162,SPAdes,Escherichia_coli,NODE_396_length_1074_cov_73.229637,1074,60.0
163,SPAdes,Escherichia_coli,NODE_398_length_1063_cov_32.861111,1063,60.0
164,SPAdes,Escherichia_coli,NODE_399_length_1061_cov_29.745527,1061,60.0
165,SPAdes,Escherichia_coli,NODE_400_length_1051_cov_29.244980,1051,60.0
166,SPAdes,Escherichia_coli,NODE_404_length_1010_cov_35.743455,1010,60.0
167,SPAdes,Escherichia_coli,NODE_405_length_1004_cov_28.444679,1004,60.0
168,SPAdes,Lactobacillus_fermentum,NODE_78_length_121789_cov_240.809256,121789,60.0
169,SPAdes,Lactobacillus_fermentum,NODE_81_length_117108_cov_268.880268,117108,45.914653093298085
170,SPAdes,Lactobacillus_fermentum,NODE_96_length_99251_cov_246.551101,99251,60.0
171,SPAdes,Lactobacillus_fermentum,NODE_97_length_99158_cov_241.294481,99158,60.0
172,SPAdes,Lactobacillus_fermentum,NODE_118_length_81333_cov_240.161089,81333,60.0
173,SPAdes,Lactobacillus_fermentum,NODE_123_length_77774_cov_241.730619,77774,60.0
174,SPAdes,Lactobacillus_fermentum,NODE_127_length_73375_cov_251.442621,73375,60.0
175,SPAdes,Lactobacillus_fermentum,NODE_132_length_63741_cov_240.414188,63741,60.0
176,SPAdes,Lactobacillus_fermentum,NODE_146_length_52801_cov_242.500948,52801,60.0
177,SPAdes,Lactobacillus_fermentum,NODE_153_length_46762_cov_242.737470,46762,60.0
178,SPAdes,Lactobacillus_fermentum,NODE_154_length_46143_cov_256.640904,46143,60.0
179,SPAdes,Lactobacillus_fermentum,NODE_155_length_46069_cov_240.937084,46069,60.0
180,SPAdes,Lactobacillus_fermentum,NODE_156_length_45008_cov_249.721309,45008,60.0
181,SPAdes,Lactobacillus_fermentum,NODE_160_length_44308_cov_240.380042,44308,60.0
182,SPAdes,Lactobacillus_fermentum,NODE_168_length_40156_cov_243.055959,40156,60.0
183,SPAdes,Lactobacillus_fermentum,NODE_172_length_37380_cov_241.439759,37380,60.0
184,SPAdes,Lactobacillus_fermentum,NODE_173_length_37198_cov_240.332176,37198,60.0
185,SPAdes,Lactobacillus_fermentum,NODE_178_length_36155_cov_245.150471,36155,60.0
186,SPAdes,Lactobacillus_fermentum,NODE_188_length_33760_cov_239.822519,33760,60.0
187,SPAdes,Lactobacillus_fermentum,NODE_189_length_33202_cov_312.433433,33202,60.0
188,SPAdes,Lactobacillus_fermentum,NODE_192_length_32350_cov_241.503143,32350,60.0
189,SPAdes,Lactobacillus_fermentum,NODE_201_length_29165_cov_242.908176,29165,60.0
190,SPAdes,Lactobacillus_fermentum,NODE_202_length_28995_cov_243.061818,28995,60.0
191,SPAdes,Lactobacillus_fermentum,NODE_203_length_28360_cov_240.768380,28360,60.0
192,SPAdes,Lactobacillus_fermentum,NODE_205_length_28013_cov_241.440589,28013,60.0
193,SPAdes,Lactobacillus_fermentum,NODE_221_length_25085_cov_244.686217,25085,60.0
194,SPAdes,Lactobacillus_fermentum,NODE_222_length_24239_cov_241.525761,24239,60.0
195,SPAdes,Lactobacillus_fermentum,NODE_225_length_23375_cov_241.198671,23375,60.0
196,SPAdes,Lactobacillus_fermentum,NODE_230_length_21290_cov_243.682741,21290,60.0
197,SPAdes,Lactobacillus_fermentum,NODE_236_length_20392_cov_241.282883,20392,60.0
198,SPAdes,Lactobacillus_fermentum,NODE_239_length_18976_cov_240.810528,18976,60.0
199,SPAdes,Lactobacillus_fermentum,NODE_244_length_18008_cov_238.289645,18008,60.0
200,SPAdes,Lactobacillus_fermentum,NODE_250_length_16779_cov_259.671729,16779,60.0
201,SPAdes,Lactobacillus_fermentum,NODE_251_length_16563_cov_238.587170,16563,60.0
202,SPAdes,Lactobacillus_fermentum,NODE_252_length_16114_cov_240.736098,16114,60.0
203,SPAdes,Lactobacillus_fermentum,NODE_256_length_14697_cov_243.000341,14697,60.0
204,SPAdes,Lactobacillus_fermentum,NODE_257_length_14622_cov_240.347978,14622,60.0
205,SPAdes,Lactobacillus_fermentum,NODE_258_length_14509_cov_241.123841,14509,60.0
206,SPAdes,Lactobacillus_fermentum,NODE_259_length_14456_cov_240.929727,14456,60.0
207,SPAdes,Lactobacillus_fermentum,NODE_264_length_13996_cov_240.013414,13996,60.0
208,SPAdes,Lactobacillus_fermentum,NODE_273_length_11888_cov_241.477225,11888,60.0
209,SPAdes,Lactobacillus_fermentum,NODE_275_length_11173_cov_238.718295,11173,60.0
210,SPAdes,Lactobacillus_fermentum,NODE_279_length_10764_cov_248.952470,10764,60.0
211,SPAdes,Lactobacillus_fermentum,NODE_284_length_8917_cov_247.114534,8917,60.0
212,SPAdes,Lactobacillus_fermentum,NODE_286_length_8828_cov_241.166306,8828,60.0
213,SPAdes,Lactobacillus_fermentum,NODE_287_length_8759_cov_239.267463,8759,60.0
214,SPAdes,Lactobacillus_fermentum,NODE_288_length_8523_cov_241.852149,8523,60.0
215,SPAdes,Lactobacillus_fermentum,NODE_292_length_7935_cov_243.664594,7935,60.0
216,SPAdes,Lactobacillus_fermentum,NODE_298_length_6398_cov_246.661359,6398,60.0
217,SPAdes,Lactobacillus_fermentum,NODE_304_length_5029_cov_240.150181,5029,60.0
218,SPAdes,Lactobacillus_fermentum,NODE_307_length_4525_cov_291.976286,4525,60.0
219,SPAdes,Lactobacillus_fermentum,NODE_311_length_4056_cov_224.588603,4056,60.0
220,SPAdes,Lactobacillus_fermentum,NODE_316_length_3882_cov_242.758035,3882,60.0
221,SPAdes,Lactobacillus_fermentum,NODE_317_length_3829_cov_241.419449,3829,60.0
222,SPAdes,Lactobacillus_fermentum,NODE_323_length_3459_cov_242.608989,3459,60.0
223,SPAdes,Lactobacillus_fermentum,NODE_324_length_3370_cov_242.358974,3370,60.0
224,SPAdes,Lactobacillus_fermentum,NODE_328_length_3088_cov_242.396307,3088,60.0
225,SPAdes,Lactobacillus_fermentum,NODE_330_length_3028_cov_242.364615,3028,60.0
226,SPAdes,Lactobacillus_fermentum,NODE_339_length_2292_cov_246.222620,2292,60.0
227,SPAdes,Lactobacillus_fermentum,NODE_344_length_1990_cov_1491.835142,1990,60.0
228,SPAdes,Lactobacillus_fermentum,NODE_350_length_1777_cov_255.822300,1777,60.0
229,SPAdes,Lactobacillus_fermentum,NODE_352_length_1704_cov_241.750426,1704,60.0
230,SPAdes,Lactobacillus_fermentum,NODE_353_length_1702_cov_1215.322404,1702,60.0
231,SPAdes,Lactobacillus_fermentum,NODE_357_length_1618_cov_972.067818,1618,60.0
232,SPAdes,Lactobacillus_fermentum,NODE_364_length_1409_cov_1215.751846,1409,60.0
233,SPAdes,Lactobacillus_fermentum,NODE_365_length_1400_cov_1710.819331,1400,60.0
234,SPAdes,Lactobacillus_fermentum,NODE_367_length_1394_cov_298.855116,1394,60.0
235,SPAdes,Lactobacillus_fermentum,NODE_370_length_1343_cov_483.911491,1343,60.0
236,SPAdes,Lactobacillus_fermentum,NODE_377_length_1254_cov_477.294412,1254,60.0
237,SPAdes,Lactobacillus_fermentum,NODE_391_length_1100_cov_2501.272727,1100,60.0
238,SPAdes,Lactobacillus_fermentum,NODE_393_length_1095_cov_961.681731,1095,60.0
239,SPAdes,Lactobacillus_fermentum,NODE_395_length_1074_cov_976.648675,1074,60.0
240,SPAdes,Listeria_monocytogenes,NODE_5_length_632189_cov_39.818561,632189,60.0
241,SPAdes,Listeria_monocytogenes,NODE_7_length_537805_cov_39.852854,537805,57.30624835567758
242,SPAdes,Listeria_monocytogenes,NODE_9_length_474704_cov_39.900227,474704,60.0
243,SPAdes,Listeria_monocytogenes,NODE_30_length_254541_cov_39.825755,254541,60.0
244,SPAdes,Listeria_monocytogenes,NODE_53_length_163269_cov_39.788934,163269,60.0
245,SPAdes,Listeria_monocytogenes,NODE_59_length_145419_cov_40.631284,145419,40.834399077661786
246,SPAdes,Listeria_monocytogenes,NODE_64_length_137664_cov_41.057823,137664,51.38820384373198
247,SPAdes,Listeria_monocytogenes,NODE_87_length_109539_cov_39.641336,109539,60.0
248,SPAdes,Listeria_monocytogenes,NODE_93_length_103271_cov_40.229180,103271,60.0
249,SPAdes,Listeria_monocytogenes,NODE_95_length_99661_cov_39.345401,99661,60.0
250,SPAdes,Listeria_monocytogenes,NODE_100_length_96309_cov_39.766025,96309,60.0
251,SPAdes,Listeria_monocytogenes,NODE_119_length_80880_cov_39.762821,80880,60.0
252,SPAdes,Listeria_monocytogenes,NODE_176_length_36841_cov_39.265753,36841,60.0
253,SPAdes,Listeria_monocytogenes,NODE_195_length_30620_cov_40.173663,30620,60.0
254,SPAdes,Listeria_monocytogenes,NODE_305_length_4850_cov_39.268613,4850,60.0
255,SPAdes,Listeria_monocytogenes,NODE_318_length_3811_cov_50.009052,3811,26.26796439332849
256,SPAdes,Listeria_monocytogenes,NODE_338_length_2301_cov_325.889581,2301,27.598566273406725
257,SPAdes,Listeria_monocytogenes,NODE_389_length_1131_cov_79.490706,1131,60.0
258,SPAdes,Pseudomonas_aeruginosa,NODE_1_length_847495_cov_84.514209,847495,50.2504715766645
259,SPAdes,Pseudomonas_aeruginosa,NODE_8_length_517110_cov_84.573680,517110,60.0
260,SPAdes,Pseudomonas_aeruginosa,NODE_10_length_465075_cov_84.296407,465075,60.0
261,SPAdes,Pseudomonas_aeruginosa,NODE_11_length_424776_cov_84.987024,424776,42.47948729257505
262,SPAdes,Pseudomonas_aeruginosa,NODE_12_length_411251_cov_85.275163,411251,45.72714281833845
263,SPAdes,Pseudomonas_aeruginosa,NODE_14_length_335548_cov_84.803298,335548,60.0
264,SPAdes,Pseudomonas_aeruginosa,NODE_15_length_331185_cov_84.773210,331185,55.20070658526316
265,SPAdes,Pseudomonas_aeruginosa,NODE_19_length_310929_cov_87.016473,310929,42.62212308714112
