,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MINIA,Bacillus_subtilis,191,1209,30.824263008607677
1,MINIA,Bacillus_subtilis,447,18111,60.0
2,MINIA,Bacillus_subtilis,760,15639,60.0
3,MINIA,Bacillus_subtilis,989,6576,60.0
4,MINIA,Bacillus_subtilis,3494,4734,60.0
5,MINIA,Bacillus_subtilis,4107,5861,60.0
6,MINIA,Bacillus_subtilis,4210,10879,60.0
7,MINIA,Bacillus_subtilis,4490,20149,60.0
8,MINIA,Bacillus_subtilis,4581,23078,60.0
9,MINIA,Bacillus_subtilis,4659,21060,60.0
10,MINIA,Bacillus_subtilis,4937,1421,60.0
11,MINIA,Bacillus_subtilis,4972,1694,60.0
12,MINIA,Bacillus_subtilis,5421,33550,60.0
13,MINIA,Bacillus_subtilis,5537,9118,60.0
14,MINIA,Bacillus_subtilis,5538,14173,60.0
15,MINIA,Bacillus_subtilis,5608,34895,60.0
16,MINIA,Bacillus_subtilis,5647,47537,60.0
17,MINIA,Bacillus_subtilis,5657,22960,60.0
18,MINIA,Bacillus_subtilis,5746,103892,60.0
19,MINIA,Bacillus_subtilis,5783,9364,60.0
20,MINIA,Bacillus_subtilis,5785,52285,60.0
21,MINIA,Bacillus_subtilis,5970,9931,60.0
22,MINIA,Bacillus_subtilis,6129,18983,60.0
23,MINIA,Bacillus_subtilis,6181,124837,60.0
24,MINIA,Bacillus_subtilis,6209,38392,60.0
25,MINIA,Bacillus_subtilis,6267,6201,60.0
26,MINIA,Bacillus_subtilis,6460,4233,60.0
27,MINIA,Bacillus_subtilis,6543,1140,60.0
28,MINIA,Bacillus_subtilis,6633,14286,60.0
29,MINIA,Bacillus_subtilis,6670,33507,60.0
30,MINIA,Bacillus_subtilis,6768,7540,60.0
31,MINIA,Bacillus_subtilis,7135,9821,60.0
32,MINIA,Bacillus_subtilis,7272,94919,60.0
33,MINIA,Bacillus_subtilis,7290,34627,60.0
34,MINIA,Bacillus_subtilis,7291,62539,60.0
35,MINIA,Bacillus_subtilis,7324,98666,60.0
36,MINIA,Bacillus_subtilis,7325,69826,60.0
37,MINIA,Bacillus_subtilis,7450,1655,60.0
38,MINIA,Bacillus_subtilis,7766,29060,60.0
39,MINIA,Bacillus_subtilis,7824,1288,60.0
40,MINIA,Bacillus_subtilis,7863,2281,60.0
41,MINIA,Bacillus_subtilis,8179,3028,60.0
42,MINIA,Bacillus_subtilis,8313,34762,60.0
43,MINIA,Bacillus_subtilis,8373,64960,60.0
44,MINIA,Bacillus_subtilis,8549,15297,60.0
45,MINIA,Bacillus_subtilis,8568,120956,60.0
46,MINIA,Bacillus_subtilis,8759,71660,60.0
47,MINIA,Bacillus_subtilis,8877,2019,60.0
48,MINIA,Bacillus_subtilis,9209,22993,60.0
49,MINIA,Bacillus_subtilis,9518,48017,60.0
50,MINIA,Bacillus_subtilis,9595,33728,60.0
51,MINIA,Bacillus_subtilis,9703,17522,60.0
52,MINIA,Bacillus_subtilis,9713,16891,60.0
53,MINIA,Bacillus_subtilis,9754,14089,60.0
54,MINIA,Bacillus_subtilis,10024,1409,60.0
55,MINIA,Bacillus_subtilis,10031,2963,60.0
56,MINIA,Bacillus_subtilis,10083,98729,60.0
57,MINIA,Bacillus_subtilis,10184,56211,60.0
58,MINIA,Bacillus_subtilis,10191,22680,60.0
59,MINIA,Bacillus_subtilis,10360,1871,60.0
60,MINIA,Bacillus_subtilis,10430,5588,60.0
61,MINIA,Bacillus_subtilis,10563,2649,60.0
62,MINIA,Bacillus_subtilis,10686,132084,60.0
63,MINIA,Bacillus_subtilis,10772,118623,60.0
64,MINIA,Bacillus_subtilis,10790,1034,60.0
65,MINIA,Bacillus_subtilis,10819,73760,60.0
66,MINIA,Bacillus_subtilis,10892,37222,60.0
67,MINIA,Bacillus_subtilis,10928,40051,60.0
68,MINIA,Bacillus_subtilis,10931,92807,60.0
69,MINIA,Bacillus_subtilis,11129,76544,60.0
70,MINIA,Bacillus_subtilis,11235,1012,60.0
71,MINIA,Bacillus_subtilis,11337,43056,60.0
72,MINIA,Bacillus_subtilis,11471,5690,60.0
73,MINIA,Bacillus_subtilis,11533,2212,60.0
74,MINIA,Bacillus_subtilis,11682,11395,60.0
75,MINIA,Bacillus_subtilis,11712,26545,60.0
76,MINIA,Bacillus_subtilis,11985,32916,60.0
77,MINIA,Bacillus_subtilis,12221,65138,60.0
78,MINIA,Bacillus_subtilis,12457,4486,60.0
79,MINIA,Bacillus_subtilis,12495,55052,60.0
80,MINIA,Bacillus_subtilis,12516,54122,60.0
81,MINIA,Bacillus_subtilis,12572,99700,60.0
82,MINIA,Bacillus_subtilis,12575,122458,60.0
83,MINIA,Bacillus_subtilis,12761,22483,60.0
84,MINIA,Bacillus_subtilis,12915,1188,60.0
85,MINIA,Bacillus_subtilis,12955,25257,60.0
86,MINIA,Bacillus_subtilis,12984,3030,60.0
87,MINIA,Bacillus_subtilis,13382,11552,60.0
88,MINIA,Bacillus_subtilis,13508,50907,60.0
89,MINIA,Bacillus_subtilis,13755,16631,60.0
90,MINIA,Bacillus_subtilis,13811,18038,60.0
91,MINIA,Bacillus_subtilis,14072,30985,60.0
92,MINIA,Bacillus_subtilis,14085,2068,60.0
93,MINIA,Bacillus_subtilis,14157,5449,60.0
94,MINIA,Bacillus_subtilis,14217,29149,60.0
95,MINIA,Bacillus_subtilis,14285,25644,60.0
96,MINIA,Bacillus_subtilis,14311,78694,60.0
97,MINIA,Bacillus_subtilis,14459,127934,60.0
98,MINIA,Bacillus_subtilis,14510,58393,60.0
99,MINIA,Bacillus_subtilis,14630,3374,60.0
100,MINIA,Bacillus_subtilis,14840,54268,60.0
101,MINIA,Bacillus_subtilis,15012,77357,60.0
102,MINIA,Bacillus_subtilis,15015,25638,60.0
103,MINIA,Bacillus_subtilis,15021,72434,60.0
104,MINIA,Bacillus_subtilis,15524,3629,60.0
105,MINIA,Bacillus_subtilis,15677,1041,60.0
106,MINIA,Bacillus_subtilis,15681,12323,60.0
107,MINIA,Bacillus_subtilis,15859,4316,60.0
108,MINIA,Bacillus_subtilis,16015,1698,60.0
109,MINIA,Bacillus_subtilis,16072,63199,60.0
110,MINIA,Bacillus_subtilis,16167,36788,60.0
111,MINIA,Bacillus_subtilis,16215,37011,60.0
112,MINIA,Bacillus_subtilis,16392,56828,60.0
113,MINIA,Bacillus_subtilis,16490,69010,60.0
114,MINIA,Bacillus_subtilis,16498,6767,60.0
115,MINIA,Bacillus_subtilis,16511,24109,60.0
116,MINIA,Bacillus_subtilis,16519,21268,60.0
117,MINIA,Enterococcus_faecalis,833,1830,26.60391098402458
118,MINIA,Enterococcus_faecalis,4081,19684,60.0
119,MINIA,Enterococcus_faecalis,4185,9965,60.0
120,MINIA,Enterococcus_faecalis,4196,11721,60.0
121,MINIA,Enterococcus_faecalis,4292,1771,60.0
122,MINIA,Enterococcus_faecalis,4296,14834,60.0
123,MINIA,Enterococcus_faecalis,4454,6646,60.0
124,MINIA,Enterococcus_faecalis,4533,3294,60.0
125,MINIA,Enterococcus_faecalis,4574,10460,60.0
126,MINIA,Enterococcus_faecalis,4579,16573,60.0
127,MINIA,Enterococcus_faecalis,4603,8661,60.0
128,MINIA,Enterococcus_faecalis,4618,46840,60.0
129,MINIA,Enterococcus_faecalis,4633,59082,60.0
130,MINIA,Enterococcus_faecalis,4654,9798,60.0
131,MINIA,Enterococcus_faecalis,4661,34354,60.0
132,MINIA,Enterococcus_faecalis,5416,22204,60.0
133,MINIA,Enterococcus_faecalis,5418,1250,60.0
134,MINIA,Enterococcus_faecalis,5443,21529,60.0
135,MINIA,Enterococcus_faecalis,5522,8893,60.0
136,MINIA,Enterococcus_faecalis,5749,22748,60.0
137,MINIA,Enterococcus_faecalis,5756,11122,60.0
138,MINIA,Enterococcus_faecalis,5780,1839,60.0
139,MINIA,Enterococcus_faecalis,5966,50425,60.0
140,MINIA,Enterococcus_faecalis,5969,27836,60.0
141,MINIA,Enterococcus_faecalis,5973,20589,60.0
142,MINIA,Enterococcus_faecalis,5990,25107,60.0
143,MINIA,Enterococcus_faecalis,6142,5750,60.0
144,MINIA,Enterococcus_faecalis,6256,2905,60.0
145,MINIA,Enterococcus_faecalis,6288,11168,60.0
146,MINIA,Enterococcus_faecalis,6342,2016,60.0
147,MINIA,Enterococcus_faecalis,6486,2038,60.0
148,MINIA,Enterococcus_faecalis,6645,16858,60.0
149,MINIA,Enterococcus_faecalis,6663,23353,60.0
150,MINIA,Enterococcus_faecalis,6744,46239,60.0
151,MINIA,Enterococcus_faecalis,6801,8428,60.0
152,MINIA,Enterococcus_faecalis,6953,2153,60.0
153,MINIA,Enterococcus_faecalis,7012,2839,60.0
154,MINIA,Enterococcus_faecalis,7207,3082,60.0
155,MINIA,Enterococcus_faecalis,7270,58845,60.0
156,MINIA,Enterococcus_faecalis,7283,1155,60.0
157,MINIA,Enterococcus_faecalis,7304,38557,60.0
158,MINIA,Enterococcus_faecalis,7364,1875,60.0
159,MINIA,Enterococcus_faecalis,7481,2878,60.0
160,MINIA,Enterococcus_faecalis,7564,1337,60.0
161,MINIA,Enterococcus_faecalis,7606,12760,60.0
162,MINIA,Enterococcus_faecalis,7754,3203,60.0
163,MINIA,Enterococcus_faecalis,7934,11314,60.0
164,MINIA,Enterococcus_faecalis,7980,30443,60.0
165,MINIA,Enterococcus_faecalis,8009,19009,60.0
166,MINIA,Enterococcus_faecalis,8238,3877,60.0
167,MINIA,Enterococcus_faecalis,8239,40136,60.0
168,MINIA,Enterococcus_faecalis,8456,22593,60.0
169,MINIA,Enterococcus_faecalis,8501,1481,60.0
170,MINIA,Enterococcus_faecalis,8525,16098,60.0
171,MINIA,Enterococcus_faecalis,8527,30356,60.0
172,MINIA,Enterococcus_faecalis,8627,12203,60.0
173,MINIA,Enterococcus_faecalis,8642,9812,60.0
174,MINIA,Enterococcus_faecalis,8926,3041,60.0
175,MINIA,Enterococcus_faecalis,8933,1163,60.0
176,MINIA,Enterococcus_faecalis,8975,6030,60.0
177,MINIA,Enterococcus_faecalis,9003,6965,60.0
178,MINIA,Enterococcus_faecalis,9044,5535,60.0
179,MINIA,Enterococcus_faecalis,9092,4426,60.0
180,MINIA,Enterococcus_faecalis,9139,1993,60.0
181,MINIA,Enterococcus_faecalis,9258,1529,60.0
182,MINIA,Enterococcus_faecalis,9319,1234,60.0
183,MINIA,Enterococcus_faecalis,9331,9383,60.0
184,MINIA,Enterococcus_faecalis,9378,9762,60.0
185,MINIA,Enterococcus_faecalis,9536,38987,60.0
186,MINIA,Enterococcus_faecalis,9574,22141,60.0
187,MINIA,Enterococcus_faecalis,9659,3638,60.0
188,MINIA,Enterococcus_faecalis,9680,6633,60.0
189,MINIA,Enterococcus_faecalis,9767,34850,60.0
190,MINIA,Enterococcus_faecalis,9788,9265,60.0
191,MINIA,Enterococcus_faecalis,9950,2877,60.0
192,MINIA,Enterococcus_faecalis,10053,19882,60.0
193,MINIA,Enterococcus_faecalis,10157,7358,60.0
194,MINIA,Enterococcus_faecalis,10179,13356,60.0
195,MINIA,Enterococcus_faecalis,10237,9941,60.0
196,MINIA,Enterococcus_faecalis,10345,12369,60.0
197,MINIA,Enterococcus_faecalis,10389,19442,60.0
198,MINIA,Enterococcus_faecalis,10424,1166,60.0
199,MINIA,Enterococcus_faecalis,10588,9767,60.0
200,MINIA,Enterococcus_faecalis,10708,19690,60.0
201,MINIA,Enterococcus_faecalis,10751,6352,60.0
202,MINIA,Enterococcus_faecalis,11008,17610,60.0
203,MINIA,Enterococcus_faecalis,11095,51427,60.0
204,MINIA,Enterococcus_faecalis,11179,23032,60.0
205,MINIA,Enterococcus_faecalis,11218,6715,60.0
206,MINIA,Enterococcus_faecalis,11297,4335,60.0
207,MINIA,Enterococcus_faecalis,11488,2179,60.0
208,MINIA,Enterococcus_faecalis,11531,49176,60.0
209,MINIA,Enterococcus_faecalis,11668,11318,60.0
210,MINIA,Enterococcus_faecalis,11673,6240,60.0
211,MINIA,Enterococcus_faecalis,11677,9862,60.0
212,MINIA,Enterococcus_faecalis,11832,5847,60.0
213,MINIA,Enterococcus_faecalis,11862,6904,60.0
214,MINIA,Enterococcus_faecalis,11883,2784,60.0
215,MINIA,Enterococcus_faecalis,11921,14277,60.0
216,MINIA,Enterococcus_faecalis,11940,29167,60.0
217,MINIA,Enterococcus_faecalis,11954,6122,60.0
218,MINIA,Enterococcus_faecalis,12104,7149,60.0
219,MINIA,Enterococcus_faecalis,12107,6012,60.0
220,MINIA,Enterococcus_faecalis,12111,32898,60.0
221,MINIA,Enterococcus_faecalis,12169,2344,60.0
222,MINIA,Enterococcus_faecalis,12187,1196,60.0
223,MINIA,Enterococcus_faecalis,12208,37019,60.0
224,MINIA,Enterococcus_faecalis,12223,5536,60.0
225,MINIA,Enterococcus_faecalis,12235,13060,60.0
226,MINIA,Enterococcus_faecalis,12274,1125,60.0
227,MINIA,Enterococcus_faecalis,12326,40506,60.0
228,MINIA,Enterococcus_faecalis,12328,6752,60.0
229,MINIA,Enterococcus_faecalis,12368,1687,60.0
230,MINIA,Enterococcus_faecalis,12409,26282,60.0
231,MINIA,Enterococcus_faecalis,12439,11889,60.0
232,MINIA,Enterococcus_faecalis,12527,2277,60.0
233,MINIA,Enterococcus_faecalis,12558,34471,60.0
234,MINIA,Enterococcus_faecalis,12576,15839,60.0
235,MINIA,Enterococcus_faecalis,12577,130628,60.0
236,MINIA,Enterococcus_faecalis,12580,40626,60.0
237,MINIA,Enterococcus_faecalis,12760,6010,60.0
238,MINIA,Enterococcus_faecalis,12772,16498,60.0
239,MINIA,Enterococcus_faecalis,12904,34423,60.0
240,MINIA,Enterococcus_faecalis,12911,5668,60.0
241,MINIA,Enterococcus_faecalis,12993,4151,60.0
242,MINIA,Enterococcus_faecalis,13252,15428,60.0
243,MINIA,Enterococcus_faecalis,13257,2605,60.0
244,MINIA,Enterococcus_faecalis,13258,3647,60.0
245,MINIA,Enterococcus_faecalis,13361,60508,60.0
246,MINIA,Enterococcus_faecalis,13698,8607,60.0
247,MINIA,Enterococcus_faecalis,13701,6026,60.0
248,MINIA,Enterococcus_faecalis,13756,6601,60.0
249,MINIA,Enterococcus_faecalis,13872,58693,60.0
250,MINIA,Enterococcus_faecalis,13878,47539,60.0
251,MINIA,Enterococcus_faecalis,14031,19730,60.0
252,MINIA,Enterococcus_faecalis,14173,16589,60.0
253,MINIA,Enterococcus_faecalis,14351,3046,60.0
254,MINIA,Enterococcus_faecalis,14376,9773,60.0
255,MINIA,Enterococcus_faecalis,14400,32803,60.0
256,MINIA,Enterococcus_faecalis,14460,5141,60.0
257,MINIA,Enterococcus_faecalis,14568,6540,60.0
258,MINIA,Enterococcus_faecalis,14612,2828,60.0
259,MINIA,Enterococcus_faecalis,14704,24005,60.0
260,MINIA,Enterococcus_faecalis,14753,15076,60.0
261,MINIA,Enterococcus_faecalis,14754,19394,60.0
262,MINIA,Enterococcus_faecalis,14899,26365,60.0
263,MINIA,Enterococcus_faecalis,15113,80235,60.0
264,MINIA,Enterococcus_faecalis,15139,30453,60.0
265,MINIA,Enterococcus_faecalis,15174,72815,60.0
266,MINIA,Enterococcus_faecalis,15250,1153,60.0
267,MINIA,Enterococcus_faecalis,15342,29183,60.0
268,MINIA,Enterococcus_faecalis,15406,5140,60.0
269,MINIA,Enterococcus_faecalis,15458,13583,60.0
270,MINIA,Enterococcus_faecalis,15546,12798,60.0
271,MINIA,Enterococcus_faecalis,15555,17232,60.0
272,MINIA,Enterococcus_faecalis,15711,10373,60.0
273,MINIA,Enterococcus_faecalis,15807,3762,60.0
274,MINIA,Enterococcus_faecalis,15857,35624,60.0
275,MINIA,Enterococcus_faecalis,15863,1884,60.0
276,MINIA,Enterococcus_faecalis,15875,3318,60.0
277,MINIA,Enterococcus_faecalis,16004,1514,60.0
278,MINIA,Enterococcus_faecalis,16037,1497,60.0
279,MINIA,Enterococcus_faecalis,16049,1928,60.0
280,MINIA,Enterococcus_faecalis,16119,54893,60.0
281,MINIA,Enterococcus_faecalis,16178,25557,60.0
282,MINIA,Enterococcus_faecalis,16183,9124,60.0
283,MINIA,Escherichia_coli_plasmid,4411,3923,60.0
284,MINIA,Escherichia_coli_plasmid,7906,12381,60.0
285,MINIA,Escherichia_coli_plasmid,8660,25617,60.0
286,MINIA,Escherichia_coli_plasmid,15055,36371,60.0
287,MINIA,Escherichia_coli_plasmid,16128,26838,60.0
288,MINIA,Escherichia_coli,385,2949,60.0
289,MINIA,Escherichia_coli,386,2206,60.0
290,MINIA,Escherichia_coli,451,1218,60.0
291,MINIA,Escherichia_coli,459,1147,60.0
292,MINIA,Escherichia_coli,638,1429,60.0
293,MINIA,Escherichia_coli,670,5075,60.0
294,MINIA,Escherichia_coli,1361,1290,60.0
295,MINIA,Escherichia_coli,1693,1929,60.0
296,MINIA,Escherichia_coli,1748,1260,24.983105537896023
297,MINIA,Escherichia_coli,1878,3800,60.0
298,MINIA,Escherichia_coli,2471,2215,30.443437348950816
299,MINIA,Escherichia_coli,2539,1140,60.0
300,MINIA,Escherichia_coli,2577,9923,60.0
301,MINIA,Escherichia_coli,2645,1243,60.0
302,MINIA,Escherichia_coli,2699,4179,60.0
303,MINIA,Escherichia_coli,3857,1353,28.302678009336454
304,MINIA,Escherichia_coli,3867,1588,60.0
305,MINIA,Escherichia_coli,3870,1093,60.0
306,MINIA,Escherichia_coli,3874,1731,60.0
307,MINIA,Escherichia_coli,3937,2037,60.0
308,MINIA,Escherichia_coli,3942,4357,60.0
309,MINIA,Escherichia_coli,3977,4057,60.0
310,MINIA,Escherichia_coli,3983,1235,60.0
311,MINIA,Escherichia_coli,3993,2393,60.0
312,MINIA,Escherichia_coli,3998,1016,60.0
313,MINIA,Escherichia_coli,4032,1468,60.0
314,MINIA,Escherichia_coli,4037,1695,60.0
315,MINIA,Escherichia_coli,4039,5468,60.0
316,MINIA,Escherichia_coli,4071,1196,60.0
317,MINIA,Escherichia_coli,4076,6225,60.0
318,MINIA,Escherichia_coli,4079,2476,60.0
319,MINIA,Escherichia_coli,4099,1555,60.0
320,MINIA,Escherichia_coli,4122,3417,60.0
321,MINIA,Escherichia_coli,4141,1141,60.0
322,MINIA,Escherichia_coli,4144,6978,60.0
323,MINIA,Escherichia_coli,4160,1407,60.0
324,MINIA,Escherichia_coli,4172,1914,60.0
325,MINIA,Escherichia_coli,4174,2582,60.0
326,MINIA,Escherichia_coli,4184,1297,60.0
327,MINIA,Escherichia_coli,4194,10785,60.0
328,MINIA,Escherichia_coli,4198,1797,60.0
329,MINIA,Escherichia_coli,4247,4249,60.0
330,MINIA,Escherichia_coli,4251,2114,60.0
331,MINIA,Escherichia_coli,4253,2607,60.0
332,MINIA,Escherichia_coli,4260,1728,60.0
333,MINIA,Escherichia_coli,4267,1167,60.0
