,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,SRR8073716,GATBMiniaPipeline,8,1043,2623620618,0
1,1,SRR8073716,GATBMiniaPipeline,8,1043,2623620618,0
2,2,SRR8073716,GATBMiniaPipeline,8,1043,2623620618,0
3,3,SRR8073716,GATBMiniaPipeline,8,1043,2623620617,0
4,4,SRR8073716,GATBMiniaPipeline,8,1043,2623620617,0
5,5,SRR8073716,GATBMiniaPipeline,8,1043,2623620617,0
6,6,SRR8073716,GATBMiniaPipeline,10,1298,2623620617,0
7,7,SRR8073716,GATBMiniaPipeline,10,1298,2623620617,0
8,8,SRR8073716,GATBMiniaPipeline,10,1298,2623620617,0
9,9,SRR8073716,GATBMiniaPipeline,10,1298,2623620618,0
10,10,SRR8073716,GATBMiniaPipeline,10,1298,2623620618,0
11,11,SRR8073716,GATBMiniaPipeline,10,1298,2623620618,0
12,12,SRR8073716,GATBMiniaPipeline,27,2019,2623620618,0
13,13,SRR8073716,GATBMiniaPipeline,27,2019,2623620618,0
14,14,SRR8073716,GATBMiniaPipeline,27,2019,2623620618,0
15,15,SRR8073716,GATBMiniaPipeline,27,2019,2623620617,0
16,16,SRR8073716,GATBMiniaPipeline,27,2019,2623620617,0
17,17,SRR8073716,GATBMiniaPipeline,27,2019,2623620617,0
18,18,SRR8073716,GATBMiniaPipeline,29,1177,2623620618,0
19,19,SRR8073716,GATBMiniaPipeline,29,1177,2623620618,0
20,20,SRR8073716,GATBMiniaPipeline,29,1177,2623620618,0
21,21,SRR8073716,GATBMiniaPipeline,32,1002,2623620567,0
22,22,SRR8073716,GATBMiniaPipeline,32,1002,2623620567,0
23,23,SRR8073716,GATBMiniaPipeline,32,1002,2623620567,0
24,24,SRR8073716,GATBMiniaPipeline,48,1455,2623620618,0
25,25,SRR8073716,GATBMiniaPipeline,48,1455,2623620618,0
26,26,SRR8073716,GATBMiniaPipeline,48,1455,2623620618,0
27,27,SRR8073716,GATBMiniaPipeline,48,1455,2623620617,0
28,28,SRR8073716,GATBMiniaPipeline,48,1455,2623620617,0
