,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,SPAdes,Bacillus_subtilis,NODE_11_length_193261_cov_7.076064,193261,43.83054235408545
1,SPAdes,Bacillus_subtilis,NODE_12_length_185738_cov_7.152297,185738,43.14658255377986
2,SPAdes,Bacillus_subtilis,NODE_17_length_161670_cov_7.198156,161670,46.0656944698766
3,SPAdes,Bacillus_subtilis,NODE_21_length_131532_cov_7.275965,131532,41.64788914358222
4,SPAdes,Bacillus_subtilis,NODE_23_length_124427_cov_7.281076,124427,42.498165901688495
5,SPAdes,Bacillus_subtilis,NODE_29_length_110735_cov_7.051807,110735,44.42224918660217
6,SPAdes,Bacillus_subtilis,NODE_30_length_107137_cov_7.206813,107137,50.29939481295327
7,SPAdes,Bacillus_subtilis,NODE_32_length_100334_cov_7.261700,100334,43.02478122205895
8,SPAdes,Bacillus_subtilis,NODE_37_length_84460_cov_7.170902,84460,43.245910857608074
9,SPAdes,Bacillus_subtilis,NODE_40_length_78315_cov_7.326757,78315,48.93844952266788
10,SPAdes,Bacillus_subtilis,NODE_41_length_78044_cov_7.151060,78044,60.0
11,SPAdes,Bacillus_subtilis,NODE_42_length_74852_cov_7.362809,74852,42.72143417590688
12,SPAdes,Bacillus_subtilis,NODE_44_length_73194_cov_7.367342,73194,43.873542269716374
13,SPAdes,Bacillus_subtilis,NODE_46_length_71864_cov_7.205114,71864,42.54451395344937
14,SPAdes,Bacillus_subtilis,NODE_47_length_69361_cov_7.091623,69361,45.40085350214297
15,SPAdes,Bacillus_subtilis,NODE_50_length_68584_cov_7.326329,68584,41.37252806382691
16,SPAdes,Bacillus_subtilis,NODE_52_length_65084_cov_6.930200,65084,48.134742364049316
17,SPAdes,Bacillus_subtilis,NODE_53_length_63281_cov_7.150729,63281,43.24152078776354
18,SPAdes,Bacillus_subtilis,NODE_54_length_61980_cov_7.182301,61980,60.0
19,SPAdes,Bacillus_subtilis,NODE_59_length_57587_cov_7.056108,57587,39.152264144943146
20,SPAdes,Bacillus_subtilis,NODE_61_length_56470_cov_7.107684,56470,47.51817787737559
21,SPAdes,Bacillus_subtilis,NODE_64_length_54127_cov_7.238497,54127,41.31353965570047
22,SPAdes,Bacillus_subtilis,NODE_66_length_52971_cov_7.260602,52971,42.46916917015251
23,SPAdes,Bacillus_subtilis,NODE_69_length_52500_cov_7.207818,52500,60.0
24,SPAdes,Bacillus_subtilis,NODE_70_length_52403_cov_6.860281,52403,42.422348957401816
25,SPAdes,Bacillus_subtilis,NODE_74_length_46478_cov_7.140512,46478,43.66217435946006
26,SPAdes,Bacillus_subtilis,NODE_75_length_46441_cov_7.004570,46441,60.0
27,SPAdes,Bacillus_subtilis,NODE_76_length_44901_cov_7.141061,44901,46.52256013377589
28,SPAdes,Bacillus_subtilis,NODE_77_length_44425_cov_7.442101,44425,43.465974408135395
29,SPAdes,Bacillus_subtilis,NODE_78_length_44199_cov_7.263818,44199,43.44382447906824
30,SPAdes,Bacillus_subtilis,NODE_80_length_42339_cov_7.538691,42339,43.257106005885134
31,SPAdes,Bacillus_subtilis,NODE_82_length_41929_cov_7.018388,41929,43.21484509008088
32,SPAdes,Bacillus_subtilis,NODE_83_length_41336_cov_7.341101,41336,46.16328448537293
33,SPAdes,Bacillus_subtilis,NODE_84_length_40906_cov_7.250055,40906,60.0
34,SPAdes,Bacillus_subtilis,NODE_85_length_40030_cov_7.433546,40030,46.023855901057054
35,SPAdes,Bacillus_subtilis,NODE_89_length_38295_cov_7.419979,38295,60.0
36,SPAdes,Bacillus_subtilis,NODE_90_length_36676_cov_7.750853,36676,45.64381964057593
37,SPAdes,Bacillus_subtilis,NODE_93_length_34576_cov_7.447699,34576,42.377447538754886
38,SPAdes,Bacillus_subtilis,NODE_94_length_34486_cov_7.134210,34486,40.60521569144328
39,SPAdes,Bacillus_subtilis,NODE_95_length_34456_cov_7.088340,34456,45.37264858755091
40,SPAdes,Bacillus_subtilis,NODE_97_length_33737_cov_7.130693,33737,37.49955210757189
41,SPAdes,Bacillus_subtilis,NODE_99_length_33603_cov_7.114046,33603,42.25348056287843
42,SPAdes,Bacillus_subtilis,NODE_100_length_33422_cov_7.428178,33422,60.0
43,SPAdes,Bacillus_subtilis,NODE_101_length_32524_cov_6.977425,32524,60.0
44,SPAdes,Bacillus_subtilis,NODE_104_length_30978_cov_7.045241,30978,41.9002337976713
45,SPAdes,Bacillus_subtilis,NODE_106_length_30150_cov_6.930919,30150,60.0
46,SPAdes,Bacillus_subtilis,NODE_107_length_30000_cov_7.372182,30000,60.0
47,SPAdes,Bacillus_subtilis,NODE_108_length_29641_cov_7.511864,29641,60.0
48,SPAdes,Bacillus_subtilis,NODE_109_length_29492_cov_7.019126,29492,41.6867422956743
49,SPAdes,Bacillus_subtilis,NODE_110_length_29282_cov_6.949533,29282,41.65570740633065
50,SPAdes,Bacillus_subtilis,NODE_111_length_29147_cov_7.278771,29147,41.635638653010545
51,SPAdes,Bacillus_subtilis,NODE_112_length_28919_cov_7.353936,28919,44.611832712648464
52,SPAdes,Bacillus_subtilis,NODE_113_length_28324_cov_7.629276,28324,60.0
53,SPAdes,Bacillus_subtilis,NODE_114_length_27436_cov_7.150798,27436,60.0
54,SPAdes,Bacillus_subtilis,NODE_116_length_26606_cov_7.005838,26606,44.249795867459056
55,SPAdes,Bacillus_subtilis,NODE_117_length_26124_cov_7.167057,26124,44.17039675088154
56,SPAdes,Bacillus_subtilis,NODE_119_length_25674_cov_6.867637,25674,44.09493536867666
57,SPAdes,Bacillus_subtilis,NODE_121_length_25042_cov_7.285789,25042,60.0
58,SPAdes,Bacillus_subtilis,NODE_124_length_23023_cov_7.112591,23023,60.0
59,SPAdes,Bacillus_subtilis,NODE_128_length_22451_cov_6.748259,22451,60.0
60,SPAdes,Bacillus_subtilis,NODE_129_length_22115_cov_7.090934,22115,36.45716939369588
61,SPAdes,Bacillus_subtilis,NODE_131_length_21066_cov_7.145495,21066,34.78484039834798
62,SPAdes,Bacillus_subtilis,NODE_132_length_21064_cov_7.396354,21064,60.0
63,SPAdes,Bacillus_subtilis,NODE_133_length_20022_cov_7.509190,20022,60.0
64,SPAdes,Bacillus_subtilis,NODE_134_length_19542_cov_7.139118,19542,60.0
65,SPAdes,Bacillus_subtilis,NODE_137_length_18183_cov_7.219550,18183,60.0
66,SPAdes,Bacillus_subtilis,NODE_138_length_18160_cov_7.202430,18160,42.5911584418491
67,SPAdes,Bacillus_subtilis,NODE_140_length_16616_cov_6.903569,16616,60.0
68,SPAdes,Bacillus_subtilis,NODE_141_length_16258_cov_7.382213,16258,60.0
69,SPAdes,Bacillus_subtilis,NODE_142_length_15950_cov_7.358163,15950,60.0
70,SPAdes,Bacillus_subtilis,NODE_143_length_15724_cov_7.447189,15724,41.96563035147689
71,SPAdes,Bacillus_subtilis,NODE_145_length_15050_cov_7.647349,15050,60.0
72,SPAdes,Bacillus_subtilis,NODE_146_length_14901_cov_7.092281,14901,60.0
73,SPAdes,Bacillus_subtilis,NODE_147_length_14139_cov_7.312269,14139,60.0
74,SPAdes,Bacillus_subtilis,NODE_148_length_13875_cov_7.393777,13875,60.0
75,SPAdes,Bacillus_subtilis,NODE_149_length_13372_cov_7.707291,13372,60.0
