,Reference,Breadth of Coverage,Contigs
0,2615840527,0.9955483640279542,20
1,2615840533A,0.99198226394391,23
2,2615840533B,0.9893313792730469,35
3,2615840601,0.9673770192820992,119
4,2615840646,0.9997530892757998,3
5,2615840697,0.9661946127842009,108
6,2616644829,0.960770222569804,114
7,2617270709,0.9853221178175908,79
8,2623620557,0.03857113286676783,15
9,2623620567,0.3309111125169528,49
10,2623620609,0.0014155737933758592,2
11,2623620617,0.8495510998725517,572
12,2623620618,0.857521470924192,560
