,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MEGAHIT,Bacillus_subtilis,k141_29,156535,60
1,MEGAHIT,Bacillus_subtilis,k141_52,137642,60
2,MEGAHIT,Bacillus_subtilis,k141_363,59941,60
3,MEGAHIT,Bacillus_subtilis,k141_81,29844,60
4,MEGAHIT,Bacillus_subtilis,k141_771,268031,60
5,MEGAHIT,Bacillus_subtilis,k141_401,294552,60
6,MEGAHIT,Bacillus_subtilis,k141_94,15727,60
7,MEGAHIT,Bacillus_subtilis,k141_788,258945,31.276502205829388
8,MEGAHIT,Bacillus_subtilis,k141_829,1643,60
9,MEGAHIT,Bacillus_subtilis,k141_431,263760,60
10,MEGAHIT,Bacillus_subtilis,k141_1121,315158,60
11,MEGAHIT,Bacillus_subtilis,k141_1129,23441,60
12,MEGAHIT,Bacillus_subtilis,k141_146,122824,31.807982180336808
13,MEGAHIT,Bacillus_subtilis,k141_443,55449,60
14,MEGAHIT,Bacillus_subtilis,k141_196,10900,60
15,MEGAHIT,Bacillus_subtilis,k141_957,84519,60
16,MEGAHIT,Bacillus_subtilis,k141_243,2932,34.67163965969149
17,MEGAHIT,Bacillus_subtilis,k141_244,552759,60
18,MEGAHIT,Bacillus_subtilis,k141_493,768389,60
19,MEGAHIT,Bacillus_subtilis,k141_1251,269763,60
20,MEGAHIT,Bacillus_subtilis,k141_1275,253202,37.407093000964224
21,MEGAHIT,Bacillus_subtilis,k141_1336,38542,60
22,MEGAHIT,Enterococcus_faecalis,k141_22,39838,60
23,MEGAHIT,Enterococcus_faecalis,k141_358,33303,60
24,MEGAHIT,Enterococcus_faecalis,k141_732,1650,60
25,MEGAHIT,Enterococcus_faecalis,k141_55,19986,60
26,MEGAHIT,Enterococcus_faecalis,k141_765,1785,13.02248213803299
27,MEGAHIT,Enterococcus_faecalis,k141_90,235280,60
28,MEGAHIT,Enterococcus_faecalis,k141_784,1295,60
29,MEGAHIT,Enterococcus_faecalis,k141_819,13528,60
30,MEGAHIT,Enterococcus_faecalis,k141_820,92108,60
31,MEGAHIT,Enterococcus_faecalis,k141_828,105463,60
32,MEGAHIT,Enterococcus_faecalis,k141_113,724374,45.58932858099909
33,MEGAHIT,Enterococcus_faecalis,k141_122,12744,23.418777692301383
34,MEGAHIT,Enterococcus_faecalis,k141_124,16437,60
35,MEGAHIT,Enterococcus_faecalis,k141_125,179870,60
36,MEGAHIT,Enterococcus_faecalis,k141_160,46940,60
37,MEGAHIT,Enterococcus_faecalis,k141_918,63262,60
38,MEGAHIT,Enterococcus_faecalis,k141_437,238501,50.76460208650521
39,MEGAHIT,Enterococcus_faecalis,k141_177,123680,60
40,MEGAHIT,Enterococcus_faecalis,k141_190,1097,27.391766319107276
41,MEGAHIT,Enterococcus_faecalis,k141_1178,25095,60
42,MEGAHIT,Enterococcus_faecalis,k141_960,264757,26.953061943616824
43,MEGAHIT,Enterococcus_faecalis,k141_481,1514,60
44,MEGAHIT,Enterococcus_faecalis,k141_1210,267958,60
45,MEGAHIT,Enterococcus_faecalis,k141_1224,29389,60
46,MEGAHIT,Enterococcus_faecalis,k141_264,35769,60
