,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ENN,VelvetOptimizer,NODE_1_length_77327_cov_34.381783,77357,Bacillus_subtilis,0
1,1,ENN,VelvetOptimizer,NODE_2_length_171941_cov_34.192688,171971,Bacillus_subtilis,0
2,2,ENN,VelvetOptimizer,NODE_3_length_136246_cov_34.390270,136276,Bacillus_subtilis,0
3,3,ENN,VelvetOptimizer,NODE_4_length_69884_cov_34.442474,69914,Bacillus_subtilis,0
4,4,ENN,VelvetOptimizer,NODE_5_length_243400_cov_34.409683,243430,Bacillus_subtilis,0
5,5,ENN,VelvetOptimizer,NODE_6_length_6155_cov_36.101868,6185,Bacillus_subtilis,0
6,6,ENN,VelvetOptimizer,NODE_7_length_122428_cov_34.301468,122458,Bacillus_subtilis,0
7,7,ENN,VelvetOptimizer,NODE_8_length_99670_cov_34.484489,99700,Bacillus_subtilis,0
8,8,ENN,VelvetOptimizer,NODE_9_length_127904_cov_34.370358,127934,Bacillus_subtilis,0
9,9,ENN,VelvetOptimizer,NODE_10_length_98636_cov_34.162010,98666,Bacillus_subtilis,0
10,10,ENN,VelvetOptimizer,NODE_11_length_52255_cov_34.258213,52285,Bacillus_subtilis,0
11,11,ENN,VelvetOptimizer,NODE_12_length_36981_cov_34.334309,37011,Bacillus_subtilis,0
12,12,ENN,VelvetOptimizer,NODE_13_length_21030_cov_34.052067,21060,Bacillus_subtilis,0
13,13,ENN,VelvetOptimizer,NODE_14_length_103862_cov_34.358475,103892,Bacillus_subtilis,0
14,14,ENN,VelvetOptimizer,NODE_15_length_56992_cov_33.965172,57022,Bacillus_subtilis,0
15,15,ENN,VelvetOptimizer,NODE_16_length_29119_cov_33.982521,29149,Bacillus_subtilis,0
16,16,ENN,VelvetOptimizer,NODE_17_length_14256_cov_34.884331,14286,Bacillus_subtilis,0
17,17,ENN,VelvetOptimizer,NODE_18_length_72404_cov_34.461990,72434,Bacillus_subtilis,0
18,18,ENN,VelvetOptimizer,NODE_19_length_18953_cov_34.518177,18983,Bacillus_subtilis,0
19,19,ENN,VelvetOptimizer,NODE_20_length_78664_cov_34.872356,78694,Bacillus_subtilis,0
20,20,ENN,VelvetOptimizer,NODE_21_length_47507_cov_33.504601,47537,Bacillus_subtilis,0
21,21,ENN,VelvetOptimizer,NODE_22_length_14059_cov_33.529484,14089,Bacillus_subtilis,0
22,22,ENN,VelvetOptimizer,NODE_23_length_37192_cov_34.328968,37222,Bacillus_subtilis,0
