,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,IDBA-UD,0,0
1,Bacillus_subtilis,IDBA-UD,1,
2,Bacillus_subtilis,IDBA-UD,2,
3,Bacillus_subtilis,IDBA-UD,3,
4,Bacillus_subtilis,IDBA-UD,4,
5,Bacillus_subtilis,IDBA-UD,5,
6,Bacillus_subtilis,IDBA-UD,6,
7,Bacillus_subtilis,IDBA-UD,7,
8,Bacillus_subtilis,IDBA-UD,8,
9,Bacillus_subtilis,IDBA-UD,9,
10,Bacillus_subtilis,IDBA-UD,10,
11,Enterococcus_faecalis,IDBA-UD,0,0
12,Enterococcus_faecalis,IDBA-UD,1,52
13,Enterococcus_faecalis,IDBA-UD,2,
14,Enterococcus_faecalis,IDBA-UD,3,
15,Enterococcus_faecalis,IDBA-UD,4,
16,Enterococcus_faecalis,IDBA-UD,5,
17,Enterococcus_faecalis,IDBA-UD,6,
18,Enterococcus_faecalis,IDBA-UD,7,
19,Enterococcus_faecalis,IDBA-UD,8,
20,Enterococcus_faecalis,IDBA-UD,9,
21,Enterococcus_faecalis,IDBA-UD,10,
22,Escherichia_coli_plasmid,IDBA-UD,0,0
23,Escherichia_coli_plasmid,IDBA-UD,1,
24,Escherichia_coli_plasmid,IDBA-UD,2,
25,Escherichia_coli_plasmid,IDBA-UD,3,
26,Escherichia_coli_plasmid,IDBA-UD,4,
27,Escherichia_coli_plasmid,IDBA-UD,5,
28,Escherichia_coli_plasmid,IDBA-UD,6,
29,Escherichia_coli_plasmid,IDBA-UD,7,
30,Escherichia_coli_plasmid,IDBA-UD,8,
31,Escherichia_coli_plasmid,IDBA-UD,9,
32,Escherichia_coli_plasmid,IDBA-UD,10,
33,Escherichia_coli,IDBA-UD,0,0
34,Escherichia_coli,IDBA-UD,1,
35,Escherichia_coli,IDBA-UD,2,
36,Escherichia_coli,IDBA-UD,3,
37,Escherichia_coli,IDBA-UD,4,
38,Escherichia_coli,IDBA-UD,5,
39,Escherichia_coli,IDBA-UD,6,
40,Escherichia_coli,IDBA-UD,7,
41,Escherichia_coli,IDBA-UD,8,
42,Escherichia_coli,IDBA-UD,9,
43,Escherichia_coli,IDBA-UD,10,
44,Lactobacillus_fermentum,IDBA-UD,0,0
45,Lactobacillus_fermentum,IDBA-UD,1,
