Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.9995487364620939,2215.0,2215.0,0.0,2215.0,0.9995487364620939,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0,0.9995487364620939,2215.0,2215.0,0.0,2215.0,0.9995487364620939,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
IDBA-UD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEGAHIT,0.0,0.9995487364620939,2215.0,2215.0,0.0,2215.0,0.9995487364620939,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
MetaHipMer2,0.0,0.9986462093862816,2213.0,2213.0,0.0,2213.0,0.9986462093862816,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
metaSPAdes,0.0,0.9368231046931408,2076.0,2076.0,0.0,2076.0,0.9368231046931408,1.0,0.9995183044315993,0.9995183044315993,0.0,0.0,1.0,1.0,1.0
MINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKESA,0.0,0.6588447653429603,1460.0,1460.0,0.0,1460.0,0.6588447653429603,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
SPAdes,0.0,1.0,3246.0,3246.0,0.0,2216.0,1.0,1.0,0.6814540973505854,0.6814540973505854,0.0,0.0,1.0,1.4648014440433212,0.6826863832409119
Unicycler,0.0,0.9580324909747292,2123.0,2123.0,0.0,2123.0,0.9580324909747292,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
