,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MINIA,Bacillus_subtilis,109,92807,60
1,MINIA,Bacillus_subtilis,121,29060,60
2,MINIA,Bacillus_subtilis,178,1209,30.824263008607677
3,MINIA,Bacillus_subtilis,306,56828,60
4,MINIA,Bacillus_subtilis,311,136276,60
5,MINIA,Bacillus_subtilis,381,103892,60
6,MINIA,Bacillus_subtilis,591,99700,60
7,MINIA,Bacillus_subtilis,617,77357,60
8,MINIA,Bacillus_subtilis,640,5861,60
9,MINIA,Bacillus_subtilis,804,34627,60
10,MINIA,Bacillus_subtilis,979,4233,60
11,MINIA,Bacillus_subtilis,1116,98729,60
12,MINIA,Bacillus_subtilis,1147,72434,60
13,MINIA,Bacillus_subtilis,1455,118623,60
14,MINIA,Bacillus_subtilis,1714,54268,60
15,MINIA,Bacillus_subtilis,1877,78694,60
16,MINIA,Bacillus_subtilis,1878,43056,60
17,MINIA,Bacillus_subtilis,2574,73760,60
18,MINIA,Bacillus_subtilis,2617,76544,60
19,MINIA,Bacillus_subtilis,2626,34762,60
20,MINIA,Bacillus_subtilis,3004,71660,60
21,MINIA,Bacillus_subtilis,3103,14089,60
22,MINIA,Bacillus_subtilis,3128,18111,60
23,MINIA,Bacillus_subtilis,3132,6576,60
24,MINIA,Bacillus_subtilis,3312,62539,60
25,MINIA,Bacillus_subtilis,4038,54122,60
26,MINIA,Bacillus_subtilis,4041,23078,60
27,MINIA,Bacillus_subtilis,4221,25638,60
28,MINIA,Bacillus_subtilis,4369,65138,60
29,MINIA,Bacillus_subtilis,4807,4734,60
30,MINIA,Bacillus_subtilis,5116,15639,60
31,MINIA,Bacillus_subtilis,5250,122458,60
32,MINIA,Bacillus_subtilis,5501,58393,60
33,MINIA,Bacillus_subtilis,5523,37011,60
34,MINIA,Bacillus_subtilis,5529,69826,60
35,MINIA,Bacillus_subtilis,5536,38392,60
36,MINIA,Bacillus_subtilis,5545,132084,60
37,MINIA,Bacillus_subtilis,5559,98666,60
38,MINIA,Bacillus_subtilis,5566,69010,60
39,MINIA,Bacillus_subtilis,5567,16631,60
40,MINIA,Bacillus_subtilis,5568,11395,60
41,MINIA,Bacillus_subtilis,5594,18038,60
42,MINIA,Bacillus_subtilis,5598,22483,60
43,MINIA,Bacillus_subtilis,5601,40051,60
44,MINIA,Bacillus_subtilis,5627,56211,60
45,MINIA,Bacillus_subtilis,5701,24109,60
46,MINIA,Bacillus_subtilis,5702,124837,60
47,MINIA,Bacillus_subtilis,5712,64960,60
48,MINIA,Bacillus_subtilis,5719,127934,60
49,MINIA,Bacillus_subtilis,5721,18983,60
50,MINIA,Bacillus_subtilis,5722,48017,60
51,MINIA,Bacillus_subtilis,5757,37222,60
52,MINIA,Bacillus_subtilis,5764,94919,60
53,MINIA,Bacillus_subtilis,5807,33507,60
54,MINIA,Bacillus_subtilis,5810,30985,60
55,MINIA,Bacillus_subtilis,5812,52285,60
56,MINIA,Bacillus_subtilis,5813,9118,60
57,MINIA,Bacillus_subtilis,5829,50907,60
58,MINIA,Bacillus_subtilis,5871,20149,60
59,MINIA,Bacillus_subtilis,5938,14286,60
60,MINIA,Bacillus_subtilis,5962,21268,60
61,MINIA,Bacillus_subtilis,5977,11552,60
62,MINIA,Bacillus_subtilis,5996,55052,60
63,MINIA,Bacillus_subtilis,6015,29149,60
64,MINIA,Bacillus_subtilis,6016,16891,60
65,MINIA,Bacillus_subtilis,6033,3028,60
66,MINIA,Bacillus_subtilis,6048,47537,60
67,MINIA,Bacillus_subtilis,6051,33728,60
68,MINIA,Bacillus_subtilis,6166,36788,60
69,MINIA,Bacillus_subtilis,6318,2281,60
70,MINIA,Bacillus_subtilis,6321,34895,60
71,MINIA,Bacillus_subtilis,6333,26545,60
72,MINIA,Bacillus_subtilis,6460,1288,60
73,MINIA,Bacillus_subtilis,6462,14173,60
74,MINIA,Bacillus_subtilis,6598,22680,60
75,MINIA,Bacillus_subtilis,6676,63199,60
76,MINIA,Bacillus_subtilis,6682,32916,60
77,MINIA,Bacillus_subtilis,6720,12323,60
78,MINIA,Bacillus_subtilis,6791,17522,60
79,MINIA,Bacillus_subtilis,6824,33550,60
80,MINIA,Bacillus_subtilis,6841,9364,60
81,MINIA,Bacillus_subtilis,6884,25257,60
82,MINIA,Bacillus_subtilis,6945,9821,60
83,MINIA,Bacillus_subtilis,6975,5588,60
84,MINIA,Bacillus_subtilis,7034,5449,60
85,MINIA,Bacillus_subtilis,7050,22960,60
86,MINIA,Bacillus_subtilis,7079,22993,60
87,MINIA,Bacillus_subtilis,7113,9931,60
88,MINIA,Bacillus_subtilis,7268,25644,60
89,MINIA,Bacillus_subtilis,7428,6201,60
90,MINIA,Bacillus_subtilis,7582,21060,60
91,MINIA,Bacillus_subtilis,7617,7540,60
92,MINIA,Bacillus_subtilis,7677,4316,60
93,MINIA,Bacillus_subtilis,7796,1421,60
94,MINIA,Bacillus_subtilis,8115,1694,60
95,MINIA,Bacillus_subtilis,8292,10879,60
96,MINIA,Bacillus_subtilis,8598,1140,60
97,MINIA,Bacillus_subtilis,8675,6767,60
98,MINIA,Bacillus_subtilis,8993,1034,60
99,MINIA,Bacillus_subtilis,9260,2068,60
100,MINIA,Bacillus_subtilis,9523,3030,60
101,MINIA,Bacillus_subtilis,9600,3374,60
102,MINIA,Bacillus_subtilis,9708,3629,60
103,MINIA,Bacillus_subtilis,9956,1871,60
104,MINIA,Bacillus_subtilis,10021,5690,60
105,MINIA,Bacillus_subtilis,10200,2963,60
106,MINIA,Bacillus_subtilis,10240,4486,60
107,MINIA,Bacillus_subtilis,10393,2212,60
108,MINIA,Bacillus_subtilis,10683,1188,60
109,MINIA,Bacillus_subtilis,11545,1409,60
110,MINIA,Bacillus_subtilis,11674,2649,60
111,MINIA,Bacillus_subtilis,11677,2019,60
112,MINIA,Bacillus_subtilis,11995,1698,60
113,MINIA,Bacillus_subtilis,12438,1041,60
114,MINIA,Bacillus_subtilis,15531,1012,60
115,MINIA,Bacillus_subtilis,17206,1655,60
116,MINIA,Enterococcus_faecalis,20,26282,60
117,MINIA,Enterococcus_faecalis,96,23353,60
118,MINIA,Enterococcus_faecalis,102,35769,60
119,MINIA,Enterococcus_faecalis,122,32898,60
120,MINIA,Enterococcus_faecalis,151,22141,60
121,MINIA,Enterococcus_faecalis,162,38557,60
122,MINIA,Enterococcus_faecalis,190,34423,60
123,MINIA,Enterococcus_faecalis,231,38987,60
124,MINIA,Enterococcus_faecalis,263,58693,60
125,MINIA,Enterococcus_faecalis,264,9762,60
126,MINIA,Enterococcus_faecalis,282,40136,60
127,MINIA,Enterococcus_faecalis,296,50199,60
128,MINIA,Enterococcus_faecalis,376,25107,60
129,MINIA,Enterococcus_faecalis,441,12798,60
130,MINIA,Enterococcus_faecalis,463,14834,60
131,MINIA,Enterococcus_faecalis,475,51427,60
132,MINIA,Enterococcus_faecalis,501,46239,60
133,MINIA,Enterococcus_faecalis,555,16573,60
134,MINIA,Enterococcus_faecalis,582,13583,60
135,MINIA,Enterococcus_faecalis,585,54893,60
136,MINIA,Enterococcus_faecalis,712,26365,60
137,MINIA,Enterococcus_faecalis,750,72815,60
138,MINIA,Enterococcus_faecalis,911,14277,60
139,MINIA,Enterococcus_faecalis,973,50425,60
140,MINIA,Enterococcus_faecalis,989,2043,60
141,MINIA,Enterococcus_faecalis,1002,1074,60
142,MINIA,Enterococcus_faecalis,1172,24005,60
143,MINIA,Enterococcus_faecalis,1266,40626,60
144,MINIA,Enterococcus_faecalis,1275,58845,60
145,MINIA,Enterococcus_faecalis,1281,19690,60
146,MINIA,Enterococcus_faecalis,1364,6540,60
147,MINIA,Enterococcus_faecalis,1369,40506,60
148,MINIA,Enterococcus_faecalis,1441,34354,60
149,MINIA,Enterococcus_faecalis,1444,4151,60
150,MINIA,Enterococcus_faecalis,1474,11314,60
151,MINIA,Enterococcus_faecalis,1523,5668,60
152,MINIA,Enterococcus_faecalis,1542,37019,60
153,MINIA,Enterococcus_faecalis,1545,8893,60
154,MINIA,Enterococcus_faecalis,1661,29183,60
155,MINIA,Enterococcus_faecalis,1715,80235,60
156,MINIA,Enterococcus_faecalis,1718,47539,60
157,MINIA,Enterococcus_faecalis,1781,34850,60
158,MINIA,Enterococcus_faecalis,1786,11231,60
159,MINIA,Enterococcus_faecalis,1828,60508,60
160,MINIA,Enterococcus_faecalis,1962,9812,60
161,MINIA,Enterococcus_faecalis,1996,15839,60
162,MINIA,Enterococcus_faecalis,2006,16498,60
163,MINIA,Enterococcus_faecalis,2134,3638,60
164,MINIA,Enterococcus_faecalis,2263,1830,26.60391098402458
165,MINIA,Enterococcus_faecalis,2317,3046,60
166,MINIA,Enterococcus_faecalis,2377,16589,60
167,MINIA,Enterococcus_faecalis,2405,20599,60
168,MINIA,Enterococcus_faecalis,2506,6030,60
169,MINIA,Enterococcus_faecalis,2589,130628,60
170,MINIA,Enterococcus_faecalis,2611,32803,60
171,MINIA,Enterococcus_faecalis,2620,19009,60
172,MINIA,Enterococcus_faecalis,2671,11721,60
173,MINIA,Enterococcus_faecalis,2980,17610,60
174,MINIA,Enterococcus_faecalis,3327,25557,60
175,MINIA,Enterococcus_faecalis,3488,6352,60
176,MINIA,Enterococcus_faecalis,3635,16858,60
177,MINIA,Enterococcus_faecalis,3820,23032,60
178,MINIA,Enterococcus_faecalis,3873,5536,60
179,MINIA,Enterococcus_faecalis,3923,12760,60
180,MINIA,Enterococcus_faecalis,4013,49176,60
181,MINIA,Enterococcus_faecalis,4102,19442,60
182,MINIA,Enterococcus_faecalis,4152,6026,60
183,MINIA,Enterococcus_faecalis,4451,2179,60
184,MINIA,Enterococcus_faecalis,4530,46840,60
185,MINIA,Enterococcus_faecalis,4536,5535,60
186,MINIA,Enterococcus_faecalis,4563,29167,60
187,MINIA,Enterococcus_faecalis,5269,9265,60
188,MINIA,Enterococcus_faecalis,5348,15428,60
189,MINIA,Enterococcus_faecalis,5495,34471,60
190,MINIA,Enterococcus_faecalis,5510,30453,60
191,MINIA,Enterococcus_faecalis,5519,22593,60
192,MINIA,Enterococcus_faecalis,5527,30356,60
193,MINIA,Enterococcus_faecalis,5544,9941,60
194,MINIA,Enterococcus_faecalis,5554,1884,60
195,MINIA,Enterococcus_faecalis,5565,5750,60
196,MINIA,Enterococcus_faecalis,5576,27836,60
197,MINIA,Enterococcus_faecalis,5579,9767,60
198,MINIA,Enterococcus_faecalis,5590,5140,60
199,MINIA,Enterococcus_faecalis,5614,2878,60
200,MINIA,Enterococcus_faecalis,5623,6904,60
