,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2984773,MEGAHIT,k141_15548,1627,Unmapped,0
1,1,ERR2984773,MEGAHIT,k141_5194,1015,Unmapped,0
2,2,ERR2984773,MEGAHIT,k141_27,1222,Unmapped,0
3,3,ERR2984773,MEGAHIT,k141_32,1108,Unmapped,0
4,4,ERR2984773,MEGAHIT,k141_42,1267,Unmapped,0
5,5,ERR2984773,MEGAHIT,k141_49,4788,Salmonella_enterica,0
6,6,ERR2984773,MEGAHIT,k141_15562,67364,Escherichia_coli,0
7,7,ERR2984773,MEGAHIT,k141_10391,32312,Escherichia_coli,0
8,8,ERR2984773,MEGAHIT,k141_10419,1010,Unmapped,0
9,9,ERR2984773,MEGAHIT,k141_15581,7874,Escherichia_coli,0
10,10,ERR2984773,MEGAHIT,k141_5242,44881,Escherichia_coli,0
11,11,ERR2984773,MEGAHIT,k141_73,4645,Escherichia_coli,0
12,12,ERR2984773,MEGAHIT,k141_15590,1874,Unmapped,0
13,13,ERR2984773,MEGAHIT,k141_15597,1286,Lactobacillus_fermentum,0
14,14,ERR2984773,MEGAHIT,k141_96,1522,Unmapped,0
15,15,ERR2984773,MEGAHIT,k141_122,3051,Unmapped,0
16,16,ERR2984773,MEGAHIT,k141_125,1059,Unmapped,0
17,17,ERR2984773,MEGAHIT,k141_15633,1446,Unmapped,0
18,18,ERR2984773,MEGAHIT,k141_165,23182,Salmonella_enterica,0
19,19,ERR2984773,MEGAHIT,k141_176,1152,Unmapped,0
20,20,ERR2984773,MEGAHIT,k141_5246,77477,Pseudomonas_aeruginosa,0
21,21,ERR2984773,MEGAHIT,k141_210,1024,Unmapped,0
22,22,ERR2984773,MEGAHIT,k141_215,2044,Unmapped,0
23,23,ERR2984773,MEGAHIT,k141_218,1114,Unmapped,0
24,24,ERR2984773,MEGAHIT,k141_5287,1593,Unmapped,0
25,25,ERR2984773,MEGAHIT,k141_289,1451,Unmapped,0
26,26,ERR2984773,MEGAHIT,k141_5289,17968,Escherichia_coli,0
27,27,ERR2984773,MEGAHIT,k141_5291,3492,Escherichia_coli,0
28,28,ERR2984773,MEGAHIT,k141_334,1151,Unmapped,0
29,29,ERR2984773,MEGAHIT,k141_336,1145,Unmapped,0
30,30,ERR2984773,MEGAHIT,k141_5311,1141,Unmapped,0
31,31,ERR2984773,MEGAHIT,k141_5317,1218,Unmapped,0
32,32,ERR2984773,MEGAHIT,k141_342,5876,Unmapped,0
33,33,ERR2984773,MEGAHIT,k141_5326,1057,Unmapped,0
34,34,ERR2984773,MEGAHIT,k141_5330,1257,Unmapped,0
35,35,ERR2984773,MEGAHIT,k141_343,4258,Pseudomonas_aeruginosa,0
36,36,ERR2984773,MEGAHIT,k141_346,1660,Unmapped,0
37,37,ERR2984773,MEGAHIT,k141_5361,1147,Unmapped,0
38,38,ERR2984773,MEGAHIT,k141_354,4252,Pseudomonas_aeruginosa,0
39,39,ERR2984773,MEGAHIT,k141_360,1096,Unmapped,0
40,40,ERR2984773,MEGAHIT,k141_5385,7408,Escherichia_coli,0
41,41,ERR2984773,MEGAHIT,k141_5392,2094,Escherichia_coli,0
42,42,ERR2984773,MEGAHIT,k141_377,1031,Unmapped,0
43,43,ERR2984773,MEGAHIT,k141_5436,1575,Unmapped,0
44,44,ERR2984773,MEGAHIT,k141_423,1063,Unmapped,0
45,45,ERR2984773,MEGAHIT,k141_430,1035,Unmapped,0
46,46,ERR2984773,MEGAHIT,k141_449,1035,Unmapped,0
47,47,ERR2984773,MEGAHIT,k141_471,1070,Unmapped,0
48,48,ERR2984773,MEGAHIT,k141_473,1089,Lactobacillus_fermentum,0
49,49,ERR2984773,MEGAHIT,k141_473,1089,Lactobacillus_fermentum,0
50,50,ERR2984773,MEGAHIT,k141_478,1448,Unmapped,0
51,51,ERR2984773,MEGAHIT,k141_482,15165,Lactobacillus_fermentum,0
52,52,ERR2984773,MEGAHIT,k141_495,1111,Unmapped,0
53,53,ERR2984773,MEGAHIT,k141_5438,60090,Bacillus_subtilis,0
54,54,ERR2984773,MEGAHIT,k141_5452,1602,Unmapped,0
55,55,ERR2984773,MEGAHIT,k141_5460,1164,Unmapped,0
56,56,ERR2984773,MEGAHIT,k141_501,15431,Staphylococcus_aureus,0
57,57,ERR2984773,MEGAHIT,k141_5466,1877,Unmapped,0
58,58,ERR2984773,MEGAHIT,k141_510,1643,Unmapped,0
59,59,ERR2984773,MEGAHIT,k141_524,1187,Unmapped,0
60,60,ERR2984773,MEGAHIT,k141_5486,1250,Unmapped,0
61,61,ERR2984773,MEGAHIT,k141_533,1153,Unmapped,0
62,62,ERR2984773,MEGAHIT,k141_538,1433,Unmapped,0
63,63,ERR2984773,MEGAHIT,k141_5517,1945,Unmapped,0
64,64,ERR2984773,MEGAHIT,k141_15641,137209,Listeria_monocytogenes,0
