,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9765349532352682,208
1,Enterococcus_faecalis,0.0,0
2,Escherichia_coli_plasmid,0.0,0
3,Escherichia_coli,0.0,0
4,Lactobacillus_fermentum,0.001431245876705017,2
5,Listeria_monocytogenes,0.9773675602588207,87
6,Pseudomonas_aeruginosa,0.9605128137178258,466
7,Salmonella_enterica,0.0002758550561311465,1
8,Staphylococcus_aureus,0.0,0
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
