,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LHS,VelvetOptimiser,NODE_21_length_1142_cov_12.623467,1160,Bacillus_subtilis,0
1,1,LHS,VelvetOptimiser,NODE_22_length_1374_cov_17.803493,1392,Bacillus_subtilis,0
2,2,LHS,VelvetOptimiser,NODE_82_length_1127_cov_14.124224,1145,Bacillus_subtilis,0
3,3,LHS,VelvetOptimiser,NODE_84_length_1195_cov_14.739749,1213,Bacillus_subtilis,0
4,4,LHS,VelvetOptimiser,NODE_90_length_1635_cov_14.415902,1653,Bacillus_subtilis,0
5,5,LHS,VelvetOptimiser,NODE_109_length_1382_cov_14.450072,1400,Bacillus_subtilis,0
6,6,LHS,VelvetOptimiser,NODE_110_length_985_cov_13.421320,1003,Bacillus_subtilis,0
7,7,LHS,VelvetOptimiser,NODE_113_length_1180_cov_13.120339,1198,Bacillus_subtilis,0
8,8,LHS,VelvetOptimiser,NODE_117_length_1290_cov_13.982945,1308,Bacillus_subtilis,0
9,9,LHS,VelvetOptimiser,NODE_143_length_1237_cov_15.044462,1255,Bacillus_subtilis,0
10,10,LHS,VelvetOptimiser,NODE_154_length_1151_cov_15.515204,1169,Bacillus_subtilis,0
11,11,LHS,VelvetOptimiser,NODE_159_length_1315_cov_16.424335,1333,Bacillus_subtilis,0
12,12,LHS,VelvetOptimiser,NODE_187_length_1412_cov_13.002832,1430,Bacillus_subtilis,0
13,13,LHS,VelvetOptimiser,NODE_220_length_1043_cov_13.679770,1061,Bacillus_subtilis,0
14,14,LHS,VelvetOptimiser,NODE_231_length_1138_cov_14.915642,1156,Bacillus_subtilis,0
15,15,LHS,VelvetOptimiser,NODE_242_length_1959_cov_13.913221,1977,Bacillus_subtilis,0
16,16,LHS,VelvetOptimiser,NODE_266_length_1249_cov_14.512410,1267,Bacillus_subtilis,0
17,17,LHS,VelvetOptimiser,NODE_297_length_1020_cov_12.290196,1038,Bacillus_subtilis,0
18,18,LHS,VelvetOptimiser,NODE_305_length_4128_cov_12.985465,4146,Bacillus_subtilis,0
19,19,LHS,VelvetOptimiser,NODE_310_length_1070_cov_15.523364,1088,Bacillus_subtilis,0
20,20,LHS,VelvetOptimiser,NODE_313_length_1370_cov_13.602920,1388,Bacillus_subtilis,0
21,21,LHS,VelvetOptimiser,NODE_318_length_1193_cov_10.323554,1211,Bacillus_subtilis,0
22,22,LHS,VelvetOptimiser,NODE_319_length_1517_cov_14.540541,1535,Bacillus_subtilis,0
23,23,LHS,VelvetOptimiser,NODE_324_length_1081_cov_12.266420,1099,Bacillus_subtilis,0
24,24,LHS,VelvetOptimiser,NODE_327_length_2704_cov_12.363905,2722,Bacillus_subtilis,0
25,25,LHS,VelvetOptimiser,NODE_332_length_1173_cov_11.248082,1191,Bacillus_subtilis,0
26,26,LHS,VelvetOptimiser,NODE_333_length_1532_cov_12.783290,1550,Bacillus_subtilis,0
27,27,LHS,VelvetOptimiser,NODE_528_length_1263_cov_14.250198,1281,Bacillus_subtilis,0
28,28,LHS,VelvetOptimiser,NODE_533_length_1907_cov_14.744625,1925,Bacillus_subtilis,0
29,29,LHS,VelvetOptimiser,NODE_655_length_1176_cov_12.399660,1194,Bacillus_subtilis,0
30,30,LHS,VelvetOptimiser,NODE_656_length_1063_cov_15.290687,1081,Bacillus_subtilis,0
31,31,LHS,VelvetOptimiser,NODE_667_length_1023_cov_14.733138,1041,Bacillus_subtilis,0
32,32,LHS,VelvetOptimiser,NODE_672_length_1133_cov_12.727273,1151,Bacillus_subtilis,0
33,33,LHS,VelvetOptimiser,NODE_786_length_1423_cov_14.116655,1441,Bacillus_subtilis,0
34,34,LHS,VelvetOptimiser,NODE_788_length_1536_cov_13.102864,1554,Bacillus_subtilis,0
35,35,LHS,VelvetOptimiser,NODE_801_length_1467_cov_14.328562,1485,Bacillus_subtilis,0
36,36,LHS,VelvetOptimiser,NODE_810_length_1783_cov_15.743130,1801,Bacillus_subtilis,0
37,37,LHS,VelvetOptimiser,NODE_873_length_995_cov_13.646231,1013,Bacillus_subtilis,0
38,38,LHS,VelvetOptimiser,NODE_875_length_1116_cov_13.770609,1134,Bacillus_subtilis,0
39,39,LHS,VelvetOptimiser,NODE_894_length_1156_cov_11.413495,1174,Bacillus_subtilis,0
40,40,LHS,VelvetOptimiser,NODE_896_length_1204_cov_13.669436,1222,Bacillus_subtilis,0
41,41,LHS,VelvetOptimiser,NODE_1015_length_1927_cov_12.942397,1945,Bacillus_subtilis,0
42,42,LHS,VelvetOptimiser,NODE_1030_length_1331_cov_11.338843,1349,Bacillus_subtilis,0
43,43,LHS,VelvetOptimiser,NODE_1032_length_1294_cov_12.426584,1312,Bacillus_subtilis,0
44,44,LHS,VelvetOptimiser,NODE_1041_length_1079_cov_13.616311,1097,Bacillus_subtilis,0
45,45,LHS,VelvetOptimiser,NODE_1092_length_1260_cov_15.328571,1278,Bacillus_subtilis,0
46,46,LHS,VelvetOptimiser,NODE_1093_length_1069_cov_14.570627,1087,Bacillus_subtilis,0
47,47,LHS,VelvetOptimiser,NODE_1125_length_1394_cov_11.209469,1412,Bacillus_subtilis,0
48,48,LHS,VelvetOptimiser,NODE_1133_length_1454_cov_14.174690,1472,Bacillus_subtilis,0
49,49,LHS,VelvetOptimiser,NODE_1135_length_1066_cov_13.495310,1084,Bacillus_subtilis,0
50,50,LHS,VelvetOptimiser,NODE_1149_length_1195_cov_13.117991,1213,Bacillus_subtilis,0
51,51,LHS,VelvetOptimiser,NODE_1210_length_1403_cov_11.930150,1421,Bacillus_subtilis,0
52,52,LHS,VelvetOptimiser,NODE_1259_length_1111_cov_17.288929,1129,Bacillus_subtilis,0
53,53,LHS,VelvetOptimiser,NODE_1261_length_1443_cov_14.709633,1461,Bacillus_subtilis,0
54,54,LHS,VelvetOptimiser,NODE_1368_length_1217_cov_13.873459,1235,Bacillus_subtilis,0
55,55,LHS,VelvetOptimiser,NODE_1376_length_1134_cov_10.631393,1152,Bacillus_subtilis,0
56,56,LHS,VelvetOptimiser,NODE_1387_length_1268_cov_14.358045,1286,Bacillus_subtilis,0
57,57,LHS,VelvetOptimiser,NODE_1661_length_1282_cov_11.714509,1300,Bacillus_subtilis,0
58,58,LHS,VelvetOptimiser,NODE_1665_length_1637_cov_13.882712,1655,Bacillus_subtilis,0
59,59,LHS,VelvetOptimiser,NODE_1667_length_1081_cov_12.660500,1099,Bacillus_subtilis,0
60,60,LHS,VelvetOptimiser,NODE_1699_length_1093_cov_13.092406,1111,Bacillus_subtilis,0
61,61,LHS,VelvetOptimiser,NODE_1701_length_1014_cov_13.321499,1032,Bacillus_subtilis,0
62,62,LHS,VelvetOptimiser,NODE_1740_length_2058_cov_16.951408,2076,Bacillus_subtilis,0
63,63,LHS,VelvetOptimiser,NODE_1753_length_1046_cov_16.005735,1064,Bacillus_subtilis,0
64,64,LHS,VelvetOptimiser,NODE_1771_length_1653_cov_15.738657,1671,Bacillus_subtilis,0
65,65,LHS,VelvetOptimiser,NODE_1776_length_983_cov_14.481180,1001,Bacillus_subtilis,0
66,66,LHS,VelvetOptimiser,NODE_1790_length_1648_cov_12.451456,1666,Bacillus_subtilis,0
67,67,LHS,VelvetOptimiser,NODE_1826_length_1347_cov_15.722346,1365,Bacillus_subtilis,0
68,68,LHS,VelvetOptimiser,NODE_1829_length_1035_cov_14.798068,1053,Bacillus_subtilis,0
69,69,LHS,VelvetOptimiser,NODE_1861_length_1005_cov_11.757214,1023,Bacillus_subtilis,0
70,70,LHS,VelvetOptimiser,NODE_1879_length_1022_cov_14.223092,1040,Bacillus_subtilis,0
71,71,LHS,VelvetOptimiser,NODE_1882_length_1815_cov_16.646832,1833,Bacillus_subtilis,0
72,72,LHS,VelvetOptimiser,NODE_1887_length_1296_cov_12.845679,1314,Bacillus_subtilis,0
73,73,LHS,VelvetOptimiser,NODE_1912_length_1762_cov_14.830874,1780,Bacillus_subtilis,0
74,74,LHS,VelvetOptimiser,NODE_1929_length_1502_cov_12.142477,1520,Bacillus_subtilis,0
75,75,LHS,VelvetOptimiser,NODE_1947_length_1428_cov_13.959384,1446,Bacillus_subtilis,0
76,76,LHS,VelvetOptimiser,NODE_1987_length_1064_cov_14.915414,1082,Bacillus_subtilis,0
77,77,LHS,VelvetOptimiser,NODE_1997_length_1306_cov_14.606432,1324,Bacillus_subtilis,0
78,78,LHS,VelvetOptimiser,NODE_2001_length_1069_cov_13.066417,1087,Bacillus_subtilis,0
79,79,LHS,VelvetOptimiser,NODE_2014_length_1467_cov_14.460804,1485,Bacillus_subtilis,0
80,80,LHS,VelvetOptimiser,NODE_2198_length_1932_cov_16.458591,1950,Bacillus_subtilis,0
81,81,LHS,VelvetOptimiser,NODE_2206_length_1258_cov_14.182830,1276,Bacillus_subtilis,0
82,82,LHS,VelvetOptimiser,NODE_2217_length_1020_cov_15.413726,1038,Bacillus_subtilis,0
83,83,LHS,VelvetOptimiser,NODE_2223_length_1830_cov_14.857924,1848,Bacillus_subtilis,0
84,84,LHS,VelvetOptimiser,NODE_2241_length_1353_cov_12.223207,1371,Bacillus_subtilis,0
