,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,SKESA,CP009072.1,Contig_274_5.25266,1714,12.562872122983313
1,SKESA,CP009072.1,Contig_319_8.7351,1530,11.635021317476609
2,SKESA,CP009072.1,Contig_445_7.51565,1298,13.139341430107685
3,SKESA,CP009072.1,Contig_567_8.01739,1573,12.572094700046678
4,SKESA,CP009072.1,Contig_613_5.83522,2047,9.237280163237763
5,SKESA,CP009072.1,Contig_645_8.22866,2609,13.265689676608229
6,SKESA,CP009072.1,Contig_650_8.09992,5945,12.7584130516511
7,SKESA,CP009072.1,Contig_658_6.18021,3910,11.856365769619119
8,SKESA,CP009072.1,Contig_762_6.2007,3144,12.422100322640638
9,SKESA,CP009072.1,Contig_825_7.50482,1886,8.206968283927996
10,SKESA,CP009072.1,Contig_827_8.2377,1240,9.728477539563853
11,SKESA,CP009072.1,Contig_844_6.13799,2984,11.847642074381131
12,SKESA,CP009072.1,Contig_929_6.56065,2419,12.163185336137035
13,SKESA,CP009072.1,Contig_938_4.97087,1805,8.550766654601327
14,SKESA,CP009072.1,Contig_943_5.76371,1442,12.346859743215289
15,SKESA,CP009072.1,Contig_966_7.89135,2597,9.330293211269975
16,SKESA,CP009072.1,Contig_981_4.92019,2313,9.894272867605157
17,SKESA,CP009072.1,Contig_1000_7.81802,1152,9.215733926859569
18,SKESA,CP009072.1,Contig_1117_9.75028,2679,10.014614522436338
19,SKESA,CP009072.1,Contig_1139_7.42151,3619,12.447213627390457
20,SKESA,CP009072.1,Contig_1151_4.79465,1067,9.947406639375203
21,SKESA,CP009072.1,Contig_1207_7.27453,1029,6.6606240031179444
22,SKESA,CP009072.1,Contig_1219_8.76528,2082,12.285756137351191
23,SKESA,CP009072.1,Contig_1276_6.44263,1554,12.671717284030137
24,SKESA,CP009072.1,Contig_1468_7.01803,1684,12.720995777243063
25,SKESA,CP009072.1,Contig_1748_8.91837,2029,11.86708115827496
26,SKESA,CP009072.1,Contig_1841_5.24134,1897,11.19704838793413
27,SKESA,CP009072.1,Contig_2013_7.86317,1489,5.1297849768232595
28,SKESA,CP009072.1,Contig_2078_7.75665,2276,11.557751334025818
29,SKESA,CP009072.1,Contig_2096_5.40592,2013,0.6529588720732666
30,SKESA,CP009072.1,Contig_2255_7.47664,1069,8.859629049546829
31,SKESA,CP009072.1,Contig_2304_6.83641,1212,11.150196712763325
32,SKESA,CP009072.1,Contig_2425_5.78273,3366,13.687516195445559
33,SKESA,CP009072.1,Contig_2442_5.98396,2202,8.528588352108983
34,SKESA,CP009072.1,Contig_2483_6.85892,3160,5.869337789470808
35,SKESA,CP009072.1,Contig_2490_8.96963,4333,9.395593462746575
36,SKESA,CP009072.1,Contig_2538_6.16836,1303,12.06459396833935
37,SKESA,CP009072.1,Contig_2568_7.48673,1489,8.895934690486266
38,SKESA,CP009072.1,Contig_2579_8.13574,5000,12.487208960166576
39,SKESA,CP009072.1,Contig_2605_6.5228,2367,12.842931464896852
40,SKESA,CP009072.1,Contig_2646_6.59184,1392,11.89396725835218
41,SKESA,CP009072.1,Contig_2696_10.3397,1848,19.444826721501688
42,SKESA,CP009072.1,Contig_2716_5.51182,1712,10.661864255929585
43,SKESA,CP009072.1,Contig_2741_5.59604,1686,9.43556341585174
44,SKESA,CP009072.1,Contig_2759_7.54425,1907,14.230181966147368
45,SKESA,CP009072.1,Contig_2771_5.76457,1290,10.424038485530874
46,SKESA,CP009072.1,Contig_2777_6.58696,2412,8.840667496785134
47,SKESA,CP009072.1,Contig_2790_8.12845,2846,11.446047283223667
48,SKESA,CP009072.1,Contig_2791_7.92925,2974,12.132695762008602
49,SKESA,CP009072.1,Contig_2937_7.18081,1281,9.228576989270875
50,SKESA,CP009072.1,Contig_2953_5.36904,2559,1.9084963024266663
51,SKESA,CP009072.1,Contig_2964_11.3639,1490,8.635561009863753
52,SKESA,CP009072.1,Contig_3027_9.18283,3258,4.85193875281937
53,SKESA,CP009072.1,Contig_3083_6.20143,1981,11.037598771840855
54,SKESA,CP009072.1,Contig_3086_5.57743,1615,2.5248477635361595
55,SKESA,CP009072.1,Contig_3147_7.83212,1807,12.357688534909936
56,SKESA,CP009072.1,Contig_3193_11.078,2637,13.312050183540364
57,SKESA,CP009072.1,Contig_3283_7.94679,1561,12.296150757168625
58,SKESA,CP009072.1,Contig_3356_9.26903,2135,12.290273342434794
59,SKESA,CP009072.1,Contig_3458_9.93059,1187,15.559367790767036
60,SKESA,CP009072.1,Contig_3698_9.6163,1946,11.685689047264834
61,SKESA,CP009072.1,Contig_3717_9.11262,1050,10.969100130080566
62,SKESA,CP009072.1,Contig_3741_8.89084,2246,14.940772554941704
63,SKESA,CP009072.1,Contig_3760_9.45076,1990,5.399411840117332
64,SKESA,CP009072.1,Contig_3986_6.5752,1536,12.88764124405052
65,SKESA,CP009072.1,Contig_4024_7.99233,1323,9.4546858513182
66,SKESA,CP009072.1,Contig_4027_5.01132,1168,10.718076481788305
67,SKESA,CP009072.1,Contig_4304_6.37695,4628,10.400808993180384
68,SKESA,CP009072.1,Contig_4426_4.8487,1018,10.9926275912209
69,SKESA,CP009072.1,Contig_4645_7.4335,1035,13.61727836017593
70,SKESA,CP009072.1,Contig_4768_9.1814,1106,13.033924374744355
71,SKESA,CP009072.1,Contig_4807_6.12989,5494,12.187505713805066
72,SKESA,CP009072.1,Contig_4811_5.98608,2679,8.248283409880266
73,SKESA,CP009072.1,Contig_4859_6.02637,1916,13.139125561885908
74,SKESA,CP009072.1,Contig_4919_7.12207,3567,11.16140462297598
75,SKESA,CP009072.1,Contig_5044_6.16627,1277,11.3770794870948
76,SKESA,CP009072.1,Contig_5058_9.46615,1187,9.345716325533544
77,SKESA,CP009072.1,Contig_5138_6.76157,1165,14.430766349641369
78,SKESA,CP009072.1,Contig_5141_5.41212,2034,11.877770173808758
79,SKESA,CP009072.1,Contig_5186_5.75237,1179,13.391200452721211
80,SKESA,CP009072.1,Contig_5207_4.7747,1103,12.432349629866092
81,SKESA,CP009072.1,Contig_5275_6.5302,2404,12.703447530314534
82,SKESA,CP009072.1,Contig_5279_4.84473,1205,13.028357965272432
83,SKESA,CP009072.1,Contig_5281_7,1019,11.160795813159456
84,SKESA,CP009072.1,Contig_5351_7.93464,2667,11.930269052977225
85,SKESA,CP009072.1,Contig_5432_5.93384,2000,4.151036558625502
86,SKESA,CP009072.1,Contig_5515_9.05342,1630,16.807086873617028
87,SKESA,CP009072.1,Contig_5537_6.44326,1236,9.814287604535483
88,SKESA,CP009072.1,Contig_5545_6.66303,1213,13.057095504829297
89,SKESA,CP009072.1,Contig_5642_7.23587,4514,10.525015634137809
90,SKESA,CP009072.1,Contig_5828_7.01217,3553,8.803493544152037
91,SKESA,CP009072.1,Contig_5995_7.36763,1614,14.297522800024078
92,SKESA,CP009072.1,Contig_6024_4.66462,1326,10.469965626762235
93,SKESA,CP009072.1,Contig_6077_6.52692,1599,2.9482760953507867
94,SKESA,CP009072.1,Contig_6165_5.13998,1063,7.640821747928673
95,SKESA,CP009072.1,Contig_6200_8.69533,1648,10.238326090066357
96,SKESA,CP009072.1,Contig_6403_7.43698,1464,5.744764696958739
97,SKESA,CP009072.1,Contig_6411_8.01742,1168,12.681022933227988
98,SKESA,CP009072.1,Contig_6420_6.05823,1514,11.978546421244856
99,SKESA,CP009072.1,Contig_6422_8.61194,4893,15.592414472649319
100,SKESA,CP009072.1,Contig_6472_6.68238,1314,11.363241321841935
101,SKESA,CP009072.1,Contig_6577_7.73541,1974,12.384422969971451
102,SKESA,CP009072.1,Contig_6698_9.89094,2725,11.948172583300618
103,SKESA,CP009072.1,Contig_6845_7.40172,2116,7.106184473300137
104,SKESA,CP009072.1,Contig_6857_4.78967,1337,13.702565515894927
105,SKESA,CP009072.1,Contig_6863_5.60036,2267,12.124367198724224
106,SKESA,CP009072.1,Contig_6886_7.37438,1035,7.896310680670737
107,SKESA,CP009072.1,Contig_6888_7.20807,1111,3.4761351331747776
108,SKESA,CP009072.1,Contig_6978_7.50547,1025,9.138138523837167
109,SKESA,CP009072.1,Contig_6985_6.61837,1697,10.44990411500077
110,SKESA,CP009072.1,Contig_7024_6.04888,1309,11.041024218455835
111,SKESA,CP009072.1,Contig_7195_6.38132,1937,14.297971242878425
