,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2984773,VelvetOptimiser,NODE_1096965_length_1099_cov_2.964513,1127,Unmapped,0
1,1,ERR2984773,VelvetOptimiser,NODE_1335636_length_1077_cov_3.547818,1105,Unmapped,0
2,2,ERR2984773,VelvetOptimiser,NODE_1399537_length_992_cov_4.095766,1020,Unmapped,0
3,3,ERR2984773,VelvetOptimiser,NODE_1582038_length_1129_cov_3.317981,1157,Unmapped,0
4,4,ERR2984773,VelvetOptimiser,NODE_1708065_length_991_cov_3.291625,1019,Unmapped,0
5,5,ERR2984773,VelvetOptimiser,NODE_1764837_length_1121_cov_3.333631,1149,Unmapped,0
6,6,ERR2984773,VelvetOptimiser,NODE_1854806_length_979_cov_3.006129,1007,Unmapped,0
7,7,ERR2984773,VelvetOptimiser,NODE_1876700_length_1125_cov_2.820444,1153,Unmapped,0
8,8,ERR2984773,VelvetOptimiser,NODE_1928669_length_1037_cov_3.534233,1065,Unmapped,0
9,9,ERR2984773,VelvetOptimiser,NODE_2533668_length_1092_cov_3.451465,1120,Unmapped,0
10,10,ERR2984773,VelvetOptimiser,NODE_2534590_length_1265_cov_3.227668,1293,Unmapped,0
11,11,ERR2984773,VelvetOptimiser,NODE_2801887_length_1090_cov_3.597248,1118,Unmapped,0
12,12,ERR2984773,VelvetOptimiser,NODE_2860347_length_977_cov_2.667349,1005,Unmapped,0
13,13,ERR2984773,VelvetOptimiser,NODE_2899831_length_984_cov_4.120935,1012,Unmapped,0
14,14,ERR2984773,VelvetOptimiser,NODE_3251757_length_979_cov_2.004086,1007,Unmapped,0
15,15,ERR2984773,VelvetOptimiser,NODE_3624779_length_1088_cov_3.874081,1116,Unmapped,0
