,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,ABySS,Bacillus_subtilis,10,372552,60
1,ABySS,Bacillus_subtilis,15,38450,60
2,ABySS,Bacillus_subtilis,39552,23676,60
3,ABySS,Bacillus_subtilis,39553,343884,55.36411969729531
4,ABySS,Bacillus_subtilis,39554,253000,60
5,ABySS,Bacillus_subtilis,39555,30165,60
6,ABySS,Bacillus_subtilis,39556,123426,60
7,ABySS,Bacillus_subtilis,39558,230872,60
8,ABySS,Bacillus_subtilis,39559,264108,60
9,ABySS,Bacillus_subtilis,39560,56111,60
10,ABySS,Bacillus_subtilis,39561,16477,60
11,ABySS,Bacillus_subtilis,39562,60592,60
12,ABySS,Bacillus_subtilis,39563,396180,60
13,ABySS,Bacillus_subtilis,39564,315888,60
14,ABySS,Bacillus_subtilis,39565,84881,36.27780491769418
15,ABySS,Bacillus_subtilis,39566,257649,60
16,ABySS,Bacillus_subtilis,39567,38913,60
17,ABySS,Bacillus_subtilis,39569,295233,60
18,ABySS,Bacillus_subtilis,39570,209511,60
19,ABySS,Bacillus_subtilis,39571,137675,60
20,ABySS,Bacillus_subtilis,39834,11453,27.57889265054914
21,ABySS,Bacillus_subtilis,39989,429896,56.333634042049326
22,ABySS,Enterococcus_faecalis,2755,43682,60
23,ABySS,Enterococcus_faecalis,2782,7000,60
24,ABySS,Enterococcus_faecalis,2801,1033,60
25,ABySS,Enterococcus_faecalis,37997,2146,60
26,ABySS,Enterococcus_faecalis,39649,539105,60
27,ABySS,Enterococcus_faecalis,39650,86112,60
28,ABySS,Enterococcus_faecalis,39651,30716,60
29,ABySS,Enterococcus_faecalis,39652,31864,45.033002934016864
30,ABySS,Enterococcus_faecalis,39653,33986,60
31,ABySS,Enterococcus_faecalis,39654,280783,60
32,ABySS,Enterococcus_faecalis,39655,216066,60
33,ABySS,Enterococcus_faecalis,39656,240110,60
34,ABySS,Enterococcus_faecalis,39660,181626,43.56088031467343
35,ABySS,Enterococcus_faecalis,39663,37303,39.696837689272805
36,ABySS,Enterococcus_faecalis,39894,157237,51.965547491162816
37,ABySS,Enterococcus_faecalis,39895,62866,47.984158282017674
38,ABySS,Enterococcus_faecalis,39897,372807,60
39,ABySS,Enterococcus_faecalis,39898,47382,60
40,ABySS,Enterococcus_faecalis,39899,20751,34.13949043406404
41,ABySS,Enterococcus_faecalis,39992,97121,46.862831497741375
42,ABySS,Enterococcus_faecalis,39993,138496,60
43,ABySS,Enterococcus_faecalis,39994,236364,50.72551335295907
44,ABySS,Escherichia_coli_plasmid,37895,1295,60
45,ABySS,Escherichia_coli_plasmid,37898,1078,60
46,ABySS,Escherichia_coli_plasmid,37914,1304,60
47,ABySS,Escherichia_coli_plasmid,37955,1564,60
48,ABySS,Escherichia_coli_plasmid,37978,1285,60
49,ABySS,Escherichia_coli_plasmid,37992,1020,60
50,ABySS,Escherichia_coli_plasmid,39632,2175,21.913312256124208
51,ABySS,Escherichia_coli_plasmid,39646,1731,13.931990278611375
52,ABySS,Escherichia_coli_plasmid,39647,2146,60
53,ABySS,Escherichia_coli_plasmid,39648,4166,14.155992829558027
54,ABySS,Escherichia_coli_plasmid,39879,3736,15.856351332918104
55,ABySS,Escherichia_coli_plasmid,39881,1596,60
56,ABySS,Escherichia_coli_plasmid,39882,3547,15.630894542056986
57,ABySS,Escherichia_coli_plasmid,39883,2251,60
58,ABySS,Escherichia_coli_plasmid,39884,2402,33.805730030668755
59,ABySS,Escherichia_coli_plasmid,39885,2058,16.60232856651071
60,ABySS,Escherichia_coli_plasmid,39886,2186,60
61,ABySS,Escherichia_coli_plasmid,39887,1838,12.687103124525427
62,ABySS,Escherichia_coli_plasmid,39888,1674,60
63,ABySS,Escherichia_coli_plasmid,39889,3421,60
64,ABySS,Escherichia_coli_plasmid,39890,1380,60
65,ABySS,Escherichia_coli_plasmid,39891,2543,14.185746259094639
66,ABySS,Escherichia_coli_plasmid,39892,1264,28.007170782823827
67,ABySS,Escherichia_coli_plasmid,39893,2151,23.32640410387465
68,ABySS,Escherichia_coli_plasmid,39988,4048,14.966507935324945
69,ABySS,Escherichia_coli_plasmid,40003,7449,16.290599255879325
70,ABySS,Escherichia_coli,1069,19293,60
71,ABySS,Escherichia_coli,1186,2582,60
72,ABySS,Escherichia_coli,39572,83542,60
73,ABySS,Escherichia_coli,39573,42614,60
74,ABySS,Escherichia_coli,39574,62106,60
75,ABySS,Escherichia_coli,39575,1727,60
76,ABySS,Escherichia_coli,39576,3513,60
77,ABySS,Escherichia_coli,39577,2710,34.329692908744114
78,ABySS,Escherichia_coli,39578,2729,60
79,ABySS,Escherichia_coli,39579,2551,60
80,ABySS,Escherichia_coli,39580,16938,60
81,ABySS,Escherichia_coli,39581,15356,26.949164096110877
82,ABySS,Escherichia_coli,39582,169543,60
83,ABySS,Escherichia_coli,39584,54345,47.351595930892884
84,ABySS,Escherichia_coli,39585,56183,60
85,ABySS,Escherichia_coli,39586,18047,60
86,ABySS,Escherichia_coli,39587,3964,60
87,ABySS,Escherichia_coli,39588,16578,60
88,ABySS,Escherichia_coli,39589,4828,60
89,ABySS,Escherichia_coli,39590,10179,60
90,ABySS,Escherichia_coli,39591,71439,60
91,ABySS,Escherichia_coli,39592,4902,60
92,ABySS,Escherichia_coli,39593,68820,60
93,ABySS,Escherichia_coli,39594,61669,60
94,ABySS,Escherichia_coli,39595,123162,36.75503384727846
95,ABySS,Escherichia_coli,39596,185452,60
96,ABySS,Escherichia_coli,39597,19799,60
97,ABySS,Escherichia_coli,39598,285997,60
98,ABySS,Escherichia_coli,39599,146648,60
99,ABySS,Escherichia_coli,39600,100101,60
100,ABySS,Escherichia_coli,39601,103260,60
101,ABySS,Escherichia_coli,39602,11094,60
102,ABySS,Escherichia_coli,39603,38077,60
103,ABySS,Escherichia_coli,39604,45414,60
104,ABySS,Escherichia_coli,39605,33516,60
105,ABySS,Escherichia_coli,39606,8335,60
106,ABySS,Escherichia_coli,39607,97434,60
107,ABySS,Escherichia_coli,39608,24418,60
108,ABySS,Escherichia_coli,39609,5683,60
109,ABySS,Escherichia_coli,39610,2955,60
110,ABySS,Escherichia_coli,39611,9395,60
111,ABySS,Escherichia_coli,39612,17524,60
112,ABySS,Escherichia_coli,39613,3775,23.216444508619027
113,ABySS,Escherichia_coli,39614,126302,60
114,ABySS,Escherichia_coli,39615,19629,60
115,ABySS,Escherichia_coli,39616,72184,60
116,ABySS,Escherichia_coli,39617,28362,60
117,ABySS,Escherichia_coli,39619,30954,60
118,ABySS,Escherichia_coli,39620,2918,60
119,ABySS,Escherichia_coli,39621,23953,60
120,ABySS,Escherichia_coli,39622,3481,20.503423294500166
121,ABySS,Escherichia_coli,39623,3971,60
122,ABySS,Escherichia_coli,39624,11436,60
123,ABySS,Escherichia_coli,39625,72818,60
