,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,BCALM2,Bacillus_subtilis,5491,1012,60
1,BCALM2,Bacillus_subtilis,5749,26545,60
2,BCALM2,Bacillus_subtilis,6191,18983,60
3,BCALM2,Bacillus_subtilis,6206,12323,60
4,BCALM2,Bacillus_subtilis,6504,15638,60
5,BCALM2,Bacillus_subtilis,6528,98729,60
6,BCALM2,Bacillus_subtilis,6580,1698,60
7,BCALM2,Bacillus_subtilis,6854,30985,60
8,BCALM2,Bacillus_subtilis,7078,5861,60
9,BCALM2,Bacillus_subtilis,7203,54122,60
10,BCALM2,Bacillus_subtilis,7487,47537,60
11,BCALM2,Bacillus_subtilis,8061,25638,60
12,BCALM2,Bacillus_subtilis,8093,24109,60
13,BCALM2,Bacillus_subtilis,8409,34762,60
14,BCALM2,Bacillus_subtilis,8435,14286,60
15,BCALM2,Bacillus_subtilis,8630,124837,60
16,BCALM2,Bacillus_subtilis,8632,3374,60
17,BCALM2,Bacillus_subtilis,8771,127934,60
18,BCALM2,Bacillus_subtilis,8916,4316,60
19,BCALM2,Bacillus_subtilis,9074,16891,60
20,BCALM2,Bacillus_subtilis,9094,132084,60
21,BCALM2,Bacillus_subtilis,9306,3030,60
22,BCALM2,Bacillus_subtilis,9494,69826,60
23,BCALM2,Bacillus_subtilis,10146,40051,60
24,BCALM2,Bacillus_subtilis,10479,32916,60
25,BCALM2,Bacillus_subtilis,10652,6767,60
26,BCALM2,Bacillus_subtilis,10775,1140,60
27,BCALM2,Bacillus_subtilis,10890,1288,60
28,BCALM2,Bacillus_subtilis,11060,7540,60
29,BCALM2,Bacillus_subtilis,11474,72434,60
30,BCALM2,Bacillus_subtilis,11601,56211,60
31,BCALM2,Bacillus_subtilis,11628,33507,60
32,BCALM2,Bacillus_subtilis,11659,2019,60
33,BCALM2,Bacillus_subtilis,11715,64934,60
34,BCALM2,Bacillus_subtilis,11729,14089,60
35,BCALM2,Bacillus_subtilis,11759,38392,60
36,BCALM2,Bacillus_subtilis,11994,9118,60
37,BCALM2,Bacillus_subtilis,12129,37222,60
38,BCALM2,Bacillus_subtilis,12229,22993,60
39,BCALM2,Bacillus_subtilis,12374,9821,60
40,BCALM2,Bacillus_subtilis,13171,2068,60
41,BCALM2,Bacillus_subtilis,13208,4233,60
42,BCALM2,Bacillus_subtilis,13287,58393,60
43,BCALM2,Bacillus_subtilis,14006,22960,60
44,BCALM2,Bacillus_subtilis,14077,2281,60
45,BCALM2,Bacillus_subtilis,14128,36788,60
46,BCALM2,Bacillus_subtilis,14386,9931,60
47,BCALM2,Bacillus_subtilis,14461,3629,60
48,BCALM2,Bacillus_subtilis,14545,33728,60
49,BCALM2,Bacillus_subtilis,14789,18038,60
50,BCALM2,Bacillus_subtilis,14920,21060,60
51,BCALM2,Bacillus_subtilis,15310,18110,60
52,BCALM2,Bacillus_subtilis,15387,92807,60
53,BCALM2,Bacillus_subtilis,15392,6570,60
54,BCALM2,Bacillus_subtilis,15440,33550,60
55,BCALM2,Bacillus_subtilis,16239,22680,60
56,BCALM2,Bacillus_subtilis,16604,4486,60
57,BCALM2,Bacillus_subtilis,16992,55052,60
58,BCALM2,Bacillus_subtilis,17048,48017,60
59,BCALM2,Bacillus_subtilis,17116,50907,60
60,BCALM2,Bacillus_subtilis,17117,11552,60
61,BCALM2,Bacillus_subtilis,17318,5449,60
62,BCALM2,Bacillus_subtilis,17578,16631,60
63,BCALM2,Bacillus_subtilis,17637,1041,60
64,BCALM2,Bacillus_subtilis,17649,11395,60
65,BCALM2,Bacillus_subtilis,17673,25257,60
66,BCALM2,Bacillus_subtilis,18299,122458,60
67,BCALM2,Bacillus_subtilis,18310,22483,60
68,BCALM2,Bacillus_subtilis,18397,1421,60
69,BCALM2,Bacillus_subtilis,18511,136276,60
70,BCALM2,Bacillus_subtilis,18833,3028,60
71,BCALM2,Bacillus_subtilis,19137,77357,60
72,BCALM2,Bacillus_subtilis,19479,1409,60
73,BCALM2,Bacillus_subtilis,19567,1034,60
74,BCALM2,Bacillus_subtilis,19591,5588,60
75,BCALM2,Bacillus_subtilis,19669,2649,60
76,BCALM2,Bacillus_subtilis,19841,29060,60
77,BCALM2,Bacillus_subtilis,20193,17522,60
78,BCALM2,Bacillus_subtilis,20240,1188,60
