,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2935805,MetaHipMer2,Contig0,1723,Bacillus_subtilis,0
1,1,ERR2935805,MetaHipMer2,Contig1,2540,Listeria_monocytogenes,0
2,2,ERR2935805,MetaHipMer2,Contig3,4918,Bacillus_subtilis,0
3,3,ERR2935805,MetaHipMer2,Contig9,1171,Pseudomonas_aeruginosa,0
4,4,ERR2935805,MetaHipMer2,Contig10,1295,Listeria_monocytogenes,0
5,5,ERR2935805,MetaHipMer2,Contig11,9071,Listeria_monocytogenes,0
6,6,ERR2935805,MetaHipMer2,Contig16,1046,Pseudomonas_aeruginosa,0
7,7,ERR2935805,MetaHipMer2,Contig17,1347,Bacillus_subtilis,0
8,8,ERR2935805,MetaHipMer2,Contig20,1964,Listeria_monocytogenes,0
9,9,ERR2935805,MetaHipMer2,Contig24,14096,Listeria_monocytogenes,0
10,10,ERR2935805,MetaHipMer2,Contig27,3164,Bacillus_subtilis,0
11,11,ERR2935805,MetaHipMer2,Contig30,3849,Listeria_monocytogenes,0
12,12,ERR2935805,MetaHipMer2,Contig37,1987,Pseudomonas_aeruginosa,0
13,13,ERR2935805,MetaHipMer2,Contig42,1276,Bacillus_subtilis,0
14,14,ERR2935805,MetaHipMer2,Contig45,3069,Listeria_monocytogenes,0
15,15,ERR2935805,MetaHipMer2,Contig46,3260,Pseudomonas_aeruginosa,0
16,16,ERR2935805,MetaHipMer2,Contig48,1389,Pseudomonas_aeruginosa,0
17,17,ERR2935805,MetaHipMer2,Contig50,4552,Bacillus_subtilis,0
18,18,ERR2935805,MetaHipMer2,Contig55,1932,Listeria_monocytogenes,0
19,19,ERR2935805,MetaHipMer2,Contig59,1141,Unmapped,0
20,20,ERR2935805,MetaHipMer2,Contig61,1440,Listeria_monocytogenes,0
21,21,ERR2935805,MetaHipMer2,Contig63,5081,Listeria_monocytogenes,0
22,22,ERR2935805,MetaHipMer2,Contig69,5299,Listeria_monocytogenes,0
23,23,ERR2935805,MetaHipMer2,Contig70,2199,Bacillus_subtilis,0
24,24,ERR2935805,MetaHipMer2,Contig71,1758,Pseudomonas_aeruginosa,0
25,25,ERR2935805,MetaHipMer2,Contig79,4720,Listeria_monocytogenes,0
26,26,ERR2935805,MetaHipMer2,Contig80,1456,Listeria_monocytogenes,0
27,27,ERR2935805,MetaHipMer2,Contig81,6412,Listeria_monocytogenes,0
28,28,ERR2935805,MetaHipMer2,Contig82,1844,Pseudomonas_aeruginosa,0
29,29,ERR2935805,MetaHipMer2,Contig87,3883,Bacillus_subtilis,0
30,30,ERR2935805,MetaHipMer2,Contig93,1616,Pseudomonas_aeruginosa,0
31,31,ERR2935805,MetaHipMer2,Contig94,1788,Pseudomonas_aeruginosa,0
32,32,ERR2935805,MetaHipMer2,Contig95,1281,Pseudomonas_aeruginosa,0
33,33,ERR2935805,MetaHipMer2,Contig97,1357,Listeria_monocytogenes,0
34,34,ERR2935805,MetaHipMer2,Contig98,3430,Bacillus_subtilis,0
35,35,ERR2935805,MetaHipMer2,Contig99,3314,Bacillus_subtilis,0
36,36,ERR2935805,MetaHipMer2,Contig108,2634,Bacillus_subtilis,0
37,37,ERR2935805,MetaHipMer2,Contig114,4252,Bacillus_subtilis,0
38,38,ERR2935805,MetaHipMer2,Contig115,2600,Bacillus_subtilis,0
39,39,ERR2935805,MetaHipMer2,Contig119,4285,Listeria_monocytogenes,0
40,40,ERR2935805,MetaHipMer2,Contig121,1668,Pseudomonas_aeruginosa,0
41,41,ERR2935805,MetaHipMer2,Contig123,1623,Bacillus_subtilis,0
42,42,ERR2935805,MetaHipMer2,Contig125,3752,Bacillus_subtilis,0
43,43,ERR2935805,MetaHipMer2,Contig126,5545,Listeria_monocytogenes,0
44,44,ERR2935805,MetaHipMer2,Contig128,1406,Bacillus_subtilis,0
45,45,ERR2935805,MetaHipMer2,Contig129,2093,Pseudomonas_aeruginosa,0
46,46,ERR2935805,MetaHipMer2,Contig134,2337,Listeria_monocytogenes,0
47,47,ERR2935805,MetaHipMer2,Contig137,2190,Bacillus_subtilis,0
48,48,ERR2935805,MetaHipMer2,Contig139,1781,Pseudomonas_aeruginosa,0
49,49,ERR2935805,MetaHipMer2,Contig141,2635,Bacillus_subtilis,0
50,50,ERR2935805,MetaHipMer2,Contig142,1654,Pseudomonas_aeruginosa,0
51,51,ERR2935805,MetaHipMer2,Contig144,5529,Bacillus_subtilis,0
52,52,ERR2935805,MetaHipMer2,Contig147,2506,Bacillus_subtilis,0
53,53,ERR2935805,MetaHipMer2,Contig152,1423,Listeria_monocytogenes,0
54,54,ERR2935805,MetaHipMer2,Contig159,1554,Pseudomonas_aeruginosa,0
55,55,ERR2935805,MetaHipMer2,Contig162,2190,Bacillus_subtilis,0
56,56,ERR2935805,MetaHipMer2,Contig168,1570,Pseudomonas_aeruginosa,0
57,57,ERR2935805,MetaHipMer2,Contig173,1281,Bacillus_subtilis,0
58,58,ERR2935805,MetaHipMer2,Contig183,1142,Pseudomonas_aeruginosa,0
59,59,ERR2935805,MetaHipMer2,Contig190,4641,Bacillus_subtilis,0
60,60,ERR2935805,MetaHipMer2,Contig192,1206,Pseudomonas_aeruginosa,0
61,61,ERR2935805,MetaHipMer2,Contig195,1400,Bacillus_subtilis,0
62,62,ERR2935805,MetaHipMer2,Contig197,1257,Pseudomonas_aeruginosa,0
