,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2984773,VelvetOptimizer,NODE_59350_length_1264_cov_4.519778,1294,Unmapped,0
1,1,ERR2984773,VelvetOptimizer,NODE_79220_length_980_cov_3.148980,1010,Unmapped,0
2,2,ERR2984773,VelvetOptimizer,NODE_405076_length_1151_cov_2.569939,1181,Unmapped,0
3,3,ERR2984773,VelvetOptimizer,NODE_960063_length_1226_cov_2.449429,1256,Unmapped,0
4,4,ERR2984773,VelvetOptimizer,NODE_1000767_length_996_cov_3.326305,1026,Unmapped,0
5,5,ERR2984773,VelvetOptimizer,NODE_1132140_length_1071_cov_2.339869,1101,Unmapped,0
6,6,ERR2984773,VelvetOptimizer,NODE_1252457_length_987_cov_3.233029,1017,Unmapped,0
7,7,ERR2984773,VelvetOptimizer,NODE_1346431_length_1160_cov_3.124138,1190,Unmapped,0
8,8,ERR2984773,VelvetOptimizer,NODE_1380899_length_1063_cov_4.030104,1093,Unmapped,0
9,9,ERR2984773,VelvetOptimizer,NODE_1389974_length_1097_cov_2.994530,1127,Unmapped,0
10,10,ERR2984773,VelvetOptimizer,NODE_1615706_length_1042_cov_2.510557,1072,Unmapped,0
11,11,ERR2984773,VelvetOptimizer,NODE_1698451_length_1292_cov_2.880805,1322,Unmapped,0
12,12,ERR2984773,VelvetOptimizer,NODE_1732196_length_1220_cov_2.813115,1250,Unmapped,0
13,13,ERR2984773,VelvetOptimizer,NODE_1777477_length_1000_cov_4.078000,1030,Unmapped,0
14,14,ERR2984773,VelvetOptimizer,NODE_2106978_length_1065_cov_2.733333,1095,Unmapped,0
15,15,ERR2984773,VelvetOptimizer,NODE_2230161_length_1317_cov_2.630220,1347,Unmapped,0
16,16,ERR2984773,VelvetOptimizer,NODE_2246363_length_1143_cov_3.200350,1173,Unmapped,0
17,17,ERR2984773,VelvetOptimizer,NODE_2281018_length_1036_cov_4.216216,1066,Unmapped,0
18,18,ERR2984773,VelvetOptimizer,NODE_2288046_length_1190_cov_3.007563,1220,Unmapped,0
19,19,ERR2984773,VelvetOptimizer,NODE_2456019_length_1007_cov_3.531281,1037,Unmapped,0
20,20,ERR2984773,VelvetOptimizer,NODE_2562855_length_1285_cov_2.354864,1315,Unmapped,0
21,21,ERR2984773,VelvetOptimizer,NODE_2587740_length_999_cov_3.664665,1029,Unmapped,0
22,22,ERR2984773,VelvetOptimizer,NODE_2652588_length_993_cov_2.655589,1023,Unmapped,0
23,23,ERR2984773,VelvetOptimizer,NODE_2660433_length_987_cov_2.412361,1017,Unmapped,0
24,24,ERR2984773,VelvetOptimizer,NODE_2695659_length_1151_cov_2.867072,1181,Unmapped,0
25,25,ERR2984773,VelvetOptimizer,NODE_2699437_length_1028_cov_4.091440,1058,Unmapped,0
26,26,ERR2984773,VelvetOptimizer,NODE_2713124_length_1285_cov_3.606226,1315,Unmapped,0
27,27,ERR2984773,VelvetOptimizer,NODE_2858133_length_1049_cov_2.316492,1079,Unmapped,0
28,28,ERR2984773,VelvetOptimizer,NODE_2882612_length_993_cov_3.182276,1023,Unmapped,0
29,29,ERR2984773,VelvetOptimizer,NODE_2918551_length_1036_cov_2.916988,1066,Unmapped,0
30,30,ERR2984773,VelvetOptimizer,NODE_2976127_length_1083_cov_2.872576,1113,Unmapped,0
31,31,ERR2984773,VelvetOptimizer,NODE_3016472_length_1086_cov_3.194291,1116,Unmapped,0
32,32,ERR2984773,VelvetOptimizer,NODE_3062643_length_1339_cov_3.150112,1369,Unmapped,0
33,33,ERR2984773,VelvetOptimizer,NODE_3079034_length_1315_cov_2.097338,1345,Unmapped,0
34,34,ERR2984773,VelvetOptimizer,NODE_3110233_length_982_cov_3.215886,1012,Unmapped,0
35,35,ERR2984773,VelvetOptimizer,NODE_3148945_length_1141_cov_3.139351,1171,Unmapped,0
36,36,ERR2984773,VelvetOptimizer,NODE_3153285_length_1094_cov_2.137111,1124,Unmapped,0
37,37,ERR2984773,VelvetOptimizer,NODE_3214874_length_1262_cov_2.992868,1292,Unmapped,0
38,38,ERR2984773,VelvetOptimizer,NODE_3222937_length_1388_cov_2.909942,1418,Unmapped,0
39,39,ERR2984773,VelvetOptimizer,NODE_3224422_length_1222_cov_3.947627,1252,Unmapped,0
40,40,ERR2984773,VelvetOptimizer,NODE_3233549_length_1046_cov_4.361377,1076,Unmapped,0
41,41,ERR2984773,VelvetOptimizer,NODE_3243901_length_1257_cov_3.314240,1287,Unmapped,0
42,42,ERR2984773,VelvetOptimizer,NODE_3264098_length_1075_cov_3.013953,1105,Unmapped,0
43,43,ERR2984773,VelvetOptimizer,NODE_3282974_length_973_cov_2.430627,1003,Unmapped,0
44,44,ERR2984773,VelvetOptimizer,NODE_3292763_length_1062_cov_3.552731,1092,Unmapped,0
45,45,ERR2984773,VelvetOptimizer,NODE_3469373_length_1023_cov_3.808407,1053,Unmapped,0
46,46,ERR2984773,VelvetOptimizer,NODE_3483102_length_997_cov_4.564694,1027,Unmapped,0
47,47,ERR2984773,VelvetOptimizer,NODE_3487627_length_1084_cov_1.930812,1114,Unmapped,0
48,48,ERR2984773,VelvetOptimizer,NODE_3569169_length_971_cov_3.090628,1001,Unmapped,0
49,49,ERR2984773,VelvetOptimizer,NODE_3576320_length_1015_cov_3.733990,1045,Unmapped,0
50,50,ERR2984773,VelvetOptimizer,NODE_3618844_length_1067_cov_3.056232,1097,Unmapped,0
51,51,ERR2984773,VelvetOptimizer,NODE_3658152_length_1197_cov_3.155388,1227,Unmapped,0
52,52,ERR2984773,VelvetOptimizer,NODE_3805940_length_1273_cov_2.715632,1303,Unmapped,0
53,53,ERR2984773,VelvetOptimizer,NODE_3809672_length_985_cov_3.135025,1015,Unmapped,0
54,54,ERR2984773,VelvetOptimizer,NODE_3820482_length_1135_cov_3.160352,1165,Unmapped,0
55,55,ERR2984773,VelvetOptimizer,NODE_3824568_length_1159_cov_2.664366,1189,Unmapped,0
56,56,ERR2984773,VelvetOptimizer,NODE_3851833_length_1013_cov_3.116486,1043,Unmapped,0
57,57,ERR2984773,VelvetOptimizer,NODE_3893511_length_1181_cov_3.492803,1211,Unmapped,0
58,58,ERR2984773,VelvetOptimizer,NODE_3947408_length_1049_cov_2.551954,1079,Unmapped,0
59,59,ERR2984773,VelvetOptimizer,NODE_4002173_length_1008_cov_2.335317,1038,Unmapped,0
60,60,ERR2984773,VelvetOptimizer,NODE_4019473_length_1122_cov_2.296792,1152,Unmapped,0
61,61,ERR2984773,VelvetOptimizer,NODE_4024406_length_1151_cov_2.498697,1181,Unmapped,0
62,62,ERR2984773,VelvetOptimizer,NODE_4046407_length_1236_cov_3.868123,1266,Unmapped,0
63,63,ERR2984773,VelvetOptimizer,NODE_4172452_length_1260_cov_2.888095,1290,Unmapped,0
64,64,ERR2984773,VelvetOptimizer,NODE_4232986_length_1006_cov_2.618290,1036,Unmapped,0
65,65,ERR2984773,VelvetOptimizer,NODE_4669165_length_993_cov_2.995972,1023,Unmapped,0
66,66,ERR2984773,VelvetOptimizer,NODE_5055479_length_1035_cov_2.480193,1065,Unmapped,0
67,67,ERR2984773,VelvetOptimizer,NODE_5271234_length_1084_cov_2.754612,1114,Unmapped,0
68,68,ERR2984773,VelvetOptimizer,NODE_6123664_length_1189_cov_4.113541,1219,Unmapped,0
