,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LNN,IDBA-UD,contig-100_0,585610,Listeria_monocytogenes,0
1,1,LNN,IDBA-UD,contig-100_1,468508,Listeria_monocytogenes,0
2,2,LNN,IDBA-UD,contig-100_2,351148,Listeria_monocytogenes,0
3,3,LNN,IDBA-UD,contig-100_3,340374,Pseudomonas_aeruginosa,0
4,4,LNN,IDBA-UD,contig-100_4,333368,Pseudomonas_aeruginosa,0
5,5,LNN,IDBA-UD,contig-100_5,326136,Pseudomonas_aeruginosa,0
6,6,LNN,IDBA-UD,contig-100_6,318720,Pseudomonas_aeruginosa,0
7,7,LNN,IDBA-UD,contig-100_7,254555,Listeria_monocytogenes,0
8,8,LNN,IDBA-UD,contig-100_8,227545,Pseudomonas_aeruginosa,0
9,9,LNN,IDBA-UD,contig-100_9,212355,Pseudomonas_aeruginosa,0
10,10,LNN,IDBA-UD,contig-100_10,211017,Pseudomonas_aeruginosa,0
11,11,LNN,IDBA-UD,contig-100_11,202772,Pseudomonas_aeruginosa,0
12,12,LNN,IDBA-UD,contig-100_12,195010,Pseudomonas_aeruginosa,0
13,13,LNN,IDBA-UD,contig-100_13,194043,Pseudomonas_aeruginosa,0
14,14,LNN,IDBA-UD,contig-100_14,182722,Pseudomonas_aeruginosa,0
15,15,LNN,IDBA-UD,contig-100_15,171210,Pseudomonas_aeruginosa,0
16,16,LNN,IDBA-UD,contig-100_16,170459,Listeria_monocytogenes,0
17,17,LNN,IDBA-UD,contig-100_17,165545,Bacillus_subtilis,0
18,18,LNN,IDBA-UD,contig-100_18,163599,Pseudomonas_aeruginosa,0
19,19,LNN,IDBA-UD,contig-100_19,161426,Pseudomonas_aeruginosa,0
20,20,LNN,IDBA-UD,contig-100_20,159706,Listeria_monocytogenes,0
21,21,LNN,IDBA-UD,contig-100_21,141767,Listeria_monocytogenes,0
22,22,LNN,IDBA-UD,contig-100_22,136739,Listeria_monocytogenes,0
23,23,LNN,IDBA-UD,contig-100_23,135162,Pseudomonas_aeruginosa,0
24,24,LNN,IDBA-UD,contig-100_24,127716,Pseudomonas_aeruginosa,0
25,25,LNN,IDBA-UD,contig-100_25,124452,Pseudomonas_aeruginosa,0
26,26,LNN,IDBA-UD,contig-100_26,124228,Listeria_monocytogenes,0
27,27,LNN,IDBA-UD,contig-100_27,122791,Pseudomonas_aeruginosa,0
28,28,LNN,IDBA-UD,contig-100_28,122499,Bacillus_subtilis,0
29,29,LNN,IDBA-UD,contig-100_29,118616,Pseudomonas_aeruginosa,0
30,30,LNN,IDBA-UD,contig-100_30,111750,Listeria_monocytogenes,0
31,31,LNN,IDBA-UD,contig-100_31,109843,Bacillus_subtilis,0
32,32,LNN,IDBA-UD,contig-100_32,108043,Pseudomonas_aeruginosa,0
33,33,LNN,IDBA-UD,contig-100_33,107393,Bacillus_subtilis,0
34,34,LNN,IDBA-UD,contig-100_34,106212,Pseudomonas_aeruginosa,0
35,35,LNN,IDBA-UD,contig-100_35,105808,Pseudomonas_aeruginosa,0
36,36,LNN,IDBA-UD,contig-100_36,104069,Bacillus_subtilis,0
37,37,LNN,IDBA-UD,contig-100_37,101732,Bacillus_subtilis,0
38,38,LNN,IDBA-UD,contig-100_38,101188,Bacillus_subtilis,0
39,39,LNN,IDBA-UD,contig-100_39,100754,Bacillus_subtilis,0
40,40,LNN,IDBA-UD,contig-100_40,99726,Listeria_monocytogenes,0
41,41,LNN,IDBA-UD,contig-100_41,98722,Bacillus_subtilis,0
42,42,LNN,IDBA-UD,contig-100_42,97693,Pseudomonas_aeruginosa,0
43,43,LNN,IDBA-UD,contig-100_43,96397,Listeria_monocytogenes,0
44,44,LNN,IDBA-UD,contig-100_44,95967,Bacillus_subtilis,0
45,45,LNN,IDBA-UD,contig-100_45,95318,Pseudomonas_aeruginosa,0
46,46,LNN,IDBA-UD,contig-100_46,91715,Pseudomonas_aeruginosa,0
47,47,LNN,IDBA-UD,contig-100_47,91576,Pseudomonas_aeruginosa,0
48,48,LNN,IDBA-UD,contig-100_48,91503,Bacillus_subtilis,0
49,49,LNN,IDBA-UD,contig-100_49,91065,Pseudomonas_aeruginosa,0
50,50,LNN,IDBA-UD,contig-100_50,87971,Pseudomonas_aeruginosa,0
51,51,LNN,IDBA-UD,contig-100_51,87597,Bacillus_subtilis,0
52,52,LNN,IDBA-UD,contig-100_52,83599,Bacillus_subtilis,0
53,53,LNN,IDBA-UD,contig-100_53,83546,Pseudomonas_aeruginosa,0
54,54,LNN,IDBA-UD,contig-100_54,83066,Bacillus_subtilis,0
55,55,LNN,IDBA-UD,contig-100_55,81544,Bacillus_subtilis,0
56,56,LNN,IDBA-UD,contig-100_56,76994,Pseudomonas_aeruginosa,0
57,57,LNN,IDBA-UD,contig-100_57,73753,Pseudomonas_aeruginosa,0
58,58,LNN,IDBA-UD,contig-100_58,71893,Bacillus_subtilis,0
59,59,LNN,IDBA-UD,contig-100_59,69187,Listeria_monocytogenes,0
60,60,LNN,IDBA-UD,contig-100_60,69056,Bacillus_subtilis,0
61,61,LNN,IDBA-UD,contig-100_61,68584,Pseudomonas_aeruginosa,0
62,62,LNN,IDBA-UD,contig-100_62,67557,Pseudomonas_aeruginosa,0
63,63,LNN,IDBA-UD,contig-100_63,61777,Pseudomonas_aeruginosa,0
64,64,LNN,IDBA-UD,contig-100_64,60774,Pseudomonas_aeruginosa,0
65,65,LNN,IDBA-UD,contig-100_65,59631,Pseudomonas_aeruginosa,0
66,66,LNN,IDBA-UD,contig-100_66,59459,Pseudomonas_aeruginosa,0
67,67,LNN,IDBA-UD,contig-100_67,58223,Bacillus_subtilis,0
68,68,LNN,IDBA-UD,contig-100_68,58127,Bacillus_subtilis,0
69,69,LNN,IDBA-UD,contig-100_69,57086,Bacillus_subtilis,0
70,70,LNN,IDBA-UD,contig-100_70,55821,Bacillus_subtilis,0
71,71,LNN,IDBA-UD,contig-100_71,55814,Pseudomonas_aeruginosa,0
72,72,LNN,IDBA-UD,contig-100_72,55241,Pseudomonas_aeruginosa,0
73,73,LNN,IDBA-UD,contig-100_73,54641,Pseudomonas_aeruginosa,0
74,74,LNN,IDBA-UD,contig-100_74,54104,Pseudomonas_aeruginosa,0
75,75,LNN,IDBA-UD,contig-100_75,53402,Bacillus_subtilis,0
76,76,LNN,IDBA-UD,contig-100_76,53330,Pseudomonas_aeruginosa,0
77,77,LNN,IDBA-UD,contig-100_77,53179,Pseudomonas_aeruginosa,0
78,78,LNN,IDBA-UD,contig-100_78,53080,Bacillus_subtilis,0
79,79,LNN,IDBA-UD,contig-100_79,52297,Listeria_monocytogenes,0
80,80,LNN,IDBA-UD,contig-100_80,51975,Bacillus_subtilis,0
81,81,LNN,IDBA-UD,contig-100_81,51713,Bacillus_subtilis,0
82,82,LNN,IDBA-UD,contig-100_82,50980,Bacillus_subtilis,0
83,83,LNN,IDBA-UD,contig-100_83,50796,Bacillus_subtilis,0
84,84,LNN,IDBA-UD,contig-100_84,50472,Bacillus_subtilis,0
85,85,LNN,IDBA-UD,contig-100_85,50440,Bacillus_subtilis,0
86,86,LNN,IDBA-UD,contig-100_86,49760,Bacillus_subtilis,0
87,87,LNN,IDBA-UD,contig-100_87,49755,Pseudomonas_aeruginosa,0
88,88,LNN,IDBA-UD,contig-100_88,49466,Bacillus_subtilis,0
89,89,LNN,IDBA-UD,contig-100_89,49233,Pseudomonas_aeruginosa,0
90,90,LNN,IDBA-UD,contig-100_90,48016,Pseudomonas_aeruginosa,0
91,91,LNN,IDBA-UD,contig-100_91,47462,Bacillus_subtilis,0
92,92,LNN,IDBA-UD,contig-100_92,47403,Bacillus_subtilis,0
93,93,LNN,IDBA-UD,contig-100_93,46836,Bacillus_subtilis,0
94,94,LNN,IDBA-UD,contig-100_94,46395,Listeria_monocytogenes,0
95,95,LNN,IDBA-UD,contig-100_95,45856,Pseudomonas_aeruginosa,0
96,96,LNN,IDBA-UD,contig-100_96,45245,Bacillus_subtilis,0
97,97,LNN,IDBA-UD,contig-100_97,44489,Bacillus_subtilis,0
98,98,LNN,IDBA-UD,contig-100_98,44364,Bacillus_subtilis,0
99,99,LNN,IDBA-UD,contig-100_99,43453,Bacillus_subtilis,0
100,100,LNN,IDBA-UD,contig-100_100,42619,Bacillus_subtilis,0
101,101,LNN,IDBA-UD,contig-100_101,42404,Pseudomonas_aeruginosa,0
102,102,LNN,IDBA-UD,contig-100_102,42250,Bacillus_subtilis,0
103,103,LNN,IDBA-UD,contig-100_103,42235,Bacillus_subtilis,0
104,104,LNN,IDBA-UD,contig-100_104,41947,Pseudomonas_aeruginosa,0
