,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LNN,SKESA,Contig_3_31.0953,1353,Pseudomonas_aeruginosa,0
1,1,LNN,SKESA,Contig_8_1579.41,3674,Listeria_monocytogenes,0
2,2,LNN,SKESA,Contig_11_30.6282,1007,Pseudomonas_aeruginosa,0
3,3,LNN,SKESA,Contig_12_34.0565,1862,Pseudomonas_aeruginosa,0
4,4,LNN,SKESA,Contig_14_29.7745,1492,Pseudomonas_aeruginosa,0
5,5,LNN,SKESA,Contig_18_1600.27,11763,Listeria_monocytogenes,0
6,6,LNN,SKESA,Contig_19_1600.18,7820,Listeria_monocytogenes,0
7,7,LNN,SKESA,Contig_22_1593.19,7385,Listeria_monocytogenes,0
8,8,LNN,SKESA,Contig_23_1590.23,11590,Listeria_monocytogenes,0
9,9,LNN,SKESA,Contig_25_1603.24,12097,Listeria_monocytogenes,0
10,10,LNN,SKESA,Contig_30_32.9522,3782,Pseudomonas_aeruginosa,0
11,11,LNN,SKESA,Contig_42_1584.82,5657,Listeria_monocytogenes,0
12,12,LNN,SKESA,Contig_43_1588.86,13534,Listeria_monocytogenes,0
13,13,LNN,SKESA,Contig_58_1586.33,1094,Listeria_monocytogenes,0
14,14,LNN,SKESA,Contig_59_33.9648,1670,Pseudomonas_aeruginosa,0
15,15,LNN,SKESA,Contig_60_1591.18,30754,Listeria_monocytogenes,0
16,16,LNN,SKESA,Contig_64_1604.67,1373,Listeria_monocytogenes,0
17,17,LNN,SKESA,Contig_68_1604.56,2180,Listeria_monocytogenes,0
18,18,LNN,SKESA,Contig_70_1588.07,8327,Listeria_monocytogenes,0
19,19,LNN,SKESA,Contig_71_1593.24,2239,Listeria_monocytogenes,0
20,20,LNN,SKESA,Contig_76_1594.07,27211,Listeria_monocytogenes,0
21,21,LNN,SKESA,Contig_80_1582.94,11581,Listeria_monocytogenes,0
22,22,LNN,SKESA,Contig_81_1584.46,4138,Listeria_monocytogenes,0
23,23,LNN,SKESA,Contig_91_1595.91,7616,Listeria_monocytogenes,0
24,24,LNN,SKESA,Contig_111_1588.13,17875,Listeria_monocytogenes,0
25,25,LNN,SKESA,Contig_112_1596.52,6283,Listeria_monocytogenes,0
26,26,LNN,SKESA,Contig_135_31.9712,1202,Pseudomonas_aeruginosa,0
27,27,LNN,SKESA,Contig_142_35.7755,1998,Pseudomonas_aeruginosa,0
28,28,LNN,SKESA,Contig_143_36.1944,1100,Pseudomonas_aeruginosa,0
29,29,LNN,SKESA,Contig_148_33.4933,1962,Pseudomonas_aeruginosa,0
30,30,LNN,SKESA,Contig_150_1603.38,3157,Listeria_monocytogenes,0
31,31,LNN,SKESA,Contig_151_1604.62,2305,Listeria_monocytogenes,0
32,32,LNN,SKESA,Contig_152_30.8214,1907,Pseudomonas_aeruginosa,0
33,33,LNN,SKESA,Contig_160_34.2686,1323,Pseudomonas_aeruginosa,0
34,34,LNN,SKESA,Contig_164_1589.97,10404,Listeria_monocytogenes,0
35,35,LNN,SKESA,Contig_170_33.9872,1267,Pseudomonas_aeruginosa,0
36,36,LNN,SKESA,Contig_178_33.708,1979,Pseudomonas_aeruginosa,0
37,37,LNN,SKESA,Contig_179_30.8839,3464,Pseudomonas_aeruginosa,0
38,38,LNN,SKESA,Contig_195_1602.68,3313,Listeria_monocytogenes,0
39,39,LNN,SKESA,Contig_203_1594.7,4650,Listeria_monocytogenes,0
40,40,LNN,SKESA,Contig_204_33.254,1071,Pseudomonas_aeruginosa,0
41,41,LNN,SKESA,Contig_211_29.6446,1016,Pseudomonas_aeruginosa,0
42,42,LNN,SKESA,Contig_212_33.1285,1335,Pseudomonas_aeruginosa,0
43,43,LNN,SKESA,Contig_215_1601.77,5546,Listeria_monocytogenes,0
44,44,LNN,SKESA,Contig_228_1603.09,4128,Listeria_monocytogenes,0
45,45,LNN,SKESA,Contig_230_33.7489,1366,Pseudomonas_aeruginosa,0
46,46,LNN,SKESA,Contig_238_28.8181,1917,Pseudomonas_aeruginosa,0
47,47,LNN,SKESA,Contig_239_32.7391,1649,Pseudomonas_aeruginosa,0
48,48,LNN,SKESA,Contig_243_32.3984,1290,Pseudomonas_aeruginosa,0
49,49,LNN,SKESA,Contig_246_34.1319,1248,Pseudomonas_aeruginosa,0
50,50,LNN,SKESA,Contig_249_32.4493,1587,Pseudomonas_aeruginosa,0
51,51,LNN,SKESA,Contig_260_1599.25,6394,Listeria_monocytogenes,0
52,52,LNN,SKESA,Contig_264_33.1868,1021,Pseudomonas_aeruginosa,0
