,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,ENN,Unicycler,Bacillus_subtilis,4045677.0,208999,210282
1,ENN,Unicycler,Bacillus_subtilis,4045677.0,233418,234566
2,ENN,Unicycler,Bacillus_subtilis,4045677.0,371683,372943
3,ENN,Unicycler,Bacillus_subtilis,4045677.0,801555,807232
4,ENN,Unicycler,Bacillus_subtilis,4045677.0,1059686,1060886
5,ENN,Unicycler,Bacillus_subtilis,4045677.0,1355156,1356429
6,ENN,Unicycler,Bacillus_subtilis,4045677.0,1671367,1672654
7,ENN,Unicycler,Bacillus_subtilis,4045677.0,1710352,1716670
8,ENN,Unicycler,Bacillus_subtilis,4045677.0,1754828,1756112
9,ENN,Unicycler,Bacillus_subtilis,4045677.0,2019280,2020493
10,ENN,Unicycler,Bacillus_subtilis,4045677.0,2788766,2791308
11,ENN,Unicycler,Bacillus_subtilis,4045677.0,2792669,2793938
12,ENN,Unicycler,Bacillus_subtilis,4045677.0,2809313,2814550
13,ENN,Unicycler,Bacillus_subtilis,4045677.0,2869695,2880550
14,ENN,Unicycler,Bacillus_subtilis,4045677.0,2940182,2955799
15,ENN,Unicycler,Bacillus_subtilis,4045677.0,3078102,3079392
16,ENN,Unicycler,Bacillus_subtilis,4045677.0,3163097,3163787
17,ENN,Unicycler,Bacillus_subtilis,4045677.0,3173861,3174551
18,ENN,Unicycler,Bacillus_subtilis,4045677.0,3404352,3409261
19,ENN,Unicycler,Bacillus_subtilis,4045677.0,3438842,3440130
20,ENN,Unicycler,Bacillus_subtilis,4045677.0,3697040,3702570
21,ENN,Unicycler,Enterococcus_faecalis,2845392.0,1040104,1040873
22,ENN,Unicycler,Enterococcus_faecalis,2845392.0,1087391,1092869
23,ENN,Unicycler,Enterococcus_faecalis,2845392.0,1121975,1123490
24,ENN,Unicycler,Enterococcus_faecalis,2845392.0,1361990,1364105
25,ENN,Unicycler,Enterococcus_faecalis,2845392.0,1366155,1367998
26,ENN,Unicycler,Enterococcus_faecalis,2845392.0,1404595,1405923
27,ENN,Unicycler,Enterococcus_faecalis,2845392.0,1577161,1579728
28,ENN,Unicycler,Enterococcus_faecalis,2845392.0,1685121,1686519
29,ENN,Unicycler,Enterococcus_faecalis,2845392.0,1716891,1719297
30,ENN,Unicycler,Enterococcus_faecalis,2845392.0,1805225,1812243
31,ENN,Unicycler,Enterococcus_faecalis,2845392.0,2424553,2429889
32,ENN,Unicycler,Enterococcus_faecalis,2845392.0,2449209,2449978
33,ENN,Unicycler,Escherichia_coli,4765434.0,14446,14711
34,ENN,Unicycler,Escherichia_coli,4765434.0,15938,16592
35,ENN,Unicycler,Escherichia_coli,4765434.0,28795,29404
36,ENN,Unicycler,Escherichia_coli,4765434.0,133665,134180
37,ENN,Unicycler,Escherichia_coli,4765434.0,233737,234351
38,ENN,Unicycler,Escherichia_coli,4765434.0,357938,358707
39,ENN,Unicycler,Escherichia_coli,4765434.0,455551,455881
40,ENN,Unicycler,Escherichia_coli,4765434.0,458462,461111
41,ENN,Unicycler,Escherichia_coli,4765434.0,466892,468101
42,ENN,Unicycler,Escherichia_coli,4765434.0,494692,495321
43,ENN,Unicycler,Escherichia_coli,4765434.0,497469,498678
44,ENN,Unicycler,Escherichia_coli,4765434.0,507663,507992
45,ENN,Unicycler,Escherichia_coli,4765434.0,512975,514021
46,ENN,Unicycler,Escherichia_coli,4765434.0,532569,533338
47,ENN,Unicycler,Escherichia_coli,4765434.0,577763,578532
48,ENN,Unicycler,Escherichia_coli,4765434.0,677196,678540
49,ENN,Unicycler,Escherichia_coli,4765434.0,758143,758867
50,ENN,Unicycler,Escherichia_coli,4765434.0,907343,912204
51,ENN,Unicycler,Escherichia_coli,4765434.0,913285,913791
52,ENN,Unicycler,Escherichia_coli,4765434.0,927465,931369
53,ENN,Unicycler,Escherichia_coli,4765434.0,1040844,1042000
54,ENN,Unicycler,Escherichia_coli,4765434.0,1044601,1046329
55,ENN,Unicycler,Escherichia_coli,4765434.0,1116417,1117325
56,ENN,Unicycler,Escherichia_coli,4765434.0,1241397,1242614
57,ENN,Unicycler,Escherichia_coli,4765434.0,1260509,1262924
58,ENN,Unicycler,Escherichia_coli,4765434.0,1264007,1266974
59,ENN,Unicycler,Escherichia_coli,4765434.0,1283749,1283880
60,ENN,Unicycler,Escherichia_coli,4765434.0,1285062,1285191
61,ENN,Unicycler,Escherichia_coli,4765434.0,1294278,1295176
62,ENN,Unicycler,Escherichia_coli,4765434.0,1311420,1312823
63,ENN,Unicycler,Escherichia_coli,4765434.0,1377482,1378111
64,ENN,Unicycler,Escherichia_coli,4765434.0,1489055,1489973
65,ENN,Unicycler,Escherichia_coli,4765434.0,1521440,1522846
66,ENN,Unicycler,Escherichia_coli,4765434.0,1529273,1530816
67,ENN,Unicycler,Escherichia_coli,4765434.0,1562559,1568292
68,ENN,Unicycler,Escherichia_coli,4765434.0,1569982,1573042
69,ENN,Unicycler,Escherichia_coli,4765434.0,1580789,1582578
70,ENN,Unicycler,Escherichia_coli,4765434.0,1717870,1718701
71,ENN,Unicycler,Escherichia_coli,4765434.0,1736326,1737670
72,ENN,Unicycler,Escherichia_coli,4765434.0,1803258,1808441
73,ENN,Unicycler,Escherichia_coli,4765434.0,1818725,1819494
74,ENN,Unicycler,Escherichia_coli,4765434.0,1921347,1922421
75,ENN,Unicycler,Escherichia_coli,4765434.0,1964350,1966797
76,ENN,Unicycler,Escherichia_coli,4765434.0,1968020,1973444
77,ENN,Unicycler,Escherichia_coli,4765434.0,2006033,2006220
78,ENN,Unicycler,Escherichia_coli,4765434.0,2092626,2093970
79,ENN,Unicycler,Escherichia_coli,4765434.0,2153847,2155575
80,ENN,Unicycler,Escherichia_coli,4765434.0,2407135,2408291
81,ENN,Unicycler,Escherichia_coli,4765434.0,2424889,2430430
82,ENN,Unicycler,Escherichia_coli,4765434.0,2611686,2612455
83,ENN,Unicycler,Escherichia_coli,4765434.0,2634124,2634893
84,ENN,Unicycler,Escherichia_coli,4765434.0,2637957,2639301
85,ENN,Unicycler,Escherichia_coli,4765434.0,2783976,2784606
86,ENN,Unicycler,Escherichia_coli,4765434.0,2794191,2795413
87,ENN,Unicycler,Escherichia_coli,4765434.0,2869552,2870645
88,ENN,Unicycler,Escherichia_coli,4765434.0,2889551,2891082
89,ENN,Unicycler,Escherichia_coli,4765434.0,2933487,2934256
90,ENN,Unicycler,Escherichia_coli,4765434.0,2959836,2960283
91,ENN,Unicycler,Escherichia_coli,4765434.0,2989727,2990179
92,ENN,Unicycler,Escherichia_coli,4765434.0,3072944,3078269
93,ENN,Unicycler,Escherichia_coli,4765434.0,3098434,3099472
94,ENN,Unicycler,Escherichia_coli,4765434.0,3100609,3100792
95,ENN,Unicycler,Escherichia_coli,4765434.0,3103247,3103349
96,ENN,Unicycler,Escherichia_coli,4765434.0,3106139,3107311
97,ENN,Unicycler,Escherichia_coli,4765434.0,3109001,3110751
98,ENN,Unicycler,Escherichia_coli,4765434.0,3114145,3119726
99,ENN,Unicycler,Escherichia_coli,4765434.0,3245178,3250857
100,ENN,Unicycler,Escherichia_coli,4765434.0,3303072,3303584
101,ENN,Unicycler,Escherichia_coli,4765434.0,3338887,3344483
102,ENN,Unicycler,Escherichia_coli,4765434.0,3363321,3363422
103,ENN,Unicycler,Escherichia_coli,4765434.0,3364700,3368523
104,ENN,Unicycler,Escherichia_coli,4765434.0,3369805,3369901
105,ENN,Unicycler,Escherichia_coli,4765434.0,3400771,3402284
106,ENN,Unicycler,Escherichia_coli,4765434.0,3405790,3405984
107,ENN,Unicycler,Escherichia_coli,4765434.0,3407061,3407187
108,ENN,Unicycler,Escherichia_coli,4765434.0,3450178,3452053
109,ENN,Unicycler,Escherichia_coli,4765434.0,3455240,3457782
110,ENN,Unicycler,Escherichia_coli,4765434.0,3480333,3481637
111,ENN,Unicycler,Escherichia_coli,4765434.0,3486811,3488020
112,ENN,Unicycler,Escherichia_coli,4765434.0,3503965,3504373
113,ENN,Unicycler,Escherichia_coli,4765434.0,3509131,3510441
114,ENN,Unicycler,Escherichia_coli,4765434.0,3579524,3579881
115,ENN,Unicycler,Escherichia_coli,4765434.0,3581212,3582786
116,ENN,Unicycler,Escherichia_coli,4765434.0,3584764,3584837
117,ENN,Unicycler,Escherichia_coli,4765434.0,3678053,3679286
118,ENN,Unicycler,Escherichia_coli,4765434.0,3687079,3688384
119,ENN,Unicycler,Escherichia_coli,4765434.0,3689786,3693377
120,ENN,Unicycler,Escherichia_coli,4765434.0,3837286,3838772
121,ENN,Unicycler,Escherichia_coli,4765434.0,3840693,3841737
122,ENN,Unicycler,Escherichia_coli,4765434.0,3858570,3872134
123,ENN,Unicycler,Escherichia_coli,4765434.0,3882893,3888630
124,ENN,Unicycler,Escherichia_coli,4765434.0,3900481,3901691
125,ENN,Unicycler,Escherichia_coli,4765434.0,3933222,3933867
126,ENN,Unicycler,Escherichia_coli,4765434.0,3992335,3992857
127,ENN,Unicycler,Escherichia_coli,4765434.0,4002545,4003519
128,ENN,Unicycler,Escherichia_coli,4765434.0,4098509,4098605
129,ENN,Unicycler,Escherichia_coli,4765434.0,4099862,4099958
130,ENN,Unicycler,Escherichia_coli,4765434.0,4446523,4447867
131,ENN,Unicycler,Escherichia_coli,4765434.0,4507242,4508101
132,ENN,Unicycler,Escherichia_coli,4765434.0,4553224,4553917
133,ENN,Unicycler,Escherichia_coli,4765434.0,4591137,4596561
134,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,2160,5638
135,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,19985,24996
136,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,36773,38731
137,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,57600,59611
138,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,96880,96954
139,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,97954,104701
140,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,261125,262597
141,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,273660,275318
142,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,278236,281292
143,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,286210,287530
144,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,290273,291617
145,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,337575,338934
146,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,411522,413320
147,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,415352,421534
148,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,461701,461773
149,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,479176,479250
150,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,521306,522341
151,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,525841,527488
152,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,530293,531302
153,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,571174,572183
154,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,573520,575223
155,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,582663,583703
156,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,591892,592947
157,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,617077,618198
158,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,619819,621810
159,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,685371,686695
160,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,688877,692539
161,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,791586,793346
162,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,801758,803769
163,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,812550,813409
164,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,857723,859548
165,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,868198,870209
166,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,873189,875147
167,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,885598,888526
168,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,909230,911241
169,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,939492,940566
170,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1021790,1023090
171,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1051546,1055242
172,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1069127,1071410
173,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1109572,1110667
174,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1225302,1230516
175,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1277299,1279310
176,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1308174,1309827
177,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1313598,1317899
178,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1375644,1377116
179,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1391627,1393452
180,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1406352,1406373
181,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1438917,1439042
182,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1466945,1468936
183,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1546720,1547548
184,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1548647,1548731
185,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1594897,1595806
186,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1610204,1611284
187,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1625870,1626927
188,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1661697,1661832
189,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1663093,1666282
190,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1698516,1700527
191,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1787718,1788773
192,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1799897,1801854
193,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1819808,1821819
194,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1839525,1840089
195,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1843274,1844561
196,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1846264,1848826
197,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1855058,1856880
198,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1880144,1881969
199,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1889873,1898306
200,ENN,Unicycler,Lactobacillus_fermentum,1905333.0,1901489,1903547
201,ENN,Unicycler,Listeria_monocytogenes,2992342.0,351048,352415
202,ENN,Unicycler,Listeria_monocytogenes,2992342.0,1080798,1083115
203,ENN,Unicycler,Listeria_monocytogenes,2992342.0,1086709,1088108
204,ENN,Unicycler,Listeria_monocytogenes,2992342.0,1228468,1229859
205,ENN,Unicycler,Listeria_monocytogenes,2992342.0,1366399,1377662
206,ENN,Unicycler,Listeria_monocytogenes,2992342.0,1610198,1611500
207,ENN,Unicycler,Listeria_monocytogenes,2992342.0,1612866,1615747
208,ENN,Unicycler,Listeria_monocytogenes,2992342.0,2158451,2164536
209,ENN,Unicycler,Listeria_monocytogenes,2992342.0,2245840,2281610
210,ENN,Unicycler,Listeria_monocytogenes,2992342.0,2495416,2496008
211,ENN,Unicycler,Listeria_monocytogenes,2992342.0,2498274,2499032
212,ENN,Unicycler,Listeria_monocytogenes,2992342.0,2500262,2500623
213,ENN,Unicycler,Listeria_monocytogenes,2992342.0,2502073,2502581
214,ENN,Unicycler,Listeria_monocytogenes,2992342.0,2757011,2762164
215,ENN,Unicycler,Listeria_monocytogenes,2992342.0,2861691,2868212
216,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,36648,37576
217,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,332056,333218
218,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,421127,421311
219,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,422527,426881
220,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,429918,431079
221,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,500663,501428
222,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,577719,578323
223,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,754367,755836
224,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,945810,946674
225,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1161526,1164623
226,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1166236,1168826
227,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1710964,1712146
228,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1891022,1892037
229,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1893650,1894526
230,ENN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1896326,1896734
