,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LNN,BCALM2,4489,1087,Salmonella_enterica,0
1,1,LNN,BCALM2,4505,1461,Salmonella_enterica,0
2,2,LNN,BCALM2,4508,1467,Escherichia_coli,0
3,3,LNN,BCALM2,4534,1483,Salmonella_enterica,0
4,4,LNN,BCALM2,4549,1024,Pseudomonas_aeruginosa,0
5,5,LNN,BCALM2,4567,2104,Escherichia_coli,0
6,6,LNN,BCALM2,4582,1183,Salmonella_enterica,0
7,7,LNN,BCALM2,4589,2518,Escherichia_coli,0
8,8,LNN,BCALM2,4594,2879,Salmonella_enterica,0
9,9,LNN,BCALM2,4596,1962,Escherichia_coli,0
10,10,LNN,BCALM2,4598,1038,Salmonella_enterica,0
11,11,LNN,BCALM2,4599,5633,Salmonella_enterica,0
12,12,LNN,BCALM2,4617,1961,Escherichia_coli,0
13,13,LNN,BCALM2,4623,1253,Salmonella_enterica,0
14,14,LNN,BCALM2,4630,1412,Salmonella_enterica,0
15,15,LNN,BCALM2,4642,1626,Escherichia_coli,0
16,16,LNN,BCALM2,4644,1001,Lactobacillus_fermentum,0
17,17,LNN,BCALM2,4675,1039,Escherichia_coli,0
18,18,LNN,BCALM2,4676,5619,Salmonella_enterica,0
19,19,LNN,BCALM2,4679,1441,Escherichia_coli,0
20,20,LNN,BCALM2,4697,2873,Salmonella_enterica,0
21,21,LNN,BCALM2,4722,3832,Lactobacillus_fermentum,0
22,22,LNN,BCALM2,4735,1262,Pseudomonas_aeruginosa,0
23,23,LNN,BCALM2,4741,1140,Escherichia_coli,0
24,24,LNN,BCALM2,4751,6352,Enterococcus_faecalis,0
25,25,LNN,BCALM2,4761,1363,Salmonella_enterica,0
26,26,LNN,BCALM2,4765,1820,Escherichia_coli,0
27,27,LNN,BCALM2,4788,10494,Staphylococcus_aureus,0
28,28,LNN,BCALM2,4795,2128,Listeria_monocytogenes,0
29,29,LNN,BCALM2,4801,1424,Salmonella_enterica,0
30,30,LNN,BCALM2,4802,7820,Salmonella_enterica,0
31,31,LNN,BCALM2,4809,2971,Escherichia_coli,0
32,32,LNN,BCALM2,4822,1525,Salmonella_enterica,0
33,33,LNN,BCALM2,4828,1800,Salmonella_enterica,0
34,34,LNN,BCALM2,4833,2502,Salmonella_enterica,0
35,35,LNN,BCALM2,4834,1099,Salmonella_enterica,0
36,36,LNN,BCALM2,4835,3774,Salmonella_enterica,0
37,37,LNN,BCALM2,4840,1207,Salmonella_enterica,0
38,38,LNN,BCALM2,4842,8661,Enterococcus_faecalis,0
39,39,LNN,BCALM2,4847,2544,Salmonella_enterica,0
40,40,LNN,BCALM2,4849,6800,Escherichia_coli,0
41,41,LNN,BCALM2,4852,4642,Salmonella_enterica,0
42,42,LNN,BCALM2,4853,1173,Salmonella_enterica,0
43,43,LNN,BCALM2,4872,1167,Escherichia_coli,0
44,44,LNN,BCALM2,4877,4702,Salmonella_enterica,0
45,45,LNN,BCALM2,4893,1760,Escherichia_coli,0
46,46,LNN,BCALM2,4897,1340,Salmonella_enterica,0
47,47,LNN,BCALM2,4904,2140,Staphylococcus_aureus,0
48,48,LNN,BCALM2,4908,14808,Salmonella_enterica,0
49,49,LNN,BCALM2,4909,4201,Escherichia_coli,0
50,50,LNN,BCALM2,4910,2723,Escherichia_coli,0
51,51,LNN,BCALM2,4912,7946,Salmonella_enterica,0
52,52,LNN,BCALM2,4913,9828,Salmonella_enterica,0
53,53,LNN,BCALM2,4916,6889,Pseudomonas_aeruginosa,0
54,54,LNN,BCALM2,4918,1241,Pseudomonas_aeruginosa,0
55,55,LNN,BCALM2,4924,2476,Escherichia_coli,0
56,56,LNN,BCALM2,4937,1297,Escherichia_coli,0
57,57,LNN,BCALM2,4939,2462,Escherichia_coli,0
58,58,LNN,BCALM2,4950,2100,Escherichia_coli,0
59,59,LNN,BCALM2,4958,3186,Escherichia_coli,0
60,60,LNN,BCALM2,4961,4478,Escherichia_coli,0
61,61,LNN,BCALM2,4962,7579,Escherichia_coli,0
62,62,LNN,BCALM2,4967,4590,Salmonella_enterica,0
63,63,LNN,BCALM2,4968,1429,Salmonella_enterica,0
64,64,LNN,BCALM2,4974,7163,Salmonella_enterica,0
65,65,LNN,BCALM2,4975,10699,Salmonella_enterica,0
66,66,LNN,BCALM2,4981,1402,Salmonella_enterica,0
67,67,LNN,BCALM2,4992,3614,Salmonella_enterica,0
68,68,LNN,BCALM2,4993,9740,Salmonella_enterica,0
69,69,LNN,BCALM2,4998,1477,Pseudomonas_aeruginosa,0
70,70,LNN,BCALM2,4999,11304,Listeria_monocytogenes,0
71,71,LNN,BCALM2,5000,2515,Escherichia_coli,0
72,72,LNN,BCALM2,5002,4370,Staphylococcus_aureus,0
73,73,LNN,BCALM2,5011,3394,Salmonella_enterica,0
74,74,LNN,BCALM2,5015,1238,Escherichia_coli,0
75,75,LNN,BCALM2,5019,10641,Staphylococcus_aureus,0
76,76,LNN,BCALM2,5021,4448,Escherichia_coli,0
77,77,LNN,BCALM2,5040,1365,Salmonella_enterica,0
78,78,LNN,BCALM2,5056,3164,Pseudomonas_aeruginosa,0
79,79,LNN,BCALM2,5061,1797,Salmonella_enterica,0
80,80,LNN,BCALM2,5069,1255,Escherichia_coli,0
81,81,LNN,BCALM2,5075,2686,Salmonella_enterica,0
82,82,LNN,BCALM2,5076,2478,Escherichia_coli,0
83,83,LNN,BCALM2,5082,1118,Lactobacillus_fermentum,0
84,84,LNN,BCALM2,5090,17766,Pseudomonas_aeruginosa,0
85,85,LNN,BCALM2,5100,6656,Pseudomonas_aeruginosa,0
86,86,LNN,BCALM2,5108,13922,Pseudomonas_aeruginosa,0
87,87,LNN,BCALM2,5113,8958,Salmonella_enterica,0
88,88,LNN,BCALM2,5115,7295,Staphylococcus_aureus,0
89,89,LNN,BCALM2,5116,17137,Salmonella_enterica,0
90,90,LNN,BCALM2,5123,2167,Escherichia_coli,0
91,91,LNN,BCALM2,5128,8855,Pseudomonas_aeruginosa,0
92,92,LNN,BCALM2,5130,4448,Lactobacillus_fermentum,0
93,93,LNN,BCALM2,5131,1116,Escherichia_coli,0
94,94,LNN,BCALM2,5133,2817,Salmonella_enterica,0
95,95,LNN,BCALM2,5140,15616,Escherichia_coli,0
96,96,LNN,BCALM2,5144,1317,Escherichia_coli,0
97,97,LNN,BCALM2,5146,13356,Enterococcus_faecalis,0
98,98,LNN,BCALM2,5150,4238,Escherichia_coli,0
99,99,LNN,BCALM2,5153,1017,Escherichia_coli,0
100,100,LNN,BCALM2,5157,1932,Pseudomonas_aeruginosa,0
101,101,LNN,BCALM2,5162,12294,Lactobacillus_fermentum,0
102,102,LNN,BCALM2,5178,10258,Salmonella_enterica,0
103,103,LNN,BCALM2,5183,5414,Lactobacillus_fermentum,0
104,104,LNN,BCALM2,5184,12323,Bacillus_subtilis,0
105,105,LNN,BCALM2,5189,4907,Pseudomonas_aeruginosa,0
106,106,LNN,BCALM2,5190,6147,Escherichia_coli,0
107,107,LNN,BCALM2,5214,11504,Lactobacillus_fermentum,0
108,108,LNN,BCALM2,5220,1367,Escherichia_coli,0
109,109,LNN,BCALM2,5222,2539,Salmonella_enterica,0
110,110,LNN,BCALM2,5224,1363,Salmonella_enterica,0
111,111,LNN,BCALM2,5236,1770,Salmonella_enterica,0
112,112,LNN,BCALM2,5240,1810,Salmonella_enterica,0
113,113,LNN,BCALM2,5242,3551,Salmonella_enterica,0
114,114,LNN,BCALM2,5243,1549,Escherichia_coli,0
115,115,LNN,BCALM2,5248,1077,Salmonella_enterica,0
116,116,LNN,BCALM2,5273,1141,Escherichia_coli,0
117,117,LNN,BCALM2,5276,12369,Enterococcus_faecalis,0
118,118,LNN,BCALM2,5279,1782,Salmonella_enterica,0
119,119,LNN,BCALM2,5281,1109,Escherichia_coli,0
120,120,LNN,BCALM2,5289,1883,Salmonella_enterica,0
121,121,LNN,BCALM2,5312,1689,Listeria_monocytogenes,0
122,122,LNN,BCALM2,5316,3784,Salmonella_enterica,0
123,123,LNN,BCALM2,5327,8942,Escherichia_coli,0
124,124,LNN,BCALM2,5330,2763,Escherichia_coli,0
125,125,LNN,BCALM2,5343,1153,Escherichia_coli,0
126,126,LNN,BCALM2,5345,1024,Escherichia_coli,0
127,127,LNN,BCALM2,5356,14064,Escherichia_coli,0
128,128,LNN,BCALM2,5357,4623,Pseudomonas_aeruginosa,0
129,129,LNN,BCALM2,5359,11775,Lactobacillus_fermentum,0
130,130,LNN,BCALM2,5365,3329,Salmonella_enterica,0
131,131,LNN,BCALM2,5372,2636,Escherichia_coli,0
132,132,LNN,BCALM2,5374,2789,Escherichia_coli,0
133,133,LNN,BCALM2,5377,1234,Enterococcus_faecalis,0
134,134,LNN,BCALM2,5381,4442,Escherichia_coli,0
135,135,LNN,BCALM2,5386,1041,Bacillus_subtilis,0
136,136,LNN,BCALM2,5397,1696,Escherichia_coli,0
137,137,LNN,BCALM2,5417,1780,Escherichia_coli,0
138,138,LNN,BCALM2,5425,3339,Escherichia_coli,0
139,139,LNN,BCALM2,5426,1996,Escherichia_coli,0
140,140,LNN,BCALM2,5433,1010,Pseudomonas_aeruginosa,0
141,141,LNN,BCALM2,5434,6978,Escherichia_coli,0
142,142,LNN,BCALM2,5436,3983,Escherichia_coli,0
143,143,LNN,BCALM2,5439,2309,Staphylococcus_aureus,0
144,144,LNN,BCALM2,5442,1346,Escherichia_coli,0
145,145,LNN,BCALM2,5472,2179,Escherichia_coli,0
146,146,LNN,BCALM2,5499,1511,Pseudomonas_aeruginosa,0
147,147,LNN,BCALM2,5512,12686,Lactobacillus_fermentum,0
148,148,LNN,BCALM2,5513,1489,Escherichia_coli,0
149,149,LNN,BCALM2,5515,13063,Escherichia_coli,0
150,150,LNN,BCALM2,5516,5317,Escherichia_coli,0
151,151,LNN,BCALM2,5520,6559,Escherichia_coli,0
152,152,LNN,BCALM2,5530,7040,Pseudomonas_aeruginosa,0
153,153,LNN,BCALM2,5535,1137,Salmonella_enterica,0
