,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2935805,MEGAHIT,k141_5327,1374,Unmapped,0
1,1,ERR2935805,MEGAHIT,k141_10652,1461,Unmapped,0
2,2,ERR2935805,MEGAHIT,k141_7102,1914,Unmapped,0
3,3,ERR2935805,MEGAHIT,k141_3554,1315,Unmapped,0
4,4,ERR2935805,MEGAHIT,k141_7103,1709,Unmapped,0
5,5,ERR2935805,MEGAHIT,k141_8882,1111,Unmapped,0
6,6,ERR2935805,MEGAHIT,k141_1782,1233,Unmapped,0
7,7,ERR2935805,MEGAHIT,k141_5331,1427,Unmapped,0
8,8,ERR2935805,MEGAHIT,k141_10656,2002,Unmapped,0
9,9,ERR2935805,MEGAHIT,k141_7106,2449,Unmapped,0
10,10,ERR2935805,MEGAHIT,k141_12432,3426,Unmapped,0
11,11,ERR2935805,MEGAHIT,k141_8885,2804,Unmapped,0
12,12,ERR2935805,MEGAHIT,k141_3565,1086,Unmapped,0
13,13,ERR2935805,MEGAHIT,k141_13,1602,Unmapped,0
14,14,ERR2935805,MEGAHIT,k141_10665,1049,Unmapped,0
15,15,ERR2935805,MEGAHIT,k141_12435,1123,Unmapped,0
16,16,ERR2935805,MEGAHIT,k141_1790,1764,Unmapped,0
17,17,ERR2935805,MEGAHIT,k141_7116,1156,Unmapped,0
18,18,ERR2935805,MEGAHIT,k141_15,1253,Unmapped,0
19,19,ERR2935805,MEGAHIT,k141_3568,1422,Unmapped,0
20,20,ERR2935805,MEGAHIT,k141_12436,1216,Unmapped,0
21,21,ERR2935805,MEGAHIT,k141_10667,1750,Unmapped,0
22,22,ERR2935805,MEGAHIT,k141_8900,1212,Unmapped,0
23,23,ERR2935805,MEGAHIT,k141_3575,1172,Pseudomonas_aeruginosa,0
24,24,ERR2935805,MEGAHIT,k141_26,1365,Unmapped,0
25,25,ERR2935805,MEGAHIT,k141_8902,1939,Unmapped,0
26,26,ERR2935805,MEGAHIT,k141_3577,2194,Unmapped,0
27,27,ERR2935805,MEGAHIT,k141_10676,1661,Unmapped,0
28,28,ERR2935805,MEGAHIT,k141_3579,1594,Unmapped,0
29,29,ERR2935805,MEGAHIT,k141_8906,3072,Unmapped,0
30,30,ERR2935805,MEGAHIT,k141_12454,1295,Unmapped,0
31,31,ERR2935805,MEGAHIT,k141_10677,2250,Unmapped,0
32,32,ERR2935805,MEGAHIT,k141_33,2417,Unmapped,0
33,33,ERR2935805,MEGAHIT,k141_8912,1064,Unmapped,0
34,34,ERR2935805,MEGAHIT,k141_12458,1422,Unmapped,0
35,35,ERR2935805,MEGAHIT,k141_10681,1217,Unmapped,0
36,36,ERR2935805,MEGAHIT,k141_37,1047,Unmapped,0
37,37,ERR2935805,MEGAHIT,k141_8915,1684,Unmapped,0
38,38,ERR2935805,MEGAHIT,k141_10683,1262,Unmapped,0
39,39,ERR2935805,MEGAHIT,k141_10684,1020,Unmapped,0
40,40,ERR2935805,MEGAHIT,k141_8917,1280,Unmapped,0
41,41,ERR2935805,MEGAHIT,k141_39,2165,Unmapped,0
42,42,ERR2935805,MEGAHIT,k141_3595,2114,Unmapped,0
43,43,ERR2935805,MEGAHIT,k141_3596,1244,Unmapped,0
44,44,ERR2935805,MEGAHIT,k141_12467,1774,Unmapped,0
45,45,ERR2935805,MEGAHIT,k141_3600,1028,Unmapped,0
46,46,ERR2935805,MEGAHIT,k141_12469,1377,Unmapped,0
47,47,ERR2935805,MEGAHIT,k141_8926,1026,Unmapped,0
48,48,ERR2935805,MEGAHIT,k141_12470,1205,Unmapped,0
49,49,ERR2935805,MEGAHIT,k141_10691,1969,Unmapped,0
50,50,ERR2935805,MEGAHIT,k141_8928,1540,Unmapped,0
51,51,ERR2935805,MEGAHIT,k141_53,1026,Unmapped,0
52,52,ERR2935805,MEGAHIT,k141_3604,1679,Unmapped,0
53,53,ERR2935805,MEGAHIT,k141_12473,1455,Unmapped,0
54,54,ERR2935805,MEGAHIT,k141_56,1484,Unmapped,0
55,55,ERR2935805,MEGAHIT,k141_3607,1009,Unmapped,0
56,56,ERR2935805,MEGAHIT,k141_8932,1775,Unmapped,0
57,57,ERR2935805,MEGAHIT,k141_3608,2091,Unmapped,0
58,58,ERR2935805,MEGAHIT,k141_8934,2023,Unmapped,0
59,59,ERR2935805,MEGAHIT,k141_59,2055,Unmapped,0
60,60,ERR2935805,MEGAHIT,k141_1791,30017,Bacillus_subtilis,0
61,61,ERR2935805,MEGAHIT,k141_3609,2464,Unmapped,0
62,62,ERR2935805,MEGAHIT,k141_12483,1199,Unmapped,0
63,63,ERR2935805,MEGAHIT,k141_10707,1017,Unmapped,0
64,64,ERR2935805,MEGAHIT,k141_62,1921,Unmapped,0
65,65,ERR2935805,MEGAHIT,k141_10708,1397,Unmapped,0
66,66,ERR2935805,MEGAHIT,k141_3611,2887,Unmapped,0
67,67,ERR2935805,MEGAHIT,k141_8943,1381,Unmapped,0
68,68,ERR2935805,MEGAHIT,k141_8944,1206,Unmapped,0
69,69,ERR2935805,MEGAHIT,k141_3613,1641,Unmapped,0
70,70,ERR2935805,MEGAHIT,k141_71,1507,Unmapped,0
71,71,ERR2935805,MEGAHIT,k141_3619,1415,Unmapped,0
72,72,ERR2935805,MEGAHIT,k141_10717,1139,Unmapped,0
73,73,ERR2935805,MEGAHIT,k141_8955,1112,Unmapped,0
74,74,ERR2935805,MEGAHIT,k141_12484,6922,Unmapped,0
75,75,ERR2935805,MEGAHIT,k141_72,1380,Unmapped,0
76,76,ERR2935805,MEGAHIT,k141_10718,1528,Unmapped,0
77,77,ERR2935805,MEGAHIT,k141_8958,1453,Unmapped,0
78,78,ERR2935805,MEGAHIT,k141_12487,1383,Pseudomonas_aeruginosa,0
79,79,ERR2935805,MEGAHIT,k141_3625,2029,Unmapped,0
80,80,ERR2935805,MEGAHIT,k141_10721,2103,Unmapped,0
81,81,ERR2935805,MEGAHIT,k141_81,1135,Unmapped,0
82,82,ERR2935805,MEGAHIT,k141_8961,2469,Unmapped,0
83,83,ERR2935805,MEGAHIT,k141_12491,1729,Unmapped,0
84,84,ERR2935805,MEGAHIT,k141_12492,1257,Unmapped,0
85,85,ERR2935805,MEGAHIT,k141_3632,2028,Unmapped,0
86,86,ERR2935805,MEGAHIT,k141_10726,1449,Unmapped,0
87,87,ERR2935805,MEGAHIT,k141_89,1031,Unmapped,0
88,88,ERR2935805,MEGAHIT,k141_8967,2127,Unmapped,0
89,89,ERR2935805,MEGAHIT,k141_3640,1028,Unmapped,0
90,90,ERR2935805,MEGAHIT,k141_12497,1725,Unmapped,0
91,91,ERR2935805,MEGAHIT,k141_3642,1068,Unmapped,0
92,92,ERR2935805,MEGAHIT,k141_8974,1011,Unmapped,0
93,93,ERR2935805,MEGAHIT,k141_93,1198,Unmapped,0
94,94,ERR2935805,MEGAHIT,k141_3645,1337,Unmapped,0
95,95,ERR2935805,MEGAHIT,k141_12501,1001,Unmapped,0
96,96,ERR2935805,MEGAHIT,k141_8979,1118,Unmapped,0
97,97,ERR2935805,MEGAHIT,k141_95,1973,Unmapped,0
98,98,ERR2935805,MEGAHIT,k141_10737,1688,Unmapped,0
99,99,ERR2935805,MEGAHIT,k141_12505,1346,Unmapped,0
100,100,ERR2935805,MEGAHIT,k141_98,1091,Unmapped,0
101,101,ERR2935805,MEGAHIT,k141_12506,1129,Unmapped,0
102,102,ERR2935805,MEGAHIT,k141_3654,1897,Unmapped,0
103,103,ERR2935805,MEGAHIT,k141_12507,1243,Unmapped,0
104,104,ERR2935805,MEGAHIT,k141_10742,1470,Unmapped,0
105,105,ERR2935805,MEGAHIT,k141_8989,1486,Unmapped,0
106,106,ERR2935805,MEGAHIT,k141_107,1034,Unmapped,0
107,107,ERR2935805,MEGAHIT,k141_8995,1726,Unmapped,0
108,108,ERR2935805,MEGAHIT,k141_12512,1185,Unmapped,0
109,109,ERR2935805,MEGAHIT,k141_10746,1974,Unmapped,0
110,110,ERR2935805,MEGAHIT,k141_3664,1635,Unmapped,0
111,111,ERR2935805,MEGAHIT,k141_12513,1227,Unmapped,0
112,112,ERR2935805,MEGAHIT,k141_10748,1560,Unmapped,0
113,113,ERR2935805,MEGAHIT,k141_9000,1236,Unmapped,0
114,114,ERR2935805,MEGAHIT,k141_10751,1165,Unmapped,0
115,115,ERR2935805,MEGAHIT,k141_9001,2844,Unmapped,0
116,116,ERR2935805,MEGAHIT,k141_3673,1563,Unmapped,0
117,117,ERR2935805,MEGAHIT,k141_12519,1051,Unmapped,0
118,118,ERR2935805,MEGAHIT,k141_114,1522,Unmapped,0
119,119,ERR2935805,MEGAHIT,k141_10753,2268,Unmapped,0
120,120,ERR2935805,MEGAHIT,k141_9007,1069,Unmapped,0
121,121,ERR2935805,MEGAHIT,k141_117,1351,Unmapped,0
122,122,ERR2935805,MEGAHIT,k141_3677,1374,Unmapped,0
123,123,ERR2935805,MEGAHIT,k141_9009,1241,Unmapped,0
124,124,ERR2935805,MEGAHIT,k141_12526,1375,Unmapped,0
125,125,ERR2935805,MEGAHIT,k141_3682,1473,Unmapped,0
126,126,ERR2935805,MEGAHIT,k141_9014,2035,Unmapped,0
127,127,ERR2935805,MEGAHIT,k141_12527,2805,Unmapped,0
128,128,ERR2935805,MEGAHIT,k141_126,1807,Unmapped,0
129,129,ERR2935805,MEGAHIT,k141_9015,1443,Unmapped,0
130,130,ERR2935805,MEGAHIT,k141_9016,1003,Unmapped,0
131,131,ERR2935805,MEGAHIT,k141_12528,1757,Unmapped,0
132,132,ERR2935805,MEGAHIT,k141_10765,1386,Unmapped,0
133,133,ERR2935805,MEGAHIT,k141_9020,1024,Unmapped,0
134,134,ERR2935805,MEGAHIT,k141_3694,1690,Unmapped,0
135,135,ERR2935805,MEGAHIT,k141_128,3270,Unmapped,0
136,136,ERR2935805,MEGAHIT,k141_129,1037,Unmapped,0
137,137,ERR2935805,MEGAHIT,k141_9021,2098,Unmapped,0
138,138,ERR2935805,MEGAHIT,k141_3696,1274,Unmapped,0
139,139,ERR2935805,MEGAHIT,k141_12535,1255,Unmapped,0
140,140,ERR2935805,MEGAHIT,k141_3698,1836,Unmapped,0
141,141,ERR2935805,MEGAHIT,k141_9027,1726,Unmapped,0
142,142,ERR2935805,MEGAHIT,k141_1792,59980,Bacillus_subtilis,0
143,143,ERR2935805,MEGAHIT,k141_12538,1565,Unmapped,0
144,144,ERR2935805,MEGAHIT,k141_1794,1471,Unmapped,0
145,145,ERR2935805,MEGAHIT,k141_9031,1079,Unmapped,0
146,146,ERR2935805,MEGAHIT,k141_10779,1148,Unmapped,0
147,147,ERR2935805,MEGAHIT,k141_137,1298,Unmapped,0
148,148,ERR2935805,MEGAHIT,k141_1797,1343,Unmapped,0
149,149,ERR2935805,MEGAHIT,k141_12540,2394,Unmapped,0
150,150,ERR2935805,MEGAHIT,k141_1798,1994,Unmapped,0
151,151,ERR2935805,MEGAHIT,k141_10784,1450,Unmapped,0
152,152,ERR2935805,MEGAHIT,k141_142,1069,Unmapped,0
153,153,ERR2935805,MEGAHIT,k141_9036,4058,Unmapped,0
154,154,ERR2935805,MEGAHIT,k141_10786,1425,Unmapped,0
155,155,ERR2935805,MEGAHIT,k141_12547,1004,Unmapped,0
156,156,ERR2935805,MEGAHIT,k141_9039,1021,Unmapped,0
157,157,ERR2935805,MEGAHIT,k141_150,1577,Unmapped,0
158,158,ERR2935805,MEGAHIT,k141_1803,3788,Unmapped,0
159,159,ERR2935805,MEGAHIT,k141_12549,2349,Unmapped,0
160,160,ERR2935805,MEGAHIT,k141_152,1146,Unmapped,0
161,161,ERR2935805,MEGAHIT,k141_1804,1777,Unmapped,0
162,162,ERR2935805,MEGAHIT,k141_157,1029,Unmapped,0
163,163,ERR2935805,MEGAHIT,k141_10799,2027,Unmapped,0
164,164,ERR2935805,MEGAHIT,k141_1811,1170,Unmapped,0
165,165,ERR2935805,MEGAHIT,k141_12553,3679,Unmapped,0
166,166,ERR2935805,MEGAHIT,k141_1813,1466,Unmapped,0
167,167,ERR2935805,MEGAHIT,k141_160,1870,Unmapped,0
168,168,ERR2935805,MEGAHIT,k141_12557,1116,Unmapped,0
169,169,ERR2935805,MEGAHIT,k141_161,1297,Unmapped,0
170,170,ERR2935805,MEGAHIT,k141_1819,1041,Unmapped,0
171,171,ERR2935805,MEGAHIT,k141_1822,1462,Unmapped,0
172,172,ERR2935805,MEGAHIT,k141_163,1898,Unmapped,0
173,173,ERR2935805,MEGAHIT,k141_12559,1699,Unmapped,0
174,174,ERR2935805,MEGAHIT,k141_1825,1148,Unmapped,0
175,175,ERR2935805,MEGAHIT,k141_12561,1321,Unmapped,0
176,176,ERR2935805,MEGAHIT,k141_171,1154,Unmapped,0
177,177,ERR2935805,MEGAHIT,k141_1834,1140,Unmapped,0
178,178,ERR2935805,MEGAHIT,k141_174,1228,Unmapped,0
179,179,ERR2935805,MEGAHIT,k141_1839,1083,Unmapped,0
180,180,ERR2935805,MEGAHIT,k141_1844,1189,Unmapped,0
181,181,ERR2935805,MEGAHIT,k141_12583,1141,Unmapped,0
182,182,ERR2935805,MEGAHIT,k141_184,1050,Unmapped,0
183,183,ERR2935805,MEGAHIT,k141_185,1427,Unmapped,0
184,184,ERR2935805,MEGAHIT,k141_1849,1372,Unmapped,0
185,185,ERR2935805,MEGAHIT,k141_12585,3016,Unmapped,0
186,186,ERR2935805,MEGAHIT,k141_1853,1117,Unmapped,0
187,187,ERR2935805,MEGAHIT,k141_188,1655,Unmapped,0
188,188,ERR2935805,MEGAHIT,k141_192,1281,Unmapped,0
189,189,ERR2935805,MEGAHIT,k141_12591,1099,Unmapped,0
190,190,ERR2935805,MEGAHIT,k141_1860,2326,Unmapped,0
191,191,ERR2935805,MEGAHIT,k141_194,1071,Unmapped,0
192,192,ERR2935805,MEGAHIT,k141_195,1346,Unmapped,0
