,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,GATBMiniaPipeline,Bacillus_subtilis,627,156105,48.923868179545224
1,GATBMiniaPipeline,Bacillus_subtilis,1011,60405,60.0
2,GATBMiniaPipeline,Bacillus_subtilis,1074,23412,60.0
3,GATBMiniaPipeline,Bacillus_subtilis,1114,1228,30.891983668051488
4,GATBMiniaPipeline,Bacillus_subtilis,1194,1641,60.0
5,GATBMiniaPipeline,Bacillus_subtilis,1407,269443,60.0
6,GATBMiniaPipeline,Bacillus_subtilis,1536,38469,60.0
7,GATBMiniaPipeline,Bacillus_subtilis,1659,122536,60.0
8,GATBMiniaPipeline,Bacillus_subtilis,1726,381611,48.03469634438493
9,GATBMiniaPipeline,Bacillus_subtilis,1865,137424,60.0
10,GATBMiniaPipeline,Bacillus_subtilis,1905,315170,60.0
11,GATBMiniaPipeline,Bacillus_subtilis,2162,180932,60.0
12,GATBMiniaPipeline,Bacillus_subtilis,2216,15569,60.0
13,GATBMiniaPipeline,Bacillus_subtilis,2708,768462,46.551734753784245
14,GATBMiniaPipeline,Bacillus_subtilis,2757,10315,60.0
15,GATBMiniaPipeline,Bacillus_subtilis,2886,2511,60.0
16,GATBMiniaPipeline,Bacillus_subtilis,3091,252598,42.56301871932595
17,GATBMiniaPipeline,Bacillus_subtilis,3095,257358,44.10537672884635
18,GATBMiniaPipeline,Bacillus_subtilis,3475,213027,44.83336611349368
19,GATBMiniaPipeline,Bacillus_subtilis,3601,29514,41.68998077278715
20,GATBMiniaPipeline,Bacillus_subtilis,3609,110368,60.0
21,GATBMiniaPipeline,Bacillus_subtilis,3829,1070,23.30413773349196
22,GATBMiniaPipeline,Bacillus_subtilis,4095,17101,60.0
23,GATBMiniaPipeline,Bacillus_subtilis,4568,83956,60.0
24,GATBMiniaPipeline,Bacillus_subtilis,4710,59869,60.0
25,GATBMiniaPipeline,Bacillus_subtilis,4826,1626,60.0
26,GATBMiniaPipeline,Bacillus_subtilis,5371,37931,60.0
27,GATBMiniaPipeline,Bacillus_subtilis,5384,113589,60.0
28,GATBMiniaPipeline,Bacillus_subtilis,5386,55682,60.0
29,GATBMiniaPipeline,Bacillus_subtilis,5399,263420,51.196187497535625
30,GATBMiniaPipeline,Enterococcus_faecalis,327,1185,60.0
31,GATBMiniaPipeline,Enterococcus_faecalis,380,29387,60.0
32,GATBMiniaPipeline,Enterococcus_faecalis,639,30714,35.330938704945446
