,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EMS,MINIA,0,48641,Staphylococcus_aureus,0
1,1,EMS,MINIA,1,32741,Lactobacillus_fermentum,0
2,2,EMS,MINIA,3,10225,Lactobacillus_fermentum,0
3,3,EMS,MINIA,4,1075,Lactobacillus_fermentum,0
4,4,EMS,MINIA,5,6704,Lactobacillus_fermentum,0
5,5,EMS,MINIA,6,6044,Lactobacillus_fermentum,0
6,6,EMS,MINIA,7,7930,Lactobacillus_fermentum,0
7,7,EMS,MINIA,10,25107,Enterococcus_faecalis,0
8,8,EMS,MINIA,11,3146,Lactobacillus_fermentum,0
9,9,EMS,MINIA,14,1980,Lactobacillus_fermentum,0
10,10,EMS,MINIA,15,9416,Lactobacillus_fermentum,0
11,11,EMS,MINIA,16,27368,Lactobacillus_fermentum,0
12,12,EMS,MINIA,20,12091,Lactobacillus_fermentum,0
13,13,EMS,MINIA,21,28312,Pseudomonas_aeruginosa,0
14,14,EMS,MINIA,23,8400,Lactobacillus_fermentum,0
15,15,EMS,MINIA,24,11549,Lactobacillus_fermentum,0
16,16,EMS,MINIA,25,11431,Lactobacillus_fermentum,0
17,17,EMS,MINIA,26,25152,Lactobacillus_fermentum,0
18,18,EMS,MINIA,27,10912,Lactobacillus_fermentum,0
19,19,EMS,MINIA,29,1830,Enterococcus_faecalis,0
20,20,EMS,MINIA,30,11775,Lactobacillus_fermentum,0
21,21,EMS,MINIA,33,1400,Lactobacillus_fermentum,0
22,22,EMS,MINIA,34,26836,Lactobacillus_fermentum,0
23,23,EMS,MINIA,35,9559,Lactobacillus_fermentum,0
24,24,EMS,MINIA,36,20100,Lactobacillus_fermentum,0
25,25,EMS,MINIA,37,49846,Lactobacillus_fermentum,0
26,26,EMS,MINIA,39,40626,Enterococcus_faecalis,0
27,27,EMS,MINIA,40,1299,Lactobacillus_fermentum,0
28,28,EMS,MINIA,41,30496,Lactobacillus_fermentum,0
29,29,EMS,MINIA,42,35769,Enterococcus_faecalis,0
30,30,EMS,MINIA,43,10007,Lactobacillus_fermentum,0
31,31,EMS,MINIA,45,25660,Staphylococcus_aureus,0
32,32,EMS,MINIA,46,11209,Lactobacillus_fermentum,0
33,33,EMS,MINIA,47,2203,Lactobacillus_fermentum,0
34,34,EMS,MINIA,48,9103,Lactobacillus_fermentum,0
35,35,EMS,MINIA,49,3158,Lactobacillus_fermentum,0
36,36,EMS,MINIA,50,4744,Lactobacillus_fermentum,0
37,37,EMS,MINIA,51,7244,Lactobacillus_fermentum,0
38,38,EMS,MINIA,52,6403,Lactobacillus_fermentum,0
39,39,EMS,MINIA,53,2062,Lactobacillus_fermentum,0
40,40,EMS,MINIA,64,6805,Listeria_monocytogenes,0
41,41,EMS,MINIA,65,28264,Lactobacillus_fermentum,0
42,42,EMS,MINIA,68,6786,Lactobacillus_fermentum,0
43,43,EMS,MINIA,71,36832,Lactobacillus_fermentum,0
44,44,EMS,MINIA,72,66009,Lactobacillus_fermentum,0
45,45,EMS,MINIA,73,6649,Lactobacillus_fermentum,0
46,46,EMS,MINIA,74,1920,Lactobacillus_fermentum,0
47,47,EMS,MINIA,76,14310,Lactobacillus_fermentum,0
48,48,EMS,MINIA,77,6598,Lactobacillus_fermentum,0
49,49,EMS,MINIA,79,11390,Lactobacillus_fermentum,0
50,50,EMS,MINIA,81,10836,Lactobacillus_fermentum,0
51,51,EMS,MINIA,82,8605,Lactobacillus_fermentum,0
52,52,EMS,MINIA,85,6890,Lactobacillus_fermentum,0
53,53,EMS,MINIA,89,25661,Lactobacillus_fermentum,0
54,54,EMS,MINIA,100,24708,Lactobacillus_fermentum,0
55,55,EMS,MINIA,108,2560,Lactobacillus_fermentum,0
56,56,EMS,MINIA,109,20954,Lactobacillus_fermentum,0
57,57,EMS,MINIA,110,1343,Lactobacillus_fermentum,0
58,58,EMS,MINIA,111,13456,Lactobacillus_fermentum,0
59,59,EMS,MINIA,113,8737,Lactobacillus_fermentum,0
60,60,EMS,MINIA,115,2025,Lactobacillus_fermentum,0
61,61,EMS,MINIA,116,2864,Lactobacillus_fermentum,0
62,62,EMS,MINIA,117,1095,Lactobacillus_fermentum,0
63,63,EMS,MINIA,118,6948,Lactobacillus_fermentum,0
64,64,EMS,MINIA,119,6307,Staphylococcus_aureus_plasmid1,0
65,65,EMS,MINIA,120,24005,Enterococcus_faecalis,0
66,66,EMS,MINIA,122,34354,Enterococcus_faecalis,0
67,67,EMS,MINIA,125,20227,Lactobacillus_fermentum,0
68,68,EMS,MINIA,126,3450,Lactobacillus_fermentum,0
69,69,EMS,MINIA,127,9529,Lactobacillus_fermentum,0
70,70,EMS,MINIA,128,10234,Lactobacillus_fermentum,0
71,71,EMS,MINIA,129,15076,Enterococcus_faecalis,0
72,72,EMS,MINIA,130,33800,Lactobacillus_fermentum,0
73,73,EMS,MINIA,132,6409,Lactobacillus_fermentum,0
74,74,EMS,MINIA,135,8993,Lactobacillus_fermentum,0
75,75,EMS,MINIA,136,24857,Lactobacillus_fermentum,0
76,76,EMS,MINIA,138,30412,Lactobacillus_fermentum,0
77,77,EMS,MINIA,141,5752,Lactobacillus_fermentum,0
78,78,EMS,MINIA,142,3087,Lactobacillus_fermentum,0
79,79,EMS,MINIA,143,1591,Lactobacillus_fermentum,0
80,80,EMS,MINIA,144,7820,Lactobacillus_fermentum,0
81,81,EMS,MINIA,145,21030,Lactobacillus_fermentum,0
82,82,EMS,MINIA,146,1511,Lactobacillus_fermentum,0
83,83,EMS,MINIA,147,2930,Lactobacillus_fermentum,0
84,84,EMS,MINIA,148,34022,Staphylococcus_aureus,0
85,85,EMS,MINIA,151,1783,Lactobacillus_fermentum,0
86,86,EMS,MINIA,152,14845,Staphylococcus_aureus,0
87,87,EMS,MINIA,153,9732,Lactobacillus_fermentum,0
88,88,EMS,MINIA,154,1477,Salmonella_enterica,0
89,89,EMS,MINIA,156,1120,Lactobacillus_fermentum,0
90,90,EMS,MINIA,157,2731,Listeria_monocytogenes,0
91,91,EMS,MINIA,160,4584,Lactobacillus_fermentum,0
92,92,EMS,MINIA,162,2403,Escherichia_coli,0
93,93,EMS,MINIA,165,11036,Lactobacillus_fermentum,0
94,94,EMS,MINIA,169,31764,Lactobacillus_fermentum,0
95,95,EMS,MINIA,171,1190,Lactobacillus_fermentum,0
96,96,EMS,MINIA,172,3832,Lactobacillus_fermentum,0
97,97,EMS,MINIA,174,9271,Lactobacillus_fermentum,0
98,98,EMS,MINIA,175,8179,Lactobacillus_fermentum,0
99,99,EMS,MINIA,177,20520,Lactobacillus_fermentum,0
100,100,EMS,MINIA,178,11504,Lactobacillus_fermentum,0
101,101,EMS,MINIA,183,11122,Lactobacillus_fermentum,0
102,102,EMS,MINIA,184,80235,Enterococcus_faecalis,0
103,103,EMS,MINIA,185,6745,Lactobacillus_fermentum,0
104,104,EMS,MINIA,186,1702,Lactobacillus_fermentum,0
105,105,EMS,MINIA,187,11486,Lactobacillus_fermentum,0
106,106,EMS,MINIA,188,1378,Lactobacillus_fermentum,0
107,107,EMS,MINIA,190,17841,Staphylococcus_aureus,0
108,108,EMS,MINIA,191,4552,Pseudomonas_aeruginosa,0
109,109,EMS,MINIA,192,32898,Enterococcus_faecalis,0
110,110,EMS,MINIA,193,14174,Lactobacillus_fermentum,0
111,111,EMS,MINIA,194,19735,Enterococcus_faecalis,0
112,112,EMS,MINIA,196,80538,Listeria_monocytogenes,0
113,113,EMS,MINIA,202,4448,Lactobacillus_fermentum,0
114,114,EMS,MINIA,204,7428,Lactobacillus_fermentum,0
115,115,EMS,MINIA,207,54391,Staphylococcus_aureus,0
116,116,EMS,MINIA,208,12798,Enterococcus_faecalis,0
117,117,EMS,MINIA,209,19394,Enterococcus_faecalis,0
118,118,EMS,MINIA,211,7471,Lactobacillus_fermentum,0
119,119,EMS,MINIA,212,2582,Lactobacillus_fermentum,0
120,120,EMS,MINIA,215,5149,Lactobacillus_fermentum,0
121,121,EMS,MINIA,217,2179,Lactobacillus_fermentum,0
122,122,EMS,MINIA,224,12701,Lactobacillus_fermentum,0
123,123,EMS,MINIA,228,9098,Lactobacillus_fermentum,0
124,124,EMS,MINIA,234,7780,Lactobacillus_fermentum,0
125,125,EMS,MINIA,235,3815,Lactobacillus_fermentum,0
126,126,EMS,MINIA,237,9749,Lactobacillus_fermentum,0
127,127,EMS,MINIA,238,15041,Staphylococcus_aureus,0
128,128,EMS,MINIA,243,1742,Lactobacillus_fermentum,0
129,129,EMS,MINIA,244,1652,Lactobacillus_fermentum,0
130,130,EMS,MINIA,246,1378,Lactobacillus_fermentum,0
131,131,EMS,MINIA,249,7125,Lactobacillus_fermentum,0
132,132,EMS,MINIA,251,3249,Lactobacillus_fermentum,0
133,133,EMS,MINIA,252,24203,Staphylococcus_aureus,0
134,134,EMS,MINIA,253,130628,Enterococcus_faecalis,0
135,135,EMS,MINIA,257,6511,Lactobacillus_fermentum,0
136,136,EMS,MINIA,262,2245,Lactobacillus_fermentum,0
137,137,EMS,MINIA,265,9080,Lactobacillus_fermentum,0
138,138,EMS,MINIA,266,2849,Lactobacillus_fermentum,0
139,139,EMS,MINIA,268,29647,Staphylococcus_aureus,0
140,140,EMS,MINIA,271,5237,Lactobacillus_fermentum,0
141,141,EMS,MINIA,272,17610,Enterococcus_faecalis,0
142,142,EMS,MINIA,278,29183,Enterococcus_faecalis,0
143,143,EMS,MINIA,279,11491,Staphylococcus_aureus,0
144,144,EMS,MINIA,285,18726,Lactobacillus_fermentum,0
145,145,EMS,MINIA,286,3221,Lactobacillus_fermentum,0
146,146,EMS,MINIA,290,98729,Bacillus_subtilis,0
147,147,EMS,MINIA,292,43776,Staphylococcus_aureus,0
148,148,EMS,MINIA,293,30086,Staphylococcus_aureus,0
149,149,EMS,MINIA,296,8209,Lactobacillus_fermentum,0
150,150,EMS,MINIA,299,30356,Enterococcus_faecalis,0
151,151,EMS,MINIA,300,47539,Enterococcus_faecalis,0
152,152,EMS,MINIA,301,12199,Lactobacillus_fermentum,0
153,153,EMS,MINIA,302,27809,Staphylococcus_aureus,0
154,154,EMS,MINIA,303,1293,Lactobacillus_fermentum,0
155,155,EMS,MINIA,304,52654,Listeria_monocytogenes,0
156,156,EMS,MINIA,305,31239,Staphylococcus_aureus,0
157,157,EMS,MINIA,308,26685,Staphylococcus_aureus,0
158,158,EMS,MINIA,311,14940,Staphylococcus_aureus,0
159,159,EMS,MINIA,312,50336,Staphylococcus_aureus,0
160,160,EMS,MINIA,319,8568,Staphylococcus_aureus,0
161,161,EMS,MINIA,320,72434,Bacillus_subtilis,0
162,162,EMS,MINIA,325,90652,Staphylococcus_aureus,0
163,163,EMS,MINIA,327,32376,Staphylococcus_aureus,0
164,164,EMS,MINIA,330,41975,Staphylococcus_aureus,0
165,165,EMS,MINIA,331,4067,Salmonella_enterica,0
166,166,EMS,MINIA,344,5750,Enterococcus_faecalis,0
167,167,EMS,MINIA,346,40506,Enterococcus_faecalis,0
168,168,EMS,MINIA,354,1209,Bacillus_subtilis,0
169,169,EMS,MINIA,359,1766,Lactobacillus_fermentum,0
170,170,EMS,MINIA,360,9276,Lactobacillus_fermentum,0
171,171,EMS,MINIA,366,4074,Staphylococcus_aureus,0
172,172,EMS,MINIA,367,1477,Staphylococcus_aureus,0
173,173,EMS,MINIA,368,1105,Lactobacillus_fermentum,0
174,174,EMS,MINIA,374,2715,Lactobacillus_fermentum,0
175,175,EMS,MINIA,376,11293,Lactobacillus_fermentum,0
176,176,EMS,MINIA,379,34640,Staphylococcus_aureus,0
177,177,EMS,MINIA,382,4223,Lactobacillus_fermentum,0
178,178,EMS,MINIA,384,14406,Lactobacillus_fermentum,0
179,179,EMS,MINIA,385,102298,Listeria_monocytogenes,0
180,180,EMS,MINIA,386,6748,Listeria_monocytogenes,0
181,181,EMS,MINIA,390,3916,Lactobacillus_fermentum,0
182,182,EMS,MINIA,391,9356,Staphylococcus_aureus,0
183,183,EMS,MINIA,395,14571,Lactobacillus_fermentum,0
184,184,EMS,MINIA,396,4767,Lactobacillus_fermentum,0
185,185,EMS,MINIA,397,87316,Listeria_monocytogenes,0
186,186,EMS,MINIA,398,97170,Listeria_monocytogenes,0
187,187,EMS,MINIA,402,15189,Lactobacillus_fermentum,0
188,188,EMS,MINIA,403,3211,Lactobacillus_fermentum,0
189,189,EMS,MINIA,404,8867,Lactobacillus_fermentum,0
190,190,EMS,MINIA,405,18950,Staphylococcus_aureus,0
191,191,EMS,MINIA,407,32429,Staphylococcus_aureus,0
192,192,EMS,MINIA,408,161812,Listeria_monocytogenes,0
193,193,EMS,MINIA,409,3461,Lactobacillus_fermentum,0
194,194,EMS,MINIA,410,1754,Lactobacillus_fermentum,0
195,195,EMS,MINIA,411,12686,Lactobacillus_fermentum,0
196,196,EMS,MINIA,414,7425,Lactobacillus_fermentum,0
197,197,EMS,MINIA,415,64777,Listeria_monocytogenes,0
198,198,EMS,MINIA,424,1872,Lactobacillus_fermentum,0
199,199,EMS,MINIA,425,9124,Enterococcus_faecalis,0
200,200,EMS,MINIA,426,6875,Lactobacillus_fermentum,0
201,201,EMS,MINIA,427,3409,Lactobacillus_fermentum,0
202,202,EMS,MINIA,429,7018,Staphylococcus_aureus,0
203,203,EMS,MINIA,430,30357,Staphylococcus_aureus,0
204,204,EMS,MINIA,431,7740,Staphylococcus_aureus,0
205,205,EMS,MINIA,434,3627,Lactobacillus_fermentum,0
206,206,EMS,MINIA,436,60508,Enterococcus_faecalis,0
207,207,EMS,MINIA,438,24055,Staphylococcus_aureus,0
208,208,EMS,MINIA,439,33943,Staphylococcus_aureus,0
209,209,EMS,MINIA,443,72815,Enterococcus_faecalis,0
210,210,EMS,MINIA,446,8709,Lactobacillus_fermentum,0
211,211,EMS,MINIA,447,2803,Lactobacillus_fermentum,0
212,212,EMS,MINIA,448,76544,Bacillus_subtilis,0
213,213,EMS,MINIA,462,2613,Lactobacillus_fermentum,0
214,214,EMS,MINIA,465,2693,Lactobacillus_fermentum,0
215,215,EMS,MINIA,471,9335,Lactobacillus_fermentum,0
216,216,EMS,MINIA,472,3201,Lactobacillus_fermentum,0
217,217,EMS,MINIA,473,5557,Lactobacillus_fermentum,0
218,218,EMS,MINIA,474,11372,Lactobacillus_fermentum,0
219,219,EMS,MINIA,476,2785,Lactobacillus_fermentum,0
220,220,EMS,MINIA,477,28179,Listeria_monocytogenes,0
221,221,EMS,MINIA,482,51876,Staphylococcus_aureus,0
222,222,EMS,MINIA,486,23353,Enterococcus_faecalis,0
223,223,EMS,MINIA,488,7427,Lactobacillus_fermentum,0
224,224,EMS,MINIA,489,59082,Enterococcus_faecalis,0
225,225,EMS,MINIA,490,1336,Escherichia_coli,0
226,226,EMS,MINIA,500,32273,Staphylococcus_aureus,0
227,227,EMS,MINIA,503,90282,Listeria_monocytogenes,0
228,228,EMS,MINIA,504,64356,Listeria_monocytogenes,0
229,229,EMS,MINIA,509,13798,Lactobacillus_fermentum,0
230,230,EMS,MINIA,510,13423,Lactobacillus_fermentum,0
231,231,EMS,MINIA,515,19882,Enterococcus_faecalis,0
232,232,EMS,MINIA,518,62493,Listeria_monocytogenes,0
233,233,EMS,MINIA,523,32297,Staphylococcus_aureus,0
234,234,EMS,MINIA,532,44320,Listeria_monocytogenes,0
235,235,EMS,MINIA,538,7325,Lactobacillus_fermentum,0
236,236,EMS,MINIA,539,20819,Staphylococcus_aureus,0
237,237,EMS,MINIA,540,5999,Listeria_monocytogenes,0
238,238,EMS,MINIA,541,64451,Listeria_monocytogenes,0
239,239,EMS,MINIA,550,33629,Staphylococcus_aureus,0
240,240,EMS,MINIA,553,50425,Enterococcus_faecalis,0
241,241,EMS,MINIA,555,24123,Listeria_monocytogenes,0
242,242,EMS,MINIA,558,32443,Staphylococcus_aureus,0
243,243,EMS,MINIA,562,5890,Lactobacillus_fermentum,0
244,244,EMS,MINIA,575,10997,Staphylococcus_aureus,0
245,245,EMS,MINIA,578,2403,Lactobacillus_fermentum,0
246,246,EMS,MINIA,579,7843,Lactobacillus_fermentum,0
247,247,EMS,MINIA,580,3586,Lactobacillus_fermentum,0
248,248,EMS,MINIA,581,8468,Lactobacillus_fermentum,0
249,249,EMS,MINIA,582,32803,Enterococcus_faecalis,0
250,250,EMS,MINIA,589,13356,Enterococcus_faecalis,0
251,251,EMS,MINIA,593,35624,Enterococcus_faecalis,0
252,252,EMS,MINIA,598,6996,Lactobacillus_fermentum,0
253,253,EMS,MINIA,601,71749,Listeria_monocytogenes,0
254,254,EMS,MINIA,604,24917,Staphylococcus_aureus,0
255,255,EMS,MINIA,605,5867,Lactobacillus_fermentum,0
256,256,EMS,MINIA,608,10984,Staphylococcus_aureus,0
257,257,EMS,MINIA,612,4640,Lactobacillus_fermentum,0
258,258,EMS,MINIA,614,10966,Lactobacillus_fermentum,0
259,259,EMS,MINIA,616,8784,Lactobacillus_fermentum,0
260,260,EMS,MINIA,618,3943,Lactobacillus_fermentum,0
261,261,EMS,MINIA,619,4882,Lactobacillus_fermentum,0
262,262,EMS,MINIA,620,6466,Lactobacillus_fermentum,0
263,263,EMS,MINIA,621,28569,Listeria_monocytogenes,0
264,264,EMS,MINIA,622,9965,Enterococcus_faecalis,0
265,265,EMS,MINIA,624,1317,Lactobacillus_fermentum,0
266,266,EMS,MINIA,634,3564,Lactobacillus_fermentum,0
267,267,EMS,MINIA,637,1651,Lactobacillus_fermentum,0
268,268,EMS,MINIA,638,1965,Lactobacillus_fermentum,0
269,269,EMS,MINIA,639,54115,Listeria_monocytogenes,0
270,270,EMS,MINIA,640,8267,Lactobacillus_fermentum,0
271,271,EMS,MINIA,645,3206,Lactobacillus_fermentum,0
272,272,EMS,MINIA,647,7145,Lactobacillus_fermentum,0
273,273,EMS,MINIA,649,38557,Enterococcus_faecalis,0
274,274,EMS,MINIA,651,20154,Pseudomonas_aeruginosa,0
275,275,EMS,MINIA,652,5414,Lactobacillus_fermentum,0
276,276,EMS,MINIA,654,54651,Listeria_monocytogenes,0
277,277,EMS,MINIA,660,3023,Lactobacillus_fermentum,0
278,278,EMS,MINIA,669,78694,Bacillus_subtilis,0
279,279,EMS,MINIA,673,73760,Bacillus_subtilis,0
280,280,EMS,MINIA,675,40136,Enterococcus_faecalis,0
281,281,EMS,MINIA,685,1312,Salmonella_enterica,0
282,282,EMS,MINIA,692,2177,Lactobacillus_fermentum,0
283,283,EMS,MINIA,695,15981,Staphylococcus_aureus,0
284,284,EMS,MINIA,707,62539,Bacillus_subtilis,0
285,285,EMS,MINIA,709,31348,Listeria_monocytogenes,0
286,286,EMS,MINIA,711,29376,Staphylococcus_aureus,0
287,287,EMS,MINIA,716,2082,Lactobacillus_fermentum,0
288,288,EMS,MINIA,721,46114,Staphylococcus_aureus,0
289,289,EMS,MINIA,722,4340,Lactobacillus_fermentum,0
290,290,EMS,MINIA,723,30453,Enterococcus_faecalis,0
291,291,EMS,MINIA,725,59845,Listeria_monocytogenes,0
292,292,EMS,MINIA,734,37019,Enterococcus_faecalis,0
293,293,EMS,MINIA,737,1618,Lactobacillus_fermentum,0
294,294,EMS,MINIA,740,1764,Lactobacillus_fermentum,0
295,295,EMS,MINIA,745,2331,Lactobacillus_fermentum,0
296,296,EMS,MINIA,764,26282,Enterococcus_faecalis,0
297,297,EMS,MINIA,766,4979,Lactobacillus_fermentum,0
298,298,EMS,MINIA,774,3002,Salmonella_enterica,0
299,299,EMS,MINIA,775,11120,Lactobacillus_fermentum,0
300,300,EMS,MINIA,779,2843,Lactobacillus_fermentum,0
301,301,EMS,MINIA,780,3345,Lactobacillus_fermentum,0
302,302,EMS,MINIA,783,1336,Lactobacillus_fermentum,0
303,303,EMS,MINIA,784,7877,Staphylococcus_aureus,0
304,304,EMS,MINIA,791,30453,Enterococcus_faecalis,0
305,305,EMS,MINIA,792,37618,Listeria_monocytogenes,0
306,306,EMS,MINIA,795,1477,Lactobacillus_fermentum,0
307,307,EMS,MINIA,797,20263,Staphylococcus_aureus,0
308,308,EMS,MINIA,803,14906,Staphylococcus_aureus,0
309,309,EMS,MINIA,804,15565,Listeria_monocytogenes,0
310,310,EMS,MINIA,807,3677,Lactobacillus_fermentum,0
311,311,EMS,MINIA,808,9265,Enterococcus_faecalis,0
312,312,EMS,MINIA,816,3805,Lactobacillus_fermentum,0
313,313,EMS,MINIA,817,3229,Lactobacillus_fermentum,0
314,314,EMS,MINIA,855,6010,Enterococcus_faecalis,0
315,315,EMS,MINIA,863,3245,Lactobacillus_fermentum,0
316,316,EMS,MINIA,865,12294,Lactobacillus_fermentum,0
317,317,EMS,MINIA,866,2921,Lactobacillus_fermentum,0
318,318,EMS,MINIA,867,11314,Enterococcus_faecalis,0
319,319,EMS,MINIA,878,4086,Staphylococcus_aureus,0
320,320,EMS,MINIA,883,1680,Lactobacillus_fermentum,0
321,321,EMS,MINIA,885,65134,Staphylococcus_aureus,0
322,322,EMS,MINIA,887,46840,Enterococcus_faecalis,0
323,323,EMS,MINIA,888,6378,Listeria_monocytogenes,0
324,324,EMS,MINIA,889,5378,Staphylococcus_aureus,0
325,325,EMS,MINIA,893,1689,Listeria_monocytogenes,0
326,326,EMS,MINIA,895,8186,Salmonella_enterica,0
327,327,EMS,MINIA,901,9812,Enterococcus_faecalis,0
328,328,EMS,MINIA,903,38879,Listeria_monocytogenes,0
329,329,EMS,MINIA,907,9941,Enterococcus_faecalis,0
330,330,EMS,MINIA,913,34801,Listeria_monocytogenes,0
331,331,EMS,MINIA,914,47769,Listeria_monocytogenes,0
332,332,EMS,MINIA,915,3722,Salmonella_enterica,0
333,333,EMS,MINIA,916,1696,Lactobacillus_fermentum,0
334,334,EMS,MINIA,919,54587,Listeria_monocytogenes,0
335,335,EMS,MINIA,924,36936,Listeria_monocytogenes,0
336,336,EMS,MINIA,930,9773,Enterococcus_faecalis,0
337,337,EMS,MINIA,931,1875,Enterococcus_faecalis,0
338,338,EMS,MINIA,937,1290,Escherichia_coli,0
339,339,EMS,MINIA,940,1118,Lactobacillus_fermentum,0
340,340,EMS,MINIA,952,69010,Bacillus_subtilis,0
341,341,EMS,MINIA,956,50907,Bacillus_subtilis,0
342,342,EMS,MINIA,958,2152,Staphylococcus_aureus,0
343,343,EMS,MINIA,959,46368,Listeria_monocytogenes,0
344,344,EMS,MINIA,971,26629,Staphylococcus_aureus,0
345,345,EMS,MINIA,975,15698,Staphylococcus_aureus,0
346,346,EMS,MINIA,976,2724,Lactobacillus_fermentum,0
347,347,EMS,MINIA,977,5780,Lactobacillus_fermentum,0
348,348,EMS,MINIA,979,46258,Staphylococcus_aureus,0
349,349,EMS,MINIA,987,2697,Listeria_monocytogenes,0
350,350,EMS,MINIA,1000,2391,Salmonella_enterica,0
351,351,EMS,MINIA,1012,5817,Lactobacillus_fermentum,0
352,352,EMS,MINIA,1013,132084,Bacillus_subtilis,0
353,353,EMS,MINIA,1015,16803,Listeria_monocytogenes,0
354,354,EMS,MINIA,1016,58693,Enterococcus_faecalis,0
355,355,EMS,MINIA,1018,16858,Enterococcus_faecalis,0
356,356,EMS,MINIA,1028,4478,Escherichia_coli,0
357,357,EMS,MINIA,1030,31961,Staphylococcus_aureus,0
358,358,EMS,MINIA,1032,1811,Lactobacillus_fermentum,0
359,359,EMS,MINIA,1036,16573,Enterococcus_faecalis,0
360,360,EMS,MINIA,1038,2656,Lactobacillus_fermentum,0
361,361,EMS,MINIA,1048,10373,Enterococcus_faecalis,0
362,362,EMS,MINIA,1060,51199,Listeria_monocytogenes,0
363,363,EMS,MINIA,1061,51427,Enterococcus_faecalis,0
364,364,EMS,MINIA,1063,23032,Enterococcus_faecalis,0
365,365,EMS,MINIA,1066,23163,Staphylococcus_aureus,0
