,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,SKESA,Bacillus_subtilis,Contig_12_35.0853,59626,60
1,SKESA,Bacillus_subtilis,Contig_16_31.8472,145142,60
2,SKESA,Bacillus_subtilis,Contig_17_31.7885,37694,60
3,SKESA,Bacillus_subtilis,Contig_50_32.3809,263161,51.191915323634404
4,SKESA,Bacillus_subtilis,Contig_52_28.5884,137175,60
5,SKESA,Bacillus_subtilis,Contig_85_32.7094,257748,46.33044053670525
6,SKESA,Bacillus_subtilis,Contig_208_34.4763,83701,60
7,SKESA,Bacillus_subtilis,Contig_215_33.766,15718,60
8,SKESA,Bacillus_subtilis,Contig_218_28.2495,70821,60
9,SKESA,Bacillus_subtilis,Contig_361_31.9246,22518,60
10,SKESA,Bacillus_subtilis,Contig_380_28.0831,139256,60
11,SKESA,Bacillus_subtilis,Contig_424_25.0128,2440,60
12,SKESA,Bacillus_subtilis,Contig_451_28.6001,23130,60
13,SKESA,Bacillus_subtilis,Contig_481_34.0656,29582,41.6999753706629
14,SKESA,Bacillus_subtilis,Contig_489_27.431,181489,60
15,SKESA,Bacillus_subtilis,Contig_494_34.8984,106827,60
16,SKESA,Bacillus_subtilis,Contig_535_32.6999,8525,60
17,SKESA,Bacillus_subtilis,Contig_546_25.51,155853,48.91685170723463
18,SKESA,Bacillus_subtilis,Contig_586_29.6464,30193,60
19,SKESA,Bacillus_subtilis,Contig_612_27.2116,269279,60
20,SKESA,Bacillus_subtilis,Contig_665_33.713,212776,44.828246002651724
21,SKESA,Bacillus_subtilis,Contig_758_33.9141,22439,60
22,SKESA,Bacillus_subtilis,Contig_849_39.5329,15443,60
23,SKESA,Bacillus_subtilis,Contig_863_32.062,16813,60
24,SKESA,Bacillus_subtilis,Contig_916_36.0095,372371,45.29583165909493
25,SKESA,Bacillus_subtilis,Contig_948_30.2542,114010,60
26,SKESA,Bacillus_subtilis,Contig_997_36.9542,55096,60
27,SKESA,Bacillus_subtilis,Contig_1052_35.0771,10073,60
28,SKESA,Bacillus_subtilis,Contig_1178_32.4925,257076,44.10061533842371
29,SKESA,Bacillus_subtilis,Contig_1185_29.3202,170545,60
30,SKESA,Bacillus_subtilis,Contig_1257_30.3204,236192,45.95113933264426
31,SKESA,Bacillus_subtilis,Contig_1259_28.0597,124750,60
32,SKESA,Bacillus_subtilis,Contig_1260_34.9657,122299,60
33,SKESA,Bacillus_subtilis,Contig_1290_30.1067,200881,60
34,SKESA,Enterococcus_faecalis,Contig_18_41.7979,25081,60
35,SKESA,Enterococcus_faecalis,Contig_25_47.0701,4787,60
36,SKESA,Enterococcus_faecalis,Contig_34_44.4865,2801,60
37,SKESA,Enterococcus_faecalis,Contig_39_53.9484,2210,60
38,SKESA,Enterococcus_faecalis,Contig_111_82.772,33529,60
39,SKESA,Enterococcus_faecalis,Contig_114_35.4287,38592,60
40,SKESA,Enterococcus_faecalis,Contig_118_39.3116,32958,60
41,SKESA,Enterococcus_faecalis,Contig_119_57.7061,4546,60
42,SKESA,Enterococcus_faecalis,Contig_120_39.9126,2972,60
43,SKESA,Enterococcus_faecalis,Contig_121_36.8818,41731,60
44,SKESA,Enterococcus_faecalis,Contig_131_40.2562,10281,60
45,SKESA,Enterococcus_faecalis,Contig_138_45.2506,4494,60
46,SKESA,Enterococcus_faecalis,Contig_145_58.1336,13244,60
47,SKESA,Enterococcus_faecalis,Contig_213_43.9853,79033,60
48,SKESA,Enterococcus_faecalis,Contig_222_57.2114,114589,60
49,SKESA,Enterococcus_faecalis,Contig_258_37.7123,56792,60
50,SKESA,Enterococcus_faecalis,Contig_263_52.0367,76714,60
51,SKESA,Enterococcus_faecalis,Contig_308_46.6047,62978,60
52,SKESA,Enterococcus_faecalis,Contig_365_48.1589,5994,60
53,SKESA,Enterococcus_faecalis,Contig_378_48.4832,172868,60
54,SKESA,Enterococcus_faecalis,Contig_383_57.4653,4267,60
55,SKESA,Enterococcus_faecalis,Contig_392_40.2112,3012,60
56,SKESA,Enterococcus_faecalis,Contig_442_46.8011,38916,60
57,SKESA,Enterococcus_faecalis,Contig_528_60.9529,12303,60
58,SKESA,Enterococcus_faecalis,Contig_536_39.976,24811,60
59,SKESA,Enterococcus_faecalis,Contig_537_52.2173,27077,60
60,SKESA,Enterococcus_faecalis,Contig_619_55.6256,13082,60
61,SKESA,Enterococcus_faecalis,Contig_654_43.7509,37642,60
62,SKESA,Enterococcus_faecalis,Contig_658_39.4571,108743,60
63,SKESA,Enterococcus_faecalis,Contig_673_54.4551,8159,60
64,SKESA,Enterococcus_faecalis,Contig_677_39.5009,42432,60
65,SKESA,Enterococcus_faecalis,Contig_684_41.7792,18774,60
66,SKESA,Enterococcus_faecalis,Contig_691_55.5948,2503,60
67,SKESA,Enterococcus_faecalis,Contig_715_41.949,13321,60
68,SKESA,Enterococcus_faecalis,Contig_739_415.226,1142,60
69,SKESA,Enterococcus_faecalis,Contig_835_48.469,2956,60
70,SKESA,Enterococcus_faecalis,Contig_837_56.5395,8415,60
71,SKESA,Enterococcus_faecalis,Contig_853_59.9311,25500,60
72,SKESA,Enterococcus_faecalis,Contig_917_44.0018,90598,60
73,SKESA,Enterococcus_faecalis,Contig_956_54.689,67864,60
74,SKESA,Enterococcus_faecalis,Contig_965_50.1184,30357,60
75,SKESA,Enterococcus_faecalis,Contig_989_58.7361,23140,60
76,SKESA,Enterococcus_faecalis,Contig_992_52.1802,25240,60
77,SKESA,Enterococcus_faecalis,Contig_1036_52.8011,34266,60
78,SKESA,Enterococcus_faecalis,Contig_1046_53.9301,15780,60
79,SKESA,Enterococcus_faecalis,Contig_1065_46.3089,11442,60
80,SKESA,Enterococcus_faecalis,Contig_1093_54.5226,42102,60
81,SKESA,Enterococcus_faecalis,Contig_1143_35.7101,129200,60
82,SKESA,Enterococcus_faecalis,Contig_1149_46.6816,10335,60
83,SKESA,Enterococcus_faecalis,Contig_1157_56.1105,13577,60
84,SKESA,Enterococcus_faecalis,Contig_1196_42.9975,30056,60
85,SKESA,Enterococcus_faecalis,Contig_1217_47.4531,30095,60
86,SKESA,Enterococcus_faecalis,Contig_1218_53.2373,29105,60
87,SKESA,Enterococcus_faecalis,Contig_1226_43.6992,105141,60
88,SKESA,Enterococcus_faecalis,Contig_1238_43.6584,35578,60
89,SKESA,Enterococcus_faecalis,Contig_1245_51.3855,46477,60
90,SKESA,Enterococcus_faecalis,Contig_1273_52.3544,68618,60
91,SKESA,Enterococcus_faecalis,Contig_1278_37.6111,261110,60
92,SKESA,Enterococcus_faecalis,Contig_1304_37.434,36823,60
93,SKESA,Enterococcus_faecalis,Contig_1312_51.0505,24433,60
94,SKESA,Enterococcus_faecalis,Contig_1317_53.4379,16416,60
95,SKESA,Enterococcus_faecalis,Contig_1318_38.2439,49966,60
96,SKESA,Enterococcus_faecalis,Contig_1320_35.9719,129560,60
97,SKESA,Enterococcus_faecalis,Contig_1321_48.0684,20245,60
98,SKESA,Enterococcus_faecalis,Contig_1333_41.6634,19319,60
99,SKESA,Enterococcus_faecalis,Contig_1336_104.807,1453,60
100,SKESA,Enterococcus_faecalis,Contig_1343_47.7657,2879,60
101,SKESA,Enterococcus_faecalis,Contig_1345_40.8799,84042,60
102,SKESA,Enterococcus_faecalis,Contig_1348_44.2566,1497,60
103,SKESA,Enterococcus_faecalis,Contig_1350_53.7334,26841,60
104,SKESA,Enterococcus_faecalis,Contig_1351_44.2252,22612,60
105,SKESA,Enterococcus_faecalis,Contig_1352_34.4899,81825,60
106,SKESA,Escherichia_coli_plasmid,Contig_79_36.6253,52927,60
107,SKESA,Escherichia_coli_plasmid,Contig_967_37.2895,28384,33.06945562473432
108,SKESA,Escherichia_coli_plasmid,Contig_1166_39.7292,26497,44.231967057399956
109,SKESA,Escherichia_coli,Contig_10_24.7642,5602,60
110,SKESA,Escherichia_coli,Contig_36_29.4499,31774,60
111,SKESA,Escherichia_coli,Contig_38_33.6605,1920,60
112,SKESA,Escherichia_coli,Contig_41_24.9768,2308,60
113,SKESA,Escherichia_coli,Contig_47_28.1388,17642,60
114,SKESA,Escherichia_coli,Contig_55_30.6854,27052,60
115,SKESA,Escherichia_coli,Contig_64_32.7577,2183,60
116,SKESA,Escherichia_coli,Contig_91_27.1312,18605,60
117,SKESA,Escherichia_coli,Contig_99_27.7603,24812,60
118,SKESA,Escherichia_coli,Contig_109_26.8766,56277,60
119,SKESA,Escherichia_coli,Contig_124_27.9357,12544,60
120,SKESA,Escherichia_coli,Contig_129_31.3914,33746,60
121,SKESA,Escherichia_coli,Contig_148_31.2192,14994,60
122,SKESA,Escherichia_coli,Contig_151_31.592,80270,60
123,SKESA,Escherichia_coli,Contig_155_29.8884,3703,60
124,SKESA,Escherichia_coli,Contig_164_29.7964,3218,60
125,SKESA,Escherichia_coli,Contig_166_26.0056,16832,60
126,SKESA,Escherichia_coli,Contig_189_28.2986,26864,60
127,SKESA,Escherichia_coli,Contig_199_29.5418,3058,60
128,SKESA,Escherichia_coli,Contig_201_29.3552,7548,60
129,SKESA,Escherichia_coli,Contig_203_27.9926,56596,60
130,SKESA,Escherichia_coli,Contig_207_28.3658,59197,60
131,SKESA,Escherichia_coli,Contig_209_35.0143,3505,60
132,SKESA,Escherichia_coli,Contig_231_27.8498,18837,60
133,SKESA,Escherichia_coli,Contig_242_34.1762,1535,60
134,SKESA,Escherichia_coli,Contig_243_43.1015,4226,60
135,SKESA,Escherichia_coli,Contig_253_29.1887,26452,60
136,SKESA,Escherichia_coli,Contig_255_28.1987,62623,60
137,SKESA,Escherichia_coli,Contig_269_28.2249,16613,31.412668190227137
138,SKESA,Escherichia_coli,Contig_283_31.4181,48523,42.088263891477595
139,SKESA,Escherichia_coli,Contig_288_31.8862,76924,60
140,SKESA,Escherichia_coli,Contig_296_43.0869,2540,60
141,SKESA,Escherichia_coli,Contig_297_28.5281,85443,60
142,SKESA,Escherichia_coli,Contig_298_29.5777,36905,60
143,SKESA,Escherichia_coli,Contig_305_33.5067,1070,19.87991092526984
144,SKESA,Escherichia_coli,Contig_306_27.1552,62000,60
145,SKESA,Escherichia_coli,Contig_314_42.4635,4814,60
146,SKESA,Escherichia_coli,Contig_316_30.988,119246,60
147,SKESA,Escherichia_coli,Contig_322_29.1146,5498,37.402047355073734
148,SKESA,Escherichia_coli,Contig_336_31.7831,28207,60
149,SKESA,Escherichia_coli,Contig_337_31.1957,59499,60
150,SKESA,Escherichia_coli,Contig_339_26.5051,9078,60
151,SKESA,Escherichia_coli,Contig_354_30.3419,1076,60
152,SKESA,Escherichia_coli,Contig_362_31.0987,1155,60
153,SKESA,Escherichia_coli,Contig_364_29.1393,12607,60
154,SKESA,Escherichia_coli,Contig_373_29.5971,73839,60
155,SKESA,Escherichia_coli,Contig_382_30.7995,62209,60
156,SKESA,Escherichia_coli,Contig_395_23.112,1181,60
157,SKESA,Escherichia_coli,Contig_396_33.2684,3094,60
158,SKESA,Escherichia_coli,Contig_399_29.1559,8972,60
159,SKESA,Escherichia_coli,Contig_402_31.3557,67263,60
160,SKESA,Escherichia_coli,Contig_404_31.2899,55593,60
161,SKESA,Escherichia_coli,Contig_407_29.6309,16640,60
162,SKESA,Escherichia_coli,Contig_411_30.0946,71707,60
163,SKESA,Escherichia_coli,Contig_414_32.0475,20164,60
164,SKESA,Escherichia_coli,Contig_415_30.5162,40398,60
165,SKESA,Escherichia_coli,Contig_417_28.9399,37652,60
