,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,ENN,SKESA,Bacillus_subtilis,4045677.0,38247,38454
1,ENN,SKESA,Bacillus_subtilis,4045677.0,208998,210288
2,ENN,SKESA,Bacillus_subtilis,4045677.0,233417,234605
3,ENN,SKESA,Bacillus_subtilis,4045677.0,371682,372944
4,ENN,SKESA,Bacillus_subtilis,4045677.0,642222,642817
5,ENN,SKESA,Bacillus_subtilis,4045677.0,645038,645722
6,ENN,SKESA,Bacillus_subtilis,4045677.0,801554,807233
7,ENN,SKESA,Bacillus_subtilis,4045677.0,1059599,1060887
8,ENN,SKESA,Bacillus_subtilis,4045677.0,1261586,1261681
9,ENN,SKESA,Bacillus_subtilis,4045677.0,1264875,1264970
10,ENN,SKESA,Bacillus_subtilis,4045677.0,1355151,1356430
11,ENN,SKESA,Bacillus_subtilis,4045677.0,1671363,1672658
12,ENN,SKESA,Bacillus_subtilis,4045677.0,1709608,1716671
13,ENN,SKESA,Bacillus_subtilis,4045677.0,1754827,1756115
14,ENN,SKESA,Bacillus_subtilis,4045677.0,2019278,2020499
15,ENN,SKESA,Bacillus_subtilis,4045677.0,2416096,2416478
16,ENN,SKESA,Bacillus_subtilis,4045677.0,2788765,2793942
17,ENN,SKESA,Bacillus_subtilis,4045677.0,2809312,2814554
18,ENN,SKESA,Bacillus_subtilis,4045677.0,2869649,2880556
19,ENN,SKESA,Bacillus_subtilis,4045677.0,2940181,2955800
20,ENN,SKESA,Bacillus_subtilis,4045677.0,2974099,2974190
21,ENN,SKESA,Bacillus_subtilis,4045677.0,3078098,3079396
22,ENN,SKESA,Bacillus_subtilis,4045677.0,3163096,3163788
23,ENN,SKESA,Bacillus_subtilis,4045677.0,3173850,3174552
24,ENN,SKESA,Bacillus_subtilis,4045677.0,3305469,3305565
25,ENN,SKESA,Bacillus_subtilis,4045677.0,3387320,3387539
26,ENN,SKESA,Bacillus_subtilis,4045677.0,3404351,3409501
27,ENN,SKESA,Bacillus_subtilis,4045677.0,3438841,3440131
28,ENN,SKESA,Bacillus_subtilis,4045677.0,3697039,3703497
29,ENN,SKESA,Enterococcus_faecalis,2845392.0,386167,386307
30,ENN,SKESA,Enterococcus_faecalis,2845392.0,417648,417745
31,ENN,SKESA,Enterococcus_faecalis,2845392.0,470348,470464
32,ENN,SKESA,Enterococcus_faecalis,2845392.0,539015,539803
33,ENN,SKESA,Enterococcus_faecalis,2845392.0,589311,590207
34,ENN,SKESA,Enterococcus_faecalis,2845392.0,668064,668087
35,ENN,SKESA,Enterococcus_faecalis,2845392.0,703813,703836
36,ENN,SKESA,Enterococcus_faecalis,2845392.0,747301,747396
37,ENN,SKESA,Enterococcus_faecalis,2845392.0,971509,971734
38,ENN,SKESA,Enterococcus_faecalis,2845392.0,1040103,1040874
39,ENN,SKESA,Enterococcus_faecalis,2845392.0,1087390,1088705
40,ENN,SKESA,Enterococcus_faecalis,2845392.0,1089852,1092870
41,ENN,SKESA,Enterococcus_faecalis,2845392.0,1121974,1121997
42,ENN,SKESA,Enterococcus_faecalis,2845392.0,1123468,1123491
43,ENN,SKESA,Enterococcus_faecalis,2845392.0,1215833,1215978
44,ENN,SKESA,Enterococcus_faecalis,2845392.0,1348256,1348413
45,ENN,SKESA,Enterococcus_faecalis,2845392.0,1361989,1367999
46,ENN,SKESA,Enterococcus_faecalis,2845392.0,1380325,1380420
47,ENN,SKESA,Enterococcus_faecalis,2845392.0,1400539,1400724
48,ENN,SKESA,Enterococcus_faecalis,2845392.0,1403546,1405924
49,ENN,SKESA,Enterococcus_faecalis,2845392.0,1419005,1419137
50,ENN,SKESA,Enterococcus_faecalis,2845392.0,1438712,1439810
51,ENN,SKESA,Enterococcus_faecalis,2845392.0,1448512,1448639
52,ENN,SKESA,Enterococcus_faecalis,2845392.0,1471989,1472087
53,ENN,SKESA,Enterococcus_faecalis,2845392.0,1560020,1560118
54,ENN,SKESA,Enterococcus_faecalis,2845392.0,1563227,1563917
55,ENN,SKESA,Enterococcus_faecalis,2845392.0,1573823,1574008
56,ENN,SKESA,Enterococcus_faecalis,2845392.0,1577160,1579729
57,ENN,SKESA,Enterococcus_faecalis,2845392.0,1623218,1623749
58,ENN,SKESA,Enterococcus_faecalis,2845392.0,1684930,1686520
59,ENN,SKESA,Enterococcus_faecalis,2845392.0,1716876,1719298
60,ENN,SKESA,Enterococcus_faecalis,2845392.0,1782275,1782448
61,ENN,SKESA,Enterococcus_faecalis,2845392.0,1805217,1812345
62,ENN,SKESA,Enterococcus_faecalis,2845392.0,1828659,1828769
63,ENN,SKESA,Enterococcus_faecalis,2845392.0,1891881,1891989
64,ENN,SKESA,Enterococcus_faecalis,2845392.0,2076219,2076392
65,ENN,SKESA,Enterococcus_faecalis,2845392.0,2092269,2092657
66,ENN,SKESA,Enterococcus_faecalis,2845392.0,2122706,2123776
67,ENN,SKESA,Enterococcus_faecalis,2845392.0,2163252,2163473
68,ENN,SKESA,Enterococcus_faecalis,2845392.0,2188093,2189683
69,ENN,SKESA,Enterococcus_faecalis,2845392.0,2317221,2317395
70,ENN,SKESA,Enterococcus_faecalis,2845392.0,2318891,2319770
71,ENN,SKESA,Enterococcus_faecalis,2845392.0,2379625,2379738
72,ENN,SKESA,Enterococcus_faecalis,2845392.0,2382709,2382822
73,ENN,SKESA,Enterococcus_faecalis,2845392.0,2420793,2420795
74,ENN,SKESA,Enterococcus_faecalis,2845392.0,2424552,2430503
75,ENN,SKESA,Enterococcus_faecalis,2845392.0,2449208,2449979
76,ENN,SKESA,Enterococcus_faecalis,2845392.0,2629320,2630837
77,ENN,SKESA,Enterococcus_faecalis,2845392.0,2669428,2669590
78,ENN,SKESA,Enterococcus_faecalis,2845392.0,2699897,2699986
79,ENN,SKESA,Enterococcus_faecalis,2845392.0,2788286,2788524
80,ENN,SKESA,Escherichia_coli_plasmid,110007.0,3941,4147
81,ENN,SKESA,Escherichia_coli_plasmid,110007.0,5243,6466
82,ENN,SKESA,Escherichia_coli_plasmid,110007.0,7511,11032
83,ENN,SKESA,Escherichia_coli_plasmid,110007.0,12131,31673
84,ENN,SKESA,Escherichia_coli_plasmid,110007.0,33251,62981
85,ENN,SKESA,Escherichia_coli_plasmid,110007.0,64016,65137
86,ENN,SKESA,Escherichia_coli_plasmid,110007.0,66712,76049
87,ENN,SKESA,Escherichia_coli_plasmid,110007.0,77788,81407
88,ENN,SKESA,Escherichia_coli_plasmid,110007.0,82827,100116
89,ENN,SKESA,Escherichia_coli_plasmid,110007.0,101345,106618
90,ENN,SKESA,Escherichia_coli_plasmid,110007.0,107642,108089
91,ENN,SKESA,Escherichia_coli,4765434.0,14445,14468
92,ENN,SKESA,Escherichia_coli,4765434.0,15937,16593
93,ENN,SKESA,Escherichia_coli,4765434.0,28794,29405
94,ENN,SKESA,Escherichia_coli,4765434.0,97201,97282
95,ENN,SKESA,Escherichia_coli,4765434.0,104692,104788
96,ENN,SKESA,Escherichia_coli,4765434.0,133664,134181
97,ENN,SKESA,Escherichia_coli,4765434.0,136363,136778
98,ENN,SKESA,Escherichia_coli,4765434.0,199412,199435
99,ENN,SKESA,Escherichia_coli,4765434.0,233736,234292
100,ENN,SKESA,Escherichia_coli,4765434.0,235975,236066
101,ENN,SKESA,Escherichia_coli,4765434.0,308190,308396
102,ENN,SKESA,Escherichia_coli,4765434.0,357935,358710
103,ENN,SKESA,Escherichia_coli,4765434.0,393461,393551
104,ENN,SKESA,Escherichia_coli,4765434.0,443350,443431
105,ENN,SKESA,Escherichia_coli,4765434.0,455776,455778
106,ENN,SKESA,Escherichia_coli,4765434.0,458441,461112
107,ENN,SKESA,Escherichia_coli,4765434.0,466891,468102
108,ENN,SKESA,Escherichia_coli,4765434.0,473507,473615
109,ENN,SKESA,Escherichia_coli,4765434.0,475916,476004
110,ENN,SKESA,Escherichia_coli,4765434.0,477739,477829
111,ENN,SKESA,Escherichia_coli,4765434.0,487667,488680
112,ENN,SKESA,Escherichia_coli,4765434.0,492123,492231
113,ENN,SKESA,Escherichia_coli,4765434.0,494691,496107
114,ENN,SKESA,Escherichia_coli,4765434.0,497578,497601
115,ENN,SKESA,Escherichia_coli,4765434.0,498656,498679
116,ENN,SKESA,Escherichia_coli,4765434.0,506541,506845
117,ENN,SKESA,Escherichia_coli,4765434.0,507944,508019
118,ENN,SKESA,Escherichia_coli,4765434.0,512929,514022
119,ENN,SKESA,Escherichia_coli,4765434.0,532566,533340
120,ENN,SKESA,Escherichia_coli,4765434.0,534634,534707
121,ENN,SKESA,Escherichia_coli,4765434.0,564902,565219
122,ENN,SKESA,Escherichia_coli,4765434.0,577762,578535
123,ENN,SKESA,Escherichia_coli,4765434.0,649406,649503
124,ENN,SKESA,Escherichia_coli,4765434.0,677195,678545
125,ENN,SKESA,Escherichia_coli,4765434.0,695489,695712
126,ENN,SKESA,Escherichia_coli,4765434.0,758142,758868
127,ENN,SKESA,Escherichia_coli,4765434.0,762570,762930
128,ENN,SKESA,Escherichia_coli,4765434.0,771244,771331
129,ENN,SKESA,Escherichia_coli,4765434.0,787918,787979
130,ENN,SKESA,Escherichia_coli,4765434.0,800772,800897
131,ENN,SKESA,Escherichia_coli,4765434.0,811817,811904
132,ENN,SKESA,Escherichia_coli,4765434.0,907342,913792
133,ENN,SKESA,Escherichia_coli,4765434.0,927463,931370
134,ENN,SKESA,Escherichia_coli,4765434.0,1001695,1002930
