,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LNN,SPAdes,NODE_1_length_753683_cov_322.330244,753683,Enterococcus_faecalis,0
1,1,LNN,SPAdes,NODE_2_length_708415_cov_22.718772,708415,Bacillus_subtilis,0
2,2,LNN,SPAdes,NODE_3_length_632630_cov_115.325645,632630,Listeria_monocytogenes,0
3,3,LNN,SPAdes,NODE_4_length_574494_cov_208.205630,574494,Staphylococcus_aureus,0
4,4,LNN,SPAdes,NODE_5_length_573108_cov_116.074709,573108,Listeria_monocytogenes,0
5,5,LNN,SPAdes,NODE_6_length_537635_cov_115.776082,537635,Listeria_monocytogenes,0
6,6,LNN,SPAdes,NODE_7_length_484559_cov_87.378011,484559,Salmonella_enterica,0
7,7,LNN,SPAdes,NODE_8_length_443772_cov_315.982453,443772,Escherichia_coli,0
8,8,LNN,SPAdes,NODE_9_length_375233_cov_323.542926,375233,Enterococcus_faecalis,0
9,9,LNN,SPAdes,NODE_10_length_367881_cov_22.637687,367881,Bacillus_subtilis,0
10,10,LNN,SPAdes,NODE_11_length_352147_cov_209.030569,352147,Staphylococcus_aureus,0
11,11,LNN,SPAdes,NODE_12_length_336624_cov_322.591121,336624,Enterococcus_faecalis,0
12,12,LNN,SPAdes,NODE_13_length_325386_cov_316.657853,325386,Escherichia_coli,0
13,13,LNN,SPAdes,NODE_14_length_315046_cov_22.752745,315046,Bacillus_subtilis,0
14,14,LNN,SPAdes,NODE_15_length_305325_cov_210.099830,305325,Staphylococcus_aureus,0
15,15,LNN,SPAdes,NODE_16_length_294381_cov_22.729273,294381,Bacillus_subtilis,0
16,16,LNN,SPAdes,NODE_17_length_269110_cov_22.891680,269110,Bacillus_subtilis,0
17,17,LNN,SPAdes,NODE_18_length_263364_cov_13.931400,263364,Pseudomonas_aeruginosa,0
18,18,LNN,SPAdes,NODE_19_length_263197_cov_22.859992,263197,Bacillus_subtilis,0
19,19,LNN,SPAdes,NODE_20_length_257021_cov_22.739973,257021,Bacillus_subtilis,0
20,20,LNN,SPAdes,NODE_21_length_254541_cov_115.180572,254541,Listeria_monocytogenes,0
21,21,LNN,SPAdes,NODE_22_length_252111_cov_22.765040,252111,Bacillus_subtilis,0
22,22,LNN,SPAdes,NODE_23_length_245391_cov_86.684889,245391,Salmonella_enterica,0
23,23,LNN,SPAdes,NODE_24_length_239623_cov_13.842258,239623,Pseudomonas_aeruginosa,0
24,24,LNN,SPAdes,NODE_25_length_238916_cov_323.000046,238916,Enterococcus_faecalis,0
25,25,LNN,SPAdes,NODE_26_length_234979_cov_322.269270,234979,Enterococcus_faecalis,0
26,26,LNN,SPAdes,NODE_27_length_233668_cov_13.941039,233668,Pseudomonas_aeruginosa,0
27,27,LNN,SPAdes,NODE_28_length_232654_cov_116.068698,232654,Listeria_monocytogenes,0
28,28,LNN,SPAdes,NODE_29_length_226447_cov_23.288712,226447,Bacillus_subtilis,0
29,29,LNN,SPAdes,NODE_30_length_213917_cov_116.231547,213917,Listeria_monocytogenes,0
30,30,LNN,SPAdes,NODE_31_length_213594_cov_87.383181,213594,Salmonella_enterica,0
31,31,LNN,SPAdes,NODE_32_length_213472_cov_13.960837,213472,Pseudomonas_aeruginosa,0
32,32,LNN,SPAdes,NODE_33_length_209422_cov_89.188396,209422,Salmonella_enterica,0
33,33,LNN,SPAdes,NODE_34_length_205374_cov_14.069302,205374,Pseudomonas_aeruginosa,0
34,34,LNN,SPAdes,NODE_35_length_204412_cov_208.655862,204412,Staphylococcus_aureus,0
35,35,LNN,SPAdes,NODE_36_length_199823_cov_85.943074,199823,Salmonella_enterica,0
36,36,LNN,SPAdes,NODE_37_length_192952_cov_13.835892,192952,Pseudomonas_aeruginosa,0
37,37,LNN,SPAdes,NODE_38_length_190498_cov_209.422861,190498,Staphylococcus_aureus,0
38,38,LNN,SPAdes,NODE_39_length_187588_cov_87.777031,187588,Salmonella_enterica,0
39,39,LNN,SPAdes,NODE_40_length_184195_cov_13.844401,184195,Pseudomonas_aeruginosa,0
40,40,LNN,SPAdes,NODE_41_length_184149_cov_315.342092,184149,Escherichia_coli,0
41,41,LNN,SPAdes,NODE_42_length_183431_cov_314.660294,183431,Escherichia_coli,0
42,42,LNN,SPAdes,NODE_43_length_183043_cov_335.801085,183043,Escherichia_coli,0
43,43,LNN,SPAdes,NODE_44_length_179454_cov_321.614842,179454,Enterococcus_faecalis,0
44,44,LNN,SPAdes,NODE_45_length_175454_cov_320.770808,175454,Escherichia_coli,0
45,45,LNN,SPAdes,NODE_46_length_172335_cov_327.617791,172335,Enterococcus_faecalis,0
46,46,LNN,SPAdes,NODE_47_length_171718_cov_13.826328,171718,Pseudomonas_aeruginosa,0
47,47,LNN,SPAdes,NODE_48_length_171255_cov_13.807488,171255,Pseudomonas_aeruginosa,0
48,48,LNN,SPAdes,NODE_49_length_170182_cov_22.676783,170182,Bacillus_subtilis,0
49,49,LNN,SPAdes,NODE_50_length_162041_cov_88.221334,162041,Salmonella_enterica,0
50,50,LNN,SPAdes,NODE_51_length_156134_cov_22.663997,156134,Bacillus_subtilis,0
