,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,GATBMiniaPipeline,Bacillus_subtilis,93,2615,60
1,GATBMiniaPipeline,Bacillus_subtilis,133,1218,30.856472882968276
2,GATBMiniaPipeline,Bacillus_subtilis,149,6399,60
3,GATBMiniaPipeline,Bacillus_subtilis,190,6336,24.40087332563845
4,GATBMiniaPipeline,Bacillus_subtilis,218,17447,60
5,GATBMiniaPipeline,Bacillus_subtilis,260,19703,60
6,GATBMiniaPipeline,Bacillus_subtilis,275,6782,60
7,GATBMiniaPipeline,Bacillus_subtilis,276,7292,60
8,GATBMiniaPipeline,Bacillus_subtilis,286,1315,60
9,GATBMiniaPipeline,Bacillus_subtilis,339,26505,60
10,GATBMiniaPipeline,Bacillus_subtilis,362,20340,40.07320952922755
11,GATBMiniaPipeline,Bacillus_subtilis,498,9353,60
12,GATBMiniaPipeline,Bacillus_subtilis,576,14927,60
13,GATBMiniaPipeline,Bacillus_subtilis,602,5443,28.90740294302832
14,GATBMiniaPipeline,Bacillus_subtilis,603,24937,60
15,GATBMiniaPipeline,Bacillus_subtilis,610,17903,29.97653306562496
16,GATBMiniaPipeline,Bacillus_subtilis,614,20227,60
17,GATBMiniaPipeline,Bacillus_subtilis,629,1933,60
18,GATBMiniaPipeline,Bacillus_subtilis,675,4044,60
19,GATBMiniaPipeline,Bacillus_subtilis,683,5880,60
20,GATBMiniaPipeline,Bacillus_subtilis,688,7050,60
21,GATBMiniaPipeline,Bacillus_subtilis,707,2062,60
22,GATBMiniaPipeline,Bacillus_subtilis,795,31451,60
23,GATBMiniaPipeline,Bacillus_subtilis,833,1018,60
24,GATBMiniaPipeline,Bacillus_subtilis,910,2894,60
25,GATBMiniaPipeline,Bacillus_subtilis,1065,3475,23.105058875478548
26,GATBMiniaPipeline,Bacillus_subtilis,1192,4158,60
27,GATBMiniaPipeline,Bacillus_subtilis,1206,17159,60
28,GATBMiniaPipeline,Bacillus_subtilis,1234,27543,60
29,GATBMiniaPipeline,Bacillus_subtilis,1314,6584,60
30,GATBMiniaPipeline,Bacillus_subtilis,1320,11335,60
31,GATBMiniaPipeline,Bacillus_subtilis,1321,32127,60
32,GATBMiniaPipeline,Bacillus_subtilis,1323,3696,60
33,GATBMiniaPipeline,Bacillus_subtilis,1363,4041,60
34,GATBMiniaPipeline,Bacillus_subtilis,1438,10108,60
35,GATBMiniaPipeline,Bacillus_subtilis,1447,3407,60
36,GATBMiniaPipeline,Bacillus_subtilis,1540,79042,60
37,GATBMiniaPipeline,Bacillus_subtilis,1572,12544,60
38,GATBMiniaPipeline,Bacillus_subtilis,1604,5130,60
39,GATBMiniaPipeline,Bacillus_subtilis,1623,26610,60
40,GATBMiniaPipeline,Bacillus_subtilis,1663,64786,60
41,GATBMiniaPipeline,Bacillus_subtilis,1734,32953,60
42,GATBMiniaPipeline,Bacillus_subtilis,1745,6882,60
43,GATBMiniaPipeline,Bacillus_subtilis,1754,23224,60
44,GATBMiniaPipeline,Bacillus_subtilis,1762,15855,28.022262376910724
45,GATBMiniaPipeline,Bacillus_subtilis,1789,5889,29.918903039360227
46,GATBMiniaPipeline,Bacillus_subtilis,1854,14290,60
47,GATBMiniaPipeline,Bacillus_subtilis,1873,18956,60
48,GATBMiniaPipeline,Bacillus_subtilis,1883,24939,60
49,GATBMiniaPipeline,Bacillus_subtilis,1884,4632,60
50,GATBMiniaPipeline,Bacillus_subtilis,1892,10643,60
51,GATBMiniaPipeline,Bacillus_subtilis,1895,49813,60
52,GATBMiniaPipeline,Bacillus_subtilis,1899,44007,60
53,GATBMiniaPipeline,Bacillus_subtilis,1922,22559,60
54,GATBMiniaPipeline,Bacillus_subtilis,1925,31552,41.979968975972156
55,GATBMiniaPipeline,Bacillus_subtilis,1943,35247,60
56,GATBMiniaPipeline,Bacillus_subtilis,1947,18602,60
57,GATBMiniaPipeline,Bacillus_subtilis,1948,8653,60
58,GATBMiniaPipeline,Bacillus_subtilis,1949,22307,60
59,GATBMiniaPipeline,Bacillus_subtilis,2113,22135,31.409595436589566
60,GATBMiniaPipeline,Bacillus_subtilis,2119,4119,60
61,GATBMiniaPipeline,Bacillus_subtilis,2129,55933,60
62,GATBMiniaPipeline,Bacillus_subtilis,2145,2170,60
63,GATBMiniaPipeline,Bacillus_subtilis,2151,15160,60
64,GATBMiniaPipeline,Bacillus_subtilis,2162,9609,60
65,GATBMiniaPipeline,Bacillus_subtilis,2265,33406,60
66,GATBMiniaPipeline,Bacillus_subtilis,2354,28985,60
67,GATBMiniaPipeline,Bacillus_subtilis,2364,2863,60
68,GATBMiniaPipeline,Bacillus_subtilis,2374,11521,60
69,GATBMiniaPipeline,Bacillus_subtilis,2388,2265,60
70,GATBMiniaPipeline,Bacillus_subtilis,2400,7627,29.281112369493712
71,GATBMiniaPipeline,Bacillus_subtilis,2418,63762,60
72,GATBMiniaPipeline,Bacillus_subtilis,2421,5682,60
73,GATBMiniaPipeline,Bacillus_subtilis,2482,18131,60
74,GATBMiniaPipeline,Bacillus_subtilis,2503,1728,60
75,GATBMiniaPipeline,Bacillus_subtilis,2520,29751,60
76,GATBMiniaPipeline,Bacillus_subtilis,2547,19480,60
77,GATBMiniaPipeline,Bacillus_subtilis,2601,34339,60
78,GATBMiniaPipeline,Bacillus_subtilis,2649,8421,60
79,GATBMiniaPipeline,Bacillus_subtilis,2676,1210,60
80,GATBMiniaPipeline,Bacillus_subtilis,2738,52808,60
81,GATBMiniaPipeline,Bacillus_subtilis,2739,20059,60
82,GATBMiniaPipeline,Bacillus_subtilis,2797,25214,60
83,GATBMiniaPipeline,Bacillus_subtilis,2798,8301,60
84,GATBMiniaPipeline,Bacillus_subtilis,2897,40073,60
85,GATBMiniaPipeline,Bacillus_subtilis,2917,61185,60
86,GATBMiniaPipeline,Bacillus_subtilis,2924,6324,60
87,GATBMiniaPipeline,Bacillus_subtilis,2963,24860,60
88,GATBMiniaPipeline,Bacillus_subtilis,3023,25004,60
89,GATBMiniaPipeline,Bacillus_subtilis,3100,66251,60
90,GATBMiniaPipeline,Bacillus_subtilis,3128,15002,60
91,GATBMiniaPipeline,Bacillus_subtilis,3174,8643,60
92,GATBMiniaPipeline,Bacillus_subtilis,3268,9085,60
93,GATBMiniaPipeline,Bacillus_subtilis,3315,47911,60
94,GATBMiniaPipeline,Bacillus_subtilis,3373,34365,60
95,GATBMiniaPipeline,Bacillus_subtilis,3390,1004,60
96,GATBMiniaPipeline,Bacillus_subtilis,3401,1326,60
97,GATBMiniaPipeline,Bacillus_subtilis,3416,21028,29.610701323287838
98,GATBMiniaPipeline,Bacillus_subtilis,3423,23141,40.633521266743514
