,Reference,Breadth of Coverage,Contigs
0,2615840527,0.995130414457382,30
1,2615840533A,0.9763655923635775,28
2,2615840533B,0.986183453151557,58
3,2615840601,0.9683601449014448,153
4,2615840646,0.9980282732798997,66
5,2615840697,0.9664191512630116,196
6,2616644829,0.9396103285772684,244
7,2617270709,0.9710987255952405,137
8,2623620557,0.8871584073208144,1159
9,2623620567,0.951103508776189,951
10,2623620609,0.001396370559196702,2
11,2623620617,0.8559409727121005,610
12,2623620618,0.8735337591888124,619
