,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,Unicycler,Bacillus_subtilis,3,768369,60
1,Unicycler,Bacillus_subtilis,10,428903,56.323590839588206
2,Unicycler,Bacillus_subtilis,17,343050,60
3,Unicycler,Bacillus_subtilis,20,314937,60
4,Unicycler,Bacillus_subtilis,22,294290,60
5,Unicycler,Bacillus_subtilis,24,263166,60
6,Unicycler,Bacillus_subtilis,26,257087,60
7,Unicycler,Bacillus_subtilis,29,252455,60
8,Unicycler,Bacillus_subtilis,35,229802,60
9,Unicycler,Bacillus_subtilis,44,208948,60
10,Unicycler,Bacillus_subtilis,67,137211,60
11,Unicycler,Bacillus_subtilis,74,122318,60
12,Unicycler,Bacillus_subtilis,109,83704,60
13,Unicycler,Bacillus_subtilis,137,59658,60
14,Unicycler,Bacillus_subtilis,145,55139,60
15,Unicycler,Bacillus_subtilis,169,38260,60
16,Unicycler,Bacillus_subtilis,173,37699,60
17,Unicycler,Bacillus_subtilis,194,29607,60
18,Unicycler,Bacillus_subtilis,211,23137,60
19,Unicycler,Bacillus_subtilis,243,15445,60
20,Unicycler,Bacillus_subtilis,267,10075,60
21,Unicycler,Bacillus_subtilis,389,1361,60
22,Unicycler,Enterococcus_faecalis,4,668009,49.79684273695501
23,Unicycler,Enterococcus_faecalis,12,376042,60
24,Unicycler,Enterococcus_faecalis,19,336514,60
25,Unicycler,Enterococcus_faecalis,32,238501,60
26,Unicycler,Enterococcus_faecalis,33,234872,60
27,Unicycler,Enterococcus_faecalis,40,214494,60
28,Unicycler,Enterococcus_faecalis,54,179588,60
29,Unicycler,Enterococcus_faecalis,58,171239,46.31542691653629
30,Unicycler,Enterococcus_faecalis,89,105394,40.68573378087371
31,Unicycler,Enterococcus_faecalis,107,86023,60
32,Unicycler,Enterococcus_faecalis,153,46519,60
33,Unicycler,Enterococcus_faecalis,179,35769,60
34,Unicycler,Enterococcus_faecalis,181,35550,60
35,Unicycler,Enterococcus_faecalis,193,30373,60
36,Unicycler,Enterococcus_faecalis,196,29107,60
37,Unicycler,Enterococcus_faecalis,226,19321,60
38,Unicycler,Enterococcus_faecalis,347,2056,60
39,Unicycler,Enterococcus_faecalis,371,1514,60
40,Unicycler,Enterococcus_faecalis,385,1397,31.45196406114152
41,Unicycler,Enterococcus_faecalis,413,1106,60
42,Unicycler,Enterococcus_faecalis,425,1048,30.20361282647688
43,Unicycler,Escherichia_coli_plasmid,164,40398,60
44,Unicycler,Escherichia_coli_plasmid,200,28073,60
45,Unicycler,Escherichia_coli_plasmid,206,26328,60
46,Unicycler,Escherichia_coli_plasmid,255,12433,60
47,Unicycler,Escherichia_coli,9,443005,53.45378632275943
48,Unicycler,Escherichia_coli,52,184014,60
49,Unicycler,Escherichia_coli,53,181257,60
50,Unicycler,Escherichia_coli,59,168822,60
51,Unicycler,Escherichia_coli,63,148477,60
52,Unicycler,Escherichia_coli,65,143910,60
53,Unicycler,Escherichia_coli,69,127854,60
54,Unicycler,Escherichia_coli,71,125453,60
55,Unicycler,Escherichia_coli,73,124073,60
56,Unicycler,Escherichia_coli,76,119183,60
57,Unicycler,Escherichia_coli,82,112663,60
58,Unicycler,Escherichia_coli,84,110945,60
59,Unicycler,Escherichia_coli,86,107740,60
60,Unicycler,Escherichia_coli,90,104262,60
61,Unicycler,Escherichia_coli,94,101854,60
62,Unicycler,Escherichia_coli,95,99558,60
63,Unicycler,Escherichia_coli,98,98665,60
64,Unicycler,Escherichia_coli,99,96845,60
65,Unicycler,Escherichia_coli,102,93217,60
66,Unicycler,Escherichia_coli,103,92292,39.23771372244449
67,Unicycler,Escherichia_coli,115,79796,60
