,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EHS,BCALM2,147950,1041,Listeria_monocytogenes,0
1,1,EHS,BCALM2,148187,2304,Salmonella_enterica,0
2,2,EHS,BCALM2,148202,2219,Salmonella_enterica,0
3,3,EHS,BCALM2,148269,1315,Listeria_monocytogenes,0
4,4,EHS,BCALM2,148317,1089,Enterococcus_faecalis,0
5,5,EHS,BCALM2,148352,1153,Listeria_monocytogenes,0
6,6,EHS,BCALM2,148353,2763,Escherichia_coli,0
7,7,EHS,BCALM2,148417,1195,Escherichia_coli,0
8,8,EHS,BCALM2,148420,1201,Pseudomonas_aeruginosa,0
9,9,EHS,BCALM2,148430,1038,Pseudomonas_aeruginosa,0
10,10,EHS,BCALM2,148450,1402,Listeria_monocytogenes,0
11,11,EHS,BCALM2,148571,2657,Bacillus_subtilis,0
12,12,EHS,BCALM2,148614,1222,Salmonella_enterica,0
13,13,EHS,BCALM2,148628,1006,Salmonella_enterica,0
14,14,EHS,BCALM2,148712,1715,Listeria_monocytogenes,0
15,15,EHS,BCALM2,148720,1386,Escherichia_coli,0
16,16,EHS,BCALM2,148721,2030,Listeria_monocytogenes,0
17,17,EHS,BCALM2,148728,1054,Pseudomonas_aeruginosa,0
18,18,EHS,BCALM2,148763,3163,Salmonella_enterica,0
19,19,EHS,BCALM2,148794,2853,Bacillus_subtilis,0
20,20,EHS,BCALM2,148918,2017,Pseudomonas_aeruginosa,0
21,21,EHS,BCALM2,148925,1466,Bacillus_subtilis,0
22,22,EHS,BCALM2,148966,2128,Staphylococcus_aureus,0
23,23,EHS,BCALM2,149071,1879,Bacillus_subtilis,0
24,24,EHS,BCALM2,149086,1449,Escherichia_coli,0
25,25,EHS,BCALM2,149088,1345,Bacillus_subtilis,0
26,26,EHS,BCALM2,149123,1539,Pseudomonas_aeruginosa,0
27,27,EHS,BCALM2,149162,3724,Pseudomonas_aeruginosa,0
28,28,EHS,BCALM2,149256,1223,Salmonella_enterica,0
29,29,EHS,BCALM2,149417,2038,Salmonella_enterica,0
30,30,EHS,BCALM2,149425,1293,Escherichia_coli,0
31,31,EHS,BCALM2,149433,2188,Listeria_monocytogenes,0
32,32,EHS,BCALM2,149510,1153,Escherichia_coli,0
33,33,EHS,BCALM2,149524,1092,Escherichia_coli,0
34,34,EHS,BCALM2,149525,2265,Staphylococcus_aureus,0
35,35,EHS,BCALM2,149536,1132,Staphylococcus_aureus,0
36,36,EHS,BCALM2,149545,1109,Pseudomonas_aeruginosa,0
37,37,EHS,BCALM2,149558,1146,Escherichia_coli,0
38,38,EHS,BCALM2,149559,1634,Listeria_monocytogenes,0
39,39,EHS,BCALM2,149570,1151,Pseudomonas_aeruginosa,0
40,40,EHS,BCALM2,149653,2994,Bacillus_subtilis,0
41,41,EHS,BCALM2,149691,1254,Staphylococcus_aureus,0
42,42,EHS,BCALM2,149695,3551,Escherichia_coli,0
43,43,EHS,BCALM2,149720,3394,Pseudomonas_aeruginosa,0
44,44,EHS,BCALM2,149729,1910,Listeria_monocytogenes,0
45,45,EHS,BCALM2,149762,1414,Escherichia_coli,0
46,46,EHS,BCALM2,149851,1423,Salmonella_enterica,0
47,47,EHS,BCALM2,149853,2907,Bacillus_subtilis,0
48,48,EHS,BCALM2,149923,1252,Listeria_monocytogenes,0
49,49,EHS,BCALM2,149924,1183,Listeria_monocytogenes,0
