,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2935805,BCALM2,4298386,1077,Bacillus_subtilis,0
1,1,ERR2935805,BCALM2,4311177,1153,Bacillus_subtilis,0
2,2,ERR2935805,BCALM2,4312533,1006,Bacillus_subtilis,0
3,3,ERR2935805,BCALM2,4314975,1002,Bacillus_subtilis,0
4,4,ERR2935805,BCALM2,4315412,1219,Bacillus_subtilis,0
5,5,ERR2935805,BCALM2,4331959,1377,Bacillus_subtilis,0
6,6,ERR2935805,BCALM2,4331975,1262,Bacillus_subtilis,0
7,7,ERR2935805,BCALM2,4334087,1093,Bacillus_subtilis,0
8,8,ERR2935805,BCALM2,4362120,1102,Bacillus_subtilis,0
9,9,ERR2935805,BCALM2,4369526,1252,Bacillus_subtilis,0
10,10,ERR2935805,BCALM2,4384495,1288,Bacillus_subtilis,0
11,11,ERR2935805,BCALM2,4390952,1454,Bacillus_subtilis,0
12,12,ERR2935805,BCALM2,4391988,1111,Bacillus_subtilis,0
13,13,ERR2935805,BCALM2,4400610,1541,Bacillus_subtilis,0
14,14,ERR2935805,BCALM2,4413646,1587,Bacillus_subtilis,0
15,15,ERR2935805,BCALM2,4439406,1228,Bacillus_subtilis,0
16,16,ERR2935805,BCALM2,4442567,1094,Bacillus_subtilis,0
17,17,ERR2935805,BCALM2,4455243,1323,Bacillus_subtilis,0
18,18,ERR2935805,BCALM2,4469812,1159,Bacillus_subtilis,0
19,19,ERR2935805,BCALM2,4470967,1550,Bacillus_subtilis,0
20,20,ERR2935805,BCALM2,4472599,1247,Bacillus_subtilis,0
21,21,ERR2935805,BCALM2,4474944,1398,Bacillus_subtilis,0
22,22,ERR2935805,BCALM2,4479008,1033,Bacillus_subtilis,0
23,23,ERR2935805,BCALM2,4479994,1109,Bacillus_subtilis,0
24,24,ERR2935805,BCALM2,4485263,1040,Bacillus_subtilis,0
25,25,ERR2935805,BCALM2,4509366,1378,Bacillus_subtilis,0
26,26,ERR2935805,BCALM2,4523430,1189,Unmapped,0
27,27,ERR2935805,BCALM2,4537649,1135,Bacillus_subtilis,0
28,28,ERR2935805,BCALM2,4544173,1387,Bacillus_subtilis,0
29,29,ERR2935805,BCALM2,4561343,1286,Bacillus_subtilis,0
30,30,ERR2935805,BCALM2,4577998,1017,Bacillus_subtilis,0
31,31,ERR2935805,BCALM2,4583598,1595,Bacillus_subtilis,0
32,32,ERR2935805,BCALM2,4583857,1144,Bacillus_subtilis,0
33,33,ERR2935805,BCALM2,4592253,1642,Bacillus_subtilis,0
34,34,ERR2935805,BCALM2,4596377,1013,Bacillus_subtilis,0
35,35,ERR2935805,BCALM2,4597872,1527,Bacillus_subtilis,0
36,36,ERR2935805,BCALM2,4601038,1274,Bacillus_subtilis,0
37,37,ERR2935805,BCALM2,4620924,1236,Bacillus_subtilis,0
38,38,ERR2935805,BCALM2,4642156,1129,Bacillus_subtilis,0
39,39,ERR2935805,BCALM2,4643575,1075,Bacillus_subtilis,0
40,40,ERR2935805,BCALM2,4646234,1629,Bacillus_subtilis,0
41,41,ERR2935805,BCALM2,4647024,1480,Bacillus_subtilis,0
42,42,ERR2935805,BCALM2,4657847,1291,Bacillus_subtilis,0
43,43,ERR2935805,BCALM2,4664511,1275,Bacillus_subtilis,0
44,44,ERR2935805,BCALM2,4664522,1128,Bacillus_subtilis,0
