,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MINIA,Bacillus_subtilis,3,91370,60
1,MINIA,Bacillus_subtilis,6,62520,37.54626284188871
2,MINIA,Bacillus_subtilis,7,16891,60
3,MINIA,Bacillus_subtilis,13,117945,60
4,MINIA,Bacillus_subtilis,23,62148,60
5,MINIA,Bacillus_subtilis,32,30985,60
6,MINIA,Bacillus_subtilis,38,101687,60
7,MINIA,Bacillus_subtilis,53,103892,60
8,MINIA,Bacillus_subtilis,63,33707,60
9,MINIA,Bacillus_subtilis,88,50907,60
10,MINIA,Bacillus_subtilis,97,15639,60
11,MINIA,Bacillus_subtilis,99,76062,60
12,MINIA,Bacillus_subtilis,101,27942,60
13,MINIA,Bacillus_subtilis,105,23765,60
14,MINIA,Bacillus_subtilis,106,56211,60
15,MINIA,Bacillus_subtilis,113,25638,60
16,MINIA,Bacillus_subtilis,115,30423,60
17,MINIA,Bacillus_subtilis,118,60331,60
18,MINIA,Bacillus_subtilis,119,34005,60
19,MINIA,Bacillus_subtilis,132,20474,60
20,MINIA,Bacillus_subtilis,154,61848,60
21,MINIA,Bacillus_subtilis,168,51759,60
22,MINIA,Bacillus_subtilis,170,15627,60
23,MINIA,Bacillus_subtilis,175,15051,60
24,MINIA,Bacillus_subtilis,193,34627,60
25,MINIA,Bacillus_subtilis,197,5861,60
26,MINIA,Bacillus_subtilis,227,39600,60
27,MINIA,Bacillus_subtilis,231,1345,60
28,MINIA,Bacillus_subtilis,242,41211,60
29,MINIA,Bacillus_subtilis,254,14173,60
30,MINIA,Bacillus_subtilis,273,55052,60
31,MINIA,Bacillus_subtilis,285,50628,60
32,MINIA,Bacillus_subtilis,342,5690,60
33,MINIA,Bacillus_subtilis,354,51545,60
34,MINIA,Bacillus_subtilis,392,21268,60
35,MINIA,Bacillus_subtilis,406,29060,60
36,MINIA,Bacillus_subtilis,410,77259,60
37,MINIA,Bacillus_subtilis,417,8384,60
38,MINIA,Bacillus_subtilis,429,19013,60
39,MINIA,Bacillus_subtilis,450,47537,60
40,MINIA,Bacillus_subtilis,458,14089,60
41,MINIA,Bacillus_subtilis,487,102497,60
42,MINIA,Bacillus_subtilis,513,58832,60
43,MINIA,Bacillus_subtilis,516,22996,38.845310452543124
44,MINIA,Bacillus_subtilis,521,32579,60
45,MINIA,Bacillus_subtilis,531,33728,60
46,MINIA,Bacillus_subtilis,541,14316,60
47,MINIA,Bacillus_subtilis,565,29795,60
48,MINIA,Bacillus_subtilis,577,49888,60
49,MINIA,Bacillus_subtilis,578,13060,60
50,MINIA,Bacillus_subtilis,581,34759,30.939092421671717
51,MINIA,Bacillus_subtilis,603,10286,60
52,MINIA,Bacillus_subtilis,612,5588,60
53,MINIA,Bacillus_subtilis,613,34901,60
54,MINIA,Bacillus_subtilis,614,18018,60
55,MINIA,Bacillus_subtilis,617,25644,60
56,MINIA,Bacillus_subtilis,626,74275,60
57,MINIA,Bacillus_subtilis,687,71660,60
58,MINIA,Bacillus_subtilis,700,49102,60
59,MINIA,Bacillus_subtilis,707,34487,60
60,MINIA,Bacillus_subtilis,742,5449,60
61,MINIA,Bacillus_subtilis,759,63201,43.236026952563826
62,MINIA,Bacillus_subtilis,773,36788,60
63,MINIA,Bacillus_subtilis,792,54122,60
64,MINIA,Bacillus_subtilis,797,24402,60
65,MINIA,Bacillus_subtilis,802,17522,60
66,MINIA,Bacillus_subtilis,833,1694,60
67,MINIA,Bacillus_subtilis,859,20152,60
68,MINIA,Bacillus_subtilis,869,32775,60
69,MINIA,Bacillus_subtilis,891,23415,60
70,MINIA,Bacillus_subtilis,895,47984,60
71,MINIA,Bacillus_subtilis,907,11552,60
72,MINIA,Bacillus_subtilis,915,18393,60
73,MINIA,Bacillus_subtilis,926,58393,60
74,MINIA,Bacillus_subtilis,945,12460,60
75,MINIA,Bacillus_subtilis,949,1698,60
76,MINIA,Bacillus_subtilis,958,7290,60
