,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ENN,BCALM2,4541,2764,Lactobacillus_fermentum,0
1,1,ENN,BCALM2,4543,1758,Staphylococcus_aureus,0
2,2,ENN,BCALM2,4559,2652,Salmonella_enterica,0
3,3,ENN,BCALM2,4561,1493,Salmonella_enterica,0
4,4,ENN,BCALM2,4574,1327,Escherichia_coli,0
5,5,ENN,BCALM2,4583,1031,Salmonella_enterica,0
6,6,ENN,BCALM2,4588,1186,Salmonella_enterica,0
7,7,ENN,BCALM2,4594,1003,Escherichia_coli,0
8,8,ENN,BCALM2,4607,2803,Lactobacillus_fermentum,0
9,9,ENN,BCALM2,4612,2591,Escherichia_coli,0
10,10,ENN,BCALM2,4643,3153,Escherichia_coli,0
11,11,ENN,BCALM2,4646,1363,Salmonella_enterica,0
12,12,ENN,BCALM2,4648,1192,Escherichia_coli,0
13,13,ENN,BCALM2,4651,2461,Escherichia_coli,0
14,14,ENN,BCALM2,4664,12146,Pseudomonas_aeruginosa,0
15,15,ENN,BCALM2,4667,4370,Pseudomonas_aeruginosa,0
16,16,ENN,BCALM2,4673,1167,Salmonella_enterica,0
17,17,ENN,BCALM2,4675,1226,Salmonella_enterica,0
18,18,ENN,BCALM2,4677,1822,Salmonella_enterica,0
19,19,ENN,BCALM2,4697,5414,Lactobacillus_fermentum,0
20,20,ENN,BCALM2,4702,1358,Escherichia_coli,0
21,21,ENN,BCALM2,4728,7808,Pseudomonas_aeruginosa,0
22,22,ENN,BCALM2,4741,2811,Salmonella_enterica,0
23,23,ENN,BCALM2,4745,2176,Escherichia_coli,0
24,24,ENN,BCALM2,4751,1434,Salmonella_enterica,0
25,25,ENN,BCALM2,4756,1034,Bacillus_subtilis,0
26,26,ENN,BCALM2,4758,6768,Pseudomonas_aeruginosa,0
27,27,ENN,BCALM2,4761,3551,Salmonella_enterica,0
28,28,ENN,BCALM2,4765,2985,Escherichia_coli,0
29,29,ENN,BCALM2,4768,1302,Salmonella_enterica,0
30,30,ENN,BCALM2,4772,2362,Salmonella_enterica,0
31,31,ENN,BCALM2,4785,1153,Enterococcus_faecalis,0
32,32,ENN,BCALM2,4787,1145,Escherichia_coli,0
33,33,ENN,BCALM2,4790,3439,Listeria_monocytogenes,0
34,34,ENN,BCALM2,4805,1801,Salmonella_enterica,0
35,35,ENN,BCALM2,4809,4996,Salmonella_enterica,0
36,36,ENN,BCALM2,4811,1871,Escherichia_coli,0
37,37,ENN,BCALM2,4813,3942,Escherichia_coli,0
38,38,ENN,BCALM2,4816,2228,Escherichia_coli,0
39,39,ENN,BCALM2,4840,6225,Escherichia_coli,0
40,40,ENN,BCALM2,4854,1104,Escherichia_coli,0
41,41,ENN,BCALM2,4870,1204,Salmonella_enterica,0
42,42,ENN,BCALM2,4882,13092,Escherichia_coli,0
43,43,ENN,BCALM2,4884,1597,Pseudomonas_aeruginosa,0
44,44,ENN,BCALM2,4885,8582,Escherichia_coli,0
45,45,ENN,BCALM2,4893,1196,Salmonella_enterica,0
46,46,ENN,BCALM2,4900,18616,Pseudomonas_aeruginosa,0
47,47,ENN,BCALM2,4902,29376,Staphylococcus_aureus,0
48,48,ENN,BCALM2,4904,1965,Lactobacillus_fermentum,0
49,49,ENN,BCALM2,4928,4290,Salmonella_enterica,0
50,50,ENN,BCALM2,4932,7774,Escherichia_coli,0
51,51,ENN,BCALM2,4939,24377,Pseudomonas_aeruginosa,0
52,52,ENN,BCALM2,4948,1296,Escherichia_coli,0
53,53,ENN,BCALM2,4951,2426,Escherichia_coli,0
54,54,ENN,BCALM2,4954,3864,Escherichia_coli,0
55,55,ENN,BCALM2,4955,9429,Lactobacillus_fermentum,0
56,56,ENN,BCALM2,4957,9962,Escherichia_coli,0
57,57,ENN,BCALM2,4960,9296,Pseudomonas_aeruginosa,0
58,58,ENN,BCALM2,4987,3104,Escherichia_coli,0
59,59,ENN,BCALM2,4992,1811,Lactobacillus_fermentum,0
60,60,ENN,BCALM2,4996,2478,Escherichia_coli,0
61,61,ENN,BCALM2,5006,1575,Pseudomonas_aeruginosa,0
62,62,ENN,BCALM2,5022,4238,Escherichia_coli,0
63,63,ENN,BCALM2,5023,1444,Salmonella_enterica,0
64,64,ENN,BCALM2,5027,1395,Escherichia_coli,0
65,65,ENN,BCALM2,5039,4030,Escherichia_coli,0
66,66,ENN,BCALM2,5043,2623,Salmonella_enterica,0
67,67,ENN,BCALM2,5056,1838,Escherichia_coli,0
68,68,ENN,BCALM2,5059,1702,Staphylococcus_aureus,0
69,69,ENN,BCALM2,5066,1269,Pseudomonas_aeruginosa,0
70,70,ENN,BCALM2,5079,1105,Lactobacillus_fermentum,0
71,71,ENN,BCALM2,5090,2107,Escherichia_coli,0
72,72,ENN,BCALM2,5095,1468,Pseudomonas_aeruginosa,0
73,73,ENN,BCALM2,5099,1802,Salmonella_enterica,0
74,74,ENN,BCALM2,5121,1273,Salmonella_enterica,0
75,75,ENN,BCALM2,5128,1443,Salmonella_enterica,0
76,76,ENN,BCALM2,5135,1537,Salmonella_enterica,0
77,77,ENN,BCALM2,5136,1024,Pseudomonas_aeruginosa,0
78,78,ENN,BCALM2,5146,1131,Escherichia_coli,0
79,79,ENN,BCALM2,5148,1174,Escherichia_coli,0
80,80,ENN,BCALM2,5149,3302,Pseudomonas_aeruginosa,0
81,81,ENN,BCALM2,5162,1746,Salmonella_enterica,0
82,82,ENN,BCALM2,5168,2462,Escherichia_coli,0
83,83,ENN,BCALM2,5183,14834,Enterococcus_faecalis,0
84,84,ENN,BCALM2,5189,1147,Salmonella_enterica,0
85,85,ENN,BCALM2,5193,9256,Pseudomonas_aeruginosa,0
86,86,ENN,BCALM2,5198,1961,Staphylococcus_aureus,0
87,87,ENN,BCALM2,5208,7013,Staphylococcus_aureus,0
88,88,ENN,BCALM2,5214,1140,Escherichia_coli,0
89,89,ENN,BCALM2,5221,2568,Salmonella_enterica,0
90,90,ENN,BCALM2,5224,1996,Escherichia_coli,0
91,91,ENN,BCALM2,5227,2631,Salmonella_enterica,0
92,92,ENN,BCALM2,5232,1447,Escherichia_coli,0
93,93,ENN,BCALM2,5239,1221,Escherichia_coli,0
94,94,ENN,BCALM2,5240,1332,Escherichia_coli,0
95,95,ENN,BCALM2,5242,1434,Escherichia_coli,0
96,96,ENN,BCALM2,5245,4450,Escherichia_coli,0
97,97,ENN,BCALM2,5246,2347,Salmonella_enterica,0
98,98,ENN,BCALM2,5258,4409,Escherichia_coli,0
99,99,ENN,BCALM2,5265,28264,Lactobacillus_fermentum,0
100,100,ENN,BCALM2,5266,4316,Escherichia_coli,0
101,101,ENN,BCALM2,5271,5275,Escherichia_coli,0
102,102,ENN,BCALM2,5272,6122,Enterococcus_faecalis,0
103,103,ENN,BCALM2,5279,1665,Escherichia_coli,0
104,104,ENN,BCALM2,5280,1681,Escherichia_coli,0
105,105,ENN,BCALM2,5282,7745,Salmonella_enterica,0
106,106,ENN,BCALM2,5283,1797,Salmonella_enterica,0
107,107,ENN,BCALM2,5284,1936,Escherichia_coli,0
108,108,ENN,BCALM2,5293,22560,Escherichia_coli,0
109,109,ENN,BCALM2,5295,5795,Listeria_monocytogenes,0
110,110,ENN,BCALM2,5308,1021,Escherichia_coli,0
111,111,ENN,BCALM2,5312,34337,Pseudomonas_aeruginosa,0
112,112,ENN,BCALM2,5313,1207,Escherichia_coli,0
113,113,ENN,BCALM2,5331,2090,Escherichia_coli,0
114,114,ENN,BCALM2,5332,3680,Salmonella_enterica,0
115,115,ENN,BCALM2,5333,7943,Escherichia_coli,0
116,116,ENN,BCALM2,5347,1884,Salmonella_enterica,0
117,117,ENN,BCALM2,5353,1224,Escherichia_coli,0
118,118,ENN,BCALM2,5357,11961,Salmonella_enterica,0
119,119,ENN,BCALM2,5358,1137,Salmonella_enterica,0
120,120,ENN,BCALM2,5366,1861,Salmonella_enterica,0
121,121,ENN,BCALM2,5368,23513,Listeria_monocytogenes,0
122,122,ENN,BCALM2,5369,2477,Listeria_monocytogenes,0
123,123,ENN,BCALM2,5379,1127,Salmonella_enterica,0
124,124,ENN,BCALM2,5382,1595,Escherichia_coli,0
125,125,ENN,BCALM2,5403,8220,Escherichia_coli,0
126,126,ENN,BCALM2,5407,8428,Enterococcus_faecalis,0
127,127,ENN,BCALM2,5409,3731,Escherichia_coli,0
128,128,ENN,BCALM2,5410,8083,Salmonella_enterica,0
129,129,ENN,BCALM2,5413,3347,Pseudomonas_aeruginosa,0
130,130,ENN,BCALM2,5426,1160,Salmonella_enterica,0
131,131,ENN,BCALM2,5428,3514,Salmonella_enterica,0
132,132,ENN,BCALM2,5435,2177,Escherichia_coli,0
133,133,ENN,BCALM2,5441,2998,Escherichia_coli,0
134,134,ENN,BCALM2,5448,17508,Pseudomonas_aeruginosa,0
135,135,ENN,BCALM2,5449,9965,Enterococcus_faecalis,0
136,136,ENN,BCALM2,5455,4159,Escherichia_coli,0
137,137,ENN,BCALM2,5465,2156,Salmonella_enterica,0
138,138,ENN,BCALM2,5466,1432,Escherichia_coli,0
139,139,ENN,BCALM2,5467,2325,Salmonella_enterica,0
140,140,ENN,BCALM2,5474,4025,Salmonella_enterica,0
141,141,ENN,BCALM2,5484,3392,Salmonella_enterica,0
142,142,ENN,BCALM2,5506,31348,Listeria_monocytogenes,0
143,143,ENN,BCALM2,5522,2128,Salmonella_enterica,0
144,144,ENN,BCALM2,5523,35681,Pseudomonas_aeruginosa,0
145,145,ENN,BCALM2,5525,27836,Enterococcus_faecalis,0
146,146,ENN,BCALM2,5532,2015,Salmonella_enterica,0
147,147,ENN,BCALM2,5536,1378,Salmonella_enterica,0
148,148,ENN,BCALM2,5538,3572,Escherichia_coli,0
149,149,ENN,BCALM2,5542,1760,Escherichia_coli,0
150,150,ENN,BCALM2,5549,2323,Escherichia_coli,0
151,151,ENN,BCALM2,5552,1378,Lactobacillus_fermentum,0
152,152,ENN,BCALM2,5577,1140,Pseudomonas_aeruginosa,0
153,153,ENN,BCALM2,5582,4006,Lactobacillus_fermentum,0
154,154,ENN,BCALM2,5586,1290,Salmonella_enterica,0
155,155,ENN,BCALM2,5608,3140,Staphylococcus_aureus,0
156,156,ENN,BCALM2,5621,1087,Escherichia_coli,0
157,157,ENN,BCALM2,5631,2560,Escherichia_coli,0
158,158,ENN,BCALM2,5642,2142,Salmonella_enterica,0
159,159,ENN,BCALM2,5643,5535,Salmonella_enterica,0
160,160,ENN,BCALM2,5644,5535,Enterococcus_faecalis,0
161,161,ENN,BCALM2,5646,12725,Staphylococcus_aureus,0
162,162,ENN,BCALM2,5647,2422,Escherichia_coli,0
163,163,ENN,BCALM2,5655,1085,Salmonella_enterica,0
164,164,ENN,BCALM2,5657,1042,Salmonella_enterica,0
165,165,ENN,BCALM2,5658,15839,Enterococcus_faecalis,0
166,166,ENN,BCALM2,5660,32273,Staphylococcus_aureus,0
167,167,ENN,BCALM2,5665,36342,Listeria_monocytogenes,0
168,168,ENN,BCALM2,5672,7931,Escherichia_coli,0
169,169,ENN,BCALM2,5675,1995,Salmonella_enterica,0
170,170,ENN,BCALM2,5676,11117,Lactobacillus_fermentum,0
171,171,ENN,BCALM2,5684,6201,Bacillus_subtilis,0
172,172,ENN,BCALM2,5685,12294,Lactobacillus_fermentum,0
173,173,ENN,BCALM2,5691,1380,Pseudomonas_aeruginosa,0
