,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9849577709738073,57
1,Enterococcus_faecalis,0.0,0
2,Escherichia_coli_plasmid,0.0,0
3,Escherichia_coli,0.0028054107978412878,9
4,Lactobacillus_fermentum,0.002194891916531126,2
5,Listeria_monocytogenes,0.9898494222919706,17
6,Pseudomonas_aeruginosa,0.9906850815552248,81
7,Salmonella_enterica,0.0017057632907302197,7
8,Staphylococcus_aureus,0.0,0
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
