,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,LNN,MINIA,Bacillus_subtilis,4045677.0,38278,39061
1,LNN,MINIA,Bacillus_subtilis,4045677.0,78513,78523
2,LNN,MINIA,Bacillus_subtilis,4045677.0,91345,91369
3,LNN,MINIA,Bacillus_subtilis,4045677.0,130310,130334
4,LNN,MINIA,Bacillus_subtilis,4045677.0,193988,194318
5,LNN,MINIA,Bacillus_subtilis,4045677.0,209027,210257
6,LNN,MINIA,Bacillus_subtilis,4045677.0,212127,212181
7,LNN,MINIA,Bacillus_subtilis,4045677.0,233448,234618
8,LNN,MINIA,Bacillus_subtilis,4045677.0,371713,372913
9,LNN,MINIA,Bacillus_subtilis,4045677.0,504996,505312
10,LNN,MINIA,Bacillus_subtilis,4045677.0,549205,549378
11,LNN,MINIA,Bacillus_subtilis,4045677.0,605011,605032
12,LNN,MINIA,Bacillus_subtilis,4045677.0,642253,643591
13,LNN,MINIA,Bacillus_subtilis,4045677.0,645069,645763
14,LNN,MINIA,Bacillus_subtilis,4045677.0,692873,693932
15,LNN,MINIA,Bacillus_subtilis,4045677.0,718298,718308
16,LNN,MINIA,Bacillus_subtilis,4045677.0,795664,796682
17,LNN,MINIA,Bacillus_subtilis,4045677.0,801415,807702
18,LNN,MINIA,Bacillus_subtilis,4045677.0,813562,813572
19,LNN,MINIA,Bacillus_subtilis,4045677.0,1059630,1060856
20,LNN,MINIA,Bacillus_subtilis,4045677.0,1211811,1211827
21,LNN,MINIA,Bacillus_subtilis,4045677.0,1227394,1227909
22,LNN,MINIA,Bacillus_subtilis,4045677.0,1261458,1261718
23,LNN,MINIA,Bacillus_subtilis,4045677.0,1264747,1265007
24,LNN,MINIA,Bacillus_subtilis,4045677.0,1266040,1266295
25,LNN,MINIA,Bacillus_subtilis,4045677.0,1269488,1270103
26,LNN,MINIA,Bacillus_subtilis,4045677.0,1355182,1356399
27,LNN,MINIA,Bacillus_subtilis,4045677.0,1359978,1360697
28,LNN,MINIA,Bacillus_subtilis,4045677.0,1414353,1414584
29,LNN,MINIA,Bacillus_subtilis,4045677.0,1444280,1444397
30,LNN,MINIA,Bacillus_subtilis,4045677.0,1588751,1588762
31,LNN,MINIA,Bacillus_subtilis,4045677.0,1672594,1672627
32,LNN,MINIA,Bacillus_subtilis,4045677.0,1709637,1716767
33,LNN,MINIA,Bacillus_subtilis,4045677.0,1754858,1756084
34,LNN,MINIA,Bacillus_subtilis,4045677.0,1994709,1995166
35,LNN,MINIA,Bacillus_subtilis,4045677.0,2019228,2020468
36,LNN,MINIA,Bacillus_subtilis,4045677.0,2257806,2258015
37,LNN,MINIA,Bacillus_subtilis,4045677.0,2269566,2270388
38,LNN,MINIA,Bacillus_subtilis,4045677.0,2289129,2289133
39,LNN,MINIA,Bacillus_subtilis,4045677.0,2393071,2393278
40,LNN,MINIA,Bacillus_subtilis,4045677.0,2416127,2416582
41,LNN,MINIA,Bacillus_subtilis,4045677.0,2490914,2490988
42,LNN,MINIA,Bacillus_subtilis,4045677.0,2494616,2494690
43,LNN,MINIA,Bacillus_subtilis,4045677.0,2556418,2557200
44,LNN,MINIA,Bacillus_subtilis,4045677.0,2659924,2659934
45,LNN,MINIA,Bacillus_subtilis,4045677.0,2728768,2729136
46,LNN,MINIA,Bacillus_subtilis,4045677.0,2736635,2736963
47,LNN,MINIA,Bacillus_subtilis,4045677.0,2743225,2743297
48,LNN,MINIA,Bacillus_subtilis,4045677.0,2788796,2793911
49,LNN,MINIA,Bacillus_subtilis,4045677.0,2801468,2801487
50,LNN,MINIA,Bacillus_subtilis,4045677.0,2809343,2814523
51,LNN,MINIA,Bacillus_subtilis,4045677.0,2849118,2849932
52,LNN,MINIA,Bacillus_subtilis,4045677.0,2869263,2880522
53,LNN,MINIA,Bacillus_subtilis,4045677.0,2898832,2898862
