,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,SRR8073716,metaSPAdes,2615840527,3593735.0,1705700,1707690
1,SRR8073716,metaSPAdes,2615840527,3593735.0,1908745,1909829
2,SRR8073716,metaSPAdes,2615840527,3593735.0,2006703,2007016
3,SRR8073716,metaSPAdes,2615840527,3593735.0,2013789,2019369
4,SRR8073716,metaSPAdes,2615840527,3593735.0,2020531,2020886
5,SRR8073716,metaSPAdes,2615840533A,1024354.0,23435,23954
6,SRR8073716,metaSPAdes,2615840533A,1024354.0,73800,73949
7,SRR8073716,metaSPAdes,2615840533A,1024354.0,197115,197262
8,SRR8073716,metaSPAdes,2615840533A,1024354.0,244172,244319
9,SRR8073716,metaSPAdes,2615840533A,1024354.0,424917,425066
10,SRR8073716,metaSPAdes,2615840533A,1024354.0,439240,439387
11,SRR8073716,metaSPAdes,2615840533A,1024354.0,503151,503636
12,SRR8073716,metaSPAdes,2615840533A,1024354.0,664483,664630
13,SRR8073716,metaSPAdes,2615840533A,1024354.0,714762,717177
14,SRR8073716,metaSPAdes,2615840533A,1024354.0,781164,781681
15,SRR8073716,metaSPAdes,2615840533A,1024354.0,986103,986251
16,SRR8073716,metaSPAdes,2615840533B,3938466.0,5073,5490
17,SRR8073716,metaSPAdes,2615840533B,3938466.0,430373,430790
18,SRR8073716,metaSPAdes,2615840533B,3938466.0,808268,809086
19,SRR8073716,metaSPAdes,2615840533B,3938466.0,810569,811060
20,SRR8073716,metaSPAdes,2615840533B,3938466.0,1108617,1108631
21,SRR8073716,metaSPAdes,2615840533B,3938466.0,1110115,1110609
22,SRR8073716,metaSPAdes,2615840533B,3938466.0,1439784,1441373
23,SRR8073716,metaSPAdes,2615840533B,3938466.0,1561745,1562473
24,SRR8073716,metaSPAdes,2615840533B,3938466.0,1584664,1585482
25,SRR8073716,metaSPAdes,2615840533B,3938466.0,1586966,1587457
26,SRR8073716,metaSPAdes,2615840533B,3938466.0,1688976,1691326
